title,tags
"How to obtain high resolution prints in a shorter period of time?","<resolution><speed><quality>"
"Is 3D printing safe for your health?","<print-material><safety><health>"
"How important is the minimum layer height on a 3d printer?","<quality><resolution>"
"Are there any metals that exhibit a large glass state?","<fdm><material><print-material><metal-parts>"
"How is PLA different from ABS material?","<filament><abs><fdm><pla>"
"Multi-color printing with desktop 3D printer?","<filament><makerbot><dual-nozzle><color>"
"3d printing for outdoor use: what types of filament are most weather resistant?","<material><fdm><outdoors>"
"How do I give 3D-printed parts in PLA a shiny smooth finish?","<filament><pla><post-processing><surface>"
"Resolution Drawbacks","<quality><resolution><fdm>"
"How to print metal-like parts?","<filament><metal-parts>"
"Are there any ways to make a 3D print transparent?","<post-processing>"
"How to easily get rid of rafts and support structures?","<support-structures><post-processing><rafts>"
"What are main differences between rafts, skirts and brims?","<rafts><brims>"
"Is the weather a problem for MDF frames?","<reprap><prusa-i3-rework>"
"How to 3D print a bike?","<cost><estimation>"
"How many times printed printer can print it-self?","<reprap><desktop-printer><replicating-printers>"
"Printing Plastic Replacement Parts","<software><scanning><replacement-parts>"
"Conversion of 3 mm ABS filament to 1.75 mm","<filament><filament-production>"
"Alternatives to RepRap project?","<desktop-printer><rapid-prototyping><open-source><replicating-printers>"
"What are the reasons for my 3D prints having large numbers of strings between parts of a layer?","<quality><fdm><pla><extrusion>"
"Are there any methods of limiting exposure of hazardous fumes and odors emitted by heating the plastics?","<filament><desktop-printer><safety>"
"What is the best way to connect 3D printed parts?","<post-processing>"
"Home vs. Professional Print Quality","<quality><resolution>"
"How to recycle filament material from printed parts?","<pla><abs><recycling><filament-production>"
"Why do the corners of my ABS object lift off the bed?","<extruder><abs><heated-bed><lulzbot>"
"When should I use a raft, when should I use a brim?","<rafts><brims>"
"My print is warping: how can I ensure that it cools evenly?","<adhesion><warping><cooling>"
"How can I stop my print bed tape from sticking to the filament?","<abs><filament><maintenance>"
"Safety precautions when using acetone","<abs><acetone><safety>"
"How to automate printing of multiple parts continuously?","<desktop-printer><automation>"
"Does filament have to be stored in an airtight environment?","<filament><pla><abs><storage>"
"Would 3d-printed objects outgas in vacuum?","<abs><material><safety><health>"
"What type of plastic can be used to produce your own filament?","<filament-production><filament-quality>"
"Is it legal to make a fire weapon with a 3D printer?","<legal>"
"What can I use to ""sand"" my ABS prints?","<abs><post-processing><support-structures><support-material><surface>"
"What is a good way to estimate the impact on material strength different printing methods will have?","<print-strength>"
"How can I set the 1st layer after a raft in Slic3r to print at 1st layer speed","<speed><slic3r>"
"What are the benefits to using 128X microstepping drivers on the X and Y axis of a FFF printer?","<microstepping><stepper>"
"Do stepper motors require any maintenance?","<electronics><maintenance><mechanics><stepper>"
"Which are the food-safe materials and how do I recognize them?","<material><safety><food>"
"What can cause a sudden and dramatic loss in the inter-layer registration of my prints?","<fdm><abs><print-quality>"
"Which are the strongest and most durable materials?","<filament><material>"
"Are there biocompatible materials available to the general public?","<health><filament-choice><medical>"
"Selective reinforcement of some places in my part","<prusa-i3><slic3r>"
"precise transformation using meshmixer","<stl><meshmixer>"
"Is iron oxide a suitable material for use in SLS/SLM 3d printing?","<sls><slm>"
"Nozzle insulation gone, can the printer be damaged?","<creality-cr-10>"
"Heater cartridge with 7.2 ohms - 12 or 24 V?","<heat-management>"
"Order of solving printing issues","<print-quality><troubleshooting>"
"BL-Touch bed leveling seems to produce tilted bed level around Y-axis","<bed-leveling><bltouch>"
"Anycubic Chiron does not print correctly","<print-quality>"
"Printrbot Metal Plus with new Cura","<ultimaker-cura>"
"Using extruder motor as 4th axis","<marlin><arduino-mega-2650><arduino>"
"Add a laser module to Reprap Guru Prusa i3","<prusa-i3><g-code><ramps-1.4><wiring><laser>"
"Why is the center of my glass print bed lower than the corners?","<creality-ender-3><bed-leveling>"
"Could you use ultrasonic vibrations instead of a roller with an SLS/SLM printer?","<sls><slm>"
