title,tags
"How to set salaries in ERC proposals?","<funding><europe>"
"Which countries have funding opportunities like ERC Advanced Grant?","<funding><united-states><europe><canada><australia>"
"Estimate of travel expenses for a Colloquium abroad - what does this include?","<conference><travel>"
"Should I publish in a journal that appears on Beall’s list?","<journals><disreputable-publishers>"
"How to convert Italian grades to American and U.K system?","<united-states><grades><united-kingdom><italy>"
"Is h-index important? Can h-index be used to classify yourself to know whether you are at a given academic rank?","<publications><bibliometrics>"
"I'm international PhD student and I may get terminated soon. Advice urgently needed","<phd><exams><legal-issues><international-students><visa>"
"How to prevent papers from being published in advance by others?","<publications><conference><arxiv><publishers>"
"Why do faculty members prefer students at their own institution for part time research positions?","<job-search><research-assistantship><bachelor>"
"Three questions on (finding) permanent positions in France","<mathematics><computer-science><job-search><job><france>"
"PhD student and slow, painstaking writer. Any advice?","<phd><computer-science><writing><writing-style>"
"Can we add articles downloaded from Sci-Hub to a meta-analysis study?","<publications><sci-hub><meta-analysis>"
"What Is A Typical Computer Science Ph.D. Interview Like?","<phd><computer-science><interview><germany>"
"Should I review a Paper of NonSci journal","<review-articles>"
"Failed at all meetings","<postdocs><supervision>"
"Papers published during undergraduate degree: can they form the basis to a PhD?","<publications><phd><research-undergraduate>"
"PhD first-year transfer including credits","<phd><transfer-student>"
"Completing requirements for PhD programs years after undergraduate degree","<graduate-admissions><graduate-school><preparation>"
"How does the proof process in Elsevier work?","<journal-workflow><latex><elsevier>"
"PhD in Europe: Time vs Quality","<phd><europe>"
"Second PhD scholarship while studying a PhD already","<phd><graduate-admissions><funding>"
"Postdoc in China. Looking on advice about culture shock and pursuing a career in industry","<mathematics><postdocs><industry><china>"
"Is blogging experience (on medium) relevant on the CV for PhD CS Admissions? (US)","<graduate-admissions><united-states><cv><undergraduate>"
"What are the few different things which differ from a Masters panel and a PhD panel when applying directly after an undergraduate (CS USA)","<graduate-admissions>"
"Choosing between PhD offers - top supervisor at my current institution or good supervisor at new university","<phd><graduate-school><advisor><early-career>"
"why some author not provide free pdf of his/her book on internet?","<books>"
"Can you change the Ph. D. supervisor but continue with the same job, regardless of the opinion of the previous supervisor?","<advisor>"
"Is it acceptable for a professor to tell male students to not think that they are smarter than female students?","<professors><students><gender>"
"Students' illicit access to answers for online homework systems","<cheating>"
"Does a PhD by monograph make you ineligible to be a lecturer at a university?","<phd>"
"How can I write a thesis if my master's program does not offer it?","<phd><thesis><masters>"
"What are some steps an undergrad can take to get on a Ph.D. track?","<phd><undergraduate><students>"
"Will it be too late to start looking for postdoc positions once I am about to submit my thesis for review?","<phd><postdocs><job>"
"Is it wise to target three different proposals for three different fellowships with three different supervisors/hosts?","<ethics>"
"Do scientists using user facilities (such as Advanced Light Sources) have to travel frequently?","<physics><travel><experiment-design><government-institutes>"
"What are the things you feel that you should have known before your first postdoc position?","<phd><postdocs><academic-life><industry>"
"Can I develop software that solves a problem as a Master's thesis?","<thesis><masters><software><software-papers>"
"Is it okay to break a contract for a teaching position to get a job outside of academia?","<job-search><non-tenure>"
"All of the offered sections of a course I have to take next semester were full by the time I registered?","<professors><undergraduate>"
"Can I cite almost total literature survey from a textbook unit?","<journals><literature-review><literature-search><review-articles><literature>"
"International Student applying for a PhD in a university in Taiwan","<phd><computer-science><international-students><work-life-balance><south-east-asia>"
"Did BSc, doing MSc, applying for PhD. Is it frowned upon to not have a letter from my BSc advisor?","<phd><graduate-admissions><recommendation-letter>"
"Could the conference presentation be a part of my abstract？","<presentation><abstract>"
"Emailing HOD to enhance faculty application","<application><faculty-application><assistant-professor>"
"Publishing phd work after joining another institute for job","<publications><phd><thesis><affiliation>"
"SoP for applying CS PhD program with research experience that is not my interest","<phd><thesis><computer-science><statement-of-purpose>"
"How to get back to STEM phD thesis after a long break?","<phd><thesis><writing><literature-review><stem>"
"Are good writers are good theoreticans?","<writing>"
"Asking to see other reviews","<peer-review>"
"How to inform a student about my appreciation of his/her original solutions","<etiquette><professors><students><exams>"
"Publications in personal statement","<publications><statement-of-purpose>"
"Finishing the physics graduate curriculum as undergrad","<graduate-school><undergraduate><coursework><physics>"
"Grades and Predoctoral NIH Grants","<funding><grades>"
"When should an editor use reviewers recommended by authors of a submitted manuscript?","<peer-review><editors>"
"To what extent does the prospect of a guaranteed-for-life job (tenure) motivate researchers to stay in academia?","<united-states><tenure-track><reference-request>"
"Student reported me for cheating when I did not","<cheating>"
"What exactly are academic librarians?","<united-states><canada><library>"
"Should you get your masters degree from a different school then the one your received your bachelors from","<masters>"
"Should you keep a notebook of example problems while going through science and engineering courses?","<mathematics><methodology><science><note-taking><learning>"
"Are 'Dr' for medical doctor used in the same sense as a PhD?","<terminology>"
"Applying to work where I said ""no"" in the past?","<application><lecturer><application-cover-letter>"
"How to test my understanding of an academic paper?","<undergraduate><reading><seminars>"
"Can one get admitted on a MSc in Civil and Environmental Engineering without holding same bachelors degree?","<graduate-admissions><masters><degree><engineering>"
"how to write a dissertation acknowledgement that is not superfluous?","<phd><research-process><acknowledgement>"
"Start the PhD research before taking my masters?","<phd><research-process><masters><writing><management>"
"Master's degree in science is generally not free in US, CANADA, UK, OZ, NZ? (Tuition)","<phd><graduate-school><masters><tuition>"
"Costs of being an MS student in Germany","<germany><international-students><international>"
"Doing MS in CS from low ranked university versus applying again next year?","<graduate-admissions><graduate-school>"
"Asking for Special Treatment/ Annoying Professors","<graduate-admissions>"
"What is the most effective way of starting a presentation for students?","<presentation>"
"How many people does it take to establish a theory?","<research-process><academic-life><social-science><experiment-design><theory>"
"What kind of Visa is required to work in Academia in Japan?","<job-search><visa><japan>"
"As a computational chemist, which online resources are available for Ph.D. level jobs?","<phd><job-search><online-resource><chemistry>"
"Where can I find the Impact Factor for a given journal?","<journals><bibliometrics><impact-factor>"
"In U.S., why do many engineering departments care about professional engineer registration?","<job-search><united-states><engineering>"
"What is the h-index exactly and how does it work?","<bibliometrics><methodology><ranking>"
"Does publishing a paper on arXiv prevent me from submitting it to a non-open access journal?","<journals><copyright><arxiv>"
"What journals do not allow open access to published material?","<publications><journals><open-access>"
"Scientifically meaningful sources of bibliometrics","<bibliometrics><productivity>"
"Who evaluates Marie Curie Intra-European Fellowship proposals?","<funding>"
"As a postdoc with a one-year contract in Switzerland, am I allowed for a B visa?","<postdocs><visa><switzerland>"
"How do I select a graduate program?","<graduate-school>"
"Does publishing a book while employed by an academic institution grant them legal claim on the royalties?","<publications><books><legal-issues>"
"How many physician-scientists pursue academic tracks?","<phd><career-path><medicine>"
"Academic salaries at European universities","<university><job><salary><europe>"
"Is there a standard for translating grades across Erasmus universities?","<grades><student-exchange>"
"English certifications: which ones are recognized overseas?","<student-exchange><language-exams>"
"Will people judge me negatively for skipping department seminars?","<graduate-school><seminars><community><science>"
"Submitting a subset of my work to ArXiv","<journals><publications><science><arxiv>"
"What are the common productivity measures of a scientist, like h-index?","<bibliometrics><productivity>"
"What are alternatives to Journal of Theoretical Biology?","<journals><open-access><biology>"
"Am I reading enough of the scientific literature? Should I read for breadth or depth?","<productivity><graduate-school><reading><literature>"
"Submitting the same research to multiple conferences","<publications><journals><conference><publishers>"
"Obstacles in job hunting for US citizens in non-US nations","<job-search><job><international>"
"Should I take courses that are not directly part of my research topic?","<graduate-school><coursework>"
"Teaching Assistantships and research","<teaching><teaching-assistant>"
"Usefulness of graduate school extracurriculars","<community><extracurricular>"
"Do I need to have teaching experience before entering grad school?","<teaching>"
"What are the most important criteria to consider when hiring postdocs for a research group?","<job-search><postdocs>"
"Good practices for organizing notes","<workflow><note-taking>"
"Preprint services other than arXiv (for other fields)","<publications><preprint>"
"University rank/stature - How much does it affect one's career post-Ph.D?","<career-path><postdocs><university><industry><ranking>"
"What kind of opportunities exist in the industry for someone with a Ph.D in theoretical CS?","<career-path>"
"How do you judge the quality of a journal?","<publications><journals><disreputable-publishers><reputation>"
"Advice and tools for hosting an online journal club","<reading><collaboration>"
"Is there any efficient non-linear note-taking software?","<software><productivity><tools><note-taking>"
"How to find a good topic for a PhD research proposal?","<phd><graduate-admissions><application><research-topic>"
"Usefulness of prior industry experience before entering grad school?","<graduate-school><graduate-admissions><career-path><industry>"
"Evaluating Grad Schools on grounds other than research","<phd><graduate-admissions><graduate-school><advisor><funding>"
"How to recruit a PhD student without a strong connection to teaching?","<job-search><phd>"
"Balancing coursework, research, and teaching","<coursework><chemistry><time-management>"
"What is the difference between Ph. D programs with coursework and those without it?","<phd><graduate-school><coursework>"
"What is a “sandwich thesis”?","<phd><thesis><terminology>"
"Using an author's citations in a peer reviewed articles","<research-process><citations><citation-style>"
"Consequence of declining an accepted offer after the universal deadline 15th April","<phd><graduate-admissions><united-states><deadlines>"
"If I work on a project but don't do research, should I be included as an author on a paper?","<authorship>"
"Can't handle the stress while being bombarded with questions during the presentation","<presentation><answering-questions><social-skills>"
"How common is it to work extra with one's professor after getting a M.S.?","<research-process><masters>"
"PhD in Machine Learning from CS Department or from EE Department?","<phd><computer-science><electrical-engineering><machine-learning>"
"What to do with what I've learned when writing my research proposal?","<publications><journals><statement-of-purpose><early-career>"
"How does funding at UK universities work?","<graduate-admissions><graduate-school><funding><united-kingdom>"
"Can we ask a journal to assign another reviewer to review our paper if we think that his/her review is not satisfactory?","<publications><journals><peer-review>"
"Should you state multiple degree titles in your CV next to your name?","<cv><degree><titles>"
"How to improve profile for graduate admissions in mathematics, when coming from a country where quality of math education is poor?","<graduate-admissions><mathematics><developing-countries>"
"Are there risks in sharing a paper after submission and before reviews?","<publications><peer-review><authorship>"
"Should I Cite Logos?","<citations>"
"Number of Funded PhD Positions available to applicants","<phd>"
"MHRA: citing texts from foreign language - original in footnotes?","<citations><citation-style>"
"Writing two different books with some overlap","<publications><authorship><copyright><books>"
"Math Research after undergraduate degree and before graduate school","<graduate-admissions><research-process><mathematics><research-undergraduate>"
"Abstract, Preamble, Acknowledgements and Introduction all in Thesis, how to order them?","<thesis><writing-style><acknowledgement><bachelor>"
"How to motivate students to do readings","<teaching><motivation><homework>"
"How should one describe a future academic appointment","<job><titles>"
"What exactly does termination from a PhD program entail?","<phd><thesis><advisor>"
"Am I allowed to use published research in building an industry project?","<ethics><authorship><industry>"
"How important is the choice of a guide/adviser for pursuing PhD in a topic","<phd><advisor><career-path><education><supervision>"
"How can I find an expert to help review my PhD thesis?","<thesis>"
"Is there any API service to retrieve abstract of a journal article?","<publications><journals><doi>"
"Publication estimated time","<publications>"
"Should I remind someone of a previous invitation to give a talk?","<collaboration><colleagues><invitations>"
"Is it possible to defer graduate admission for one year?","<phd><graduate-admissions><deferral>"
"Does the number of references influence reviewers decision?","<publications><phd><citations><journals>"
"Do years in parentheses need to be chronological?","<citation-style>"
"How to know whether a visiting professor will charge the university to present a lecture to academic staff?","<visiting>"
"Can you exclude issue numbers in references based on APA 6th edition?","<citations><writing><university><citation-style>"
"How do teachers learn to grade?","<grading>"
"Research assistant, associate, fellow?","<cv><titles><government-institutes>"
"Sharing content from thesis online, before submitting thesis","<thesis><ethics><self-plagiarism>"
"Looking for specific examples of University spin-offs where the researchers can earn part of the benefits","<intellectual-property>"
"Is it cheating if I develop some part of my MSc. thesis in a hackathon in a team?","<thesis><masters><plagiarism>"
"Startup package, for assistant professor in USA: should I ask for a an extra PhD or an extra post-doc?","<tenure-track><assistant-professor><negotiation>"
"Assistant professor position in the USA. Can any leftover startup money for equipment be used to pay students or my summer salary?","<funding><united-states><tenure-track><assistant-professor>"
"How can I make sure that my paper's work is unique?","<publications><research-process><research-topic>"
"Is it better to cite a PhD thesis or an article under review?","<citations>"
"Invitation to review for an unknown journal","<journals><peer-review><disreputable-publishers>"
"How much would writing a thesis help for a person's career in industry(not in academia)?","<thesis>"
"Coaching centre or self study?","<career-path>"
"Mastering in the same field as my Bachelors","<graduate-school>"
"Flexibility (or lack of) at the Open University","<mathematics><university>"
"How to choose committee members strategically?","<phd><thesis-committee>"
"Author states that he is owner of his photographs but they have been published in various journals","<copyright><graphics><publishers>"
"Can I Change a recommendation letter provider after being invited for Campus interview?","<recommendation-letter>"
"Switching research topics to something less interesting?","<phd><research-topic>"
"Computational neuroscience postdoc prospects given computational neuropsychology Ph.D. research?","<phd><research-process><career-path><computer-science><postdocs>"
"Can non-peer-reviewed work be recognized by the community?","<peer-review><online-publication>"
"Academic Writing: Numbered points in text etiquette","<writing-style><grammar>"
"Master's at Undergrad University Then Pursue PhD Elsewhere","<phd><graduate-school><mathematics><united-states>"
"How can corresponding authors protect themselves from academic spam?","<publications><correspondence><spam>"
"How to acknowledge a MathOverflow user?","<publications><citations><mathematics><acknowledgement>"
"Is obtaining a PhD from an Asian country really a career suicide?","<phd><computer-science><asia>"
"Rote learning in South East Asia","<university><learning><asia>"
"Can anyone compare US and Singaporean higher education systems?","<united-states><singapore>"
"Can a ""maitre de conferences"" be called ""professor""?","<etiquette><professors><france>"
"In what order should existing inter-related research be cited in a journal paper?","<citations><journals>"
"Conference abstract: AutoCorrect underline not removed","<conference><errors-erratum><abstract>"
"Is it okay to reference something well agreed by only one source, [e.g. 1 source]?","<citations>"
"Conference reviews contains the whole range of ratings","<publications><peer-review><conference><computer-science>"
"Is it allowed to re-format a post-print version of a published paper?","<thesis><copyright><formatting>"
"Co-authorship nightmare","<research-process><authorship><data>"
"Paper accepted three hours after submission","<peer-review><conference>"
"What circumstances could justify getting an extension on graduate admission offer deadline?","<graduate-admissions>"
"What to do with dead times during your PhD?","<time-management>"
"Is it a good idea to apply to the same professor again after having been rejected the year before?","<graduate-admissions>"
"Can I pursue a PhD while working as an Accounting Instructor/Lecturer?","<phd><career-path><professors>"
"Can a Master student's thesis be kept indefinitely until the advisors have extracted everything the student has to give?","<thesis><advisor><united-states>"
"Can I accept two funded offers from universities and decide later after April 15?","<graduate-admissions><funding>"
"Is an academic degree an honor, a title, or both?","<phd><masters><degree><bachelor><academic-history>"
"Bell Curved Grading","<grading>"
"Can I name my algorithm after myself?","<publications>"
"What are good principles for naming an algorithm?","<publications>"
"Ethical Dilemma at University program","<ethics><cheating>"
"How would I reference a Linux man page in Harvard style?","<citations>"
"Missed including undergraduate degree information in graduate application","<graduate-admissions><graduate-school><united-kingdom>"
"Is this a realistic salary for China postdocs/ assistant professor?","<job-search><china>"
"How can one find a research mentor to fulfill a research paper requirement prior to PhD application?","<research-process><application>"
"Consulting during PhD?","<phd><etiquette><united-states><work-life-balance>"
"why does google scholar find a paper I wrote for a course?","<google-scholar>"
"Is getting into MSc programs in Europe easier than PhD in US?","<graduate-admissions><mathematics><united-states><europe>"
"3 Year Master's Full Time?","<masters><united-states>"
"Do prizewinners use prize money for academic purposes?","<funding><awards>"
"Can we have a citation in the Works Cited and not use it in an essay?","<citations><citation-style>"
"What copyright issues could arise if I write a book based on one of my articles?","<publications><copyright>"
"Postdoctoral fellowships/calls to work in Europe for scientists/mathematicians/engineers that are similar to Marie curie?","<postdocs><europe><science>"
"Can one have two different sources for postdoc fundings together in Europe?","<job><postdocs><europe><science>"
"Funding of research by commercial companies, what is the sentiment in the USA?","<cv><funding><united-states>"
"Why did my professor criticize my performance indirectly?","<phd><advisor><interpersonal-issues>"
"Are itemized lists discouraged in scientific papers?","<publications><formatting>"
"Qualifications for textbook authorship","<publications><credentials>"
"What is a ""graduate school""?","<graduate-school><administration>"
"What should I do if an admissions office asks me for a bachelor's thesis, when my program didn't require it?","<phd><graduate-admissions>"
"MS in Pure Maths to PhD in Statistics","<graduate-school><mathematics><statistics>"
"Why do PhD take so long in the USA?","<phd>"
"Life as a master student vs PhD student","<phd><masters><academic-life>"
"How many manuscripts per day are sent to leading journals?","<publications><editors>"
"How to state that you “rigorified” an existing paper without sounding arrogant or condescending?","<writing><language>"
"Motivating myself to study?","<masters><thesis><motivation><academic-life>"
"What to do with spare research topics?","<research-process><research-topic>"
"Pedagogy for biology (genetics)","<teaching><biology>"
"Can I use informal sources (particularly online sources)?","<publications><citations>"
"How to offer fair exam retakes?","<teaching><exams>"
"Using IEEE Citation style, how should I Cite a Figure, that was based on one in a text?","<citations><graphics>"
"Differences in student load at liberal arts colleges vs. research universities","<teaching>"
"Should I write a paper on open-source software I've built?","<publications><writing><software><open-science>"
"Applying for a post-graduate degree with an Italian three-year bachelor's degree","<graduate-school><united-states>"
"I switched PhD programs after a month, do I mention this on my CV?","<phd><cv>"
"Create journal database: is there any easy way to auto download all the citations of a volume or all the volumes of a journal?","<citations>"
"How to cite quote from Gutenberg Project ebook?","<citations><books>"
"Rejection from a legitimate journal, with reviewers recommending me to try a Beall's list journal","<journals><ethics><rejection><disreputable-publishers>"
"How to cite a game and props invented by the researcher?","<citations><thesis><graphics>"
"I'm very frustrated about what ""research collaboration"" is","<research-process><masters><computer-science><collaboration>"
"Future PhD applications and COVID -19","<application><covid-19>"
"How to work with an article in a foreign language?","<mathematics><language><translations>"
"Are online bachelor's degrees offered on Coursera the exact same as offline degrees?","<bachelor><online-learning><online-degree>"
"What methods can be used in online exams to genuinely test the students' knowledge and capabilities?","<teaching><exams><online-learning><covid-19>"
"Should I contact the universites that have not given me a decision yet after I have taken a offer?","<application><email>"
