title,tags
"Can't set ringtone / notification sound from internal storage","<ringtone><nexus-5x><7.1-nougat>"
"How do I delete emoji suggestions on LG Stylo 2 Plus?","<delete><emoticons>"
"Unbricking a FRP-locked phone while leaving it rooted","<rooting><unbricking><internal-sd><samsung-galaxy-j1>"
"Nearby friends on facebook not working","<applications><facebook>"
"S7 Edge Stuck on Samsung Logo","<rooting><root-access><samsung><boot-loop><samsung-galaxy-s-7-edge>"
"Formatted /system without backup ROM or SD Card slot","<unbricking><clockworkmod-recovery><samsung-galaxy-nexus>"
"Google maps keeps disabling Privacy Guard on cyangenmod","<cyanogenmod><privacy><google-maps>"
"Volume control using Macrodroid","<automation><volume-control><volume><macrodroid>"
"Yu Yureka Black is always booting into TWRP (Fastboot Not Working, No OS)","<rom-flashing><recovery-mode><boot-loop><fastboot><twrp>"
"dell streak mini 5 upgrade os to v3 or above","<root-access><dell>"
"How can i fix the pop up spam of Unfortunately,GPS speed has stopped working","<samsung-galaxy-s>"
"Use an Android phone as a dongle with a home router","<usb-on-the-go><router>"
"Is it possible to enable ""double tap to wake"" on android devices which do not support it?","<root-access>"
"Adjusting aperture, ISO and shutter speed manually? Huawei P9","<camera><huawei>"
"Notifications barely appearing (Nexus 6P)","<notifications><notification-bar><push-notifications>"
"Forgot my password","<applications>"
"Accumulation of APK's?","<applications><internal-storage><apk>"
"Does Gboard remember what is said?","<keyboard><privacy><gboard>"
"whatsapp backup from different phone number but same gmail account","<whatsapp-messenger>"
"Android App Cache Security","<applications><security><cache>"
"SW REV CHECK FAIL : Fused 1 > Binary 0","<6.0-marshmallow><rom-flashing><boot-loop><7.0-nougat><odin>"
"How to debug bootloop?","<cyanogenmod><rom-flashing><boot-loop><samsung-galaxy-s-5><debug>"
"ADB not finding device with Galaxy S8 and Windows 7","<google-play-store><adb><7.0-nougat><android-sdk><samsung-galaxy-s-8>"
"Samsung Galaxy S5 Mini asking for network unlock Code","<sim-unlocking><samsung-galaxy-s-5-mini>"
"Sent messages not synced on first install of new SMS apps","<sms><7.0-nougat><samsung-galaxy-s-8>"
"Pixel FRP 7.1.1 FEB 17 security patch","<security>"
"How do I get my phone to ring on a calendar notification?","<notifications><ringtone>"
"Is there a way I can update my samsung galaxy note 4.0.2 to 4.2.2?","<samsung-galaxy-note-10.1>"
"How do Samsung apps get updated on Samsung devices?","<samsung><updates><camera><push-notifications>"
"How do I get rid of the two lock screens on my Galaxy Grand Prime?","<lock-screens>"
"Can apps take permissions when the Internet is off?","<applications>"
"He's dead, Jim! -- Phone is bricked, how screwed am I?","<data-recovery><unbricking>"
"Rollback to Stock ROM without having backup of it","<cyanogenmod><custom-roms>"
"Syncing Oneplus 3 contacts to PC?","<sync><oneplus-3>"
"ACME Android ROM Flash Fails to bootloop NEED HELP!","<4.4-kitkat><5.0-lollipop><rom-flashing><custom-roms><boot-loop>"
"Dual Gear VR Controllers with Unity","<game-controllers><samsung-gear-vr>"
"Tasker: If variable - not connected to Wifi","<wi-fi><tasker><automation>"
"ADB without PC is it possible?","<adb>"
"is it required to do unlocking of bootloader before installing and upgraded rom for sm-g550t galaxy on5 and then reroot","<rooting><rom-flashing><bootloader><bootloader-lock>"
"Samsung Galaxy S3 latest update","<6.0-marshmallow><samsung-galaxy-s-3><android-versions>"
"Saving image from gmail app","<gmail>"
"Samsung phone still bricked via FRP after factory reset","<recovery-mode><factory-reset><unbricking><samsung-galaxy-j1>"
"What are the meaning of each category under WIPE menu in TWRP?","<factory-reset><twrp>"
"Add a google map route to calendar (S7 Edge)","<calendar><google-maps><google-calendar>"
"Nougat: How to use Full Disk Encryption instead of File Based Encryption?","<encryption><7.1-nougat><disk-encryption>"
"Does android auto restore function when I install my app over the usb port in development mode?","<recovery-mode><stock-android><usb-debugging><restore>"
"Are there any ways to install a third party keyboard as the system keyboard?","<keyboard><encryption><system-apps>"
"What are the technical reasons of updating SuperSU?","<updates><superuser>"
"Is there a way to make it so that swiping right opens a notification instead of dismissing it?","<notifications>"
"Prevent music players from auto play on bluetooth connect","<6.0-marshmallow><bluetooth><music-player><bluetooth-audio>"
"Samsung s6 how do I find SSID","<settings><samsung-galaxy-s-6>"
"Default Android Browser Error Page Source","<browser><html>"
"Linux Deploy ext4 and Adoptable Storage","<linux><adoptable-storage><ext4>"
"Is there a faster version of Skype for Android?","<skype>"
"How to customize which camera app is launched when double tapping the power button?","<cyanogenmod><custom-roms><camera><customization><lineageos>"
"How to backup large contact photos?","<contacts><backup><import><contact-photo><export>"
"Sending email fails on one account","<gmail><email>"
"Can no longer attach pictures to messages from 'gallery' on Samsung Galaxy Ace 4","<gallery><samsung-galaxy-ace><attachments>"
"Find Android version on S6 - suspect Android 7 because of rounded icons","<settings><samsung-galaxy-s-6><android-versions>"
"Does it harm if we remove system bloatware in rooted device?","<5.0-lollipop>"
"What is device administrator supposed to be set to on a smartphone?","<stock-android><permissions><device-administrator>"
"How do I spoof camera input by using a pre-recorded video instead?","<5.1-lollipop><video><video-recording>"
"Does LineageOS disable the Android Easter Eggs?","<lineageos><7.1-nougat><easter-egg>"
"How to install apps with adb shell and how to backup device settings and restore to an identical device?","<6.0-marshmallow><backup><settings><restore><android-tv>"
"How to install Playstore on a device on which it is not already installed?","<google-play-store>"
"Does GBWhatsapp's back up feature restore media/images INSIDE all the chats?","<backup><whatsapp-messenger>"
"Can an application wipe or corrupt a SD card?","<external-sd>"
"Add Miracast function to newer Android versions","<chromecast><screencast><miracast>"
"How to fix crashes on ""Checking info"" screen when trying to add a Google account?","<google-account><crashes><google-play-services>"
"How to fix ""Couldn't log in the selected account"" when adding a work email?","<google-hangouts><accounts><application-error>"
"how to change the Mac address without rooting your phone","<terminal>"
"Is my device unrecoverable without factory reset? - com.andoird.phone stopped","<recovery-mode><data-recovery><cache><mi-a2>"
"Flashed BTU from sammobile but is still EVR","<rom-flashing><device-firmware><samsung-galaxy-s-9>"
"restart Android phone when power button stopped working","<reboot><buttons><power-on>"
"Mount SMB storage on shiled TV accross subnet","<nvidia-shield><cifs>"
"Odin froze on TWRP image","<rooting><odin>"
"TWRP Internal Storage(0 MB)","<rooting><twrp>"
"Installing TWRP on locked Sony Z3 Compact D5803","<adb><root-access><twrp><device-firmware><flashtool>"
"Can't access screen lock type settings","<lock-screens><motorola-moto-g><pattern-lock>"
"How the device (that is off) decide how to publish itself for USB: ""MediaTek PreLoader USB VCOM port"" or ""MediaTek USB Port"" device?","<rom-flashing><mediatek>"
"Exclude some apps from ""close all""","<applications><sony-xperia><8.0-oreo><force-close>"
"I switched my internal storage to Sd card and it still won't let me download apps","<sd-card>"
"Is there a way to turn on Reading Mode on MIUI using terminal commands or adb?","<screen><miui>"
"What are the risks involved in unlocking the bootloader?","<security><bootloader-lock>"
"Prevent Gmail from adding calendar events from emails","<gmail><calendar>"
"How can I Ungoogle my Phone?","<google-play-services>"
"How to duplicate screen on a secondary monitor in Phoenix OS?","<external-display><phoenix-os>"
"How to completely clear my device of a particular company's apps?","<applications><uninstallation><maintenance>"
"How does android dm-verity protection validate blocks with hash tree","<boot><os><dm-verity>"
"LG K10 MT6753 boot partition deleted","<unbricking><lg><mediatek>"
"Google Play error 501 when updating YouTube","<google-play-store><youtube>"
"Importing the Telegram contacts into the phone book - Android","<contacts><google><samsung-galaxy-s-5><sim-card><telegram>"
"How to create a home screen shortcut for a live streaming URL?","<launcher><home-screen-shortcuts><video-streaming><content-filter>"
"Python on android (not the usual solutions)","<linux><python>"
"How to root Exynos S8 SM-G950F?","<samsung><root-access><recovery-mode><twrp><boot>"
"Do I have to reboot between flashing ROM, root and Xposed?","<rom-flashing><twrp><xposed-framework><magisk>"
"Google calendar force closing after OTA update (SM-G930A)","<ota-update><samsung-galaxy-s7><google-calendar><force-close><att>"
"Decryp sd card on samsung s9","<external-sd>"
"Access same instance of app from two devices while on the go","<remote-control><remote-access>"
"How to control my mom's Android phone?","<android-device-manager>"
"Why is Firefox for Android shown as ""offered by"" Google Commerce Ltd?","<google-play-store><bugs>"
"How to open a file located in a non-sdcard directory in Tasker?","<tasker>"
"How can I determine what is a normal USB transfer speed for my Android phone?","<usb>"
"Is there a way to control which audio is sent to Bluetooth and which is sent to system speaker?","<speaker><headset><bluetooth-audio>"
"How to only get Gmail notification with certain tag(s)?","<notifications><gmail><sync>"
"Google Drive’s image recognition on Android 4.1 demo available on older versions?","<4.1-jelly-bean><ocr>"
"Unable to download from an authenticated webserver","<browser><downloading><chrome-for-android>"
"Where are extra keyword tags for photos stored?","<gallery>"
"""Button: Camera"" and ""USB Plugged"" not working for Tasker?","<tasker><bugs><profiles>"
"How can I use my internal storage as extra RAM?","<internal-storage><ram>"
"Swap partition not working on Huawei U8160 running CyanogenMod 7.2","<cyanogenmod><external-sd><mount><partitions><swap>"
"Can I run ICS on the Samsung Galaxy S+ I9001?","<4.0-ice-cream-sandwich><custom-roms><samsung-galaxy-s-plus>"
"How can I tell if an app can be a ""link"" target?","<applications><intents>"
"google.com redirected after xpressconnect installed","<wi-fi><networking>"
"Disabled Background Data notification","<notifications><background-data>"
"Change ""Audio Applications"" in Notification Bar","<4.0-ice-cream-sandwich><samsung-galaxy-s-3>"
"Enabling wireless tools on Android","<ad-hoc-networks>"
"How do I change the default sms font size? (ICS)","<4.0-ice-cream-sandwich><samsung-galaxy-s-3><fonts>"
"Gmail not being retrieved automatically","<gmail><motorola-droid-x><sync>"
"Disable the default browser in ICS","<4.0-ice-cream-sandwich><browser>"
"Install Android apps in Kindle fire with Jelly Bean 4.1","<applications><google-play-store><amazon-kindle>"
"Completely ""Mute"" my Android Phone?","<silent-mode><samsung-galaxy-y><mute>"
"Does Android support the single-user mode runlevel?","<boot><device-administrator>"
"Beginner's questions on tweaking non-branded Android phone (rooting, update recovery, update rom)","<rooting><updates>"
"Problems sending MMS","<mms>"
"How can I remotely change the volume?","<audio><ssh><remote-control><command-line>"
"Force widgetlocker theme's default image?","<lock-screens><themes>"
"How does Android determine which apps are ""social networking"" apps for data usage purposes?","<applications><data-monitoring>"
"Foreign phone, stuck on 2G","<3g><gsm>"
"Google Currents vs Google Reader","<google-reader><reading><google-currents>"
"Factory reset (including USB storage) prompts for password after I already typed it in","<2.3-gingerbread><security><factory-reset><samsung-galaxy-player>"
"Will I lose any apps / data if I upgrade my phone's OS?","<updates><samsung-galaxy-s-2>"
"Galaxy S3 Active Sync is not working, any help?","<exchange><connection-issues><active-sync>"
"What if I accidentally checked CDMA/LTE instead of GSM/HPA+ in the Galaxy Nexus Root Toolkit?","<rooting><samsung-galaxy-nexus><unrooting>"
"What is the difference between AOSP/vanilla and stock?","<stock-android><vanilla-android>"
"Why Do I Need to Wipe Dalvik Cache?","<custom-roms><rom-flashing><dalvik>"
"Google play login different GSM carriers","<gsm>"
"Audible Caller ID on Galaxy S3","<notifications><samsung-galaxy-s-3>"
"Tablets being able to make calls","<tablet><calls>"
"can i get a froyo 2.2 or other latest android OS which i can put on my samsung omnia i900 with all bluetooth, wifi, cdma and other phone features?","<samsung><windows-mobile>"
"Reply-by-SMS with Google Voice","<sms><4.1-jelly-bean><calls><google-voice><quick-responses>"
"Offline HTML5 apps","<offline><html>"
"How to stop a text received from splitting up?","<samsung-galaxy-s-2><sms>"
"Camera app that takes picture as soon as it has focus","<camera><focus>"
"How to transfer files over WiFi without a hotspot?","<wi-fi><file-transfer><ad-hoc-networks><wifi-direct>"
"How to connect ADB over 3G/4G?","<security><settings><adb><networking>"
"Accessing the Android Phones SMS and other feature via Data Cable","<sms><remote-control>"
"I can't install or update Apps from Play Store: Error 905. How to fix?","<google-play-store><system-error>"
"The Way Numbers Are Displayed/Broken Up","<contacts><localization>"
"Media scanner ignores .nomedia on external sd card","<cyanogenmod><external-sd><media-scanner>"
"Text disappears when attachments are downloaded","<attachments><yahoo-mail>"
"Can I place calls with my Google Voice credit from Android outside of the US?","<google-voice><google-hangouts>"
"App not installed orphaned files","<installation><apk><4.3-jelly-bean>"
"**FAILED (remote: 12 signature verify fail)** HTC One M7","<rom-flashing><bootloader-lock><stock-rom><htc-one>"
"Android runs ON Linux?","<linux><boot>"
"Internal storage missing: Nexus 7 16G down to 5.8G TOTAL","<internal-storage><nexus-7><partitions>"
"How can I flash CyanogenMod, or another mod, on an AT&T locked Note 2?","<rom-flashing><samsung-galaxy-note-2>"
"How does an android factory reset work?","<factory-reset><4.3-jelly-bean>"
"How can I block Android apps to send emails on my behalf?","<applications><email><gmail><spam>"
"Cannot log in to my android phone anymore","<4.0-ice-cream-sandwich><samsung-galaxy-s-3><keyboard><encryption>"
"How do I set a separate launcher as default?","<4.1-jelly-bean><launcher>"
"Is is possible to install a new CM version and a custom kernel in one go?","<cyanogenmod><rom-flashing><custom-roms><recovery-mode><kernel>"
"galaxy note N7000 wifi disconnect and forgot wifi network","<wi-fi><samsung-galaxy-note>"
"On Rooting Desire HD","<rooting><htc-desire-hd><s-off>"
"Is there anyway to backup current ROM without unlocking bootloader/ installing clockworkmod recovery?","<rom-flashing><clockworkmod-recovery><bootloader><rom-manager><stock-rom>"
"Error message in Words With Friends is preventing download? - ""You already own this item.""","<google-play-store><in-app-purchase>"
"How can I get Google Voice Actions to recognize monetary amounts?","<nexus-4><4.3-jelly-bean><google-voice-actions>"
"Is it possible to isolate audio input/output devices?","<bluetooth><audio><headphone-jack><bluetooth-audio>"
"How to delete Skype history?","<skype><chat-history>"
"Android early boot console over usb","<boot><kernel><logging>"
"Home screen filled with app icons","<home-screen-shortcuts><asus-eee-pad-transformer>"
"how to install command line programs","<applications><installation><command-line>"
"Uninstalled original alarm by accident on samsung galaxy ace ii x (gt-s7560m)","<samsung-galaxy-s-2><alarm>"
"Merging duplicate contact entries from multiple sources","<contacts><google-contacts>"
"How to install recovery and rom on blank Samsung i9000","<cyanogenmod><samsung-galaxy-s><unbricking>"
"Samsung Galaxy S4 S Planner events have different timezones","<samsung-galaxy-s-4><time-zones>"
"Getting the activities of the user","<logging>"
"Change Screen Dim TimeOut","<settings><screen>"
"i have already root my nexus4,but why it shows “shell@mako:/ $ ”when i enter command“adb shell”","<root-access>"
"Certain apps fail to update from Play, while others work","<applications><google-play-store><google-account><4.3-jelly-bean>"
"How to use OTG cables for NEXUS4 without rooting","<nexus-4><usb-on-the-go>"
"Asus Transformer Infinity Pad (TF700KL) how to cold boot (enter Recovery Mode)","<4.1-jelly-bean><device-firmware><downgrade><asus-transformer-infinity>"
"When I transfer files from computer using USB (MTP), I can't access them on device","<nexus-7><file-transfer><mtp>"
"Ways to remove android device encryption","<encryption>"
"Locating stolen phone after factory reset","<security><custom-roms><lost-phone>"
"Unable to use Network: ""Not Registered On Network""","<sms><calls><connection-issues><mobile-network><samsung-galaxy-chat>"
"How do I make my Linux PC mount my Android 4.2.2 phone using MTP?","<4.2-jelly-bean><linux><mtp>"
"Nexus 7 (2013) Won't Boot Normally or into Recovery After Attempted Root","<boot-loop><unbricking><4.3-jelly-bean>"
"Xperia U: Network state is shown as UNKNOWN, data connection not working","<data-connection><sony-xperia-u>"
"Samsung Galaxy S4 play edition and exFat","<google-play-store><external-sd><file-system><samsung-galaxy-s-4>"
"How much damage could one do to an unrooted device?","<backup><root-access><samsung-galaxy-tab>"
"Windows desktop screen sharing for Android via Wi-Fi","<4.1-jelly-bean><remote-control>"
"How do I reactivate Swype on a Motorola Atrix HD?","<swype><motorola-atrix-hd>"
"Tracking Android Phone via IMEI number","<4.0-ice-cream-sandwich><lost-phone><gps-tracking>"
"How can I restore the encrypted files contents from the Gallery Vault app?","<gallery-vault>"
