title,tags
"Can SuperAlloy Darkshine be hurt?","<one-punch-man>"
"Shiny Bulbasaur doesn't have a golden bulb but Ivysaur and Venusaur do","<pokemon>"
"How did Ging know Gon wouldn't die?","<hunter-x-hunter>"
"Can 4 people fuse into 1 powerful person?","<dragon-ball-series>"
"Why can't Haki be used with seastone cuffs?","<one-piece>"
"Why Naruto's hand was not injured using rasenhurikan","<naruto>"
"Which S class heroes are left in the Hero Association?","<one-punch-man>"
"What is the name of the song playing in Attack on Titan season 3 episode 13 when Levi attacks Reiner?","<music><attack-on-titan>"
"Does this anime quirk have a name?","<anime-production><tropes>"
"Do users of One for All lose their original quirks?","<my-hero-academia>"
"How did the people of Marley steal 7 of the 9 original titans?","<attack-on-titan>"
"How and why is Emilia connected to Satella (the Witch of Envy) and the Witch Cult?","<re-zero>"
"Why did All for One gave a quirk to stockpile power to his brother?","<my-hero-academia>"
"Can a One for All user transfer just one of his quirks to other users?","<my-hero-academia>"
"Which chapter of the manga does Season 4 of My Hero Academia anime start in?","<my-hero-academia>"
"Does Issei Hyodo still have the Divider power after season 2?","<high-school-dxd>"
"What's the song that plays in season 1 episode 11 at 16:33","<music><my-hero-academia>"
"Evillious Chronicles: What is the reference / wordplay with the ""United States of Maistia""?","<vocaloid>"
"Why is Motoko Kusanagi usually the only one with thermoptic camouflage?","<ghost-in-the-shell>"
"What is the song playing in My Hero Academia season 2 episode 25 at 10:00?","<music><my-hero-academia>"
"Why did Uraraka say this?","<my-hero-academia>"
"Why Midoriya said he remembered All for One's memories?","<my-hero-academia>"
"Is there any reason why Aizawa and Shinso use the same cloth-type capturing weapon?","<my-hero-academia>"
"Why Hachikuji isn't surprised by the fact that Araragi is a vampire","<monogatari-series>"
"What is the song that plays on episode 4 of Tokyo Ghoul Root A when Kaneki battled Shachi?","<music><tokyo-ghoul>"
"Is there a limit to how many times Twice can copy himself?","<my-hero-academia>"
"Does Golden Meta Cooler have ki?","<dragon-ball-series><dragon-ball-heroes>"
"Can Twice copy One for All?","<my-hero-academia>"
"How does Himiko Toga quirk replications habilities work?","<my-hero-academia>"
"How does Tomura Shigaraki's power not disintegrate his shoes?","<my-hero-academia>"
"Tokyo ghoul s01 e01 piano soundtrack @2:25","<music><tokyo-ghoul>"
"Can Rinnegan users fly or levitate?","<naruto>"
"Why is Silver Fang rated as S-class Rank 3 hero?","<one-punch-man>"
"Can the attack titan and the founding titan be splitted?","<attack-on-titan>"
"If Eren Jaeger dies without transfering his titan powers, will both powers transfer to the same child?","<attack-on-titan>"
"Does Eren have to be in contact with a titan with royal blood or an eldian with royal blood to activate his founding titan commanding powers?","<attack-on-titan>"
"Red hair Garou, is there an official name for this form?","<one-punch-man>"
"Why Light didn't lose memory in ep31","<death-note>"
"Who is the yellow-haired character in opening of Midnight Occult Civil Servants?","<midnight-occult-civil-servants>"
"Do individuals with the power of Titans posses the ability to time travel through the memories of future wielders of Titan powers?","<attack-on-titan>"
"Why people from Marley think once aircraft forces from other nations will be developed , Titans wont be useful anymore?","<attack-on-titan>"
"Why didn't Marcel turn into a Titan to avoid being eaten by Ymir?","<attack-on-titan>"
"Why don't Evangelion Pilots need to pump the LCL out of their lungs after exiting an Eva Unit?","<neon-genesis-evangelion>"
"Why wasn't this titan involved in any military operation until at least the 3rd Season of the anime?","<attack-on-titan>"
"Can Black Sperm return to be as powerful as he was?","<one-punch-man>"
"Which is heads and tails?","<hunter-x-hunter>"
"Which chapter of the manga version of Gintama corresponds to the last episode of anime?","<gintama>"
"Does Garou have some important techniques of his own?","<one-punch-man>"
"Do auras really have color and movement to them?","<hunter-x-hunter>"
"A manhwa (or manga) where the main antagonist is the protagonist's future self","<threads-of-time>"
"Who invented the Rasengan: Jiraiya or Minato?","<naruto>"
"What are the paintings in the Anti-Angel Headquarters and what do they mean?","<angel-beats>"
"Why did Nibutani Shinka changed her hair color?","<chuunibyou-demo-koi-ga-shitai>"
"Do people die if they are killed?","<fate-stay-night>"
"Why are titans killing humans?","<attack-on-titan>"
"Piece of clothing Kakashi wears under his grey Anbu flack jacket","<naruto><merchandise>"
"Where does Little Red Riding Hood appear?","<fate-stay-night>"
"Is Takanashi Touka a chuunibyou?","<chuunibyou-demo-koi-ga-shitai>"
"Is there any humor or meaning to the conversation about Yuri's dream and how many Hinatas there were?","<angel-beats>"
"Law vs Breed: why didn't Law use room to remove collars?","<one-piece>"
"What does the pink note left by Taiga say?","<toradora>"
"Wouldn't Aether make humans sterile too?","<coppelion>"
"What is intended by a spiral on a character's finger and what is the origin of this trope?","<tropes>"
"Where can I find a list of recipes (and their directions) that were used in Shokugeki no Soma?","<shokugeki-no-soma>"
"Is Lelouch's Geass limited in what it can tell people to do?","<code-geass>"
"Why is the childhood friend trope commonly seen in anime?","<anime-production><tropes>"
"Do manga publishers accept mangas from multiple artists under one pen-name?","<manga-production><mangaka>"
"What song plays in episode 1 of One Piece when Luffy punches Alvida?","<one-piece><music>"
"Was Satou lying when he said that beheading robs an Ajin of his memories?","<ajin-demi-human>"
"Are Uchihas affected by Infinite Tsukuyomi?","<naruto>"
"What was the name again of Kageyama's Senpai?","<haikyuu>"
"Where did the Haganai and Oreimo cameo appear?","<oreimo><boku-wa-tomodachi-ga-sukunai>"
"After Orochimaru revives the 4 kage how does Minato know how to use Kurama chakra mode?","<naruto>"
"Who killed Alice?","<pandora-hearts>"
"Are the garbled up text in Log Horizon Season 2 Episode 9 meaningful or simply garbage?","<log-horizon>"
"If Mayu had no contact with the outside world, how did she contact people in the outside world?","<wixoss>"
"Any credible news source of a Season 3 for Highschool DxD","<high-school-dxd>"
"Why can't Nagato revert his Rinnegan to Sharingan?","<naruto>"
"Why doesn't the Byakugan have a second stage?","<naruto>"
"What timeslips did Aoshima screw up to cause that snowball effect on later TSs?","<wagatsuma-san-wa-ore-no-yome>"
"Is Naruto related to Hashirama Senju?","<naruto>"
"Can Tatsuya use Material Burst in the tactical/strategic scale without the Third Eye CAD?","<mahouka-koukou-no-rettousei>"
"What is the size of the crater left by the explosion in episode 26?","<mahouka-koukou-no-rettousei>"
"Definition of a reverse trap","<tropes><terminology>"
"Which characters are featured in the Fullmetal Alchemist: Brotherhood eyecatches?","<fullmetal-alchemist-series><fullmetal-alchemist-brotherhood>"
"What is the reference in the scene where the husband jokes about naming children?","<danna-wakaranai-ken>"
"Is there a name to the art style used in No Game No Life?","<no-game-no-life>"
"What's so special about Prince Shotoku?","<amagi-brilliant-park>"
"Why does Wrath want Ed's limbs?","<fullmetal-alchemist-series><fullmetal-alchemist-2003>"
"Where can I find Slam Dunk English dubbed episodes legally?","<slam-dunk>"
"Is there some source as to what Taiga did during the skipped year in the last episode of Toradora?","<toradora>"
"What is the target demographic of Yuki Yuna is a Hero?","<yuki-yuna-is-a-hero>"
