title,tags
"How can I force a crash report in OSX?","<macos><catalina><crash>"
"Pages stuck during opening file","<time-machine><ssd><pages>"
"In relation to the Red Pixels on Dark Mode Question, Here is something new to the issue","<macos><macbook-pro><screen>"
"Demo account for Sign in with Apple for App Store Review?","<ios-appstore><app-store-connect><developer-program>"
"iPhone works fine with car bluetooth for Playing Music but not working for Phone Calls","<iphone><ios><bluetooth>"
"Is it safe to close laptop while ""Shrinking APFS Data Structures""?","<partition><sleep-wake><apfs><lid>"
"iMac mid 2011 T2 secondary heatsink heating up","<hard-drive><imac><hardware><temperature>"
"2015 MBP (Thunderbolt 2) output to Thunderbolt 3 Dock","<macbook-pro><display><dock><thunderbolt><thunderbolt-display>"
"Running some processes and not others over VPN","<macos><network><software-recommendation><vpn><firewall>"
"PC connection to iPhone hotspot disconnects even with high speed connection","<tethering>"
"Is renting App Store to others for test purpose a good idea?","<iphone><ios><itunes><ios-appstore><certificate>"
"How do I make Evernote always paste in the matching font?","<macos><macbook-pro><evernote>"
"How to organize/receive emails on one account while sending from another","<iphone><mail.app><email><gmail><accounts>"
"iPhone 5s takes blurry photos only in apps that access camera","<applications><iphone><camera>"
"Apache 403 when accessing via IP","<macos><network><apache>"
"Hard drive fan making a rhythmic high pitched noise? (Late 2006 17"" iMac)","<hard-drive><imac>"
"Mac slow because of ssd","<macbook-pro><macos><hard-drive><ssd>"
"Yosemite: Cannot Music / iTunes - black screen and won't accept password","<itunes><icloud><password><hang>"
"Unable to find in App Store, able to redownload using iCloud?","<icloud><backup>"
"Is there any possibility to find my father's lost iPhone?","<icloud><iphone><find-my-iphone>"
"I can't activate my iPhone 4S","<iphone><ios><activation-lock>"
"How can I restore photos and videos from an iPhone back up?","<iphone>"
"terminal aborts when process finishes running with non-zero return value","<terminal>"
"AppleScript to create spacing format like ""S P A C I N G""?","<applescript><automator><text>"
"How to sync podcasts from iPod Classic to iTunes on other PC?","<itunes><windows><podcasts><ipod-classic>"
"'About this Mac' will not work anymore","<macbook-pro><system-information>"
"Application works when OS X was updated but not on a clean install","<macos><compatibility>"
"Is it possible to type in macron (e.g. ""ā"") without using U.S. Extended Keyboard?","<macos><keyboard><shortcut>"
"Don't receive email notifications on iOS devices using IMAP folders","<iphone><icloud><email><notifications>"
"Explicit Songs in Apple Music are Censored","<iphone><apple-music><ios>"
"Airdrop Over Wired Connection?","<macos><ios><airdrop>"
"Terminal: grep command usage with '[' character as target, not function","<terminal>"
"Mac crashes when using Terminal app","<macos><mac><terminal><kernel-panic>"
"How to force Mac screen resolution?","<display><hdmi><resolution>"
"In the iOS 8.4 Music app how do I only show downloaded music?","<iphone><music.app><airplane-mode>"
"PDF reader that allows user to alternate between reading on PC and on Mac","<macbook-pro><software-recommendation><pdf><windows>"
"Best way to split large media files for sharing","<video><file-sharing><file-transfer>"
"6TB drive in Macpro 2008/2010","<hard-drive><mac-pro>"
"How can I transfer or link my Clash of Clans account to an Android device, from iOS?","<iphone><game-center><clash-of-clans>"
"iPad 2 company installed monitoring malware","<ios><privacy><malware><mobile-device-management>"
"How do I make Outlook download images automatically/by default","<macos><ms-office>"
"How to create an OSX Application to wrap a call to a shell script?","<macos><applescript><automator><bash><command-line>"
"How do I set up different audio sounds over different speakers simultaneously?","<audio><speakers>"
"How to preserve wallpaper on secondary monitor after reboot","<macos><display><mission-control>"
"viewing old imessages (for free, on a PC)","<ipad><software-recommendation><messages>"
"iPhone podcast app for binge listening to large back catalog?","<iphone><ios><podcasts>"
"Send Command to Add remote users through ARD","<macos><applescript><script><user-account><apple-remote-desktop>"
"Volume Randomly Goes to Maximum with Bluetooth Headset","<iphone><audio><bluetooth><siri>"
"How to get a clean install of Windows 10 to activate?","<macos><bootcamp><windows>"
"White parts of video glitches","<video>"
"""About this Mac"" not showing correct local backup size","<time-machine><backup><disk-space>"
"Why did the contacts on my husband's iPhone sync to the iPhone I just activated?","<data-synchronization><iphone><contacts>"
"Is there a SDK or private framework that can access iMessage contents from an iOS app on a non-jailbroken phone?","<iphone><ios><security><messages><facebook>"
"macvim not respecting os/x shortcuts","<keyboard><macvim>"
"Formatting issues resulting in overlays of text from Pages to Word (either version)","<ms-office><pages><formatting>"
"How do I fix my iPhone 5s?","<iphone><ios><error><sim>"
"How can I back up my iphone if my touch screen is broken?","<iphone>"
"Missing icon styles for Vanilla LibreOffice after update","<libreoffice>"
"What is ""bank account UNN""?","<app-store-connect><accounts>"
"Changing default font size in Safari using JavaScript","<macos><safari><font>"
"iCloud sync of my note deleted some parts by itself","<macos><ios><icloud><data-synchronization><notes.app>"
"Install 1.69f4 (SMC 1.7) on MacbookPro8,1 running Yosemite","<macos><battery><kernel-panic><shutdown><power-management>"
"AppleMail can not remove specific emails","<macos><mail.app><email><spam>"
"IOS 9.3.5 breaks slow motion video playback - how to fix?","<ios><iphone>"
"Malware caused ""Search With Google"" service to be named ""Search With Trovi""","<macos><safari><services><malware>"
"Graphical Artifacts in iMac","<macos><imac><boot><gpu>"
"""Last backup could not be completed"" when ""Last backup: Never""","<icloud><backup>"
"My Macbook Pro can't install Windows7 On any MAC OS","<macbook-pro><bootcamp>"
"Is macOS Sierra trying to sync my ""connected servers"" via iCloud?","<icloud><macos>"
"SRM gone in macOS Sierra (10.12)","<macos><bash><secure-erase>"
"Where is my macOS installer file located?","<macos><finder>"
"We can't create /var folder","<macos><filesystem>"
"Lightning earbuds","<iphone>"
"Is there a way to use a TV as a monitor, but have it act as a 2x2 grid of monitors?","<screen><software><display>"
"Sudo askpass not working on macOS Sierra","<bash><sudo><macos>"
"Thunderbolt ethernet adapter ist not appearing in netwoks tab","<macos><thunderbolt><ethernet>"
"Get Spotlight to index a NAS","<spotlight><nas>"
"Can you buy a Series 2 Apple Watch body-only?","<apple-watch>"
"Can iTunes auto play a song related to the one I've just listened to (not in a playlist)?","<itunes><apple-music>"
"dot-app wrapper for Windows programs","<windows>"
"On an iPhone, how to stop app from running in the background, as disabling ""App Refresh"" doesn't seem to do it?","<iphone><ios><multitasking>"
"Will the new lightning EarPods work with iPad?","<ios><bluetooth><headphones><lightning>"
"If I reset my iPhone 6 what iOS will be installed?","<iphone><ios><restore>"
"Finder - No Services Apply","<macos><services>"
"How can I check what permissions an app store app will be granted?","<macos><applications><mac-appstore>"
"What color space is iPhone's 7 ""Wide color display (P3)""","<display><screen><color><iphone>"
"Need old music transferred to new computer","<itunes><music><data-transfer><accounts>"
"How to access WebDAV shared folder on Mac OS X Server","<macos><osx-server><file-sharing><webdav>"
"17"" MacBook Pro (early 2011) 16GB RAM, 1600 MHz?","<macbook-pro><memory>"
"Could not unlock file inside Application contents","<macos><ios><filesystem><file><android>"
"Mac Finder: Getting the path of a directory or file as as string","<macos><mac><finder>"
"Video file does not appear under Windows Explorer","<windows><video><iphone>"
"Is there a Calendar program out there with features that can make the ""days"" be linked from 5am to 5am (one day), rather than from 12am to 12am?","<macos><software-recommendation><calendar><ical>"
"How do I get Terminal.app pasting behavior in iTerm 2?","<macos><terminal><copy-paste><iterm>"
"My son added an app on my laptop. How can I update it?","<apple-id><pages>"
"iTunes keyboard shortcut service only works when in focus","<macos><itunes><applescript><shortcut><services>"
"iOS: block ads in Apps without Jailbreak and VPN tunnel (normal 3G/4G network)","<iphone><ios><software-recommendation><ios-appstore><adblock>"
"New Smart Folder keyboard shortcut doesn't work","<keyboard><finder><shortcut><smart-folders>"
"What does Purgeable means in Storage under About This Mac section?","<macbook-pro><macos>"
"nginx.vim syntax highlighting","<macos><terminal><path><webserver><vi>"
"Scaling resolutions on MBP Late 2013 with 4K monitor","<display><resolution>"
"How can I take videos on iMovie without them saving to my camera roll?","<imovie>"
"IPhone Cv Attachments","<iphone><email>"
"Folder Action to Import Files into iTunes doesn't work","<itunes><finder><automator><folder-action>"
"PPTP VPN client for macOS Sierra or iOS 10?","<macos><network><software-recommendation><vpn><pptp>"
"Require password when quitting application","<security><password><menu-bar>"
"Should I make a backup of OSX before bootcamping Windows 10","<macos><macbook-pro><bootcamp><windows><dual-boot>"
"Do iOS apps run in the background?","<iphone><ios><multitasking>"
"Cannot Update Apps on MacOS App Store","<software-update><macos>"
"Not able to clear History in Safari using AppleScript in OS X El Capitan","<macos><safari><applescript>"
"Restore iPad after apple stops signing?","<ios><itunes><ipad>"
"Use BetterTouchTool keyboard short cut to find all folders in Finder with the tag ""red""","<macos><keyboard><finder><applescript>"
"Prevent EarPod play/pause button from activating Siri on macOS Sierra","<itunes><siri><macos><ear-phones>"
"How to remove photos without masters from library in OS X Photos app?","<macos><photos><library>"
"Sync Photos without iTunes?","<macos><photos><ios>"
