title,tags
"Is it possible to upgrade an old F-16 to the Block-60/62 standard?","<military><fighter><f-16>"
"Could a fighter aircraft be operated indefinitely?","<military><aircraft-maintenance><fighter>"
"How dangerous was the turbulence on this commercial flight?","<safety><turbulence>"
"Which airport is featured in this Delta commercial?","<airline-operations><airport>"
"Constant TAS versus constant GS: What is the influence on turning circle?","<aircraft-performance><weather><flight-planning>"
"Can you help me to identify this helicopter?","<helicopter><aircraft-identification><rotorcraft>"
"What is this ""flap-like"" thing on the back of the F-15?","<landing><aircraft-systems><jet><fighter><f-15>"
"When is a transponder required below class B airspace?","<faa-regulations><airspace><transponder><class-b-airspace>"
"Is there a tool to plot locations within X nm of a position?","<flight-planning>"
"Do GA gasoline engines have a tendency to cough, and splutter?","<general-aviation><piston-engine>"
"What is the lowest allowable circuit height in Australia?","<altitude><australia>"
"How is this rotor setup flying?","<helicopter><rotorcraft><vtol>"
"Has anyone successfully solo'd a helicopter with no actual flight experience?","<flight-training><flight-simulator><vtol>"
"How to read this step climb profile? FL STEPS CYUL/0330/TUDEP/0340/NETKI/0350","<flight-plans>"
"What is Tropopause height, and how is it determined?","<weather><flight-planning>"
"How to read a TAF report which looks like the following?","<weather>"
"Does waverider have much lower drag than Sears Haack body?","<drag><hypersonic>"
"About how much drag does a non-operating engine create?","<aerodynamics><emergency><engine><drag>"
"Should people flying UAVs be called ""Operators"" or ""Pilots""?","<pilots><unmanned-aerial-vehicle><terminology>"
"How do airlines provide crews for the return leg of a long-haul flight?","<crew><flight-schedules>"
"When are procedure turns not required?","<faa-regulations><instrument-flight-rules><instrument-procedures>"
"Why is a procedure turn required if you are more or less on the final approach course?","<faa-regulations><instrument-procedures>"
"What are the ""channels"" on the A320 Rudder Travel Limit Unit?","<avionics><airbus-a320><fly-by-wire>"
"How do airlines pay air crews for an aborted flight, in general?","<airline-operations>"
"Are the implications of weight and balance for rotary wing aircraft similar to fixed wing aircraft?","<weight-and-balance><rotary-wing><cg>"
"What is this tube along the right side of a Blue Angel?","<aircraft-design>"
"What are good strategies for the ""impossible turn""?","<general-aviation><cessna-172><maneuver>"
"What does ""traffic in position..."" phrase mean?","<radio-communications><phraseology>"
"When is runway slope most important?","<landing><takeoff><runways>"
"What is METAR and how is it read?","<airport><weather><metar>"
"Why did this Cirrus deploy the parachute while ditching over Pacific Ocean?","<emergency><ditching><airframe-parachute>"
"What is transmitting this radio signal @~110.515MHz and for what purpose?","<radio>"
"Why isn't it possible to locate the rudder in front of an airplane's center of gravity?","<aircraft-design><rudder><stability>"
"How well can an airplane which is tied down be protected from a blizzard?","<general-aviation><weather><aircraft-storing><airframe>"
"Why did most airliners have black noses in the 60's and 70's?","<aircraft-design>"
"What could cause the APU on a Boeing 777 to fail and also trip the GPU?","<ground-operations><apu><electrical-system>"
"What is the MEL (minimum equipment list)?","<aircraft-maintenance><aircraft-systems><equipment>"
"Why does the Boeing 747 have a nickname but other aircraft do not?","<airliner><aviation-history><boeing-747>"
"What is the stall speed of the KC130?","<military><stall><refueling><c-130><tanker>"
"What is the relationship between power and fuel efficiency?","<aircraft-performance>"
"Is this ""bearing"" sentence utterly incorrect?","<navigation><terminology>"
"Why do low wing aircraft have higher dihedral than high wing aircraft?","<aerodynamics><stability>"
"How does induction ice form in and affect jet engines?","<jet-engine><engine-failure><icing>"
"Why do we use pylons to mount the engines on jetliners?","<aircraft-design><airliner><jet-engine>"
"Have there been any 'proper' field trials of Automated Air Traffic Control?","<air-traffic-control>"
"Do we have a unit to measure turbulence?","<turbulence><units>"
"Is it possible to determine if winds were high without groundspeed, wind speed, AoA or AoS?","<aerodynamics><airspeed><wind><gnss>"
"Why is the speed brake lever not a ""spring"" one that returns to the default position when released?","<spoilers>"
"What do these numbers above the terminal jetway mean for pilots?","<airport-operations>"
"What is P-RNAV?","<navigation><rnav>"
"How do turbofan internals handle the load from the thrust?","<jet-engine><aircraft-physics><turbofan><engine-design><thrust>"
"What is the relation between velocity and rate of pitch?","<airspeed><pitch>"
"What are the different types of procedures for starting a fuel injected engine?","<piston-engine>"
"Why don't private jets use higher bypass turbofans?","<turbofan><private-jets>"
"Why does each fan blade have a different mass and frequency?","<jet-engine><aircraft-physics><blade>"
"What is the two-person cockpit rule, as of February 2020?","<faa-regulations><airline-operations><cockpit><easa-regulations><security>"
"Is there a graph that shows the thrust required for a given airspeed?","<aircraft-performance><cessna-172><cessna-150>"
