title,tags
"What's the most efficient file format for the storage of DNA sequences?","<human-genome><storage><file-formats>"
"Accuracy of the original human DNA datasets sequenced by Human Genome Project?","<hgp><dna>"
"Mapping drug names to ATC codes","<drugs><ontology>"
"What are the optimal parameters for docking a large ligand using Hex?","<proteins><docking>"
"What is the difference between FASTA, FASTQ, and SAM file formats?","<fasta><fastq><file-formats><sam>"
"Difference between BWA-backtrack and BWA-MEM","<alignment><bwa><read-mapping><reads>"
"Are there any rolling hash functions that can hash a DNA sequence and its reverse complement to the same value?","<hashing><k-mer><algorithms>"
"Feature annotation: RefSeq vs Ensembl vs Gencode, what's the difference?","<annotation><ensembl><refseq><gencode>"
"Convert a BAM file from one reference to another?","<bam><file-formats><bed><format-conversion><reference-genome>"
"Pseudo-temporal ordering in heterogeneous populations","<scrnaseq>"
"Compare alignment quality of multiple sequencing runs aligned against the same reference genome","<bam><alignment><nanopore>"
"Read length distribution from FASTA file","<fasta><nanopore>"
"What is the difference between a transcriptome and a genome?","<genome><transcriptome>"
"Alignment based vs reference-free (transcriptome analysis)?","<transcriptome><rna-seq>"
"Normalization methods with RNA-Seq ERCC spike in?","<rna-seq><transcriptome><normalization>"
"Linear models of complex diseases","<transcriptome>"
"How to run HYPHY on multiple files non-interactively?","<codon><positive-selection>"
"How to compute RPKM in R?","<rna-seq><r><transcriptome><fpkm>"
"How to calculate overlapping genes between two genome annotation versions","<annotation>"
"Single-sample vs. joint genotyping","<genotyping><gatk>"
"How to simulate NGS reads, controlling sequence coverage?","<fasta><ngs><simulated-data>"
"How to correlate two zero inflated bedgraph-like signals?","<statistics>"
"How does one construct a cladogram of intraspecies relationships?","<fasta><phylogenetics><snp><phylogeny>"
"How to convert FASTA to BED","<fasta><bed><file-formats><format-conversion>"
"Confirm success or failure of RNA-Seq normalization","<rna-seq><normalization>"
"Improve a reference genome with sequencing data","<genome><dna><assembly>"
"How to quickly determine mutations in a read of a sam file?","<variant-calling>"
"Bootstrap analysis - why it is called bootstrap?","<terminology>"
"Large-scale gRNA design for a CRISPR screen","<crispr>"
"Understanding the significance of BLAT score calculations for read fragment alignment","<alignment><blat><blast>"
"How to version the code and the data during the analysis?","<reproducibility><data-management><git>"
"probeset to probeset mappings between Affymetrix arrays","<ensembl><biomart><microarray>"
"How can I call structural variants (SVs) from pair-end short read resequencing data?","<ngs><structural-variation><variant-calling>"
"What is the best way to account for GC-content shift while constructing nucleotide-based phylogenetic tree?","<phylogenetics><phylogeny><nucleotide-models>"
"How to filter out cross alignments from a BED file?","<bam><bed><genomics>"
"Merge hundreds of small BAM files into a single BAM file","<alignment><bam><samtools>"
"How can I use annotations to remove variants not relevant to cancer risk?","<ngs><annotation><machine-learning><cancer>"
"How to make a distinction between the ""classical"" de Bruijn graph and the one described in NGS papers?","<ngs><assembly><k-mer><de-bruijn-graphs>"
"Are fgsea and Broad Institute GSEA equivalent?","<r><gse><bioconductor>"
"Parallel processing of scripts that use obitools","<ngs><linux>"
"Understanding DESeq2 design, contrast and results","<r><bioconductor><deseq2><differential-expression>"
"Why do some assemblers require an odd-length kmer for the construction of de Bruijn graphs?","<ngs><assembly><k-mer><de-bruijn-graphs>"
"Are soft-clipped bases used for variant calling in samtools + bcftools?","<bam><sam><samtools>"
"Phyre2 vs ITasser, completely different models generated","<proteins><protein-structure>"
"How are MACS2's narrow peak and broad peak algorithms different?","<algorithms><chip-seq>"
"How to retrieve logical expressions (KO based) for reactions from KEGG?","<kegg><database><data-retrieval>"
"Given a VCF of a human genome, how do I assess the quality against known SNVs?","<vcf><public-databases><variation><structural-variation><snv>"
"How to deal with heterozygosity during polishing of genome assembly based on long reads?","<ngs><assembly><long-reads>"
"Expected allele frequency distribution of SNVs in real NGS data","<snv><modelling><statistics>"
"How can I extract normalized read count values from DESeq2 results?","<r><bioconductor><deseq2><normalization>"
"How to select a power for a scale-free topology network","<statistics><networks>"
"The state, limitations and comparisons of large variant stores","<genomics><variation><human-genome><data-management>"
"Designing a lab NGS file database schema","<ngs><database>"
"Tools for simulating Oxford Nanopore reads","<nanopore><genome-sequencing><software-recommendation>"
"Influential papers in bioinformatics","<literature-search>"
"Uppercase vs lowercase letters in reference genome","<fasta><genome>"
"The effects of incomplete bisulfite conversion upon mapping efficiency","<alignment><fastq>"
"What are the advantages and disadvantages between using KEGG or Reactome?","<database>"
"Can I model technical replicates in DESeq2?","<rna-seq><deseq2>"
"samtools mpileup empty when filtering out flags","<bam><samtools><mpileup>"
"Classifying samples based on marker gene expression","<rna-seq>"
"How can I improve a long-read assembly with a repetitive genome?","<assembly><nanopore><long-reads><canu><repeat>"
"What is the difference between ENCODE Tier 1, 2 and 3 cell types?","<encode>"
"Does GISTIC (v 2.0) estimate amplified/deleted probabilities on a single sample basis?","<cnv>"
"variant calling on ChIP-seq style data: samtools mpileup with minimal filters","<variant-calling><samtools><chip-seq><mpileup>"
"How to select the most representative pathways from a gene enrichment analysis?","<pathway>"
"Is there an easy way to create a summary of a VCF file (v4.1) with structural variations?","<vcf><structural-variation>"
"How can I output an identity matrix in progressiveMauve?","<alignment>"
"How to read structural variant VCF?","<vcf><variation><structural-variation>"
"How can the cell line contribution be estimated from RNASeq data?","<rna-seq><cell-line>"
"Quantifying reads mapping to multiple loci","<rna-seq><bam><samtools><star><pysam>"
"How to manipulate protein interaction network from String database in R?","<r><bioconductor><database><networks>"
"Is there any publicly available multi-omics dataset?","<multi-omics>"
"Remapping genomic coordinates to account for indels","<variation><structural-variation>"
"Have DNA motifs 6-12bp long, trying to get conservation scores","<k-mer><motifs>"
"How does the BWA-MEM algorithm assign its mapping qualities?","<alignment><bwa><read-mapping>"
"Is it possible to perform MinION sequencing offline?","<sequencing><minion>"
"How can I improve the yield of MinION sequencing runs?","<fastq><minion>"
"How can I systematically detect unknown barcode/adapter sequences within a set of samples?","<barcode><adapter><trimming>"
"Which tools can detect chimeric RNA (fusion genes) from WGS or RNA-Seq data?","<rna-seq><wgs>"
"How to transfer gff annotations in genome with extensive duplications?","<annotation><sequencing>"
"Rapid metagenomics classifiers on long read data","<nanopore><long-reads><minion><metagenome>"
"Changing the record id in a FASTA file using BioPython","<fasta><biopython>"
