title,tags
"Should our 1D opening be alerted?","<bridge><bidding>"
"Boggle - Letter distribution and face orientation of each die","<boggle>"
"Diplomacy: double attack on a region","<diplomacy>"
"Can I use Secret Invasion to transfer a trap card in front of me to another player?","<munchkin>"
"What is a good way to find information on previous ban lists?","<yu-gi-oh>"
"Should the barrel being discarded when hit - Bang","<bang>"
"Where can I find strategy discussion about Dots?","<untagged>"
"Help identify this game with four divided concentric circles","<identify-this-game>"
"Responding to Plague Engineer","<magic-the-gathering>"
"Can equipment be activated twice?","<gloomhaven><gloomhaven-forgotten-circles>"
"Scenario #98 Question","<gloomhaven><gloomhaven-forgotten-circles>"
"Is there a tier list of all precon Commander decks?","<magic-the-gathering><mtg-commander>"
"Mansion of Madness scenario game time","<mansions-of-madness>"
"Monster attacking directly considered as ""battled""?","<yu-gi-oh>"
"Majesty's Fiend vs Michion the Timelord","<yu-gi-oh>"
"Casting Goblin Matron with Plague Engineer on the battlefield","<magic-the-gathering>"
"Does anyone remember this game from the seventies?","<identify-this-game>"
"What happen if I gain the control of aura that enchants an opponent's creature? Would the aura stay attached?","<magic-the-gathering>"
"Caius the Mega Monarch if targets 2 cards inflicts damage twice?","<yu-gi-oh>"
"God cards are allowed?","<yu-gi-oh>"
"Does a cultist's on death effect trigger during it's own turn?","<gloomhaven>"
"In reversi, can you overwrite two chips in one move?","<othello>"
"Halving Points in Yu-Gi-Oh!","<yu-gi-oh>"
"Can another instant be used to buff an attacking creature, after another instant was cast that would kill the creature?","<magic-the-gathering>"
"Can the factory card 'move' action cause combat?","<scythe>"
"Distributing the player mats","<scythe>"
"What game uses dice with sides powers of 2?","<identify-this-game><dice>"
"Monopoly strategy if every unowned property goes to auction immediately?","<house-rules><monopoly>"
"Is a fifth card in a suit often a decisive factor in three no trump contracts?","<bridge>"
"Lethal damage while controlling Sower of Discord?","<magic-the-gathering><mtg-commander><mtg-multiplayer>"
"How can we beat Prince of Gluttons in Aeon's End","<aeons-end>"
"When does Tiana, Ship's Caretaker check card type?","<magic-the-gathering>"
"Does Nightpack Ambusher's second ability trigger if I cast spells during the end step?","<magic-the-gathering>"
"Axis & Allies Revised - Strategic Bombing broken?","<axis-and-allies>"
"How do multiple death triggers work with a board wipe?","<magic-the-gathering>"
"Would Mirko Vosk, Mind Drinker trigger Waste Not?","<magic-the-gathering>"
"Why do so many people play out of turn on the last lead?","<euchre>"
"Is it possible to bluff in board games like chess generally?","<chess>"
"If tests are voluntary, why does one lose a life point automatically?","<time-stories>"
"Who is the controller of a Pacifism enchanting my creature?","<magic-the-gathering>"
"I noticed after the last lead someone reneged but it actually helped me so I just let it go","<euchre>"
"What happens when you stack ""unblockable"" and ""unblockable except by""?","<magic-the-gathering>"
"MTG Deadlock Trap","<magic-the-gathering>"
"Can you buy a property after being sent by a chance card?","<monopoly>"
"Electrostatic Pummeler with Animation Module","<magic-the-gathering>"
"Does a Seeker of the Way affected by Arcbond deal one batch, or multiple sets, of damage?","<magic-the-gathering>"
"Do counters combine? Can three +1/+1 counters be considered one +3/+3 counter?","<magic-the-gathering>"
"Discarding Damage Cards vs Discarding Upgrade Cards","<star-wars-x-wing>"
"If I can cast ""target instant card"" from my graveyard can I cast a card that has Flash?","<magic-the-gathering>"
"How many units can a new factory produce?","<axis-and-allies>"
"Hexproof and reflector mage","<magic-the-gathering>"
"Can I re-equip an equipped artifact to the same creature?","<magic-the-gathering>"
"What's this round token depicting a knight?","<identify-this-game><small-world>"
"How on earth do I crew a non-vehicle?","<magic-the-gathering>"
"Does the result of the last game of Euchre determine who gets to deal first in the next game?","<euchre>"
