title,tags
"How do I change the color of a brick?","<colour><customization>"
"What piece is this ARC-170 Starfighter cockpit?","<part-identification><star-wars>"
"Where or how do I get replacement stickers for my LEGO set?","<shopping><stickers>"
"What tool can get two 1x2 plates apart without damaging them?","<tools><disassembly>"
"What is the ""LEGO Master Builder Academy""?","<shopping>"
"Do any programs exist that allow you to build your own LEGO manuals?","<software><instructions>"
"Do tools exist to help me translate a real world object to a LEGO design?","<tools>"
"How can a sticker be removed?","<stickers><disassembly>"
"Are Nanoblocks compatible with other building bricks?","<clone-brands><compatibility><3rd-party>"
"Do any of the KRE-O Transformers sets actually transform?","<3rd-party>"
"Are DUPLO blocks compatible with LEGO blocks in any way?","<compatibility><duplo>"
"What is an Erling brick?","<piece-information><terminology>"
"How can I invert the direction of blocks in a structure?","<building><snot>"
"What are the best options for building a LEGO RC car?","<technic><remote-control><power-functions><mindstorms><3rd-party>"
"What are the arched things above a wheel called?","<part-identification><terminology>"
"Are LEGO minifigs' arms supposed to come off?","<durability><minifigures>"
"What is ""micro-scale"" building?","<terminology><micro-scale>"
"Is it safe to wash LEGO pieces in the dishwasher?","<cleaning>"
"Where can I get 'classic' Lego heads from?","<minifigures><shopping>"
"What is SNOT building?","<terminology><snot>"
"Where can I find instruction booklets?","<instructions>"
"What is the largest single LEGO piece?","<piece-information><size><records><weight>"
"How many different colours of LEGO bricks are there?","<colour>"
"Do LEGO bricks float?","<boat><water>"
"How do you repair yellowed or faded Lego blocks?","<repair><cleaning>"
"Is it possible to build simple logic gates with LEGO mechanics?","<technic><electronics>"
"Cleaning lego: substances that can be safely used without causing damage?","<cleaning>"
"Is there an official LEGO brick color reference?","<colour>"
"How has the basic brick changed over the years?","<manufacturing><history>"
"What's the largest LEGO construction ever?","<records>"
"What are proven methods to sort/categorize a large number of parts?","<organisation>"
"Is there anything like a 'recipe generator' for LEGO models?","<instructions><software><set-database>"
"Is there virtual LEGO designing software?","<software>"
"How are LEGO sets designed?","<sets><design>"
"What are these Technic ""Zapfen"" (""stoppers"") called in English?","<technic><part-identification>"
"What is the name of the Lego product that snaps together with knobs?","<part-identification>"
"What are the best LEGO storage options?","<storage>"
"What is inside the ""weight element"" brick?","<piece-information><weight>"
"LEGO cleaning techniques and tools","<cleaning><tools>"
"How do you plan large structures for easy and safe transport to shows?","<building><transport>"
"What are the characteristics of ""Miniland"" scale?","<terminology>"
"What does the acronym MOC stand for?","<terminology><moc>"
"Why are minifigure head studs now hollow?","<minifigures>"
"Why are old LEGO bricks more brittle than new ones?","<manufacturing><cleaning><plastics><vintage>"
"What does ""AFOL"" mean?","<terminology><afol>"
"What different bricks exist with studs on the sides?","<building><snot>"
"How do I identify a Lego part?","<piece-information><part-identification>"
"Are transparent neon Lego bricks made from a different plastic than usual?","<manufacturing><colour><plastics>"
"Cleaning a lot of bricks after a very long time in storage","<cleaning>"
"Are there any mirrored LEGO bricks?","<piece-information>"
"How can I build an (automatic) Mindstorms charging-station?","<nxt><building><automation>"
"Is there difference between different colors of LEGO axles?","<technic><piece-information><manufacturing>"
"What is the largest Lego kit commercially available?","<records><sets>"
"How can I store LEGO bricks to prevent damage?","<storage>"
"How can I efficiently pick up bricks off the floor?","<cleaning>"
"How can I motorize City-scale wheels?","<power-functions><city><vehicle>"
"Which hand is this minifigure extending normally?","<minifigures>"
"Can I write programs for the LEGO RCX 2.0 in Java/C++?","<mindstorms><programming><automation>"
"What kind of plastic are LEGO bricks made of?","<manufacturing><plastics>"
"Why did Technic bricks have holes in the studs?","<technic><piece-information>"
"When did LEGO decide that it was okay to put a stud into a Technic hole?","<building><technic><history><snot>"
"How are LEGO bricks categorized?","<part-identification><terminology><organisation>"
"Has anyone made their own custom LEGO bricks?","<manufacturing><customization>"
"Where are LEGO parts made?","<manufacturing><lego-group>"
"What's the most cost effective way to buy bulk LEGO bricks?","<shopping>"
"What are the names for these two pieces of a car chassis and a piece for above the wheels?","<part-identification><vehicle>"
"Does the LEGO company sell LEGO brick organization bins?","<storage><organisation>"
"Why are LEGO slope bricks textured?","<piece-information>"
"What are the largest Technic-compatible tires on the market?","<technic><size><wheel>"
"What is the bley (blay) color?","<terminology><colour>"
"How are the LEGO instruction manuals made?","<instructions>"
"What changes were made to Maersk blue?","<colour>"
"Are companies producing custom molded LEGO pieces legally entitled to do so?","<piece-information><manufacturing><3rd-party><patent>"
"Alternative products compatible with LEGO","<patent>"
"What is the history of ""Modulex"" blocks?","<history>"
"What is the popular challenge of solving the Rubik cube as quickly as possible using LEGO bricks?","<mindstorms><robotic>"
"How can I keep LEGO winches from becoming tangled?","<storage>"
"What is a good ratio to buy bricks in?","<shopping>"
"How can I build a human-scale Lego gun?","<design>"
"What can I do to repair my minifigures loose neck/head joint?","<minifigures><repair>"
"How does one get a job as a LEGO designer?","<design><lego-group>"
"Where can I find examples of everyday objects built in Lego?","<building>"
"Why do some minifigs have yellow heads and some are flesh colored?","<colour><minifigures>"
"What are the dimensions of a LEGO brick?","<piece-information><size>"
"Does Lego market sets that were designed by fans?","<design><sets>"
"Does the LEGO Group condone war toys?","<history><lego-group>"
"Which BIONICLE set did this mask came from?","<piece-information><bionicle>"
"Why do some sets have two different numbers?","<set-numbering>"
"Why did Lego use the same number for two different sets?","<set-numbering>"
"How many minifigs have actually flown in space?","<minifigures><history>"
"Has anyone made LEGO fly?","<building>"
"How many spaceman minifigure variations exist?","<minifigures><space>"
"What kind of metal/alloy were on the old LEGO 9V train tracks?","<trains><manufacturing><9v>"
"LEGO Safety: Known risks and how to avoid them?","<safety>"
"How can I create synthetic imagery (rendering) of LEGO models?","<software><cad>"
"What is the basis of purism in LEGO building?","<history><sociology>"
"Bridge from just basic bricks?","<building><bridge>"
"Where can I find LEGO technic pieces?","<technic><shopping>"
"Is ""public transport"" train compatable with Lego City track?","<compatibility><city><trains>"
"What pieces are prone to breaking?","<piece-information><durability>"
"How would you make a good pivot-arm suspension?","<technic><building><power-functions><robotic>"
"Under what conditions are the LEGO boardgame dice unfair, and by how much?","<manufacturing><lego-games><weight>"
"How strong are blocks in general - is adhesive necessary when building large structures?","<bridge><glue>"
"How do I create manuals in the same style as LEGO instruction manuals?","<tools><instructions>"
"How can I build a functional gearbox?","<technic><power-functions><vehicle>"
"How can I make custom LEGO packaging?","<manufacturing><customization>"
"What sizes of bricks (building scales) have carried the Lego brand name?","<history>"
"How much weight can a handle of Technic pegs and beams support?","<technic><building><durability>"
"How can I identify Lego sets from a box of parts?","<set-identification>"
"Can Lego soccer (football) parts be used for anything other than soccer?","<piece-usage>"
"Are there any health concerns with letting children use old LEGO kits?","<safety>"
"How do I build a sloped roof with a 60° rake?","<building><angles>"
"How can I easily remove a jumper plate without a brick separator?","<tools><disassembly>"
"What are the differences between the NXT and the RCX?","<mindstorms><rcx><nxt>"
"As of November 2011, should I buy the NXT 2.0 now, or wait and buy the NXT 3.0 later?","<nxt><mindstorms><shopping>"
"Is there a logic to the way The LEGO Group fills the plastic bags?","<manufacturing><packaging>"
"What kind of activities can I expect to find at a LEGO Kids Fest?","<events>"
"How can I use System and Bionicle elements together?","<compatibility><bionicle>"
"How can I automate orders from Lego Pick-a-Brick?","<shopping><software><pick-a-brick>"
"Historically, what types of sets have proven to be a great investment?","<investment><value>"
"What is the best way of getting muck out of bricks?","<cleaning>"
"Starting out with trains: PF, RC, 9v or what?","<trains>"
"What are some 3rd party mini-figure gun makers that distribute in Canada?","<shopping><3rd-party>"
"Is the 3rd party vendor Amazing Armory still around?","<shopping>"
"What does SNIR stand for?","<terminology><snir>"
"Can I remotly control the points on PF train tracks?","<power-functions><trains>"
"Is there a database of original Minifigure configurations, including their personal gear?","<minifigures><minifigure-identification>"
"Can I get LEGO compatible wheels 3cm in diameter or bigger?","<vehicle>"
"Steering mechanism for City-scale vehicle","<power-functions><vehicle><design><city><steering>"
"How do I print images onto minifig body parts?","<minifigures><customization>"
"Is there a standard scale for building ""minifig scale"" creations?","<minifigures><scale><moc>"
"How much heat can LEGO bricks withstand?","<durability><plastics>"
"Is there a Technique or Algorithm for Building Spheres?","<building><shapes>"
"Has anyone automated the LEGO hand sorting process beyond ""pawing & piling""?","<organisation>"
"How well does the new interior lighting system intergrate into a new build?","<lighting>"
"How can I minimize the number of merchants for given set of requested bricks?","<shopping><bricklink>"
"Can anyone find a photo of the ""LEGO bricks, not LEGOS"" insert?","<history><lego-group>"
"Why aren't LEGO bricks cubic?","<piece-information><history>"
"Are LEGO elements safe to use in an aquarium with fish?","<plastics><safety><water>"
"What is piece 4211642 from 10179 - UCE Millenium Falcon?","<part-identification>"
"Is a N2 or CO2 paintball tank a viable power source for a LEGO pneumatic Engine?","<technic><pneumatic>"
"Best way to store instruction manuals?","<instructions><storage>"
"How can I make a working pin tumbler lock?","<technic><building><design>"
"Who is (or was) Susan Williams?","<history><lego-group>"
"What is the first day of the 2011 Star Wars advent calendar supposed to be?","<star-wars><advent-calendar>"
"Are the X-Pods balanced?","<x-pods><play-off>"
"Are there LDraw files for the standard Heroica components?","<lego-games><heroica><ldraw>"
"Which BIONICLE combiner sets do official instructions exist for creating?","<instructions><bionicle>"
"How many copies of each set are produced?","<manufacturing><investment>"
"How should I create a Heroica scale graveyard or crypt room?","<building><lego-games><heroica><micro-scale>"
"How can I make micro-scale water?","<building><micro-scale>"
"Is there any application to keep an inventory of owned sets and pieces?","<storage><tools><software>"
"Can I use the WeDo USB hub with normal Linux distributions?","<wedo>"
"Where can I find LEGO X-Pod Playoff rules and printoffs?","<instructions><x-pods><play-off>"
"How can I get my NXT to turn on - all it does is softly click?","<nxt><repair>"
"Does longterm storage in a connected state harm the studs/tubes?","<storage><durability>"
"How can I use more than three motors with one NXT brick?","<nxt><mindstorms><motor><design>"
"How can I wirelessly connect the NXT and an iOS device?","<mindstorms><nxt><remote-control><ios>"
"Is there a convention for part and/or set numbers?","<piece-information><set-numbering>"
"What are the practical bounds of a minifigure?","<piece-information><minifigures><size>"
"How should I model a Heroica scale castle bedroom?","<building><lego-games><micro-scale><heroica>"
"How to make a 1 ldu offset?","<building><size><ldraw>"
"NXT screen either flickering or blank, what do I do?","<mindstorms><nxt><repair>"
"Is there any other way to program the Lego Mindstorms NXT other than the provided software?","<mindstorms><nxt><programming>"
"Why do LEGO boxes have a maximum age limit?","<lego-group><packaging>"
"What are LDUs and how do they relate to LEGO bricks?","<terminology><size><ldraw>"
"How can I create a visually appealing Castle wall from one colour?","<building><castle>"
"Is there a good way to build a dome on the top of a building?","<building>"
"What causes these 'bite marks' that appear consistently on new bricks?","<manufacturing><piece-information>"
"How can I build Victorian Style windows?","<building>"
"Is 'plate between studs' SNOT supported by one of the LEGO building software?","<software><snot><cad>"
"Why does the Erling brick have a ridge below its outward facing stud?","<piece-information><snot>"
"How do I make my own LEGO stickers?","<stickers><customization>"
"Can I use RCX sensors and motors with the NXT brick?","<mindstorms><nxt><compatibility><rcx>"
"How can I make a brick-built wheelbarrow?","<building><city>"
"Are Samsonite gears compatible with modern Technic gears?","<technic><compatibility><gears>"
"Does anyone have any successful techniques in searching for lego bricks in a pile?","<organisation>"
"How can I build a LEGO marble pump?","<building>"
"How can I create a simple steering mechanism for a car?","<building><vehicle><steering>"
"How can I fix a flattened gear?","<repair><gears>"
"What is the smallest LEGO component?","<piece-information><size><records>"
"In what ways are LEGO and Megabloks incompatible?","<clone-brands><compatibility><3rd-party>"
"Does the basic 2 x 4 brick have a common nickname?","<piece-information><terminology>"
"What is LUGBULK?","<shopping><terminology><lugbulk>"
"Is there a reliable way to determine what minifigure is in a LEGO Minifigures series package?","<minifigures><shopping><collectable-minifigures>"
"How to repair leaky pneumatics?","<repair><pneumatic>"
"How can I connect the RCX 2.0 to an external power source?","<mindstorms><rcx>"
"Where do the pieces numbered 4255629 go in the Death Star (set 10188)","<building><star-wars>"
"Why does this program work in LabView when targeted to computer but not to NXT?","<mindstorms><nxt><programming><labview>"
"Is it possible to change the battery in a 54604 light brick?","<piece-information><repair><electronics><battery>"
"How to get started with Mindstorms?","<shopping><mindstorms>"
"What is the Mindstorms NXT Education kit?","<mindstorms><nxt><shopping><education>"
"Can I use a generic (non-Lego) transformer with a rechargable Power Functions battery?","<power-functions><electronics>"
"Is it safe to overload LEGO train motors?","<trains><safety><motor>"
"Where can I download the Samantha Field Control System?","<nxt>"
"How much depth does the NXT battery pack add?","<nxt><battery>"
"How should I model a Heroica Banquet hall?","<building><heroica>"
"Which sets can be built in the bag (all the parts are in one bag)?","<sets><packaging><bag-build>"
"Firmly connect bricks in a triangle","<building><snot><angles>"
"What parts are really required to motorize 10219 Maersk Train?","<power-functions><trains><set-modification>"
"Where can I download the LEGO Mindstorms NXT 2.0 IDE?","<nxt><software>"
"Did LEGO recently change Millennium Falcon with a smaller kit?","<star-wars><sets>"
"Ninjago lightning and fire dragons","<sets><shopping><ninjago>"
"My Own Train vs. other 9v trains","<trains><9v>"
"Is it possible to add the power functions to Western Train Chase?","<trains><power-functions><set-modification>"
"What is the difference between Shuttle Adventurer (10213) and Shuttle Expedition (10231)","<sets>"
"How do I add a light to the Red Cargo Train?","<trains><lighting><set-modification>"
