title,tags
"Is there any mention of child adoption in any Buddhist writings and what is the view on child adoption with regard to Buddhism?","<ethics><parents><tipitaka><sila>"
"Is Dana (donation) more about detachment from one's possessions & to break one's ego or is it more about helping others?","<dana>"
"Is there anything one can do to save the deceased from the consequences of their Kamma?","<parents><rituals><suttas><doubt>"
"Quantified Self and Meditation","<personal-practice><vipassana><pali-canon><reference-request><suttas>"
"Ways to strengthen the perception of the breath","<personal-practice><meditation-breath>"
"Near death experience and meditation","<theravada><meditation-insight><death>"
"Anybody know what is Nirvana and where we can find it?","<nirvana><buddhadharma>"
"How does Dating work in Buddhism","<personal-practice><theravada><scripture><love>"
"Was Gautama Buddha a believer of the religious beliefs prevalent in his time and in his cultural context?","<comparative-religion><gautama-buddha>"
"Won't bad karma cause a chain reaction?","<karma>"
"What is the difference between Suttas and Sutras?","<terminology><texts>"
"Do people in the Narakas (or non-human realms) remember their past lives?","<realms>"
"Can one with eczema become a monk?","<theravada><monasticism><well-being><ordination>"
"Is there a middle way between working towards personal liberation and liberation for all sentient beings?","<bodhisattva><middle-way><liberation>"
"How does one cultivate uplifted energy (paggaha)?","<meditation-recommendation><meditation-concentration><energy>"
"What are the unthinkable (acinteyya) dhamma?","<reference-request><dhammas>"
"Significance of the word ""wealth"" in Jaravagga","<dhammapada>"
"""Marks of Existence"" and ""Gates To Enlightenment"", are they Same?","<theravada><mahayana><terminology><texts>"
"Is Mind in Buddhism connected to Brain (the physical organ)?","<sceptic><mind><medical-science>"
"Can a Buddhist truthfully say, ""You insulted / offended / angered / hurt me?""","<mindfulness><thoughtprocess>"
"Can Buddhism be ""modernized"" by discarding the supernatural mythological content?","<zen><tibetan-buddhism><sceptic><buddhist-cosmology>"
"What happens if a monk is called for jury duty?","<theravada><ethics><modern-world><monk>"
"Diagnose: Samatha practice led to an urge to contract PC muscle, and pleasant vibrations resulted","<personal-practice><meditation-body>"
"Does ""empirical evidence"" challenge ""scriptural authority""?","<science><sceptic><dalai-lama>"
"Unconscious intention?","<theravada><ethics><psychology><mind><volition>"
"Implementing Emptiness Practically","<sunyata>"
"How does the reference system of the Majjhima Nikaya work?","<pali-canon>"
"Sutta references","<pali-canon><sutras>"
"Is Nibbana a state of mind or an element (dhamma)?","<nirvana>"
"Buddhist thought on Amends","<karma>"
"What were the source documents of the PTS Sutta Pitaka?","<pali-canon><history>"
"Buddha's Comment on Compassion Meditation","<meditation><compassion>"
