title,tags
"Changing State of Alumina Oxide","<molecular-structure>"
"Masamune's rule of diastereoselectivity multiplicity explained","<organic-chemistry><reaction-mechanism><stereochemistry><carbonyl-compounds>"
"Chemoselectivity in reduction of 3′-nitroacetophenone","<organic-chemistry><carbonyl-compounds><nitro-compounds><organic-reduction><chemoselectivity>"
"No reaction in net ionic equation for lithium nitrate and sodium chloride?","<inorganic-chemistry><ions><ionic-compounds>"
"Why does ozone, being heavier than air, not settle down?","<organic-chemistry><inorganic-chemistry><environmental-chemistry><green-chemistry>"
"Why perborate is greener bleaching agent?","<inorganic-chemistry><environmental-chemistry><green-chemistry>"
"Possible approximations in complex equilibrium","<equilibrium><coordination-compounds>"
"What piezoelectric materials can be made at home?","<materials><electricity>"
"What is the structure of [Co(NH3)5SO4]+?","<inorganic-chemistry><coordination-compounds><molecular-structure>"
"Finding the percentage of pure CaCO3","<titration>"
"Could altered silica gel which is releasing its water content when in contact with fire be used as a fire retardant?","<experimental-chemistry><water><reactivity>"
"Finding out the composition of seawater/brine?","<analytical-chemistry><ionic-compounds><environmental-chemistry><elemental-analysis>"
"Why are Kc and Kp interchangeable in the free energy-equilibrium equation?","<equilibrium><free-energy>"
"Mechanism for reaction between hydrochloric acid and magnesium","<acid-base><reaction-mechanism><kinetics>"
"Catalytic activity of metals","<inorganic-chemistry><catalysis>"
"Reasoning questions on Solubility","<solubility><solutions>"
"Relationship between inhibition constant Ki and interaction energy?","<biochemistry>"
"Carbon numbering in carbohydrates","<organic-chemistry><nomenclature><carbohydrates>"
"Identify what alloy of metal tool","<alloy>"
"Are heterolytic dissociations barrier-less or do they have an activation energy?","<bond><energy>"
"What does gases at constant pressure mean?","<gas-laws>"
"Calcium hydroxide and why there are parenthesis","<everyday-chemistry>"
"How was the composition of DNA studied before the knowledge of its structure?","<biochemistry><molecules>"
"Does the salt in the ocean act as a binding agent on sand?","<water><aqueous-solution><solubility><home-experiment>"
"Why is the molecular peak not observed in the mass spectrum of 2,2-dimethylbutane?","<organic-chemistry><hydrocarbons><mass-spectrometry>"
"What is the structure of iodide of Millon's base?","<inorganic-chemistry><experimental-chemistry><structural-formula><halides>"
"Coordinate Bond...(Dative Bond)","<coordination-compounds>"
"Chemical kinetics of a reaction, rate constant, and activation energy","<physical-chemistry><kinetics>"
"Why aren't people pouring ethanol my unskinned chicken to remove excessive fat?","<organic-chemistry><solvents><food-chemistry>"
"Utility of Delta G","<thermodynamics><free-energy>"
"How many bonds can Hydrogen make?","<bond><electrons><electronic-configuration><hydrogen><hydrogen-bond>"
"Naming a 4 branched cyclic compound","<organic-chemistry><nomenclature>"
"What is the meaning of the ""-osic"" suffix on a metal (e.g., cobaltosic oxide)?","<inorganic-chemistry><nomenclature><oxidation-state>"
"Chemical potential and it's implications in an open system","<physical-chemistry><thermodynamics><free-energy>"
"Why is the eclipsed conformer more stable than the bisected conformer in 1-butene?","<organic-chemistry><stability><conformers><hyperconjugation>"
"How to differentiate the notation of a compounds charge and an anions oxidations state?","<organic-chemistry><inorganic-chemistry><oxidation-state><notation><formal-charge>"
"Boiling point and Intermolecular forces","<intermolecular-forces><polarity><dipole>"
"How to dissolve the build-up from a paraffin based oil?","<everyday-chemistry><solvents><cleaning>"
"Why is the cyclic voltammetry of my ferrocene compound not showing a standard shape?","<electrochemistry><organometallic-compounds><cyclic-voltammetry>"
"Is the caffeine in coffee an oxidation agent?","<home-experiment>"
"How can the formation of an alkene be explained during the hydrolysis of an ester when the alkoxy moiety is tertiary?","<reaction-mechanism><hydrolysis><esters>"
"What would happen if Carbon-14 was in a molecule, and decayed into Nitrogen?","<biochemistry><radioactivity>"
"What proportion of a combustion engine's output energy comes from the air?","<stoichiometry><combustion>"
"Reaction between 2 hydrogen halides","<halides>"
"Does autoionization occur in steam?","<water><phase>"
"half-reaction in a battery","<electrochemistry>"
"Are coordination numbers of elements fixed?","<coordination-compounds>"
"How to know when subscripts refer to charges or not","<organic-chemistry><inorganic-chemistry><equilibrium><notation><formal-charge>"
"Why do full shell ions such as chloride form coordinate bonds, while noble gases do not?","<coordination-compounds>"
"isomerism in coordination complexes","<stereochemistry><coordination-compounds><isomers><geometrical-isomerism>"
"Sugar cube is filled with liquid (coffee), only if corner is sinked for few millimeters","<everyday-chemistry>"
"Rocket propellants: accuracy of vapor pressure estimation techniques","<physical-chemistry><vapor-pressure><fuel>"
"How can anions exist?","<valence-bond-theory>"
"Hybridisation of carbon atom in cyclopentadienyl anion","<organic-chemistry><aromatic-compounds><hybridization>"
"Woodward Fieser rules for dienes - non conjugated double bond as exocyclic?","<organic-chemistry><uv-vis-spectroscopy>"
"Can the ""rate coefficient"" of a chemical reaction really be called a ""rate constant""?","<kinetics>"
"Why is Mo(VI) more stable than Cr (VI)?","<inorganic-chemistry><periodic-trends><oxidation-state>"
"How to make alkaline iodide azide","<acid-base><redox>"
"What exactly is the Horwitz equation?","<experimental-chemistry><analytical-chemistry>"
"How does osmosis work?","<osmosis>"
"How to determine the valence electrons of D-block elements in their mono atomic form?","<periodic-trends><periodic-table>"
"Ideal Gas Law: What is P?","<physical-chemistry><gas-laws><stoichiometry>"
"Does the salinity in seawater affect the process of alkaline hydrolysis?","<aqueous-solution><ionic-compounds><hydrolysis>"
"Oxidation number vs charge?","<oxidation-state><reduction-potential><formal-charge>"
"Are d electrons ever delocalized in metallic bonding","<bond><electronic-configuration><transition-metals>"
"Why do all inter-halogen compounds contain an even number of atoms?","<inorganic-chemistry>"
"What is meant by the numbers on reagents above and below arrows?","<organic-chemistry><reaction-mechanism>"
"Is there a coating substance that is very visible through a lens?","<everyday-chemistry>"
"What is meant by acid catalyzed hydration of alkene?","<organic-chemistry><acid-base><reaction-mechanism>"
"What is the problem with my desiccant experiment?","<experimental-chemistry><desiccation>"
"If a molecule has both polar and ionic bonds in it, is it polar or nonpolar overall?","<organic-chemistry><bond><polarity><vsepr-theory>"
"When volume decreases and the product has less moles than reactants, why is there no increase in the reaction quotient?","<equilibrium>"
"Is there a treatment for distilled water to become drinkable?","<water><water-treatment>"
"Determining the amount of water to create a given pressure in a sealed container","<thermodynamics><water><vapor-pressure><pressure><water-treatment>"
"What solute should I use with dialysis tubing if I want a 100% retention rate?","<osmosis>"
"Difference between isopropyl and isobutyl","<organic-chemistry><nomenclature>"
"Is it possible to supercool hydrated salts like magnesium nitrate hexahydrate supercool just like for sodium acetate trihydrate?","<physical-chemistry><solutions><phase>"
"Will cyanide substitute bromine in bromobenzene?","<organic-chemistry><synthesis><aromatic-compounds>"
"Why do DMSO and acetone have such radically different melting temperatures?","<organic-chemistry><carbonyl-compounds><melting-point><organosulfur-compounds>"
"How are atoms encapsulated in buckminsterfullerene molecules?","<organic-chemistry><carbon-allotropes><supramolecular-chemistry>"
"Arrhenius Acid-Base","<acid-base><equilibrium>"
"Why is bond-breaking endothermic?","<physical-chemistry><bond><energy>"
"UV-Transparent Plastic?","<polymers><plastics><optical-properties>"
"What gas are the bubbles that evolve in the redox reaction of copper(II) chloride and aluminum?","<inorganic-chemistry><redox><aqueous-solution>"
"What elements (in the pure form) would harm a human, if eaten?","<elements><toxicity>"
"How does electrophoretic separation work in terms of separating soil into minerals?","<reduction-potential><distillation>"
"Why are alkali salts so soluble?","<solubility><periodic-trends>"
"is avogadro's law for the same gas?","<physical-chemistry><stoichiometry><gas-laws><kinetic-theory-of-gases>"
"How to find the temperature change of a solution?","<physical-chemistry><energy><enthalpy><temperature>"
"Naming of ester alkoxide","<organic-chemistry><nomenclature><ionic-compounds><alcohols><esters>"
"With molecular formula, how do I know if it linear or one element surrounded by other elements?","<lewis-structure>"
"Does temperature affect heat capacity?","<thermodynamics><temperature>"
"Band gap difference in different allotropes of Group4 materials","<inorganic-chemistry><bond><hybridization>"
"Enthalpy Change Of Formation","<enthalpy>"
"Time dependence of integrated rate equations","<kinetics>"
"Why is the Vitamin B complex, a ""complex""?","<everyday-chemistry><biochemistry><food-chemistry><terminology>"
"electroplating process","<electroplating>"
"Nitrogen fertilisation expressed as nitrogen equivalent","<analytical-chemistry>"
"Why does the Gibbs Free Energy change determine spontaneity of a reaction?","<thermodynamics>"
"Finding out pKa of acid from molar conductivity","<electrochemistry><solutions><conductivity>"
"Hydrogen Peroxide Heat of Dilution","<inorganic-chemistry><thermodynamics><aqueous-solution>"
"Why is H2SO4 a good dehydrating agent while other strong acids are not?","<inorganic-chemistry><acid-base>"
"Why only two modes of energy exchange?","<thermodynamics><energy>"
"Basic behaviour of bromide ion with sulfuric and phosphonic acid","<inorganic-chemistry><acid-base><equilibrium>"
"Relative basicity of cyclic amines","<organic-chemistry><acid-base><amines>"
"Is Jet Fuel/Kerosene still toxic after drying out?","<toxicity>"
"Mechanism Permitting Proton Sponge Effect","<ions><chemical-biology><protons><lipids>"
"How does activated carbon trap impurities?","<organic-chemistry><purification><adsorption>"
"Why aren't chaperones considered catalysts?","<catalysis><proteins>"
"Is there an electronic structure method which accounts for 3-, 4-, ..., n-electron exchange integrals?","<computational-chemistry><theoretical-chemistry>"
"Why aromatic compounds have pi-electrons clouds above and below the plane","<organic-chemistry><aromatic-compounds>"
"Formation of hydrogen bromide: Does the concept of ""order"" apply to this reaction?","<equilibrium><kinetics>"
"Is there a highly exothermic reaction that the reactants can be easily regenerated from the products?","<thermodynamics>"
"Cp-Cv For a gas following Van Der Waal equation of state","<thermodynamics><gas-laws><heat>"
"IR spectroscopy in CCl4 Solution v/s Liquid film","<physical-chemistry><spectroscopy><ir-spectroscopy>"
"Anhydrous ammonia vapor-liquid equilibrium","<thermodynamics><equilibrium><phase><vapor-pressure>"
"When heat is increased, does water move upward in a straw due to increased capillary action or increased pressure?","<everyday-chemistry><water><heat><vapor-pressure>"
"Simulating H1 NMR spectra using chemical shift/multiplicity data?","<organic-chemistry><computational-chemistry><nmr-spectroscopy>"
"Determining the purity of commercial NaCl","<analytical-chemistry><concentration><mole>"
"Synthesis of methylenecyclohexane from cyclohexylmethanol","<organic-chemistry><reaction-mechanism><alcohols><cyclohexane>"
"How can I get more information about the Voronoi integral in Gaussian09?","<computational-chemistry>"
"The ""Ostwald Isolation Method"": How does this work?","<kinetics><erratum>"
"Heat of reaction for a reversible reaction","<kinetics>"
"Correlation between 1H and 13C shifts - coincidence or not?","<organic-chemistry><nmr-spectroscopy>"
"Chemistry behind lip balm coloring based on skin pH","<ph><color>"
"Crystallization in a solution of 2 or more solutes","<aqueous-solution><purification><recrystallization><crystallography>"
"Rubber composition A13 B13 C20 F17 K11 L14","<polymers><materials><identification>"
"MOLCAS CASPT2 energy","<computational-chemistry><software>"
"Looking for a two step first-order reaction with a useful intermediate","<reaction-mechanism><kinetics>"
"IUPAC Naming of CH3C(p-ClC6H4)2CH(Br)CH3","<organic-chemistry><nomenclature><aromatic-compounds>"
"Confusion about Sodium Nitroprusside","<inorganic-chemistry><coordination-compounds><oxidation-state>"
"E2 Reactions in Cyclic Structures","<organic-chemistry><reaction-mechanism><reaction-control>"
"How many bonds can nitrogen form?","<bond><coordination-compounds><electronic-configuration>"
"pKa of imidazoles","<organic-chemistry><acid-base><amines><heterocyclic-compounds>"
"In a jet or internal combustion engine that burns hydrogen as a fuel, what would happen if you replaced the hydrogen with deuterium?","<combustion>"
"Sulphuric Acid in Esterification Reaction","<organic-chemistry><experimental-chemistry><synthesis><esters>"
"How to determine fire hazard of heating ethylene glycol to dissolve borax and boric acid","<solutions><home-experiment><safety><applied-chemistry>"
"How would the crystal structure of sodium stearate look like?","<ions><solid-state-chemistry>"
"I (might) have accidentally combined these mold-killers at home: Any adverse reactions?","<organic-chemistry><everyday-chemistry><safety><toxicity>"
"Stereoelectronic effects in torquoselectivity of 4π electrocyclic opening","<organic-chemistry><pericyclic><stereoelectronics><stereoselectivity>"
"Hydrogenation of pyridine compared to other heteroaromatic rings","<organic-chemistry><thermodynamics><aromatic-compounds>"
"Why doesn't a buffer solution change ph(Appreciably?)","<acid-base><equilibrium><aqueous-solution><solutions>"
"Why is lead (IV) chloride covalent while lead (II) chloride ionic?","<ionic-compounds><oxidation-state><covalent-compounds>"
"Calculation of irreversible surrounding entropy","<thermodynamics><entropy>"
"Why have citric acid only a denticity of 3 and tartaric acid of only 2?","<coordination-compounds><amines>"
"Grey ""skin"" on gallium","<home-experiment>"
"Major product of addition reaction of substituted alkene when both carbons have same number of hydrogens and different substituents","<organic-chemistry><reaction-mechanism>"
"Physical state of the carbon denoted with ""gr""","<everyday-chemistry><notation>"
"Listing errors in experimental section","<experimental-chemistry>"
"What is the proper way to prepare a solution aiming to minimize errors?","<aqueous-solution><solutions>"
"Something about the Roothaan equation","<quantum-chemistry>"
"At what temperature can molecules no longer form?","<molecules><temperature>"
"How far-reaching is the effect of conjugation?","<organic-chemistry><carbonyl-compounds><resonance><c-c-addition>"
"Up to which temperature and pressure can dendrimers (PAMAM) be stable?","<temperature><pressure>"
"If all intermolecular forces are electrostatic in nature, why don’t large non polar molecule dissolve in water?","<organic-chemistry><solubility><intermolecular-forces>"
"Competition of H2O and NH3 leaving groups in nucleophilic acyl substitutions","<organic-chemistry><nucleophilic-substitution>"
"Why is propanediol soluble in water?","<solubility>"
"Disposal of methanol solution","<everyday-chemistry>"
"P2NP synthesis ammonium acetate catalyst?","<synthesis><aldol-reaction>"
"Confusion About Acid/Bases That Don’t Follow the Arrhenius Definition","<acid-base><ph>"
"Visualization of TLC plates","<organic-chemistry><chromatography>"
"Enthalpy of neutralization of strong acid and strong base differing from enthalpy of formation of water from ions","<physical-chemistry><acid-base><enthalpy>"
"How to divide the peaks of two anion ions using ion chromatography?","<analytical-chemistry><ions><chromatography>"
"Evaluating Franck-Condon factors","<quantum-chemistry><spectroscopy><theoretical-chemistry><uv-vis-spectroscopy>"
"Why don't such ions form if half-filled or full-filled configurations are considered stable?","<inorganic-chemistry>"
"Claisen rearrangement in substituted ring","<organic-chemistry><aromatic-compounds><pericyclic><ethers><regioselectivity>"
"How much muriatic acid to dissolve cinder block?","<acid-base>"
"Reaction of solid silver sulfide on warming with dilute nitric acid","<redox>"
"Rule to determine the total number of elements in a period","<orbitals><periodic-trends><periodic-table>"
"Is there a widespread error/contradiction on whether to use internal or external pressure in computing work done by an expanding gas?","<thermodynamics>"
"Is it correct to say H2SO4 behaves like an acid in this reaction?","<acid-base>"
"Checking if a reaction is first-order","<kinetics>"
"The effect of the voltage at the Downs cell","<electrochemistry><electrolysis>"
"Is it true that an evaporating molecule has the same kinetic energy as a molecule in a pot of boiling water?","<thermodynamics><boiling-point><pressure><vapor-pressure><molecular-dynamics>"
"Does neopentyl halide undergo SN1?","<organic-chemistry><nucleophilic-substitution>"
"Why is 2-(3-aminomethyl-2-hydroxypropyl) cyclohexan-1-one named so and not 2-(2-hydroxy-4-aminobutyl) cyclohexan-1-one?","<organic-chemistry><nomenclature>"
"What are those... crystals?","<inorganic-chemistry><home-experiment>"
"Which element has the highest binding energy per nucleon","<isotope><nuclear-chemistry>"
"If liquid hydrogen fluoride autoionises, how can it be an insulator?","<halides><electrolysis><conductivity>"
"Why is Coupled Cluster not variational?","<quantum-chemistry><computational-chemistry><theoretical-chemistry><ab-initio>"
"Vibrational Self-Consistent Field","<quantum-chemistry><computational-chemistry><spectroscopy><theoretical-chemistry>"
"What is the true depiction of the periodic table?","<atoms><periodic-trends><elements><periodic-table>"
"Obtaining calcium iodide from calcium and iodine","<inorganic-chemistry><experimental-chemistry>"
"Atomic weight = expected weight?","<atoms><elements><isotope><atomic-structure><neutrons>"
"Anyone know if this kind of Polyethylene is safe to use?","<inorganic-chemistry>"
"Mismatch in the trends of atomic size and atomic radius","<physical-chemistry><periodic-trends><atomic-radius>"
"Total SCF Energy with Pseudopotentials","<computational-chemistry><basis-set><electrostatic-energy>"
"The difference between CASSCF and MCSCF methods","<quantum-chemistry><computational-chemistry><multi-reference>"
"Benzene from cyclopropane-1,2,3-triyltrimethanol in acidic medium","<organic-chemistry><reaction-mechanism>"
"Equilibrium constant for a solid-solid equilibrium","<physical-chemistry><equilibrium><kinetics>"
"Why the bond angles of crystalline compounds uniform while in the amorphous state the same compound has non uniform bond angles?","<solid-state-chemistry>"
"DNA-Sequencing (detection of the change of pH-value) after emulsion PCR","<reaction-mechanism><biochemistry><dna-rna>"
"Why does hydrogen burn spontaneously in fuel cell at room temperature?","<redox><hydrogen><fuel>"
"Cause of uniform glow in cathode ray tubes","<atomic-structure>"
"How do metals split the oxygen double bond during corrosion?","<redox><metal><corrosion>"
