title,tags
"Does the new Netflix series ""The Queen's Gambit"" resemble any real life chess master?","<history><famous-players><fiction><film><famous-events>"
"Tips for converting my advantage in the middlegame and the endgame","<learning><strategy><endgame><tactics><training>"
"When is it considered a win vs a draw?","<rules><threefold-repetition>"
"Controversy over the Xiangqi cannon piece?","<chess-variants><history><unorthodox-pieces><xiangqi>"
"How old was Judit Polgar when she learned to play chess?","<learning><history><famous-players><children>"
"How can I punish the ""bad"" knight on c3?","<opening><positional-play><caro-kann>"
"Benefits of studying annotated grandmaster games","<grandmaster><master-games><study><annotation>"
"Why does this puzzle offer f8=R as better than f8=Q?","<engines><pawn-promotion><puzzles>"
"Can Black reach full equality in this game?","<analysis><theory>"
"Similar opening positions and structures","<opening><study>"
"App to read pgn surface","<engines><pgn>"
"How to play against the Grob attack 1.g4","<opening>"
"Unbeatable openings","<opening>"
"How does timeseal work?","<chess-algorithms>"
"How much time did Capablanca have / use on the clock to refute Frank Marshall's Marshall Attack over the board?","<capablanca><time-control>"
"Setting DGT North American clock for two time controls","<time-control>"
"Playing for a stalemate?","<opening>"
"What is the best way to prepare and optimize my skills for an Open section of a State tournament?","<tournament><training>"
"Learning different strategies?","<strategy>"
"Where can I find a list of tournaments to participate in?","<tournament><fide>"
"For best chess players.... Help me","<strategy><chessboards>"
"Phone application for classical games","<websites>"
"Queen's Indian Defense question that has me stumped","<opening><queens-indian>"
"The Anderssen v Zukertort game in the Yamie Chess kids' math boardgame","<analysis><middlegame><knights>"
"What are good ways to check blunders after the match?","<analysis><engines><software><blunder>"
"What are the standard time controls for live chess (non-OTB and non-correspondence) on every chess websites?","<online-chess><websites><chess-clocks><online-blitz><time-control>"
"Is it possible to improve the Elo rating system like this?","<rating><elo>"
"How to solve atomic chess?","<atomic-chess><solving>"
"Chess computers in human tournaments","<engines><computer-chess><human-versus-machine>"
"recommend a book on mid-game plan and board evaluation","<strategy><books><evaluation><planning>"
"Chess Software for analysis and notes","<engines><software><annotation>"
"Did Deep Blue play like a human?","<analysis><computer-chess><kasparov><human-versus-machine>"
"What is Syzygy tablebases?","<software><database><tablebases>"
"Rating rise: luck or actual increase in playing strength?","<rating><statistics>"
"How can I STOP hanging pieces?","<learning><blunder>"
"Why does the FIDE ID change sometimes?","<rating><fide>"
"How to weakly solve Tiger Hunt, Atlantis Chess and Peasants' Revolt","<chess-variants><solving>"
"Why was 5...Nf6 traditionally preferred to 5...e6 in the Two Knights Caro-Kann?","<opening><caro-kann><sacrifice><1.e4>"
"In the Damiano Variation of Petrov's Defense, should white play d4 or f4?","<opening><analysis><learning><petroff-defense>"
"Can anyone analyze my game and mistakes?","<analysis><blunder>"
"Did Carlsen really defeat Kasparov?","<strategy>"
"How do i prevent blunders?","<online-chess><psychology><blunder>"
"What is the best line in the Fried Liver","<opening><analysis><fried-liver-attack>"
"Which variation of the Grunfeld Defense for White will lead to the most strategic and least sharp position?","<opening><strategy><1.d4><grunfeld-defense>"
"Does elo rating have a limit?","<rating><elo>"
"Why was a rating system instituted?","<rating>"
"What do D and +-- mean in chess annotation?","<notation><annotation>"
"What are some beginner opening variations after an opening has been chosen?","<learning><opening>"
"How to prepare for an opponent","<opening><preparation>"
"Is it common to reverse the rank and file in chess notation?","<notation>"
"Where can I get a nice set for Capablanca chess?","<chess-variants><capablanca-chess><equipment>"
"How do I use the analysis output of a UCI engine?","<analysis><engines><uci>"
"How do I learn to understand the middlegame?","<strategy><learning><tactics><training><positional-play>"
"How can one improve their over-the-board analysis skills?","<analysis><learning><training><otb-chess>"
"What merit is there to the so-called ""Swiss gambit?""","<statistics><tournament>"
"How do strong players react to being paired with a (much) weaker player in a tournament?","<strategy><tournament>"
"Should you let your opponent know if they have forgotten to press their clock?","<rules><etiquette><chess-clocks>"
"Specialized tactics books to improve position analysis?","<analysis><tactics><books>"
"How do grandmasters prepare against computer endgames?","<engines><endgame>"
"Is a timed game less strategic than a non-timed game?","<strategy>"
"What are the possibilities for checkmating with two bishops here?","<checkmate><combinations>"
"The moves leading to the winning combination","<learning>"
"Understanding Kh1 and Be3 in the King's Indian Defense Bayonet Attack","<opening><strategy><kings-indian>"
"Is there a list of ALL features that are available on some chess clock?","<chess-clocks><equipment>"
"What are some non-functional features of a chess clock that would help choose the best for ones use?","<rules><chess-clocks><equipment>"
"Just where is the list of FIDE approved clocks?","<fide><chess-clocks>"
"How often does FIDE review clocks to update their approved list?","<fide><chess-clocks>"
"Is it poor sportsmanship to resign immediately after a major blunder early in the game?","<resigning><sportsmanship>"
"What locations in the USA have FIDE approved tournaments frequently?","<tournament><fide>"
"Now that FIDE has just announced BIDDING winners to be the official FIDE clock does that mean we have to buy those to play in their tournaments?","<fide><chess-clocks>"
"Knight vs bishop endgame in Fabiano Caruana vs Hou Yifan 2018","<endgame><planning><bishop-endgame><knight-endgame>"
"What's the etiquette for giving checkmate on board?","<checkmate><etiquette><otb-chess>"
"What happens should a clock fail during the game?","<rules><fide><chess-clocks><uscf>"
"Structure-better structure or bishop pair in the endgame?","<endgame><pawn-structure><doubled-pawn><bishop-pair>"
"Good Knight Against Bad Bishop Endgame - A More Constructive Plan?","<analysis><endgame><positional-play><knights><bishops>"
"Is there Python code to use the Leela neural network?","<engines><programming><pgn><leela><python>"
"I was playing a tournament and some kids were talking about the game in a foreign language","<rules><tournament><cheating>"
"Fixed games in chess-is it real or just a conspiracy theory? If real, how bad is it?","<theory><history><master-games><cheating>"
"What happened to the WCC?","<rating><history><world-championship>"
"Tournament Preparation","<training><preparation>"
"How is White compensated in these lines of the Milner-Barry gambit?","<opening><french-defense><gambits>"
"Symmetries in chess","<chess-variants><psychology><chessboards>"
"Implementing Late Move Reduction (LMR) inside iterative deepening","<engines><programming><computer-chess>"
"Who is eligible to play in the 2017 FIDE Asian Zonal 3.3 in Tagaytay, Philippines?","<tournament>"
"Is there a master list of FEN chess positions for advanced beginner/intermediate?","<problems><fen>"
"Najdorf threefold repition","<opening><najdorf><threefold-repetition>"
"Does it make sense to use an online ELO-rating-test for a beginner as a monthly test tool in order to see my progress?","<rating><elo><beginner><online>"
"Should a beginner try to learn 1 specific opening in depth or is not the best use of time?","<opening><training><beginner>"
"Blender 3D models for chess pieces and board for blind players (open licence)?","<chess-set>"
"Delete annotations in pgn games","<pgn><chessbase><annotation>"
"Are there any lines in the Lopez Opening / MacLeod Attack that are actually good for White?","<opening><1.e4>"
"Huge difference between elometer.net approximation and other rating","<rating><elo>"
"How should I prevent the quality of my game from declining?","<learning>"
"How to play against bad bishop outside pawn chain","<opening><slav-defense><london-system><bad-bishop>"
"Difficulty of attaining USCF rating in different states.","<rating>"
"Is White checkmated?","<checkmate>"
"What are minimum number of moves needed to checkmate a king using king and rook?","<endgame><checkmate>"
"Is there a Unicode-compatible alternative to PGN?","<pgn>"
"Can wildcard characters be used in search in Chessbase for Android?","<chessbase><android>"
"What to play as black after Bishop's Opening: 1. e4 e5; 2. Bc4","<opening><1.e4><bishops-opening>"
"Attacking the accelerated dragon","<opening><sicilian-defense>"
"Are the best engines good enough that they will always win against the best humans?","<engines>"
"Why grandmasters play giuoco pianissimo less often than the ruy lopez?","<opening>"
"What does the FIDE do besides organize the international tournament?","<fide>"
"How to determine checkmated positions using DOS/CMD, from numerous FEN/EPD chess positions?","<checkmate><evaluation><fen>"
"What is a fortress in chess?","<terminology><fortress>"
"Computers finding computer moves","<opening><computer-chess><preparation>"
"In engines vs engine game, both think ""optimistically"": that they are in better shape than what their opponent thinks the evaluation score is","<engines><evaluation>"
"Looking for a repertoire book on the Spanish with 5.d3 (4.d3 vs the Berlin)?","<opening><books><1.e4><ruy-lopez>"
"Chess book reviews","<books>"
"Game analysis: What would motivate a human player to sacrifice White Knight at move 10 in this game?","<learning><sacrifice>"
"Can a chess engine tell you why a move is bad or good?","<engines><software>"
"4 player chess tips","<opening><strategy><tactics><chess-variants>"
"What is the source of the house-rule 18-moves?","<endgame><rules><chess-variants><50-move-rule>"
"What are the rules of chess variant?","<chess-variants>"
"Chess960 tips and strategies","<chess-variants><chess960>"
"Which is better for an improving amateur to play even better: correspondence chess or faster time controls[both online]?","<tactics><online-chess><correspondence-chess>"
"How fast can checkmate occur by just moving the king?","<checkmate><problems>"
"What is the best way to improve Crazyhouse or Bughouse skills?","<strategy><chess-variants><bughouse><crazyhouse>"
"What are some ways to get better at Antichess?","<opening><strategy><chess-variants><losing-chess>"
