title,tags
"Alternative translations of ‘狗长尾巴尖儿’ et al","<translation>"
"Does Chinese have a saying about Cantonese people eating almost anything?","<saying>"
"What is the difference between 缩减 and 削减？","<meaning><difference>"
"Translating the shortcomings of a primary school student","<translation>"
"出生 vs. 出世 differences?","<word-choice><difference>"
"Does this placement of 已經 alter the meaning?","<grammar>"
"Translating the two meanings of 好自为之","<translation><word-choice><chengyu>"
"疯狂的 ""crazy"" meaning ""unconventional""?","<meaning>"
"To add or not to add adjective after 一樣。","<grammar>"
"臀部，屁股和腚： When to use these and other words for buttocks?","<mandarin>"
"What was the relationship between 诸葛亮和周瑜？","<culture>"
"How to translate 谈情说爱 in English?","<translation><idioms><verbs>"
"How to translate 撒娇?","<translation><verbs><adjectives>"
"Is saying hao3 ch1i ba rude?","<food>"
"Usage of 非不 in Middle (?) Chinese","<vocabulary>"
"What is 吐槽? How should I translate it?","<translation><culture>"
"Can someone please help translate this?","<translation>"
"专心 VS 专注 VS 关注, with 于 in the mix","<mandarin>"
"Modern Standard Mandarin equivalent of the 倒...不... and 半...不... constructs?","<grammar><mandarin><topolect><synonyms>"
"Proper use of 了 in Chinese","<past-tense>"
"How to give a thinly veiled threat?","<vocabulary><phrase><phrase-request>"
"Is there a word for 1/3?","<word-choice>"
"我的个娘？ Does this really just mean 'my mother!' and why?","<mandarin><slang>"
"Was 我 pronounced 'è' at some time in the past?","<etymology><glyph-origin>"
"What's written on the pig?","<traditional-chinese>"
"What is the difference between 情势, 局势, 形势, 情形, 情况 and 状况?","<meaning><difference>"
"The use of the particle ""de""","<grammar>"
"How does 衣衫 compare to 衣服 in terms of meaning and flavour?","<difference>"
"What does the ""hào"" mean in ""àihào"" for ""hobby""?","<word><equivalent-phrase>"
"Is the grammar of this correct?","<grammar>"
"Is 得了 the opposite of 不了？","<meaning>"
"How to express that someone is old?","<learning>"
"What does the use of 'verb 了 verb' indicate?","<meaning>"
"""心中"" as ""in mind""?","<middle-chinese>"
"What is the difference between 锋利， 尖利， 锐利， 锋锐，尖锐？","<meaning><difference>"
"Sites with big collection of ebooks in chinese language, but western titles mostly","<resources>"
"Need an API to convert Pinyin to Simplified Chinese characters","<pinyin><simplified-chinese>"
"Female equivalent of 兄台","<word-choice>"
"Do you say ""别担心” or ”不担心” for ""don't worry""?","<translation><word-choice><vocabulary>"
"Can someone please translate this note to a friend? (Characters identified: 你是我的嘘声)","<translation><character-identification>"
"Is there an English counterpart for 陷某某于不义之地?","<translation>"
"Poem ""口占"" by 區越","<translation><classical-chinese><poetry>"
"Who translated ""deductive reasoning"" into 演绎推理?","<translation><history>"
"How to describe the state of a locked door","<grammar>"
"Using 得 with past particle 了","<translation><grammar><adverbs>"
"What is the original quote of “To be calm is the highest achievement of the self""?","<translation><classical-chinese><proverb><buddhism>"
"When to use counters with 这 and 那","<grammar>"
"Traditional: 菸 vs. 煙?","<traditional-chinese>"
"How does word order work in ""作业 他 一点 都 没 做 ？""?","<grammar><sentence-structure><word-order>"
"Is my sentence 如果我没去上班就一起朋友去玩 grammatially correct?","<grammar><meaning-in-context><sentence-structure><writing-critique>"
"Is my sentence 如果没时间的话就告诉我 grammatically correct?","<grammar><word><sentence-structure><writing-critique>"
"could you help to translate to English？ “我以为文学可以踏过所有误解和隔阂,没想过会有人冲它不止一次举起刀”","<simplified-chinese>"
"Meaning of 一样 in 你要像喜欢甜一样喜欢苦","<grammar><meaning-in-context><comparison>"
"How do friends use each other's name?","<names><culture>"
"Is 靠 structure ""A 靠 B do something""?","<grammar><sentence-structure>"
"Is 他的自行车被我买了 grammatically wrong?","<grammar><sentence-structure>"
"播出，廣播，轉播 ：哪裡不一樣？","<translation><usage><difference><synonyms>"
"Definition order of adjectives of noun","<translation><grammar><meaning>"
"Meaning of 这么说 in the conversation","<meaning><meaning-in-context>"
"Glyph origin of 滅","<glyph-origin>"
"What's a good place to look up the etymology of certain Chinese words that aren't immediately obvious?","<etymology><resources>"
"Difference between 就要。。。了 and 要。。。了","<grammar><meaning-in-context>"
"Translation of Chinese Scroll and Seal","<translation><seal><calligraphy>"
"How to proceed after forgetting to include time-when/location/adverb phrase before main verb?","<grammar><usage><mistakes>"
"⿺走巳 or ⿺走己: Can 起 be written in two different ways?","<difference><characters><simplified-chinese><character-variant>"
"Help with translation, art","<traditional-chinese>"
"What’s wrong with 我们八点快要上课了？","<grammar>"
"Chinese Collage Pictures made with paper, bamboo & Feathers (Characters identified: 松楓 沈陽)","<character-identification><seal><calligraphy>"
"How did 炒 semantically shift to mean 'speculate' and 'perform badly (in a test or exam)'?","<etymology><cantonese>"
"What do you call these cold pickled cucumber skewers in Chinese?","<word-requests><food>"
"Is 々 commonly used and recognised by Chinese people?","<characters>"
"The legend of the Chinese dragon","<literature>"
"How to make a recommendation/suggestion to someone","<grammar>"
"How to pronounce 學 ""shwehh"", ""shoo-ehh"", or ""xüüehh""?","<pronunciation><pinyin><spoken><phonology>"
"Where can I find word-for-word translation for ""Beijing Huan Ying Ni"" song?","<translation><learning><songs>"
"What's wrong with 很多同学坐着在草地上?","<grammar><meaning><meaning-in-context>"
"HSK5 level novel to help prepare","<books><hsk>"
"Is it possible to know what 都 means in ""Subj + 都 + Predicate + 了""?","<grammar><meaning><difference><phrase><adverbs>"
"How to distinguish between homophone words 再 and 在 zài","<meaning><difference><characters><phonology>"
"Why I cannot say ""他坐着在沙发上看报纸“？","<grammar>"
"What does 委屈你了 mean in this situation?","<translation><idioms><politeness>"
"Correction of 我在饭店里把晚饭吃了","<grammar><sentence-structure>"
"How do I break apart the middle part of 事实证明，澳大利亚非量没有用奶制品进行反制的条件，破产事件反而证明这是澳方的软肋?","<grammar><meaning>"
"How to translate 'grade school 風紀/風紀員' into English?","<translation>"
"Grammar structure of ""你看，Sally 穿上传统服后有多漂亮“","<grammar>"
"Comparison question with implicit 再 zài?","<grammar><characters><difference><sentence-structure><syntax>"
"How to translate ""(surname)老板“ in English","<translation><grammar><sentence-structure>"
"因为 two or more reasons. and difference with 是因为","<grammar>"
"Answering yes/no a question with 会。","<grammar>"
"可以 altering time words order?","<grammar><usage><sentence-structure><word-order>"
"""That was too Easy."" phrase","<phrase>"
"How did the word ""ketchup"" come into the English language?","<etymology>"
"What is the difference between 乾 and 幹?","<difference><characters>"
"Why should I use 由 here and not 被?","<grammar>"
"Capitalization in Chinese","<writing>"
"Character 瞓: where did the pronunciations come from?","<characters><etymology><pronunciation><cantonese><history>"
"有钱能使鬼推磨, is this verb serialization?","<grammar>"
"Differentiating between 收 and 受","<usage>"
"Are the Cantonese word 係 and the Japanese word はい related?","<etymology><cantonese><topolect><history>"
"List of Chinese characters not used in Mandarin/putonghua","<characters><topolect><resources>"
"How would you say, ""Don't let price interfere with your happiness"" in Cantonese?","<translation><cantonese><hong-kong>"
"Why is 他从商店出去了 correct but 他出商店去了 incorrect?","<grammar><difference><direction-complement>"
