title,tags
"How do Theistic Evolutionists reconcile that Eve was called the ""the mother of all living?""","<exegesis><genesis><adam-and-eve><theistic-evolution>"
"When did guitar led worship music become accepted?","<history><music>"
"Why do the later versions of the Book of Mormon contain added phrases that seem to change the nature of Christ?","<lds><book-of-mormon><textual-criticism><1-nephi>"
"According to Catholicism, Can God annihilate the soul?","<catholicism><souls><annihilationism><immortality>"
"What is the difference between Eastern Orthodox doctrine of deification and the ""little g"" god doctrine of the Word of Faith movement?","<eastern-orthodox><word-of-faith><theosis>"
"Was Cain a descendant of the serpent, through Eve?","<adam-and-eve><fall-of-man><eden><cain><serpent>"
"Biblical basis for two aspects of the Gap Theory","<biblical-basis><genesis><creation><satan><gap-theory>"
"Does Jesus have two kingdoms?","<exegesis><gospel-of-matthew><isaiah><kingdom-of-god>"
"Where is the prophecy of the star that the wise men followed?","<gospel-of-matthew><prophecy><birth-of-jesus>"
"Did Calvinism borrow its scheme of predestination from Valentinian Gnosticism?","<reformed-theology><church-fathers><calvin><gnosticism>"
"Why did Christ have to pay the price?","<life-of-jesus><soteriology>"
"What is a Pacifist interpretation of the Cleansing of the Temple?","<exegesis><gospel-of-john><pacifism>"
"What churches identify themselves as being Modalist?","<denomination-survey><modalism><oneness-pentecostalism>"
"Does Mark 2:21-22 mean that we don't need to obey Old Testament Laws?","<exegesis><mosaic-law><gospel-of-mark>"
"Isn't ""Jehovah-Jireh"" (and other such names) just the name of a place?","<old-testament><names-of-god>"
"What changed between the Old and New Testaments?","<exegesis><nature-of-god><textual-discrepancies><southern-baptist>"
"Was anyone making a theological point by changing the ending of Jesus Christ Superstar?","<culture><jesus-christ-superstar>"
"How can a Christian seek out the best Homilists/Preachers?","<preaching>"
"What traditions fully embrace the concept of a ""local parish church""?","<church-local><church-polity>"
"How did Luther view pilgrimages?","<history><martin-luther><reformation>"
"What is the scriptural basis for the idea that salvation can still be obtained after death?","<biblical-basis><soteriology><afterlife>"
"Does Satan actually laugh?","<satan>"
"Do Calvinists rejoice in the destruction of sinners?","<hell><reformed-theology><wrath-of-god><jonathan-edwards>"
"Do God and Satan Celebrate Earthly Triumphs?","<nature-of-god><satan><temptation><abraham>"
"The Last Judgement: a civilized trial or a barbaric ordeal?","<satan><eschatology><judgment>"
"What is the Christian perspective on survival needs not met?","<life-of-jesus><gospel-of-matthew>"
"Which Christian sects promote faith healing?","<faith-healing>"
"Do Catholic priests have to report child abuse confessed in secret?","<catholicism><children><confession>"
"How do protestant youth group ministers reach apathetic parents of religious education students?","<religious-education><parents>"
"When did the teaching that salvation can still be obtained by people after their physical death first appear in Christianity?","<soteriology><church-history>"
"Are other religions treated differently by any major branch of Christianity?","<denomination-survey>"
"The attitude of animals before and after fall","<creation><relationships>"
"Did the early Church Fathers have a complete agreement on how to interpret 1 Peter 3:18-20?","<church-fathers><1-peter>"
"How to compare Christian pastor credentials?","<clergy><ordination><seminary>"
"Is the following rationale for sharing the gospel consistent with reformed theology?","<predestination><reformed-theology><evangelism>"
"What does the Bible have to say about dinosaurs?","<bible><history><archaeology>"
" Where Catholicism lost influence and property during the reformation,  what did Luther think should be done with the acquired assets?","<history><martin-luther>"
"Are Christians supposed to suffer?","<suffering><theodicy>"
"Was Jesus good at singing?","<catholicism><life-of-jesus><gospel-of-matthew><tradition>"
"Zechariah 14 and Acts 1 according to those who reject the deity of Christ","<christology><acts><zechariah>"
"Should dating couples who put themselves regularly to the occasion of sin be granted absolution if they do not have a will to avoid such situations?","<catholicism><marriage><morality>"
