title,tags
"Test if a string can be made with substrings!","<code-golf><string><decision-problem><subsequence>"
"Print all decimals","<code-golf><number><floating-point>"
"Number triangle flip","<code-golf><math><sequence>"
"Sp|Lit wo(r)dS, S(P)lit wO|rds","<code-golf><string>"
"Not just a four fours puzzle","<code-golf><arithmetic><expression-building>"
"Make Three from One","<code-golf><math><arithmetic><integer><expression-building>"
"Find the Fibonacci Patterns","<code-golf><fibonacci>"
"Score a Game of Boggle","<code-golf><string><array-manipulation><boggle>"
"Visualize Nicomachus's Theorem","<code-golf><ascii-art>"
"Simple complexity","<code-golf><ascii-art><kolmogorov-complexity>"
"DISARM THE B.O.M.B.!","<code-golf><restricted-source>"
"Find nearest number in a given array","<code-golf><function>"
"Java Asterisk Rectangle","<tips><java>"
"Evaluate a Dice 10,000 roll","<code-golf><game>"
"Write a Program that Writes a function BUT in a different language!","<code-golf>"
"Programming a Pristine World","<code-golf><restricted-source><pristine-programming>"
"Fibonacci + Fizz Buzz = Fibo Nacci!","<code-golf><kolmogorov-complexity><sequence><fibonacci>"
"Compute modular inverse","<code-golf><math><number-theory>"
"Reverse Polish notation","<code-golf><math>"
"Reverse stdin and place on stdout","<code-golf><string>"
"Print a random maze","<code-challenge><ascii-art><maze>"
"Print 1 to 1000 in C++ without semi-colons","<popularity-contest><restricted-source><c++>"
"Decryption by pattern analysis","<code-challenge><cryptography>"
"Nokia mystery puzzle","<binary><puzzle-solver>"
"Find how many alphanumeric characters can be made up of a single number","<code-golf><string>"
"Rational decomposition a = xyz(x+y+z)","<code-golf><math><rational-numbers>"
"From Programming Puzzles to Code Golf","<code-golf><string><source-layout><whitespace>"
"Write a mutating, replicating program","<code-golf>"
"Progression of Matrix Columns","<code-golf><matrix>"
"Is this a consecutive-prime/constant-exponent number?","<code-golf><decision-problem><number-theory><primes>"
"Generate TeX to typeset Sierpinski Triangle Fractal","<code-golf><kolmogorov-complexity><code-generation><fractal>"
"Am I an insignificant array?","<code-golf><number><array-manipulation><decision-problem>"
"Efficient error-free* encoding","<code-challenge><restricted-source><underhanded>"
"Sort numbers represented in an unknown base","<code-golf>"
"Deletion of a blank line in source code which causes unexpected functionality","<popularity-contest><underhanded>"
"Build a pair of spies that will throw stones into a river","<code-challenge><combinatorics><puzzle-solver>"
"Negate a number","<restricted-source><code-bowling>"
"Largest number in ten bytes of code","<code-challenge><number><busy-beaver>"
"The coin catastrophe","<code-golf><arithmetic>"
"Figure Out the Android Lock Pattern","<code-golf><math><grid><combinatorics>"
"What base is this number in?","<code-golf><math><base-conversion>"
"Text animation format Code Golf","<code-golf><string><conversion>"
"Can I take your order: a Chipotle concept conund","<code-golf><string>"
"Finding sum-free partitions","<code-challenge><arithmetic><combinatorics><set-partitions>"
"Print a Pentomino Rectangle","<code-golf><kolmogorov-complexity><geometry><grid>"
"Permutations in Disguise","<code-golf><math><combinatorics><permutations><optimization>"
"Olympic game scoring","<code-golf><math><average>"
"Twinkle Twinkle Little Star","<code-golf><music><audio>"
"Write an interpreter for the untyped lambda calculus","<code-golf><interpreter><lambda-calculus>"
"Shortest Floor Function","<code-golf>"
"Quine that takes as input the name of a language and outputs the same thing implemented in the input language","<code-challenge><quine><rosetta-stone>"
"Project Euler Problem 12: optimize memory usage","<code-challenge><optimization>"
"Obfuscated Hello World","<code-golf><obfuscation><hello-world><restricted-source>"
"Crossword numbering","<code-golf><crossword>"
"Binary search (""bisect"") tool","<code-golf>"
"Binary tree encoding","<code-challenge><tree-traversal>"
"Calculate ISBN-13 check digit","<code-golf><checksum>"
"Implement a Non-Guessing Sudoku Solver","<code-golf><game><puzzle-solver><sudoku>"
"Tips for golfing in Ruby","<code-golf><tips><ruby>"
"IPv4 Integer Conversion Function","<code-golf><conversion>"
"Build an engine for a maze game","<code-golf><maze>"
"Implement a Brute Force Sudoku Solver","<code-golf><game><puzzle-solver><sudoku>"
"Implement Bogosort","<code-golf><sorting>"
"quine program in C using only macros","<tips><quine><c>"
"Are there mountain rings?","<code-golf><decision-problem><matrix>"
"Up and down, up and down","<code-golf><sequence><integer>"
"The Ever-Increasing Graph","<code-golf><sequence><subsequence>"
"Where is that snake going?","<code-golf><grid><binary-matrix>"
"2 plus 2 equals fish!","<code-golf><arithmetic>"
"Draw an S-Chain","<code-golf><string><ascii-art>"
"Fill in the Blanks, Please!","<code-golf><string><substitution>"
"Undress a string","<code-golf><string>"
"Self-debugging code","<popularity-contest><error-correction>"
"Are these trees isomorphic?","<code-golf><array-manipulation><graph-theory><decision-problem>"
"Make a math equation from the date","<code-golf><math><number><date><expression-building>"
"Dimensional Analysis","<code-golf><math><physics>"
"Simplify binary","<code-golf><base-conversion><binary>"
"How secure are my locks?","<code-golf><array-manipulation><logic>"
"My triangle needs more nodes","<code-golf><geometry>"
"Exploring 10-Rep Questions","<code-golf><internet>"
"The Alphabet Chromosome","<code-golf><ascii-art><kolmogorov-complexity><alphabet>"
"The Permutation Pigeon-hole Principle","<code-golf><permutations>"
"Find the minimum and maximum integers in an array, without using builtins","<code-golf><number><array-manipulation>"
"Create an unlimited counterstring","<code-golf><counting>"
"Pokemon GO Evolution Cost Calculator","<code-golf><game>"
