title,tags
"How should I store whole bean coffee?","<storage><whole-bean>"
"How fine should I grind coffee for drip/pour over coffee","<ground-coffee><drip-brew><pour-over>"
"Does the hardness of water matter when making coffee?","<flavor><brewing-process>"
"What's the theory behind using thin spouted kettles when making drip/pour over coffee","<drip-brew><pour-over>"
"How important is tamping coffee for an espresso machine","<espresso-machine><tamping>"
"Why is it not recommended to drink coffee immediately after it's roasted?","<roasting>"
"What factors affect espresso crema?","<espresso><crema>"
"Why do barista's keep activating the doser whilst grinding coffee","<espresso-machine><grinder>"
"How should I store ground coffee?","<storage><ground-coffee>"
"How long can I store ground coffee in the fridge?","<storage><ground-coffee>"
"What is the process to reduce bitterness in coffee?","<flavor>"
"How does the temperature of the water affect the taste of the coffee","<brewing-process><cold-brew><temperature>"
"homemade cleaner for basic drip coffee maker","<cleaning>"
"Upward size limit for espresso makers","<espresso-machine><brewing-process>"
"Are high-end cone grinders adjustable?","<grinder><burr-grinder>"
"What type of roast has the lowest caffeine content?","<roasting><caffeine><beans>"
"How do I backflush my espresso machine?","<maintenance>"
"How hot should water be to brew ground coffee directly in a cup?","<ground-coffee><brewing-process>"
"What is the hexagon funnel shaped thing that came with my aeropress for?","<aeropress><identify-this>"
"Does closing ground coffee in clip&close container help preserve the aroma?","<ground-coffee><storage><aroma>"
"How to prevent calcium loss when drinking a lot of coffee?","<health>"
"What does the 'strength' mean (in numbers)?","<rating><strength>"
"Which type of coffee grinder is the quietest?","<grinder>"
"Roast vs Body vs Acidity","<flavor>"
"How V60 and Aeropress affect flavor","<flavor><aeropress><v60>"
"When to use stirring to increase extraction?","<brewing-process><extraction>"
"How to grow coffee at home?","<growing><farming>"
"What's the most effective way of generating crema from an Aeropress?","<aeropress><crema>"
"What is a shot?","<espresso><terminology>"
"Milk quantity and consistency in cortado, cappuccino and latte","<cappuccino><latte><milk>"
"What coffees are the least acidic?","<flavor><rating><bean-varieties>"
"How can I minimize the amount of grounds at the bottom of my French press coffee?","<ground-coffee><french-press><grounds>"
"What is/are the ideal brewing temperature(s) when preparing coffee?","<temperature>"
"Most moka pots don't work on my induction stove. How can I still use them?","<brewing-process><moka><induction>"
"How can I figure out how much caffeine is in my cup?","<brewing-process><caffeine>"
