title,tags
"What transformations should I apply to a model to produce this 3D effect?","<projections><transformations>"
"Is modifying a texture (painting on it) considered a ""state change""?","<opengl><texture>"
"Performance of vector graphics versus bitmap or raster graphics","<texture><bitmap-graphics><vector-graphics><performance>"
"Is a cubic Lagrange interpolation tensor product the same as bicubic interpolation?","<texture><interpolation>"
"Is it possible to find out how many fragments made it through the stencil test?","<opengl><stencil-test>"
"Why does monte carlo ray tracing perform better than distributed ray tracing?","<raytracing><algorithm><monte-carlo>"
"Is there any way to generate primitives in a geometry shader without any input geometry?","<opengl><geometry-shader>"
"What is a stencil buffer?","<stencil-buffer>"
"What subdivision algorithm advances have occurred since Catmull-Clark?","<subdivision>"
"Does the original Perlin noise ever have any advantage over Simplex noise?","<noise><procedural-generation>"
"How can I debug what is being rendered to a Frame Buffer Object in OpenGL?","<opengl><debugging>"
"Why is thread safety such a huge deal for Graphics APIs?","<vulkan><directx12><multithreading>"
"When creating a JPEG, how can I minimize the occurence of artifacts?","<image><compression><artifacts>"
"Why do Vertex Buffer Objects improve performance?","<performance><rendering><vertex-buffer-object>"
"What is the cost of changing state?","<performance><gpu><optimisation>"
"Data structures for tile-based (deferred) rendering","<tile-based-rendering>"
"How is Gaussian Blur Implemented?","<image-processing><gaussian-blur>"
"What is ""Scanline Racing""","<virtual-reality><scanline>"
"Asset creation for signed distance field rendering?","<raytracing><signed-distance-field>"
"How can I generate procedural noise on a sphere?","<projections><noise><procedural-generation>"
"When is a compute shader more efficient than a pixel shader for image filtering?","<performance><rendering><compute-shader><pixel-shader>"
"When to disable perspective correct interpolation ( noperspective )","<opengl><glsl><performance>"
"How can I concentrate points in areas of higher curvature?","<algorithm><triangulation>"
"What are the side effects of biasing brightness in continuous spectrum raytracing?","<raytracing><color>"
"What is fwidth and how does it work?","<opengl>"
"What is the optimal radius of gaussian distribution for determining pixel colour?","<sampling><pixels>"
"How is Depth of Field Implemented?","<blur><post-processing><depth-of-field>"
"Could a hexagonal pixel array store an image more efficiently?","<pixels><memory>"
"Is gamma still important to take into account?","<color><gamma><compatibility>"
"Is depth of field incongruous in a 3D still image?","<depth-of-field><3d><stereo-rendering>"
"What is the ""dipole approximation"" for subsurface scattering?","<rendering><subsurface-scattering>"
"Brightness and contrast VS Gamma, is it possible to identify the gamma ""correction amount""?","<color><gamma><brightness><image-comparison>"
"Algorithms for down sampling an image?","<texture>"
"Can I accelerate rendering an image from a ray cloud using a GPU?","<raytracing><gpu>"
"Polarising reflection and refraction for a wrap around water surface","<raytracing><physically-based><reflection><refraction>"
"Modelling Young's double slit experiment","<raytracing><algorithm><physically-based>"
"Can I use several GPUs for a grid multi screen image?","<gpu>"
"Is it possible to alpha blend multiple render targets using a specified alpha?","<opengl><directx11>"
"Avoiding z-fighting with coincident surfaces","<rendering>"
"How can I debug GLSL shaders?","<opengl><glsl><debugging>"
"Is long term continuous use of GPGPU safe for my GPU?","<gpu>"
"Sharing code between multiple GLSL shaders","<glsl>"
"Do you need to use a lowpass filter before downsizing an image?","<texture>"
"How to do a color separation with more than 3 primary colors","<color><color-separation><conversion>"
"How does temporal reprojection work?","<post-processing>"
"What are some methods to render transparency in OpenGL","<opengl><rendering><transparency>"
"How can I detect edges between different colours of the same brightness?","<color><algorithm><edge-detection>"
"Rendering fog underneath water","<opengl><fog><depth-map>"
"Can I parallelise the scene for a raytraced image, rather than just the pixels?","<raytracing><scene-description>"
"How can I raytrace a scene that does not fit into memory?","<raytracing><memory>"
"Efficient rendering with many light sources","<rendering><shader><lighting>"
"Trying to implement Microfacet BRDF but my result images are wrong","<rendering><glsl><shading><specular>"
"When should quaternions be used to represent rotation and scaling in 3D?","<transformations>"
"Volumetric rendering fundamental concepts and terminology","<volumetric><atmospherics><scattering>"
"What is the performance tradeoff between forward and deferred rendering?","<performance><deferred-rendering>"
"How do I accurately compute coverage of overlapping analytical curves?","<antialiasing><curve>"
"How does state of the art real time hair rendering work?","<shading><real-time>"
"How to implement a trackball in OpenGL?","<opengl><trackball>"
"How can I create a bounding volume hierarchy for constantly moving objects?","<real-time><bounding-volume-hierarchy>"
"Which effects do I need to take into account for the iris of the eye?","<photo-realistic>"
"How can I model distant rain?","<atmospherics><offline><animation><fog>"
"What is Ray Marching? Is Sphere Tracing the same thing?","<raytracing><demoscene><raymarching>"
"Sub-pixel antialiasing rules","<antialiasing>"
"Hardware-accelerated drawing of curved shapes","<drawing><2d><bezier-curve>"
"Can I determine the pixel geometry programmatically?","<webgl><javascript>"
"Using extensions in Android OpenGL ES 2.0","<opengl><android>"
"How is an ICC profile embedded or built into an image?","<color><color-management>"
"Real-time translucency effect","<opengl><real-time><mobile>"
"How can I make my ice cubes look real?","<refraction><transparency><photo-realistic>"
"How to render an object that recieves shadows but does not cast them in a variance shadow mapping system?","<opengl><shadow-mapping>"
"How can I model ink dropped into still water?","<simulation>"
"How do correlated samples influence the behavior of a Monte Carlo renderer?","<raytracing><rendering><monte-carlo>"
"Is there a standard specification for 3D graphic representation?","<3d>"
"Finding a color perceptually similar to an image","<color><human-vision>"
"Are there common materials that aren't represented well by RGB?","<color>"
"Fast antialiased line drawing","<antialiasing><pixel-graphics><line-drawing>"
"Am I missing something for ambient occlusion?","<raytracing><ambient-occlusion><shadow>"
"Why are inverse transformations applied to rays rather than forward transformations to objects?","<raytracing>"
"Speeding up convergence: am I reinventing the wheel?","<raytracing><sampling><efficiency>"
"Multiple Importance Sampling with more than one light","<raytracing><importance-sampling>"
"Overlaying graphics on particle simulation","<simulation><physics><particles>"
"Are lookup textures still used for anything?","<texture><gpu><hardware>"
"What is ""tiled"" raytracing?","<raytracing><tile-based-rendering>"
"Ray-based rendering terms","<raytracing><raymarching><terminology>"
"How are volumetric effects handled in raytracing?","<raytracing><volumetric>"
"How do shaped lights work?","<lighting>"
"How is a light probe different than an environmental cube map?","<lighting>"
"Matching a virtual camera to a physical camera","<rendering>"
"Automatic generation of UV maps","<uv-mapping>"
"Why is the CMYK space four sided in chromaticity charts","<color><color-management><color-science>"
"Different types of Gaussian blur?","<2d><gaussian-blur>"
"Non Real Time Raytracing","<raytracing><photo-realistic>"
"How to build a decent lens/camera objective model for path tracing?","<raytracing><lighting><monte-carlo><physically-based><physics>"
"Why is it twice as expensive to make a noise function that can be tiled?","<algorithm><noise>"
"Is doing multiple Gaussian blurs the same as doing one larger blur?","<real-time><post-processing><gaussian-blur>"
"How does directional Gaussian blurring work?","<real-time><post-processing><gaussian-blur><blur>"
"Why is this conditional in my fragment shader so slow?","<performance><shader>"
"How is motion blur implemented in modern realtime renderers?","<real-time><post-processing><blur>"
"Why is accessing textures much slower when calculating the texture coordinate in the fragment shader?","<performance><glsl><fragment-shader>"
"How to reduce the number of draw calls when rendering one object multiple times?","<opengl><performance><real-time><mobile><opengl-es>"
"Why do multiple Gaussian Blurs?","<real-time><gaussian-blur>"
"Is there an established method of approximating dust distribution on surfaces?","<distribution>"
"Is a constant condition more costly than switching shaders?","<performance><shader>"
"Is all grid based noise inevitably anisotropic?","<noise><grid>"
"How is texture baking implemented?","<rendering><uv-mapping>"
"Multiple Lights Shading - One Pass vs Multiple Passes","<lighting><shader>"
"How does a 2D Fourier Transform of an image work?","<noise><fourier-transform>"
"What factors affect which shader language to learn?","<gpu><glsl><shader><hlsl>"
"Does it matter whether I learn OpenGL or Direct3D?","<opengl><api><direct3d>"
"Is this the correct way to implement Beer's Law?","<3d><refraction><transparency>"
"Determining level connectivity","<space-partitioning><computational-geometry>"
"Why not calibrate all display devices to sRGB?","<color-management>"
"Do I need to rebind uniforms or attributes when changing shader programs?","<opengl><glsl><shader>"
"Sharp Corners with Signed Distance Fields Fonts","<texture><signed-distance-field><font-rendering>"
"Writing to a compressed texture using a compute shader, with no extra copies","<opengl><texture><compression><compute-shader>"
"Is there a way to achieve the look of a distant flock or shoal without full simulation?","<real-time>"
"Why integrate over a hemisphere (and not a sphere) to solve the rendering equation?","<transparency><theory>"
"Code runs differently on different hardware","<opengl><fluid-sim>"
"How to improve on bilateral upsampling in real time scenarios","<real-time>"
"Should JPEG encoding take into account gamma?","<compression><gamma>"
"Can I raytrace gravitational lensing using only a single point source of gravity?","<raytracing>"
"Is this smaller grid for Poisson disc sampling still correct?","<grid>"
"Shader uniform performance","<performance><glsl><shader>"
"Is it possible to render red / blue 3d from one image and a depth buffer?","<rendering><3d><stereo-rendering>"
"Is it good practice to use all the available texture units?","<opengl><texture>"
"Why is the color in the cube being weirdly swapped?","<transformations><trackball>"
"Is there a way for me to record every shading sample for a deep texture","<opengl><rendering>"
"Non-uniform rational B-spline (NURBS) Basics","<nurbs>"
"Image rotation using FFT","<transformations><fourier-transform><raster-image>"
"Radiosity VS Ray tracing","<raytracing><reflection><scattering><radiosity>"
"NURBS curve offset","<nurbs>"
"NURBS curve drawing","<nurbs>"
"Splitting of NURBS curves","<nurbs>"
"Are there specific techniques for generating False Radiosity in surfaces?","<radiosity>"
"When is it better to upload partial model matrices to the vertex shader?","<opengl><performance><transformations><scene-graph>"
"Albedo vs Diffuse","<rendering><shading>"
"How Texture Prefetch works?","<opengl><texture><gpu><optimisation>"
"How does Texture Cache work considering multiple shader units","<texture><gpu><shader>"
"How does Texture Cache work in Tile Based Rendering GPU","<texture><gpu><shader><optimisation>"
"Is using many texture maps bad for caching?","<texture><shader><optimisation>"
"NURBS knot multiplicity","<nurbs>"
"Is the demoscene a source of advancements in computer graphics?","<demoscene>"
"Is a Lambertian reflector illuminated by a smaller fraction of the incident radiation when it's tilted?","<shading>"
"Why is work-efficiency desired in GPU programming?","<gpu><compute-shader>"
"Why is recursion forbidden in OpenCL?","<raytracing><opencl><gpgpu>"
"How to describe the bi-directional links for the Weiler-Atherton algorithm?","<polygon><clipping><data-structure>"
"What is ""Object Space Lighting""?","<rendering><real-time><lighting><space>"
"Shadow Mapping artefacts","<opengl><glsl><shadow-mapping><shadow>"
"How to raytrace Bezier surfaces?","<raytracing><bezier-curve>"
"What is ambient lighting?","<lighting>"
"How is screen space ambient occlusion implemented?","<algorithm><lighting><shading>"
"Shading: Phong vs Gouraud vs Flat","<algorithm><shading>"
