title,tags
"Were Tolkien's Elvish languages based on known natural languages?","<inspiration><tolkien-elvish>"
"How developed is the Old Tongue in the Wheel of Time series?","<wheel-of-time-old-tongue><history>"
"How many dialects of Tolkien's Elvish are there?","<tolkien-elvish>"
"unique agglutinative root system?","<rlyehian>"
"""Turing-completeness"" in conlangs","<grammar><vocabulary>"
"Do toki pona speakers, in practice, permit compounding more than three words?","<toki-pona>"
"What is opposite of ""burzum"", ""darkness"", in Tolkien's Black Speech?","<tolkien-black-speech><phrase-request>"
"What legal aspects should one consider when creating a constructed language?","<legal>"
"Grammar concepts required for every conlang","<grammar>"
"Are constructed languages intellectual property? Do they ever stop being IP, once people use them?","<legal>"
"Is the Klingon alphabet inspired by Tibetan alphabet?","<inspiration><writing-systems><klingon>"
"How to read One Ring inscription?","<tolkien-black-speech><tengwar>"
"How would you say ""good morning"" or ""hello"" politely in Klingon?","<klingon>"
"How does Láadan aim to express the views of women more than natural Western languages?","<laadan>"
"Does Dovahzul have the same grammar rules as English, or are they different?","<grammar><dovahzul>"
"Is the Voynich manuscript written in a natural or constructed language?","<voynich-manuscript>"
"What is the difference between an Isolating and an Analytic language?","<terminology><typology>"
"Why are sign languages considered to be natural rather than constructed languages?","<terminology><sign-languages><classification>"
"How to say right and left in Toki Pona?","<toki-pona><phrase-request>"
"Is the alien writing in ""Arrival"" really a language? Can we form custom sentences?","<classification><writing-systems>"
"Can Kēlen truly be considered verb-free?","<verbs>"
"Has any conlang ever replaced the use of a pidgin?","<history><toki-pona><pidgin>"
"How can syntactic ambiguity with pronouns be avoided?","<grammar><ambiguity><conlang-creation>"
"Is there a practical lower limit to the number of morphemes required in a language?","<morphology><semantics>"
"How can we define words?","<phonology><morphology><terminology>"
"Should adjectives agree with the noun in all aspects?","<grammar><gender>"
"Languages where the part of speech of a root is ""fixed""?","<grammar><esperanto><list-of-languages><parts-of-speech>"
"Are there any grammatical aspects which do not have parallels in natural languages?","<grammar><morphology><semantics><tense-aspect-mood><unnatural-features>"
