title,tags
"What does it mean when powdered ingredients get thin strings?","<coffee><storage><paprika>"
"How do I easily get thin slices of guava paste?","<cutting><guava>"
"How can I pipe multicolored flowers?","<decorating><frosting>"
"Nougat does not set","<candy><melting-sugar>"
"Australian Thickened Cream","<cream>"
"Anybody know where I can get some Stanley spatulas?","<baking><equipment>"
"Burnt candied pecans","<nuts><burnt>"
"black residue in tea kettle","<tea><kettle>"
"Can I avoid overcooking my candied lemon decorations?","<baking><caramelization>"
"Cooking 4 lasagnas at same time","<baking>"
"Sugar icing glaze became wet and lost its texture","<icing>"
"How do I keep track of how old food is?","<food-safety><storage-lifetime>"
"How to determine quantity of baking powder for baking simple cake?","<baking-powder><sponge-cake>"
"How can I tell if a steel rod is for sharpening or honing?","<equipment><sharpening>"
"How long and at what temp should I roast a 22lb fresh ham?","<roasting><ham>"
"What results can I expect from egg and sugar variations in spritz cookies?","<eggs><cookies><sugar>"
"What is the point in combining sucralose and acesulfame potassium?","<sweeteners>"
"If doubling a chocolate mousse, should gelatin be doubled as well?","<gelatin>"
"Why is it recommended to leave the last segment of shell on a shrimp?","<seafood><shrimp>"
"Is cold chicken breast done?","<food-safety>"
"Separating egg yolks the night before beating meringue","<meringue>"
"Chocolate mousse turned to scrambled eggs in cream","<food-safety><substitutions><eggs>"
"Looking for some advice on cooking the puff pastry in Beef Wellington","<beef><puff-pastry>"
"Is it safe to wrap food in aluminum foil before baking it?","<baking><food-safety><aluminum-foil>"
"What is this attachment for on this veg peeler?","<utensils>"
"Is there an upper time limit when simmering stock?","<flavor><cooking-time><broth>"
"Baking scalloped potatoes at 275 °F instead of at 400 °F","<baking><temperature><potatoes>"
"Turkey Fry Smoking Oil","<deep-frying><turkey>"
"How does ""Infra-red"" frying work?","<deep-frying><turkey>"
"Does there exist a non-rust substitute for an iron-cast pan?","<food-science><cast-iron><heat>"
"Why do some rolling pins only have one handle?","<pasta><rolling>"
"Mixing 60% and 81% dark chocolate to get 70%","<substitutions><chocolate>"
"Why do my weighing scales have ml and g?","<measuring-scales><weights>"
"Roast Turkey - How to get the meat to fall off the bones","<turkey>"
"Cake; To freeze or not to freeze?","<freezing>"
"How to find/properly cook fresh Baby Squids?","<deep-frying><seafood><spoilage><freshness><squid>"
"Dauphinoise potatoes: not fully cooked in cream?","<potatoes>"
"Chicken rejuvenation?","<food-safety><chicken>"
"is it ok to store quinoa, rice, lentils, barley, farro, kasha, black beans in the fridge?","<storage>"
"Safe to use pressure cooker for beer stew?","<pressure-cooker><stews>"
"shipping cheese","<food-safety><food-preservation>"
"Could Agave syrup be used as a substitute for Golden Syrup?","<baking><substitutions>"
"Higher temp and lower rack for thicker crust in brownies?","<oven><brownies>"
"How do I adjust a bread recipe for long, cool proofing?","<bread><proofing>"
"Does store bought barbecue sauce need to be heated/cooked before consumption?","<food-safety><barbecue-sauce>"
"How can I prevent my texas toast from sticking together?","<freezing>"
"what muscles should be present in a ny strip steak?","<beef>"
"Pre-making pretzel buns.","<baking><pretzels>"
"When's the best time to buy a Thanksgiving turkey?","<ingredient-selection><turkey>"
"Searing boeuf bourguignon","<slow-cooking><braising><roast-beef>"
"Name of Vegetarian that Eats Insects","<language><vegetarian>"
"How can I add an orange flavour without using orange?","<substitutions><chocolate>"
"How to clean ginger for tea","<tea><ginger>"
"Dairy free popping candy?","<chocolate><candy>"
"How to make paneer at home like the packaged ones?","<milk><dairy><paneer>"
"What is the best standmixer 350 wattage or higher","<stand-mixer>"
"Mysterious Minty Yams?","<flavor>"
"How to time the blanching of potatoes for freezing","<freezing><potatoes>"
"Can powdered citric acid be used instead of baking soda?","<food-science><food-identification><shopping><baking-soda>"
"Pumpkin pie in a crust that requires a shorter cooking time","<pie><crust>"
"When is fish 'fully cured' using salt?","<fish><curing>"
"How does vacuum sealing something in a mason jar help?","<equipment><vacuum>"
"Has my sourdough gone moldy?","<sourdough><mold>"
"blood in cooked chicken","<chicken>"
"Which is the better substitute for tapioca: corn starch or potato starch?","<asian-cuisine><chinese-cuisine><cornstarch><starch>"
"Can I bake pita bread on a pan?","<baking><bread><pita>"
"Why does broiled and roasted salmon give these different results?","<roasting><salmon><broiling>"
"Is it OK to wash other things than dishes with the same sponge scrub?","<cleaning>"
"How to make Ghost Pepper Queso","<dip>"
"Does baking time increase when making multiple Pumpkin Bread Puddings?","<baking>"
"How to make the Custard Bun so white?","<dough><steaming><custard>"
"how to make a ""biting"" buttermilk","<yogurt><fermentation><dairy><buttermilk>"
"Want vinegar taste!","<fermentation>"
"Brining vs Salting - what's going on?","<salt><brining>"
"Missing recipe name and method","<chocolate><coffee><pudding>"
"Why do I need more gelatin in a half fat cream cheese cheesecake?","<gelling-agents>"
"Scientific method to microwave octopus","<microwave><seafood><octopus>"
"How to make pre-baked pita bread","<bread><pita>"
"Is there any way to bring an egg to its natural state (not boiled) after you cook it?","<baking><eggs>"
"To pre-slice or not to pre-slice fajitas?","<marinade><mexican-cuisine>"
"How do I determine the cut of a pork steak prior to purchasing it?","<pork><food-identification>"
"How come mere water buffalo milk and lemon juice mixture turn into yogurt?","<milk><yogurt><lemon><fermentation><chemistry>"
"Is it safe to keep Carpaccio in a refrigerator for 24 hours?","<food-safety><refrigerator><carpaccio>"
"What can I do with dried chipotle chillies?","<sauce><mexican-cuisine><chili-peppers>"
"Would smoked chicken work well in paella?","<seafood><smoking><spanish-cuisine><paella>"
"What preparation is done to banana peppers?","<flavor><chili-peppers>"
"Bad tasting mussels and avoiding buying them","<mussels>"
"How do I know if a given pickle recipe is meant for long-term storage?","<pickling>"
"Does soaking almonds have the same effect as blanching and removing the skins when making almond milk?","<vegan><almonds><almond-milk>"
"Why is my green tea brown?","<tea><color><coloring>"
"Tuna Alternatives","<fish><tuna>"
"Can I substitute 70% chocolate for unsweetened chocolate in a cake recipe?","<substitutions><cake><chocolate><sugar>"
"When a recipe calls for a can of condensed soup, is the water implied?","<soup><ingredient-selection>"
"Potato parts in the oven","<baking><oven><potatoes>"
"Toasting spices with and without oil","<spices><indian-cuisine>"
"Can I freeze stock and can later?","<freezing><stock>"
"What is the right use of bake and broil?","<baking><oven>"
"Which Korean dishes are typically hottest?","<spicy-hot><korean-cuisine>"
"My pizza crust is very hard and tough and not light and crispy, why?","<dough><crust>"
"Why does apples bought at the market feel sticky?","<apples>"
"Getting dog meat to taste as close to steak as possible?","<meat><steak>"
"What can I do to fix store-bought mayonnaise that split?","<mayonnaise>"
"Can I follow recipes for bread-machine breads without bread machine?","<equipment><bread>"
"Should I not sear and broil eye of round the way that I do filet mignon or chuck tenderloin?","<steak>"
"Too big tin for meringue cake recipe. How to solve?","<cake><meringue><recipe-scaling>"
"How long do meatballs in sauce need to be heated in a crock pot?","<reheating><crockpot>"
"What's the purpose of adding water to an egg wash?","<baking><eggs><water>"
"Why does my dough never ""fall"" after its first rise?","<bread><dough><rising>"
"For equal volumes water and sugar, what is the ratio of separated volume vs. combined?","<sugar><measurements><syrup><ratio>"
"Good thread for tying meat","<equipment><meat><polish-cuisine><russian-cuisine>"
"How can I clean white burn marks in the center of my glass top burner?","<cleaning>"
"Marinating in yogurt","<indian-cuisine><deep-frying><yogurt><tenderizing>"
"Why didn't my jello set?","<gelatin>"
"Cabbage Slaw w/ Teriyaki?","<asian-cuisine><food-identification><cabbage>"
"How much salt is absorbed by meat during brining?","<salt><nutrient-composition><brining><sodium>"
"What are some good reasons for why people make homemade pasta?","<pasta>"
"Is this video showing an exception of the common wisdom that you shouldn't cook with EVOO?","<oil><olive-oil>"
"Cooking minced/ground beef with a jar of sauce","<sauce><beef><ground-beef>"
"Can grocery store chocolate be used as chocolate coating?","<chocolate>"
"When should I ditch a pot with teflon?","<equipment><kitchen>"
"What the gluten look like when kneading for long time on a texture basis","<bread><dough>"
"Is rapid cooling and thawing worth it?","<freezing><thawing>"
"How bakeries do a soft crust breads and making the same at home will result in a crisp crust?","<bread><oven><flour>"
"Can adding too much sauce and ingredients to fried rice make it too salty?","<rice><asian-cuisine>"
"Fermenting pickles","<spices><fermentation><barbecue><pickles>"
"no-knead pizza. When is it supposed to raise? which flour is the best?","<bread><pizza><yeast><leavening>"
"bird poop on cast iron dutch oven","<cast-iron>"
"How can a dutch oven reach 400°C on an electrical stove?","<temperature><electric-stoves><thermometer><dutch-oven>"
"How do I prevent my sugar coating from melting on my gummy bears","<candy>"
"Under burnt layer prevention for briyani","<rice><indian-cuisine><burnt><indian>"
"A one hour interuption in cooking chicken, will it be safe to eat?","<food-safety>"
"How to make a good looking cake with a mountain like shape?","<baking><cake><professional>"
"Why does stock lose flavor in the freezer?","<freezing><chicken-stock>"
"Can I safely eat uncooked raw chicken that has been in my freezer over a year?","<food-safety><freezing><raw-meat>"
"Normal coffee vs decaf","<coffee>"
"How do I scoop ice cream into spherical scoops every time?","<ice-cream><serving><plating>"
"creme patissiere too solid","<eggs><milk><cream><pastry><custard>"
"Precook or raw when chilling meat?","<refrigerator><sausages><raw-meat>"
"Is it safe to eat veggies that were chopped on bloody cutting board and then cooked?","<oven>"
"Why does pasta dough need to be kneaded for such a long time?","<dough><pasta>"
"120 guests including children - Amounts needed please for party catering","<chili-peppers><bulk-cooking>"
"Yoghurt after use by date","<yogurt>"
"Home made biriyani masala paste","<rice><indian>"
"Getting sourdough to rise not spread","<bread><sourdough>"
"How to make firm cheescake?","<baking><cheesecake>"
"Does celery powder have any non-preservative use?","<food-preservation>"
"Blotches on my cast iron pan","<cast-iron><maintenance>"
"Cold smoked bacon biltong safety","<food-safety><smoking><bacon><botulism>"
"Black stains on aluminium+teflon griddle","<kitchen-safety><teflon><griddle>"
"How to steep honeysuckle","<dessert><flowers>"
"In general, would I need to season a meat when making a sauce?","<sauce>"
"Will cooking tagliatelle in squid ink turn it black?","<pasta><color><squid>"
"How does cooking with whole peppercorns compare to ground?","<pepper>"
"How long do uncut, fresh strawberries last in the refrigerator?","<storage-lifetime>"
"Salinity of brine for feta storage","<storage-method><cheese><storage><feta>"
"Is this porphyra (nori) seaweed mislabeled?","<seafood>"
"Silicone molds: transportation and storage","<utensils><silicone>"
"Differences in creme fraiche recipe","<creme-fraiche>"
"Can I freeze chickpea curry?","<freezing>"
"Is spaghetti and bechamel sauce an authentic Italian dish?","<pasta><italian-cuisine><history><spaghetti><bechamel>"
"Is clouding of lime added water a sign of spoilage?","<food-safety>"
"Is it possible to ferment fresh coconut or its water?","<fermentation><coconut>"
"Can I cook sous vide on a desk?","<sous-vide>"
"What species of red round watermelon is this?","<watermelon>"
"""Rose Flavoured Water"" vs ""Rosewater""","<ingredient-selection>"
"How could I cook industry like foie gras?","<substitutions><flavor><seasoning><additives>"
"black stain on my glass stove top","<cleaning>"
"Hot sauce preserved ingredents","<storage-lifetime>"
"Preserving culinary oils","<food-safety><oil><food-preservation><chili>"
"Can I make salt cod from frozen cod?","<fish><food-preservation><frozen>"
"What is the shelf life of Pylsusinnep (Icelandic mustard)? Does it need to be kept refrigerated before opening?","<food-safety><storage-method><refrigerator><mustard>"
"""Acetone"" smell on bread","<bread><spoilage>"
"Complete list of terms used to describe cooking methods?","<language>"
"Why do milk products stay fresh longer when stored in glass?","<storage-lifetime><milk><glass><containers>"
"Is it safe to smoke with oak treated for oak wilt?","<barbecue><smoking>"
"What is the difference between boiled vegetables and stewed vegetables?","<stews>"
"Correct oven temperature for chicken tikka at home","<chicken><oven><indian-cuisine>"
"Neapolitan pizza in charcoal barbecue","<barbecue><neapolitan-pizza>"
"Pan makes knocking noises","<pan><frying-pan>"
"Can I get 900F in a charcoal grill?","<grilling><charcoal>"
"roasting vs microwave+roasting beets","<baking><vegetables><fish>"
"Lamian (Hand Pulled Noodles) Technique Question","<dough><noodles><kneading>"
"Sprouts and ""better-to-cut-out-parts"" in vegetables","<food-safety><vegetables><food-science>"
"How to save my almonds from moths","<cleaning><almonds>"
