title,tags
"Prime fields vs non-prime fields","<aes><finite-field>"
"Proving anonymous credential presentation","<zero-knowledge-proofs><data-privacy><anonymity>"
"Relation between signature size and message-digest length in RSA PKCS#1v1.5 sign/verify","<rsa><signature><pkcs1>"
"Using encryption as authentication","<authentication><password-based-encryption>"
"Difference between using Schnorr Protocol and just compare hash function to prove knowing something?","<hash><zero-knowledge-proofs><schnorr-identification>"
"Motivation for frequent key updates","<keys><authentication><key-reuse>"
"Extract adversary's secret input in simulation based security proofs","<multiparty-computation><protocol-analysis><universal-composability>"
"How to solve polynomial modular equation to create a correct decryption algorithm","<modular-arithmetic>"
"How to use Whitebox aes","<encryption><aes><white-box>"
"List of big strong primes","<diffie-hellman><safe-prime>"
"What's a relatively fast way of checking if a string is decrypted English?","<decryption>"
"Is it safe to convert a 256-bit nonce into a 192-bit nonce by SHA-256ing and then truncating it?","<hash><sha-256><nonce>"
"If ChaCha20 is being used just as a CSPRNG, is nonce needed?","<random-number-generator><nonce><chacha>"
"What does ""Clocked"" mean in alternating step generators","<lfsr><alternating-step>"
"Packing technique for large data storage","<classical-cipher><secure-storage>"
"Block size of BKZ algorithm and related security of CRYSTALS-Kyber","<post-quantum-cryptography><lattice-crypto>"
"Entropy Preserving Functions","<compression>"
"Very simple way of verification","<signature><authentication>"
"Decoding in Reed solomon codes","<finite-field><coding-theory>"
"Which is the best algorithm for large scale file encryption other than AES?","<encryption><symmetric><stream-cipher><authenticated-encryption><chacha>"
"Why are there standards of encryption?","<encryption><standards>"
"Behavior of AES-CTR with 128-bit nonce and possible overflow","<aes><ctr>"
"Learning with rounding (LWR)","<lattice-crypto>"
"Why the output of elliptic curve based cryptosystems is smaller than the ordinary public key cryptosystems?","<elliptic-curves><key-size>"
"Why is Curve25519 mostly used for key exchange?","<elliptic-curves><key-exchange>"
"Can any part of AES encrypted blocks be used as PRFed value?","<aes><pseudo-random-function>"
"How is asymmetric cryptography safe if one of the keys is public?","<encryption><public-key><attack><decryption>"
"What is the point of separate links to the download and its digital signature","<signature>"
"How to safely derive a value from a secret?","<hash><key-derivation>"
"Hamming Weight of Solutions to the Frobenius Equation","<cryptanalysis><modular-arithmetic>"
"LUKS: decrypting with master-key rather than with passphrase","<encryption><disk-encryption>"
"How to determine the fastest OpenSSL cryptographic algorithm","<aes><randomness><openssl><disk-encryption>"
"BGV KeyGen-- Can a maliciously-generated secret-shared key break security (e.g. SPDZ)?","<multiparty-computation><lattice-crypto>"
"Hashing a counter to prevent distinguishers in CTR mode","<ctr><distinguisher>"
"AES-256 GCM IV guidelines","<aes><initialization-vector><gcm>"
"Orignal Krawczyk's HKDF vs latest NIST SP800-56C","<hmac><hkdf>"
"TLS 1.3 Secure Renegotiation not supported","<tls>"
"Hash algorithm for user accounts passwords in macOS 10.12, 10.13, 10.14","<password-hashing>"
"flaw in perfect secrecy of shift cipher?","<encryption><cryptanalysis><classical-cipher><perfect-secrecy>"
"Is uneven DES keybit use exploitable?","<des><key-schedule>"
"Give a CPA-attack on Elgamal when used with $\mathbb{Z}_p^*$","<public-key><elgamal-encryption><chosen-plaintext-attack>"
"Does libsodium sealed box leak key ids?","<public-key><keys><libsodium><deniable-encryption><plausible-deniability>"
"OAEP Hash function truncation","<padding><oaep>"
"In which cases AES doesn't need IV?","<aes><ecb>"
"Elgamal problem on $\mathbb{QR}_p$ with $p$ a safe prime","<elgamal-encryption><safe-prime><quadratic-residuosity>"
"How can Peggy prove she knows one of Victor's passwords in zero knowledge?","<zero-knowledge-proofs>"
"Vigenere Cipher Methods","<encryption><classical-cipher><vigenere>"
"While using onetime encryption is it possible that one can deduce the key of a message if the contents of the message are already known?","<encryption><keys>"
"What is a related key?","<keys><terminology><related-keys>"
"How to generate $k$ random numbers that add upto a number $d$ and are coprime with respect to $p-1$","<rsa>"
"Helios: Where are admin tools stated in the paper","<voting>"
"Deriving a key from a pseudo-random string","<pbkdf-2><password-hashing>"
"Proof in RSA encryption over multiplicative group","<group-theory>"
"Argon2 parameters concurrent access","<argon2>"
"What do the security definitions of SHA-3 mean, quantitatively?","<hash><preimage-resistance><sha-3>"
"Time-locked deposit protocol?","<multiparty-computation><cryptocurrency>"
"What should I use for consequent AES key derivation?","<aes><diffie-hellman><key-derivation><sha-256><gcm>"
"How complex must round constants be to resist slide attacks?","<cryptanalysis><keys><attack><key-schedule><constants>"
"What is the probability of $\gcd(e,\varphi(n))=1$, where $e$ is an odd number and $\varphi(n)$ is an even number with $ e<\varphi(n)$?","<rsa>"
"Berlekamp Massey Algorithm","<lfsr>"
"Does public key encryption support a large message size?","<rsa><public-key>"
"Distributed key generation (for discrete-log based cryptosystems) with fake shares","<discrete-logarithm><key-generation><threshold-cryptography>"
"Parity checking on DES key if using ASCII chars","<des>"
"External data loading in DES","<des>"
"What happens if we choose the random secret keys in Diffie-Hellman greater than prime?","<diffie-hellman><key-exchange>"
"Generating sets of unreadable/secure and unique random numbers","<encryption><random-number-generator>"
"What is this EC key derivation method called?","<elliptic-curves><key-derivation>"
"do koblitz curves over $\mathbb{F}_{P}$ as generalized in SEC2 always have $a$ as 0?","<elliptic-curves><finite-field>"
"Security Implications of Fixed & Opposite Fixed Points of Sbox","<s-boxes>"
"RSA public key same across all clients or different?","<rsa>"
"Verifying signature of plaintext using encrypted message only","<zero-knowledge-proofs><authenticated-encryption>"
"Security Implications of Multiplication Modulo with a composite","<encryption><modular-arithmetic>"
"Is there any difference between cryptography and cryptology?","<terminology>"
"Is there any course video for lattice cryptography?","<lattice-crypto>"
"Proof of correctness of Exponential ElGamal","<homomorphic-encryption><zero-knowledge-proofs><elgamal-encryption>"
"Purpose of repeating a 16-byte key for Salsa20","<keys><salsa20>"
"Breaking variations of Linear Congruential Generators","<cryptanalysis><pseudo-random-generator>"
"Hashing items of different Bytes but same length would enable a timing attack?","<hash><password-hashing><timing-attack>"
"Text partially decrypted regardless of IV","<aes><initialization-vector><modes-of-operation>"
"Recovering private key from Secp256k1 signatures","<public-key><elliptic-curves><dsa><elgamal-signature><key-recovery>"
"Why a ""Next Header"" field is part of ESP trailer?","<ipsec>"
"CBC - Cipher-text stealing decryption","<cbc><cbc-mac>"
"Security strength for encryption and authentication (wrapping) of cryptographic keys","<encryption><aes><keys><authenticated-encryption><key-wrap>"
"Would it possible to decode an intelligible but alien message?","<block-cipher><stream-cipher><known-plaintext-attack>"
"Modifying Mix Mode Modular Arithmetic in IDEA Cipher","<modular-arithmetic><idea>"
"Why did Histiaeus tattoo his slave's head?","<history><steganography>"
"Random number generator issue","<random-number-generator><trng>"
"What is certainty in a real world zero knowledge proof?","<zero-knowledge-proofs><standards>"
"How does the authd protocol work?","<public-key><keys><authentication><key-exchange>"
"How to know when decryption fails in Yao's Garbled Circuits","<multiparty-computation><garbled-circuits>"
"Why is XOR preferred over XNOR in cryptography?","<xor><history>"
"Decrypt an tex file encrypted with rand()","<cryptanalysis><random-number-generator><brute-force-attack>"
"Safety of having many passwords hashed with the same salt?","<hash><passwords><sha-512><argon2>"
"Dynamic Length Hash Function?","<hash><collision-resistance>"
"Would it be safe to store GCM nonce in the encrypted output?","<aes><gcm><password-based-encryption>"
"MAC size: Should MAC be shorter than cipher block size?","<mac><cmac>"
"Why does WPA2-PSK use 4-way handshake instead of 2-way handshake","<hmac><wpa2-psk>"
"Tamper-evident audit logs","<hash><integrity>"
"scrypt and bcrypt for benefits of both?","<hash><bcrypt><scrypt>"
"Speed up modular exponentation with fixed base and modulus","<modular-arithmetic>"
"Adversary to Any Collision Resistance Hash Function","<hash><collision-resistance>"
"How can Shamir's method for secret sharing work in the GF(256)?","<secret-sharing>"
"Best group if one wants the discrete log problem to be hard?","<diffie-hellman><prime-numbers><group-theory>"
"Design requirements for a keyed hash function?","<hash><authenticated-encryption><reference-request>"
"How do you prevent the risk of damage to the security of Fully Homomorphic Encryption?","<homomorphic-encryption><multiparty-computation>"
"Why does a joint leakage MPC protocol not directly apply to a disjoint leakage requirement?","<multiparty-computation>"
"Reusing PGP key when generating SSL Certificate Authority?","<openssl><certificates><pgp><key-reuse>"
"The exact definition of a symmetric encryption","<symmetric><authenticated-encryption><security-definition>"
"Convert a number to sha-1","<hash><sha-1>"
"What is 'key agility' in relation to symmetric-key encryption?","<keys><symmetric><terminology>"
"becoming a cryptographer after math studies","<elliptic-curves>"
"Homomorphic Encryption and Semantic Security using Lattices?","<homomorphic-encryption><semantic-security>"
"Can homomorphic encryption filter?","<homomorphic-encryption>"
"TCR hash functions from MD5","<hash><md5><collision-resistance>"
"Can the XOR of two non-collision-resistant hashes be collision resistant?","<hash><collision-resistance>"
"What would make it impossible to deny that decryption of a package has taken place?","<protocol-design><zero-knowledge-proofs><reference-request>"
"How can user privacy be preserved in certificateless cryptography?","<certificateless-crypto><data-privacy>"
"Is this encryption scheme perfectly secure?","<cryptanalysis><modular-arithmetic>"
"Can minimum encrypted message length be used to identify public key algorithm or derived some of its features?","<public-key>"
"Can you help me understand hash-preserving encryption?","<encryption><hash>"
