title,tags
"Greedy algorithm correctness proof for ""Elegant Permuted Sum"" (UVa 11158)","<correctness-proof><greedy-algorithms>"
"Why would a function be tabulated in advance and then retrieved?","<algorithms><memoization>"
"Better Alternatives for Canny algorithm in Edge Detection?","<algorithms><algorithm-analysis><discrete-mathematics>"
"Suppose P = NC - what then?","<complexity-theory><complexity-classes><parallel-computing><polynomial-time>"
"pipeline execution time","<computer-architecture><cpu-pipelines>"
"How would you implement truly random hash functions in practice?","<algorithms><probability-theory><randomized-algorithms><hash><hash-tables>"
"Show that the set of all TMs that move only to the right and loop for some input is decidable","<computability><turing-machines>"
"Traversals from the root in AVL trees and Red Black Trees","<data-structures><search-trees><balanced-search-trees>"
"Constructing languages in NPI other than through Ladner's Theorem","<complexity-theory><p-vs-np><np-intermediate>"
"If one-way functions exist are we definitely using them?","<complexity-theory><cryptography><one-way-functions>"
"Hamming error correction with non-uniform error correction capability","<error-correcting-codes><hamming-code>"
"Recurrence relation complexity","<recurrence-relation>"
"Proving that a set of grammars for a given finite language is decidable","<formal-languages><computability><context-free>"
"What is the activation function, label and loss function for Hierachical Softmax","<machine-learning><neural-networks><classification>"
"Selecting k ""special"" nodes in a graph such that the min distance is maximized?","<algorithms><graphs><optimization>"
"A syntactic property of computing systems: is non-coding DNA universal?","<computability><reference-request><semantics><normal-forms><syntax>"
"Standard definition of Turing machine","<terminology><turing-machines>"
"How to find a basis which is guaranteed to need 9 or less characters to represent a 12 digits number?","<databases><encoding-scheme><base-conversion>"
"Shannon Entropy for Binary Numbers","<information-theory>"
"Complexity calculation using a recurrence relation","<complexity-theory><recurrence-relation><induction><factorial>"
"Constructible enumerable set","<algorithms><computability><turing-machines><enumeration>"
"Cobham's characterization of FP","<complexity-theory><reference-request><polynomial-time>"
"Can a computer count to infinity?","<counting><mathematical-programming>"
"What exactly is computation?","<terminology><computability>"
"A metaphor for recursive enumerability","<computability><didactics>"
"Why a language specified by a regular expression is not a complement of a given language?","<regular-languages><regular-expressions>"
"KMP Algorithm, Pratt's Minimisation/optimization of Knuth's original DFA based algorithm","<algorithms><automata><search-algorithms><strings>"
"Why the given lexical specification will not process the following strings?","<regular-expressions><compilers><lexical-analysis>"
"Alpha beta algorithm with Iterative Deepening analysis","<algorithm-analysis><artificial-intelligence><search-trees>"
"Given an array of size N, if you know that all of the elements are white except for one, how to find the index of that element efficiently?","<algorithms><search-algorithms>"
"Is weighted XOR-SAT NP-hard?","<optimization><np-hard><satisfiability><integer-programming><xor>"
"Algorithm(s) for creating balanced 5-a-side teams?","<algorithms><optimization>"
"How to compute the TF-IDF scores for a handful of documents, but without my own corpus?","<natural-language-processing>"
"Prove L and {0,1}*-L are recursively enumerable","<computability><turing-machines>"
"Name hiding in c++","<terminology>"
"scale-free networks and adjacency matrix","<graphs><computer-networks><adjacency-matrix>"
"Computing FIRST and FOLLOW sets","<formal-grammars><compilers>"
"Generating path vectors from point-to-point data","<computational-geometry>"
"Can this language be defined by a Context Free Grammer?","<formal-languages><context-free><formal-grammars>"
"How can I determine whether a problem is NP-Hard","<optimization><np-hard><np>"
"Do functional algorithms require more memory than imperative algorithms?","<functional-programming><performance><programming-paradigms><imperative-programming>"
"Is the proof for the undecidability of $A_{TM}$ still valid if we change certain parts?","<turing-machines><computability><undecidability><computation-models>"
"Does ""$\forall x\in L, \sigma(\neg x)=\neg \sigma(x)$"" hold given that $\sigma(F)\equiv F$ for a CNF formula $F$ built on a set $L$ of literals?","<permutations><propositional-logic>"
"Brzozowki's algorithm doesn't work for this corner case","<formal-languages><automata><finite-automata>"
"A tricky P=NP problem","<complexity-theory><np><decision-problem><p-vs-np>"
"Does $E_{TM}$ accpets the empty word $\varepsilon$?","<turing-machines><computability>"
"Coding for data compression with large target's symbol set (where the target symbol set is larger than the source symbol set)","<information-theory><data-compression><coding-theory>"
"Algorithm for detecting a finite limit of time-series numbers","<algorithms><mathematical-analysis><time-series-analysis>"
"Is the language {<p,n> | p and n are natural numbers and there's no prime number in [p,p+n]} belongs to NP class?","<complexity-theory><turing-machines><computability><np><decision-problem>"
"Tracing BST Pseudocode for Insertion","<binary-search-trees><pseudocode>"
"Image segmentation generates inclusions and is not smooth","<image-processing>"
"Why CLRS example on residual networks does not follows its formula?","<algorithms><network-flow>"
"How to count the biggest size of the problem during some time period?","<complexity-theory><algorithm-analysis>"
"Finding a mapping reduction from $A_{TM}$ to $\overline{CF_{TM}}$","<turing-machines><computability><context-free><reductions>"
"Compute hash value according to multiplication method","<hash><python>"
"Draw 3D bounding box of object in 2D image OpenCV","<python>"
"Why does the GS1 DataMatrix encode diagonally instead of vertically or horizontally?","<information-retrieval>"
"Multiple Source Shortest Paths in a weighted graph","<graphs><shortest-path><weighted-graphs>"
"How to correctly describe this action, deleting an edge that ""shortcut"" some vertices","<algorithms><formal-languages><graphs><proof-techniques>"
"Does iterated PSPACE trace equal ELEMENTARY?","<complexity-theory>"
"Prove that $L = \{ xy \in \{a , b \}\textbf{*} \mid |x|_a = 2|y|_b \}$ is not regular","<complexity-theory><formal-languages><regular-languages><pumping-lemma>"
"Software metric for data growth","<terminology><combinatorics>"
"Isoecursive Types When to Fold and Unfold","<type-theory><type-inference>"
"All-to-All Broadcast on a Balanced Binary tree","<parallel-computing>"
"Recurrence Relation Mergesort","<algorithms><sorting><mergesort>"
"Difference between RAM and buffer","<terminology><computer-architecture><memory-hardware>"
"Is there any way to find the nodes in the each subtree of each node having distance equal to height of the subtree?","<algorithms><graphs><trees><arrays><java>"
"Is turing completeness related to recursive enumerable languages?","<turing-machines><turing-completeness><church-turing-thesis>"
"Resolution when clauses contain more than 1 complementary literals","<satisfiability><3-sat>"
"""Immediate"" method of translating arbitrary mutable program to equivalent unmutable program?","<programming-languages><functional-programming><imperative-programming>"
"Appropiate data structure storing a tree","<data-structures>"
"Some basic questions on halt and move in Turing machines","<turing-machines><automata>"
"Language whose intersection with a CFL is always a CFL","<formal-languages><regular-languages><context-free>"
"Modified Knapsack Problem","<time-complexity><optimization><greedy-algorithms><knapsack-problems><integer-programming>"
"Singleton in a simple SBM","<probabilistic-algorithms><random-graphs>"
"Repeated String Match: need help to understand the maximum number of repeats needed to be looked at","<algorithms><search-problem><substrings><string-matching>"
"Proving $E_{DFA}$ is decidable by running $A_{DFA}$ several times","<turing-machines><computability><automata>"
"The language $\{ww \mid w \in \{0,1\}^{*} \}$ is not a CFL","<context-free>"
"Check grammar for LL(1)?","<formal-grammars><parsers>"
"Given a tree find path that maximizes the median of the costs of edges","<graphs><optimization><trees>"
"Red Black Tree Property","<data-structures><red-black-trees>"
"Avoiding ""side effects"" in recursive functions","<recursion><functional-programming>"
"How do we prove the time complexity of this simple problem in probabilistic inference on a Bayesian network?","<time-complexity><proof-techniques><probability-theory><bayesian-network>"
"What Computer Science projects for undergrads are mostly in demand by European and American firms?","<research>"
"What is the most efficient algorithm to get percentile distribution from histogram distribution?","<algorithms><data-structures>"
"CFG problem solved with PDA - looking for alternative solution","<formal-languages><context-free><pushdown-automata>"
"Generating words in given format","<algorithms><strings><enumeration>"
"Algorithm for finding a matrix which satisfies certain constraints","<algorithms><greedy-algorithms><matrices>"
"Greatest matching values in matrix","<algorithms>"
"Trying to find a human-usable method to figure out optimal round 1 openings for this game","<algorithms><graphs><optimization>"
"Calculating the information density of an encoding system","<reference-request><efficiency><information-theory><encoding-scheme>"
"Algorithms or specific approaches for maximum independent set problem in triangle free graphs","<graphs><approximation><heuristics>"
"Is Datalog negation and the built-in predicate $ \neq $ similar?","<database-theory><relational-algebra><fixed-point><datalog>"
"Searching a sorted array to find the $k$ closest values to a target value $T$","<algorithms><search-algorithms><binary-search><nearest-neighbour>"
"How can I understand if reduction is Karp reduction?","<reductions>"
"Why do we try to maximize Lagrangian in SVMs?","<optimization><machine-learning><os-kernel><svm>"
"On the complexity of Unique Coverage Problem restricted to geometrical settings","<complexity-theory><set-cover>"
"Space complexity of Chomsky Normal Form","<formal-languages><context-free>"
"Finding the nearest neighbour of an existing 2d point in a set of points within $\mathcal{O}(\log{}n)$ time","<nearest-neighbour><voronoi-diagrams>"
"Where did our present regex notation originate?","<formal-languages><automata><reference-request><notation><history>"
"Is there a faster algorithm for constructing the adjacency list of this graph?","<algorithms><complexity-theory><graphs>"
"Question about (in)dependent Haar-features and (Ada)boosting","<computer-vision><classification><pattern-recognition><features>"
"Ancestor with a specific color","<algorithms><data-structures><trees>"
"How to express modalities in lambda calculus - are some extensions required?","<formal-grammars><lambda-calculus><semantics><natural-language-processing><modal-logic>"
"Data Analysis: Have 70 data parameters, how many different classes of 3 are possible?","<combinatorics>"
"How exactly Hashing performs better than a Binary Search?","<data-structures><asymptotics><binary-trees><hash-tables><binary-search>"
"How is average precision related to the precision-recall curve?","<information-retrieval>"
"Stroke Extraction to recreate Chinese characters","<image-processing>"
"Is the language $\{ 0^m10^n \mid m,n\geq1 \}$ regular?","<formal-languages><regular-languages>"
"Query regarding PP complexity class vs NP?","<complexity-theory><complexity-classes>"
"CCS synchronization","<transition-systems><ccs>"
"2-approximation edge-cover algorithm using primal-dual method","<graphs><approximation><linear-programming><set-cover>"
"Which are the cases where the ""pumping lemma"" doesn't work?","<formal-languages><pumping-lemma>"
"Interleaving first and second half of an array of even length in place","<sorting><arrays><permutations><in-place>"
"SSD vs HDD Retrieval Time","<filesystems>"
"Prove that given a number we can find whether there're 2 elements in a red/black tree that their sum equals that number in $\Theta(n)$ time","<algorithms><trees><balanced-search-trees>"
"Trouble understanding the master theorem, from Jeffrey Erickson's Notes","<recurrence-relation>"
