title,tags
"What autograding software do folks use for Java code?","<java><grading><auto-graders>"
"Is it possible to ensure division of labor on a group assignment?","<group-work>"
"Objects Lab Before Inheritance and Polymorphism","<object-oriented-paradigm><labs><ap-computer-science-a>"
"Teaching Induction to Prove the Correctness of Algorithms","<lesson-ideas><cs-theory><induction>"
"Should the first Programming/Algorithms class be taught in pseudo-code?","<pseudo-code>"
"Cheating on labs","<best-practice><labs><ethics><cheating>"
"Analogy for teaching recursion","<recursion><teaching-analogy>"
"Using Processing as an entry point in an Introductory Course","<curriculum-design><processing>"
"Should assembly language be taught in an introductory course (or soon after)?","<curriculum-design><assembly>"
"How can I convey the idea of a programming language vs. a markup language?","<lesson-ideas><web-development><markup-languages><introductory-lesson>"
"When teaching Web Development, should server or client side come first?","<curriculum-design><web-development><front-end><back-end>"
"Recommended IDE for teaching web development to beginners","<web-development><ide><primary-school>"
"What are effective approaches for teaching dynamic programming?","<lesson-ideas><algorithms>"
"Using microcontrollers in an Introductory course","<student-motivation><robotics><arduino><physical-computing>"
"When should concurrency and parallel multi-processing concepts be introduced?","<concurrency>"
"on-What are pre-requisites for teaching version control to a high school CS class?","<github><revision-control>"
"How does one create a balanced AI curriculum in light of the popularity of Deep Learning?","<artificial-intelligence><machine-learning><deep-learning><curriculum-design>"
"How can I integrate teaching source code control (Git/Mercurial/etc) into my introductory CS class?","<revision-control>"
"Do automatic style hints help students to understand the language they're learning?","<best-practice><coding-style><ide><linters>"
"How to raise students' security awareness in programming?","<web-development><security>"
"What to consider when choosing version of Python?","<python>"
"In a course about Turing machines, how many questions like ""Construct a Turing Machine that does X"" should I include?","<turing-machines>"
"Should I have written tests on basic programming skills?","<best-practice><grading><syntax><assessment>"
"Should I teach modern web development in an introductory programming course? How?","<curriculum-design><web-development><undergraduate><javascript><c>"
"Best Practices / Effective Strategies For Building Diversity In High School CS Programs","<social-context><equity><classroom-environment>"
"Scheme vs Haskell for introducing functional programming","<functional-programming><language-choice>"
"What qualities should be considered when designing a front end project?","<web-development><problem-structure><project><front-end>"
"What can Snap! do that Scratch cannot?","<language-choice><scratch><snap><block-based-programming>"
"Explaining basic html structure","<lesson-ideas><introductory-lesson><html><xml>"
"How to encourage participation in the national olympiad in informatics?","<high-school><extracurricular-club>"
"Database theory (normalization) for beginners (adult education, MS Access)","<cs-theory><databases><industry-training>"
"How to ""teach"" CSS for students?","<html><css><javascript>"
"How to get girls more interested in computer science?","<diversity-gap>"
"How to teach the importance of indentation","<coding-style>"
"How to explain to people the importance of algorithms in computer programming?","<algorithms>"
"The use of the Octal system","<number-system>"
"Designing rubrics for AP Computer Science-style free response questions","<grading><ap-computer-science-a>"
"What is a good analogy for the Object Oriented paradigm?","<object-oriented-paradigm><teaching-analogy>"
"Command-line Java in AP CS A","<java><ap-computer-science-a><ide><command-line>"
"What kind of game (in Scratch) would require use of a list?","<scratch><arrays>"
"Programming languages specifically designed for beginners","<best-practice><language-choice>"
"How can I maintain interest in front end?","<high-school><student-motivation><web-development><front-end><engagement>"
"Presenting Mapping Reducibility (for P vs NP)","<lesson-ideas><complexity-theory>"
"What are the merits of including the history of computers in the entry level curriculum?","<social-context><computer-history>"
"Do I need Prolog to teach logic concepts?","<language-choice>"
"How do you structure broad, open-ended, freely chosen projects so that students use class time wisely?","<labs><project><student-motivation>"
"Teaching students to hunt for and debug their own errors","<debugging>"
"Programming curriculum for elderly students","<curriculum-design><adult-education>"
"Dealing with students who complete labs very quickly","<high-school><labs><best-practice><differentiation>"
"Lesson Idea: Arrays, Pointers, and Syntactic Sugar","<lesson-ideas><arrays><c><syntax><abstraction>"
"Is it more effective to teach low level languages before high level ones or vice versa?","<curriculum-design>"
"Real life examples of 0-indexing","<lesson-ideas><arrays><abstraction>"
"Ruby backend framework choice: Ruby on Rails vs Sinatra","<language-choice><curriculum-design><ruby>"
"Encourage students to be independent","<lesson-ideas><curriculum-design>"
"Self guided learning about audio processing","<curriculum-design><artificial-intelligence><self-learning>"
"How can I discourage poor design while using automatic grading of submissions?","<grading><coding-style><auto-graders>"
"How to avoid getting emotionally attached to my students' projects?","<social-context>"
"Analogy for static objects (or members)","<java><teaching-analogy><high-school><static>"
"Workflow for Code Submission","<java><ap-computer-science-a><github>"
"Introducing A* Search Algorithm","<lesson-ideas><algorithms>"
"Are userscripts a good teaching tool?","<lesson-ideas><web-development><front-end>"
"Simple Pointer Examples in C","<lesson-ideas><c><pointers><code-example>"
"Effectiveness of Parsons Problems","<lesson-ideas>"
"How to illustrate scope problem when creating variables inside `if` statements in Java","<java><ap-computer-science-a><scope>"
"Note-taking policy: laptops, or by hand?","<best-practice><notes>"
"Supplementing Curriculum with Online Resources","<curriculum-design>"
"Video Games during class","<classroom-management>"
"Computers are down; what's in your bag of tricks for teaching CS when they can't get on a computer?","<lesson-ideas><high-school>"
"Final exam advice","<ap-computer-science-a><high-school>"
"What makes imperative programming easier or harder to learn?","<imperative-programming><programming-paradigms>"
"Assignments for Introductory Level Processing","<curriculum-design><processing>"
"What program follows ""hello, world""?","<curriculum-design><introductory-lesson>"
"Excel macro recorder exercises","<lesson-ideas><exercises>"
"Assessing programming skills of students under 18 years","<assessment>"
"What are good sample programs for learning to use a debugger?","<java><labs><debugging>"
"Significant algorithm from CS for DrRacket that emphasize cons, car, and cdr","<lesson-ideas><algorithms><functional-programming><scheme>"
"In-class server access limits","<engagement><student-motivation><classroom-management>"
"Introducing self containing objects (Node)","<object-oriented-paradigm><data-structure>"
"Basic OOP practice exercises for inheritance and polymorphism","<lesson-ideas><object-oriented-paradigm><exercises>"
"How to provide individual grades for group project work?","<grading><project>"
"Most beneficial CodingBat problems for AP CS A FRQs","<java><ap-computer-science-a>"
"Teaching coding paradigms and concepts with specific context","<java><frc><robotics><first>"
"How can I show the value of best practices?","<lesson-ideas><best-practice><coding-style>"
"Teaching loop invariant choice","<lesson-ideas><cs-theory><induction>"
"Good beginning assembly language for teaching about stack function calls","<language-choice><assembly>"
"Scope and Sequence for Raspberry Pi Course","<curriculum-design><raspberry-pi>"
"Instructional Methods for In-class Code Demos","<lesson-ideas><curriculum-design>"
"What should be the difference between a university course and developer training?","<student-motivation><adult-education>"
"Problematic student at a very high level","<high-school><best-practice><student-motivation><differentiation>"
"Demographics in Programming Teams in Early CS Courses","<best-practice><project><group-work>"
"What are good projects for metaprogramming?","<ruby><metaprogramming>"
"Colors in Blocks-based Languages","<block-based-programming>"
"How to respond when students ask ""is recursion good practice""?","<lesson-ideas><student-motivation><recursion>"
"Suggestions for encouraging good Coding Practices?","<grading><best-practice><auto-graders><coding-style>"
"How can I incorporate agile development into CS1/CS2 courses?","<curriculum-design><agile-development>"
"What are good/bad topics for a non-major CS0 course?","<curriculum-design><cs0>"
"Genetic Algorithm enrichment lesson","<java><high-school><exercises><genetic-algorithm>"
"Why is the critical-section problem always presented with code in infinite loops?","<concurrency><operating-systems>"
"Learning about the Blockchain","<curriculum-design><self-learning><resource-request>"
"Deep Learning Teaching Resources","<machine-learning><deep-learning><resource-request>"
"Homework Policy for Advanced/Honors Students","<ap-computer-science-a><homework><ap-cs-principles>"
"How to teach students not to use jump statements","<curriculum-design><best-practice><coding-style>"
"Teaching identifier naming conventions","<coding-style>"
"The importance of writing understandable code","<coding-style>"
"Analogy for abstract classes","<java><object-oriented-paradigm><teaching-analogy>"
"Teaching Other Markup Languages","<latex><markdown><markup-languages>"
"How to teach which loop should be used","<lesson-ideas><looping>"
"Explaining how an Interface is a contract","<high-school><java><teaching-analogy><object-oriented-paradigm><interface>"
"Teaching with just a single Makey Makey and Sphero","<lesson-ideas><high-school><engagement><makey-makey><sphero>"
"What is a good analogy for pass by value vs by reference?","<lesson-ideas><teaching-analogy>"
