title,tags
"Papers every complexity theorist should read","<cc.complexity-theory><reference-request><big-list>"
"Load-balancing; Alternate methods of keeping track of nodes?","<ds.algorithms><graph-algorithms><ds.data-structures><tree><search-problem>"
"Is tensor rank is in VNP?","<cc.complexity-theory><algebraic-complexity>"
"Linearly independent Fourier coefficients","<co.combinatorics><linear-algebra><boolean-functions><fourier-analysis>"
"Examples of pedantry in TCS","<ds.algorithms><soft-question><big-list>"
"Learning with (Signed) Errors","<cc.complexity-theory><ds.algorithms><cr.crypto-security><machine-learning><open-problem>"
"Is $\mathsf{MA}$ equal to $\mathsf{NP}^\mathsf{RP}$?","<cc.complexity-theory><oracles>"
"Simple k-nearest-neighbor algorithm for euclidean data with highly variable density?","<ds.algorithms><ds.data-structures><cg.comp-geom><clustering><near-neighbors>"
"Help proving a 3CNF related prob. is in P","<cc.complexity-theory><complexity-classes><computability><sat><polynomial-time>"
"Two matrices related by a permutation $B = P A P^T$ - complexity","<cc.complexity-theory><np-hardness><cg.comp-geom><linear-algebra><permutations>"
"Graph addition chains","<ds.algorithms><reference-request><graph-theory><co.combinatorics><treewidth>"
"Interesting SUBSET-SUM problems","<cc.complexity-theory><reference-request><np-hardness><polynomial-hierarchy><subset-sum>"
"The complexity of comparing a power to some threshold","<cc.complexity-theory>"
"whats the difference between nondeterminism and parallelism?","<cc.complexity-theory><reference-request>"
"Parametricity and projective eliminations for dependent records","<reference-request><pl.programming-languages><dependent-type><parametricity>"
"Making algorithm comparison when algorithms use parameters","<ds.algorithms>"
"Combinatorial method for computing the largest eigenvector of the adjacency matrix of a graph","<ds.algorithms><graph-theory><spectral-graph-theory>"
"Early References for Transition System Semantics of Programs","<reference-request><pl.programming-languages><ho.history-overview><semantics>"
"Approximate degree of $\textrm{AC}^0$","<cc.complexity-theory><reference-request><circuit-complexity><polynomials>"
"Solving a system of linear inequations","<ds.algorithms><optimization><linear-algebra><linear-programming>"
"Reading list on rewriting systems?","<lo.logic><big-list><type-theory><lambda-calculus><term-rewriting-systems>"
"Interesting PCP characterization of classes smaller than P?","<cc.complexity-theory><complexity-classes><pcp>"
"application for the Kchinchine inequality in Computer Science","<linear-algebra><pr.probability>"
"Extensionality of lambda calculus models","<lo.logic><lambda-calculus><formal-modeling><extensionality>"
"Examples of simple charging schemes","<graph-theory><cg.comp-geom><examples>"
"Lock-free, constant update-time concurrent tree data-structures?","<reference-request><ds.data-structures><time-complexity><tree><concurrency>"
"Validity implies NP=#P?","<cc.complexity-theory><complexity-classes><computability><counting-complexity>"
"Find the best path between two strings","<ds.algorithms><graph-theory><application-of-theory>"
"Circuit lower bounds and kolmogorov complexity","<cc.complexity-theory><reference-request><lo.logic><circuit-complexity><kolmogorov-complexity>"
"How do 'tactics' work in proof assistants?","<lo.logic><type-theory><proof-assistants>"
"Span programs, witness size, and certificate complexity","<cc.complexity-theory><reference-request><quantum-computing><query-complexity>"
"Algorithm for finding the largest subgraph without a directed triangle","<ds.algorithms><graph-algorithms>"
"Graph planar drawing, with each edge's length is known","<graph-algorithms><cg.comp-geom><planar-graphs><embeddings>"
"Examples of #P problems which are in FP ?","<cc.complexity-theory><sat><counting-complexity>"
"Existence of $opt^c$-approximation of Dominating Set with $c < 1$?","<cc.complexity-theory><approximation-algorithms><approximation-hardness>"
"Are there Belief Revision techniques for quantified data?","<lo.logic><ai.artificial-intel><knowledge-representation>"
"Is signing a message hash a valid replacement for blind signature?","<cr.crypto-security>"
"What is the status of Vladimir Romanov's proof that P=NP?","<cc.complexity-theory><p-vs-np>"
"Recovering the slope of a digitized line","<reference-request><cg.comp-geom><cv.computer-vision><image-processing>"
"Size of BSP tree for a simple polygon?","<cg.comp-geom>"
"A better way to cluster items","<graph-algorithms><clustering><data-mining>"
"What is the complexity of #satisfiable instances of k-SAT ?","<cc.complexity-theory><sat><counting-complexity>"
"What is the fastest algorithm to compute rank of a rectangular matrix?","<ds.algorithms><reference-request><time-complexity><linear-algebra><matrices>"
"Which algorithm can do a stable in-place binary partition with only O(N) moves?","<ds.algorithms><space-bounded>"
"Physics and TCS","<soft-question><application-of-theory>"
"Any algorithmic problem has a time complexity dominated by counting?","<ds.algorithms><reference-request><counting-complexity><time-complexity>"
"Minimal non-negative linear combination of positive integers larger than a positive integer","<ds.algorithms><integer-programming>"
"Ambiguity and Logic","<lo.logic><automata-theory><regular-language><nondeterminism><finite-model-theory>"
"Can regular maps, no matter their complexity, be topologically transformed into circular maps or rectangular maps?","<graph-theory><co.combinatorics><graph-algorithms><graph-drawing>"
"Are there Petri net models with ""checking"" rather than ""taking"" transitions?","<reference-request><fl.formal-languages><petri-nets>"
"Enumeration of discrete objects for which recognition problem is coNP-complete","<cc.complexity-theory><np-hardness>"
"Selecting papers to read","<soft-question><advice-request>"
"What is the complexity of (possibly succinct) Nurikabe?","<cc.complexity-theory><np-hardness><puzzles>"
"Is there a local variant of TSP?","<ds.algorithms><graph-algorithms><cg.comp-geom><application-of-theory><tsp>"
"Fair and ""robust"" fallback permutations","<ds.algorithms><co.combinatorics><dc.distributed-comp>"
"Looking for papers and articles on modal substructural logics","<reference-request><lo.logic><proof-theory>"
"Book on Probability","<reference-request><big-list><pr.probability><books>"
"Looking for papers and articles on higher-order sequent systems","<reference-request><lo.logic><proof-theory>"
"Is $ALL\setminus(RE \cup co-RE)$ empty?","<computability>"
"SAT - Hardness of determining backbone literals","<cc.complexity-theory><ds.algorithms><sat>"
"Given a network flow, are there bounds on the change in weight on nodes?","<ds.algorithms><graph-theory><application-of-theory><network-modeling>"
"Array slice reversing data-structure","<reference-request><ds.data-structures>"
"Isometric embedding of L2 into L1","<cg.comp-geom><metrics><embeddings>"
"Is it possible to convert a Max heap to a Min heap in place?","<ds.algorithms><ds.data-structures>"
"Random monotone function","<cc.complexity-theory><circuit-complexity><randomness><natural-proofs><boolean-functions>"
"Reference Request: Submodular Minimization and Monotone Boolean Functions","<reference-request><machine-learning><lg.learning><boolean-functions>"
"Open or Interactive Constraint Satisfaction","<sat><lo.logic><csp>"
"An edge partitioning problem on cubic graphs","<graph-theory><np-hardness><co.combinatorics>"
"Max-cut with negative weight edges","<ds.algorithms><graph-theory><approximation-algorithms><max-cut>"
"Why Ramanujan graphs are named after Ramanujan?","<graph-theory><soft-question><ho.history-overview><expanders>"
"What are the best possible time/error tradeoffs for approximate solution of linear programs?","<ds.algorithms><approximation-algorithms><online-learning><linear-programming>"
"Universities for Quantum Computing / Information?","<soft-question><quantum-computing><big-list><quantum-information>"
"Hardness of approximation assuming NP != coNP","<approximation-hardness><conditional-results>"
"When should you say what you know?","<soft-question><research-practice><authorship>"
"Any example of an unsatisfiable integer program with non constant Rank Lower bounds for LS+ cuts but with short LS+ refutations?","<cc.complexity-theory><open-problem><integer-programming><proof-complexity>"
"Multiplicative version of 3-SUM","<cc.complexity-theory><ds.algorithms><time-complexity>"
"Formalized configuration of Subset sum problem Worst-case ?","<cc.complexity-theory><np-hardness>"
"Fast Hamiltonian Cycle finding Algorithm","<ds.algorithms><graph-theory><reference-request>"
"A fixed-depth characterization of $TC^0$? $NC^1$?","<cc.complexity-theory><circuit-complexity><upper-bounds>"
"True Bit Complexity of matrix multiplication is $O(n^{4})$","<cc.complexity-theory><algebraic-complexity>"
"Complexity of hex with random turn order.","<cc.complexity-theory><board-games>"
"Storage requirements for median selection (two passes algorithms)","<ds.algorithms><space-bounded><data-streams>"
