title,tags
"How to run a script or a command on EC2 instance via AWS CLI?","<amazon-ec2><aws-cli>"
"How to track unused resources in AWS?","<amazon-web-services><amazon-cloudwatch>"
"Ansible does not create directories CentOS7","<ansible><centos>"
"How to populate docker volumes in a build step to be used by a different container","<docker><docker-compose><nginx>"
"Central repository hosting various binaries/applications for different platforms/architectures","<ansible>"
"Have Jenkins trigger GitlabCI","<jenkins><continuous-integration><continuous-deployment><gitlab><gitlab-ci-runner>"
"Where to put ansible-vault password","<ansible><git><security><practices><ansible-vault>"
"Modelling economic value of risk-reduction DevOPs efforts","<risk>"
"How to start a VPN connection using Jenkins?","<jenkins><deployment><jenkins-pipeline><vpn>"
"What is the meaning of source artifacts that must be in a scripted form?","<artifacts><versioning>"
"How to list security groups for the specific instance via CLI?","<security><aws-cli>"
"How to get instance's route table id using CLI?","<amazon-web-services><amazon-ec2><aws-cli>"
"Powershell script in jenkins is hanging","<jenkins><deployment><powershell>"
"Ensure that reactor worked out and see the result of execution state in SaltStack","<configuration-management><continuous-delivery><salt>"
"Fastlane Screenshots with Authentication","<ios>"
"Problem with Anaconda installation","<windows><python><installation>"
"Change Ansible module based on variable or group","<ansible>"
"What git command could be used to check when a remote branch was created?","<git>"
"How to write Apache airflow dag for file watcher","<docker><kubernetes>"
"From a security perspective, to which location should one copy an app inside a docker image?","<docker><security>"
"How to deal with docker compose's naming convention of named volumes?","<docker><docker-compose><volume>"
"Coupling docker registry and source control","<docker><git><scm><registry>"
"In the HashiCorp stack, where's the appropriate place to add users?","<terraform><linux><azure><packer>"
"One Checkout When Running Parallel Stages In Jenkins","<jenkins><jenkinsfile>"
"Monitoring immutable infrastructure virtual machines","<monitoring><immutable-servers>"
"Terraform: Delay the MySQL Provider","<terraform><mysql><terraform-module><terraform-workspace>"
"What is the biggest Docker image on Docker Hub and how to find it?","<docker><dockerhub>"
"Docker Compose V3 app container can't access couchdb container","<docker><containers><docker-compose>"
"Installing Packages from a 3rd Party Repository with FAI","<automation><provisioning><fai>"
"Create multiple EC2 instances using python script (in loop iteration)","<amazon-web-services><amazon-ec2><terraform><automation><python>"
"How to determine actual cost of specific spot instance","<amazon-web-services>"
"Actions Performed During FAI Repository Task Do Not Persist","<automation><provisioning><fai>"
"Why Run Concourse CI in Kubernetes","<continuous-integration><kubernetes><containers><configuration>"
"Update production server (apache, wordpress, mysql) on docker containers, from staging server","<docker><continuous-delivery>"
"What are the security risks of CD in an open source project?","<continuous-deployment><travis-ci><open-source>"
"How to avoid output being truncated when running AWS SSM command?","<aws-cli>"
"How to get the latest stable version of Firefox?","<automation><api>"
"Docker image delivery lead time SLA","<docker><performance><infrastructure><sla>"
"PTC with Jenkins on Deployment based on the Build request which raised on PTC","<jenkins><jenkins-plugins>"
"Dockerized Flask: Connection reset by peer","<docker><python>"
"How to prune all but two most recent docker images?","<docker><docker-compose>"
"docker-compose healthcheck for rabbitMQ","<docker><docker-compose><rabbitmq>"
"Secrets in Docker without Swarm","<docker><secret-management>"
"Devops CICD run ReactJS application while testing with jest + puppeteer","<continuous-integration><gitlab><gitlab-ci-runner>"
"Why should I store artifacts?","<artifacts>"
"Install and remove a program in the same Puppet declaration","<infrastructure-as-code><puppet>"
"Defining and using bash functions in AWS CodeBuild","<amazon-web-services><bash><aws-codepipeline>"
"What is the optimum number of people in a weekly oncall schedule?","<process>"
"Need help getting documentation of Jenkins","<jenkins><documentation>"
"WIndows or Ubuntu server when developing on windows?","<windows><cloud><servers><ubuntu>"
"Cannot understand jenkins deployment error","<jenkins><deployment><dependency-management><ant>"
