title,tags
"GFCI: both load and line have voltage","<gfci>"
"Need help identifying shower valve brand","<plumbing-fixture>"
"Will this arrangement of bricks be a good base for a concrete floor for a garden shed?","<concrete><floor><cement><gardening>"
"What plan makes most sense for this bathroom rough in?","<rough-in>"
"Need help identifying these wires","<electrical><light-fixture>"
"Detached deck on a steep slope","<deck>"
"Wire in breaker panel is dead","<electrical><circuit-breaker>"
"Preparing Broken Concrete Hearth Extension for Tile","<concrete><tile><fireplace><hearth>"
"Sprinkler pipe in concrete","<concrete><pvc><sprinkler-system>"
"Is this a water leak or condensation in the wall around my dryer vent?","<walls><leak><dryer><moisture><humidity>"
"Do I need a floor drain for the water heater in my townhome?","<water-heater><drain><code-compliance><hot-water><pex>"
"Hardwood Floor Squeaks - Fixing Squeaks or Removal of Hardwood Floor for LVP","<flooring><floor><hardwood-floor><subfloor><vinyl-flooring>"
"How to anchor zipline to house","<anchor>"
"how to remove plastic stuck inside core drill bit","<tools>"
"Wall of smaller drywall sheet pieces - tape or replace?","<drywall>"
"Is there a functional/performance difference between standard and self adhesive mesh drywall tape?","<drywall>"
"Is there anything else I should be concerned about while run low voltage landscaping cable through an exterior wall?","<electrical><landscaping><cabling><power>"
"Which adhesive sealant for bathroom fixture escutcheons?","<shower><sealing><adhesive><bathroom-fixtures>"
"Spigot replaced with ball valve- now the water gets out like from a water cannon...why?","<water><valve>"
"What's the best way to ensure a wood fence is straight when the post stirrups are not level?","<fence>"
"How do I hard wire a T8 fluorescent light fixture with grounded plug to a motion sensor?","<wiring><lighting>"
"How to reduce toilet tank refill noise?","<toilet><noise>"
"Tailpiece too long for new chrome J-Bend in kitchen sink drain repair","<plumbing><drain><sink><kitchen-sink>"
"Base of light bulb turning brown","<lighting><light-fixture><fire-hazard><cfl>"
"Gfci supplies a dock keeps tripping and can't be reset only replaced","<gfci><protection>"
"How to map out downstream outlets for GFCI install","<electrical><gfci>"
"Is Armored (BX) cable considered to be protected from damage?","<electrical>"
"How would I go about installing a prehung door in this opening?","<doors><framing><door-frame>"
"How to test appliances for energy used","<electrical>"
"How to remove a sliding screen door wheel","<screens>"
"Can I terminate my dryer vent next to my gas meter?","<code-compliance><safety><dryer><exhaust-vent>"
"How should I replace a 1.5 inch tread with 1 inch tread?","<stairs>"
"Question about electrical service for subpanel in pool house","<electrical>"
"What are these parts!","<engine>"
"Dryer plug problem","<dryer>"
"Can I put a UK 3 pin plug or use an adapter on a dishwasher I brought in South Africa?","<electrical>"
"Diagnosing loud pool pump motor","<pool><noise><pump>"
"Can dryer vent touch ABS pipe?","<vent><dryer><heat><abs>"
"How do I fix a light switch timer?","<lighting><switch><light-fixture>"
"Maxi Pad flushed down the toilet","<plumbing><bathroom><repair><toilet><clog>"
"How do I attach a new Rain Sensor to my ancient Hydrotek sprinkler timer?","<wiring><sprinkler-system>"
"How should I wire my pool heat pump?","<electrical><wiring><pool>"
"Stove Knob adapter 8mm to 6mm?","<stove>"
"Will spray paint bleed through paint on new plaster walls?","<walls><paint><plaster><spraypainting>"
"How can I level a part of a concrete floor in preparation for installing a washing machine?","<concrete><basement><washing-machine><self-leveling-concrete>"
"Are toilets supposed to be caulked to the floor?","<plumbing><toilet><caulking>"
"What is involved when replacing wood paneling with drywall?","<drywall><walls><finishing>"
"How can I cut cement sewer line to add cleanout?","<repair><sewer>"
"What is ""code"" and what should a DIYer know about it?","<code-compliance>"
"How can I safely increase the size of a door bolt?","<doors><bolts><doorknob>"
"Well pipe leaking at where pipe comes to the house. (Images, Video)","<plumbing><waterproofing><water-pressure><well>"
"How are thermal (fire) barriers installed over foam insulation in a crawlspace?","<insulation><fire-hazard>"
"Cabinet door opening on it's own, how do I adjust this type of hinge?","<doors><cabinets><hinges>"
"How can you stop dual pocket doors so they close in the center and do not come off the track","<doors><pocket-door>"
"What does ""8(3)A"" mean on a relay spec sheet?","<electrical><heating>"
"Replacing a few boards in a hardwood floor: sanding and refinishing?","<repair><hardwood-floor><finishing>"
"How to clarify and remove green tint to an in ground pool","<water><pool><chlorine>"
"Do I need to suplimentary seal the joint between pavers and patio edge when that joint is used as a drain channel?","<drainage><patio>"
"Sharing kitchen hood and kitchen ventilation through one duct","<kitchens><ceiling-fan><ventilation><ducts><hood>"
"Can I remove kitchen bulkhead/soffit without removing cabinets?","<drywall><kitchens><soffit>"
"Lower attic floor joists to increase head room","<ceiling><attic><joists>"
"frigidaire freezer ffu14f5hwf not freezing","<appliances>"
"Align two holes on the ceiling","<ceiling><hole>"
"Can an SPST switch be used instead of a thermostat for a gas stove?","<thermostat><gas><fireplace><propane><smart-switch>"
"Not sure how to change these lightbulbs. What is this lighting system?","<electrical>"
"How to patch holes in stucco wall?","<drywall><walls><stucco><patch>"
"Use C-clamps in place of mounting clamps for truck cap/topper?","<fastening>"
"Getting pressurized water from old irrigation well system","<plumbing><water-pressure><irrigation>"
"Desk stress with grommet holes","<materials><desk>"
"How to hang things on wall where 1/2"" drywall covers solid material (steel?)","<drywall><walls><drywall-anchor>"
"Garage Door Opener, Power to Motor Will Not Turn Off","<repair><garage-door-opener>"
"How would you cover this vent?","<vent><air>"
"Replacing engineered flooring on slab","<hardwood-floor><adhesive><engineered-flooring>"
"How to deal with Densheild to drywall transition disparity","<drywall><tile><transition><porcelain>"
"Old kitchen light fixture was wired backwards, should I reverse it with the new one?","<electrical><light-fixture><wire>"
"Putting a birdhouse up a tree without harming the tree","<gardening><tree>"
"Can I drill through the bottom plate of this first floor into the basement?","<wiring><framing><structural>"
"My AC's internal unit throws water droplets when started","<air-conditioning><leak>"
"Are My Electrical Boxes Actually Grounded?","<grounding>"
"Why does my refrigerator water dispenser not work, and the water line to the dispenser stays filled with air?","<water><refrigerator>"
"Motion Sensor Light Setup","<electrical><lighting>"
"Ventless vs nonventless","<vent><exhaust-fan>"
"Placement of sewage exhaust pipe","<plumbing><sewer>"
"How to remove stubborn adhesive residue from my windows?","<windows><cleaning><adhesive><vinyl>"
"Install nylon straps in chair","<repair><furniture>"
"Honeywell C wire on a dual transformer system","<thermostat><thermostat-c-wire>"
"Two black wires connected into a single black wire in light switch box","<switch><light><dimmer-switch>"
