title,tags
"Is there a way to override the distance limit on a DJI Mavic Mini without a mobile phone app?","<distance-limit><dji-mavic-mini><smartphone-app>"
"What is the proper method of tuning PID filters for recent BetaFlight (4.x) on micro-sUAS WITHOUT Blackbox?","<betaflight>"
"Can I power the VTX and FC from the same vbat pad on the ESC?","<wiring>"
"Tuning with notchy motors on Betaflight","<betaflight>"
"What do I need to do to get OpenTx 2.3.X to include D8 on a Taranis QX7 model?","<frsky><transmitter><opentx><firmware>"
"Why are most multirotors built with an even number of rotors?","<multirotor><rotors>"
"Is it possible to get a FAA Part 107 drone license if one has had a pilot license revoked or suspended?","<regulations><faa><license>"
"Are there any alternatives to BetaFlight?","<betaflight><flight-controller><recommendations>"
"How do you figure out which motors to use for your UAV?","<motor><resources><motor-size>"
"Storing drones during the winter","<hardware><winter><storage>"
"Crossfire, Unify VTX settings are being overwritten","<crossfire><team-blacksheep><crossfire-lite><unify-pro32-hv><crossfire-nano>"
"What sort of fuel do model jet plane engines take?","<engine><jet><fuel>"
"What counts towards the official weight of a drone?","<faa><license>"
"Why did a quadcopter in vertical descent appear to lose thrust and descend rapidly?","<quadcopters>"
"Why was 32kHz gyro sampling removed from Betaflight?","<betaflight><multirotor><fc-firmware>"
"How low can I safely discharge a LIPO battery during flight?","<lipo-batteries><battery-safety>"
"Why do 48KHz ESCs increase flight time?","<multirotor>"
"How to restore LiPo-powered aircraft that have not been flown for years?","<hardware><lipo-batteries><batteries><helicopters><repairs>"
"What does the C rating on a LiPo battery mean?","<lipo-batteries><batteries>"
"What does KV mean on motors?","<motor><brushless-motors>"
"The earliest recorded use of a UAV for military use was in July 1849, but if we include non-military UAVs, was there anything earlier?","<history>"
"How does weight factor into legal allowance in Germany?","<regulations><weight><germany>"
"What is a safe amount of time a LiPo pack can be kept fully charged before it is discharged to storage capacity?","<lipo-batteries>"
"How can I safely parallel charge my LiPo batteries?","<lipo-batteries><battery-safety><charging>"
"Should Crossfire transmitter antenna orientation match receiver antenna orientation?","<crossfire><antenna><immortal-t>"
"How can foreigners fly non-nano drones in India?","<regulations><india>"
"What is a ground loop and how does a common ground reduce video noise?","<hardware><multirotor>"
"Is it safe to fly LiPo batteries after they get ""puffy""?","<lipo-batteries><batteries><battery-safety><safety>"
"What is the smallest drone ever made?","<under-250-grams>"
"How long can a LiPo pack be kept fully discharged before storage charging?","<lipo-batteries><battery-safety><charging>"
"What does it mean for SBUS to be an inverted protocol?","<frsky><sbus><f4><uart><flight-controller>"
"How can I reverse the direction of a brushless motor?","<motor><brushless-motors>"
"What's the advantage of props in VS props out?","<multirotor>"
"Why do brushless motors have 3 wires compared to 2 wires on a brushed motor?","<motor><brushed-motors><brushless-motors>"
"What process should I use to ensure my motors are spinning the correct direction when using Betaflight","<betaflight><motor><quadcopters>"
"How to know if a place is a no-drone zone in the UK?","<regulations><united-kingdom>"
"What makes mushroom antennae so good at receiving and transmitting omnidirectionally?","<antenna>"
"What does BEC, SBEC, UBEC, and OPTO mean for brushless motor ESCs?","<brushless-motors><esc>"
"How to avoid a drone going out of range?","<range>"
"What is the most thrust dense copter configuration?","<aerodynamics>"
"New Prebuilt Drone flipping on takeoff","<quadcopters>"
"What is circular polarization in antennae?","<antenna>"
"Freshly built quadcopter/drone flips on takeoff","<quadcopters><troubleshooting>"
"Take drone on a plane in Europe?","<regulations><under-250-grams><transportation>"
"Why do the motors on my drone keep spinning up and max out when I run up the throttle on my radio on the bench?","<betaflight><motor><windup><spinup><flyaway>"
"Crossfire signal strength - comparing Immortal ""L"" vs ""T""","<antenna><crossfire>"
"Drones for spelunking?","<recommendations><accessories>"
"How can I set up differential thrust for a model airplane?","<fixed-wing><taranis-qx7>"
"How can I become a contributor developer for the Betaflight project?","<betaflight>"
"TBS My VTX setting","<team-blacksheep>"
"Betaflight Camera Angle","<betaflight>"
"What is the analog video input pinout on the DJI FPV goggle?","<wiring><accessories>"
"What should I keep in mind when picking my first drone?","<hardware><recommendations>"
"Methodology and sources for obtaining the correct replacement batteries for low-end RC aircraft","<lipo-batteries><batteries><helicopters><repairs>"
"What is the advantage of SBUS over IBUS?","<frsky><transmitter>"
"Free simulators to use when actual RC flying is not possible","<recommendations><software><training><simulators>"
"What are 'Modes' of a transmitter / controller?","<transmitter>"
"I can't bind my S-FHSS Corona SBUS receiver with a jumper t16 transmitter. Are they compatible?","<jumper><t16>"
"r-xsr won't bind to qx7s","<transmitter><taranis><receiver>"
"Drones to fly indoors","<recommendations><under-250-grams><indoors>"
"What aviation regulations govern the use of drones in Ireland?","<regulations><ireland>"
"What is the difference between FPV or LOS, angle or acro drones?","<comparison>"
"Kk2.1.6 falling in mid air and losing control","<transmitter><quadcopters><diy><out-of-control><kk2.1.6>"
"How can I configure a servo in Betaflight?","<betaflight><hardware><accessories>"
"Is flying a drone in Puerto Rico the same as flying one in the continental USA?","<regulations><faa><puerto-rico>"
"What are the exact specifications of a RushFPV SMA connector?","<hardware><antenna>"
"What sort of license would I need to fly a small drone (e.g. DJI Spark) in the Israeli Golan?","<regulations><dji-spark>"
"Why do higher voltage batteries need lower KV motors?","<motor><batteries>"
"Remap not yet existing uart","<betaflight><wiring><betaflight-cli>"
"Alternatives to LiPo batteries","<lipo-batteries><batteries>"
"Full throttle oscillations","<betaflight><multirotor>"
"How can I take aerial photography without leaving my house?","<regulations><united-kingdom><photography>"
"How important is the plastic coating around a coax?","<hardware><antenna>"
"What is the meaning of 'control of a building' in the UK Air Navigation Order on Unmanned Aircraft?","<regulations><united-kingdom>"
"How do I set up LUA scripts on my OpenTX radio?","<transmitter><frsky><opentx><t16>"
"Why does the video cut out on HX-100 drone?","<video-transmitters>"
"FS RX2A Pro Receiver Not Working","<hardware><troubleshooting>"
"Is there an international competition that yearly chooses the best drones in the world?","<competitions>"
"USB Webcam Parts for FPV?","<transmitter><first-person-view><video>"
"How much does mounting an antenna near a carbon fiber frame degrade signal reception?","<antenna><signal-strength>"
"Why is it bad to power up a drone without an antenna on the VTX?","<first-person-view><antenna><video-transmitters><video>"
"How do I safely dispose of my LiPo batteries?","<lipo-batteries>"
"Quadcopter getting hot after a flight","<quadcopters>"
"How long does a LiPo battery last and how do I know if it needs replacing?","<lipo-batteries>"
"What are the conditions for LiPo battery damage from undervoltage?","<lipo-batteries><batteries>"
"Restore over-discharged LiPo batteries ~2.0V/cell","<lipo-batteries>"
"Quadcopter return to home function not working","<quadcopters><return-to-home>"
"Why do multirotors usually have four propellors?","<multirotor><design>"
"Why does a brushless drone fly longer?","<motor><brushless-motors><brushed-motors>"
"Affordable ways to crimp your own connectors","<px4><jst><ardupilot><connectors>"
"How can I build a drone similar to a DJI Mavic 2?","<quadcopters><resources>"
"ESCs for inverted flight?","<recommendations><esc>"
"What are the usual engineering considerations for a UAV current sensor?","<flight-controller><sensor><current-sensor><electronics><best-practice>"
"Do low temperatures damage LiPo batteries?","<lipo-batteries>"
"What are good specifications for a intermediate medium priced quadcopter?","<hardware><recommendations><first-person-view>"
"How do I re-charge the batteries of my S49 drone faster when outside?","<batteries><charging><ready-to-fly>"
"What is the established drone racing etiquette?","<racing><rules>"
"How do I pick my gear when getting started with FPV multirotors?","<hardware><multirotor><recommendations><first-person-view><beginner>"
"What happens when a multirotor runs out of battery mid-air?","<batteries>"
"Getting Started with Aerial Photography","<photography>"
"What is the background of remote controller modules?","<transmitter><frsky><jumper>"
"Are there specific laws or regulations in the USA barring weapons on drones?","<regulations><faa><united-states><armed>"
"How does a quadcopter yaw?","<quadcopters><propellers>"
"Flying a drone in France","<regulations><under-250-grams><france>"
"One motor on quadcopter broken","<hardware><multirotor><motor><troubleshooting>"
"How to tell if you have a brushed or brushless motor?","<hardware><motor>"
"Differences between brushed and brushless motors - advantanges and disadvantages of each","<hardware><motor>"
"Can drones/uav's fly over international waters without FAA's regulations?","<regulations><faa><unmanned-aerial-vehicle>"
"In drone racing with multirotors, how does one navigate the course?","<racing>"
"Optical sensors vs Ultrasonic sensors on a drone","<sensor><ultrasonic-sensor><optical-sensor>"
"Barometer vs Rangefinder","<barometer><rangefinder>"
"Effect of motor load on ESC?","<brushless-motors><esc><safety>"
"Difference between analog and digital servos?","<digital-servo><analog-servo><servo>"
"Headless mode on a drone","<headless-mode>"
"Keep quadcopter steady when taking a video","<quadcopters><video>"
"What are the typical methods of constructing a large airframe?","<hardware><fixed-wing><fabrication><airframe>"
"What does Feed Forward do and how does it work?","<betaflight><multirotor><pid>"
"Which settings in Betaflight allows me to do flips and rolls?","<betaflight><quadcopters><aerobatics>"
"Does the LaForge V3 Fat Shark Receiver receive audio from VTX?","<first-person-view><troubleshooting><laforge><audio><fpv-goggles>"
"Beeper beeps if transmitter is turned of even if it shouldn't","<betaflight><troubleshooting><flight-controller>"
