title,tags
"How to map (survey) the structure of crust","<mapping>"
"Is this a fossil we found in a store?","<geology><fossils>"
"Was the Earth's sea-level significantly lower in ancient times?","<earth-history><sea-level>"
"Where is the hot air for Australia's record spring heatwave coming from?","<temperature>"
"Is there a measure for the ""dominance"" of a city's population?","<geography><mapping><geospatial><gis>"
"How are giant sinkholes filled up?","<rocks><geomorphology><underground-water>"
"For slab rollback, what allows the subducting plate to begin descending at a steeper incline?","<geology><plate-tectonics><tectonics>"
"Generating netCDF file composed of zeros?","<matlab><netcdf>"
"Conversion of BUFR format into grib","<data-formats><bufr>"
"Does a table summarizing basic details of significant operational weather models exist?","<models><reference-request>"
"Guinea Current existence in the Atlantic","<oceanography><ocean-currents><atlantic>"
"If you were to create the most devastating and powerful Atlantic Hurricane ever, what path would it take and how would the storm progress?","<meteorology><tropical-cyclone>"
"Why does the intensity of sunlight depend on your latitude?","<temperature><sun><light><equator><insolation>"
"Geology: facies v. formations","<geology><sedimentology>"
"Why a stratus cloud does not always reach all the way to the ground?","<clouds><humidity><atmospheric-radiation>"
"Why is Massanutten mountain so dramatically different than surrounding mountains?","<mountains><mountain-building>"
"Is this an accurate simulation of a further south Australia with a filled lake Eyre?","<meteorology><atmosphere><climate><humidity>"
"Present results as log data","<pollution>"
"Who can it belong to? fossil tooth","<fossils>"
"Wavewatch III data","<models><wind><waves><database>"
"What mechanism is used to measure ocean currents from cables?","<oceanography><measurements><ocean-currents><atlantic>"
"Where does the Amazon River really begin?","<hydrology><rivers>"
"What is the definition of ""ground-up shell""?","<rocks>"
"Movement of the Prime/Greenwich Meridian","<plate-tectonics>"
"Why was the sky SO yellow?","<meteorology><atmosphere><sun><light>"
"When is the next glaciation due?","<climate-change>"
"Where are the oldest igneous rocks found?","<rocks><homework><igneous>"
"Antarctica Exploration","<antarctic><snow><arctic>"
"Did the formation of Panama trigger the beginning of Ice Ages?","<ocean-currents><ice-age><continent>"
"Is there a minimum snow depth to be considered as presence of snow?","<snow>"
"What was the density and composition of Earth's atmosphere during the Cretaceous warmest period?","<meteorology><atmosphere><paleoclimatology>"
"What are the arguments FOR Climate Change influenced by the drifting of Geomagnetic Poles?","<climate-change><geomagnetism>"
"Would the oceans have boiled off if life (cyanobacteria) hadn't evolved on Earth?","<ocean>"
"Is this a fossil or a mark on the stone","<fossils>"
"After days of smoky air, why is it healthier to stay inside?","<air-pollution><air-quality>"
"Is a glacier advancing or retreating? How to tell?","<glaciology><glacier>"
"Less pollution: moving hurricane debris to other regions for use, or burning?","<air-pollution>"
"Is there an Existing Model of Computing Rice Sufficiency?","<agriculture>"
"Is archived lightning data from the GOES-16 beta test available?","<lightning><weather-satellites>"
"What is this Lake Michigan rock?","<geology><rocks><mineralogy>"
"By how much can rain temperature vary from the ground-level air temperature?","<temperature><rain>"
"Relationship between obliquity, antarctic circumpolar current, and atmospheric $\ce{CO2}$","<atmosphere><climate-change><oceanography><ocean-currents><antarctic>"
"How is a UV Index calculated?","<meteorology><climate><clouds><ozone>"
"What are the effects of underwater ""windmills""?","<ocean><ocean-currents><tides>"
"Modeling swirling storms","<atmosphere-modelling><numerical-modelling><severe-weather>"
"How will axial precession affect the weather in the northern hemisphere (UK latitudes)?","<meteorology><planetary-science>"
"How Short IS The Arctic Summer?","<seasons>"
"Worldwide weather maps database","<meteorology><weather-forecasting>"
"How accurately can a tsunami be predicted? Have there been any successful evacuations?","<measurements><tsunami>"
"Does flow banding only occur in silicic rocks?","<geology><volcanology><rocks><petrology><structural-geology>"
"Base temperature value for European Nordic Countries","<temperature>"
"What are baroclinic and barotropic waves?","<atmosphere><ocean><oceanography>"
"How to find the magnitude of earthquakes roughly if we know the Richter scale magnitude of epicenter?","<geology><earthquakes>"
