title,tags
"How does the Kindle's reading rate algorithm work?","<kindle><time-to-read><kindle-touch>"
"How can I convert an HTML site into an ebook?","<mobi><html><conversion>"
"How do I easily convert and send PDFs to a Nook GlowLight or SimpleTouch's native format","<epub><conversion><pdf><nook>"
"My Nook Simple Touch screen is no longer responding to touch reliably. How can I fix it?","<nook><touchscreen><nook-simple-touch><maintenance>"
"How do I convert a Word document into a page by page Kindle ebook?","<conversion><kindle>"
"Clean up converted ebook","<epub><conversion><calibre>"
"Extracting notes and highlighting from Kindle books","<kindle><annotations>"
"Reading PDFs on Kindle device","<kindle><pdf>"
"Will I be able to read PDFs in Cyrillic on Kindle (classic)?","<kindle><pdf><fonts>"
"Will the ads on the Kindle with Special Offers affect my battery life?","<kindle>"
"Transferring books between Kindles","<kindle><ebook-management>"
"How can I fix the loose back power button on my Nook Simple Touch?","<nook-simple-touch><hardware><ebook-readers><buttons>"
"How to read text files on nook?","<nook>"
"Can books be transferred from Nooks to Kindles and back?","<kindle><drm><conversion><nook>"
"Is it possible to send a book purchased from Amazon to all of my devices at once?","<kindle><ebook-management><amazon>"
"What settings are the most energy efficient on a Nook Color?","<nook><hardware>"
"Is there any software that facilitates scanning of a paper book into an ebook?","<conversion><software><printed>"
"How to sync my Kindle with my Kindle library without using WiFi?","<kindle><send-to-kindle><3g><wifi>"
"How do I get my sideloaded books to appear in the Books section?","<kindle-fire><sideloading>"
"What rights do I have to eBooks I purchase in the U.S.A. as a U.S. citizen?","<drm><united-states>"
"How to discover/work around a limited number of devices for Kindle ebooks?","<kindle><drm><amazon>"
"What are the differences between EPUB2 and EPUB3?","<epub>"
"Is the Triton eInk display a viable option for future ereaders?","<hardware><ebook-readers><screens><color><e-ink>"
"Is Markdown a viable source format for writing ebooks?","<writing><markdown><source>"
"How do I create a simple e-book with MobiPocket Creator on Windows?","<mobi><windows>"
"What triggers the ""adult"" designation on Amazon Kindle books (romance genre)?","<kindle><amazon><kdp><publishing>"
"Are there technical advantages of one common format over another?","<epub><mobi>"
"Why are ebooks priced lower than their physical counterparts?","<pricing>"
"How can I reset the reading speed data on a Kindle?","<kindle><kindle-touch><time-to-read>"
"What page size maximizes readability across common ebook readers?","<pdf>"
"Does a “one-fits-all” file format exist or should I offer multiple ebook formats?","<publishing><file-format><standard><document><production>"
"Is there a standardized or recommended image format, size, and resolution when embedding images?","<file-format><reference-request><standard><embedding><image>"
"How well is SVG (being a ""pixel image"" alternative) supported?","<file-format><reference-request><standard><embedding><svg>"
"How to create clickable table of contents in a PDF?","<pdf><table-of-contents><hyperlinking><chapters>"
"How can I put footnotes in an ebook?","<epub><file-format><mobi>"
"Converting RTL epub to mobi","<conversion><epub><mobi>"
"How do I remove pages from an ePub file?","<epub><editing>"
"Which ereaders support the EPUB3 format?","<standard><epub>"
"Disabling Ads on a Kindle with Special Offers","<kindle>"
"Is there any way to address encoding errors in purchased ebooks","<publishing>"
"How can I display 'word count' in Calibre while browsing my Library?","<calibre><metadata>"
"What software should I use to write books, which can be exported to Lulu and CreateSpace?","<publishing><validation><metadata>"
"Are there any WYSIWYG editors for EPUB books?","<epub><editing><calibre>"
"Does Kindle (classic) support all embedded fonts in PDFs?","<kindle><pdf><fonts><i18n>"
"How do I permanently change the font size in HAN Software's ePub Reader?","<epub><fonts><epub-reader>"
"Scrivener as a tool for creating ebooks","<file-format><creation><software><writing>"
"Can I view books scanned to PDF on Kindle Classic?","<kindle><pdf>"
"What ebook format works across platforms and is simple to translate to other formats?","<file-format>"
"What was the first commercially available eBook reader?","<ebook-readers><history>"
"What commands can be given in the Kindle's search box?","<kindle><amazon><time-to-read><software>"
"Big screen dimensions or high DPI for vision impaired users?","<fonts><hardware><dpi><display>"
"Is ePub3 backward compatible?","<epub><publishing>"
"Is there online eBook authoring tool which can produce ePub and PDF formats?","<editing><writing>"
"How can I read notes alongside with text in Kindle readers?","<kindle><chapters><ebook-readers>"
"How can I access a web browser on the Nook Simple Touch?","<epub><nook><ebook-readers><nook-simple-touch>"
"How to use the e-ink Kindle readers to display photos?","<kindle><e-ink><image>"
"How to change the images displayed when my Kindle Touch is put to sleep?","<kindle><image>"
"Internet access on the 3G Amazon Kindles?","<kindle><3g>"
"How practical is it to learn to develop apps for e-ink Kindles?","<kindle><e-ink><programming>"
"Some classic literature is available for free - but where?","<reference-request><free><document><source><download>"
"What information does my Kindle share with Amazon?","<kindle><wifi><privacy>"
"Do e-ink devices suffer from burn-in?","<e-ink>"
"How is an epub structured internally?","<epub><file-format><editing>"
"Are there any free open-source custom firmwares for e-ink devices?","<e-ink><ebook-readers><firmware><customization>"
"Where can I find custom dictionaries for my Kobo Glo?","<customization><kobo><kobo-glo><dictionaries>"
"What is the correct term for eBook?","<language>"
"Can EPUB 3.0 be viewed on EPUB 2 devices","<ebook-readers><epub>"
"Does Microsoft allow official readers of ""lit"" format other than MS Reader?","<file-format><lit>"
"Are there ways to easily convert chapter-split books from popular fan-fiction sites into single e-book?","<conversion><creation><html><website>"
"Are there Perl modules recommended for reading and creating epub files?","<epub><programming>"
"Are there studies that show whether reading ebooks on e-Ink, LCD, SLCD or AMOLED displays are better for eyes?","<display><eyesight><lcd>"
"Are there ways to automatically detect what book an e-text is?","<metadata><cataloguing>"
"Are DRM free ebooks considered a better quality ebook?","<drm>"
"Is reading ebooks in ""Night"" mode better for eye health?","<eyesight><lcd>"
"Are there any open e-book file formats that support statistics gathering?","<file-format><format><statistics>"
"What are the benefits of Amazon Kindle device over Amazon Kindle app for a power user?","<kindle><kindle-app>"
"Are Baen eARC editions generally very different from final published books?","<baen-publishing>"
"How beneficial was the Baen Free Library to Baen publishing?","<baen-publishing><free>"
"Did any other publisher follow Baen's approach of freely releasing older e-books (especially for series)?","<free><baen-publishing>"
"Exact readable screen size of Sony PRS-650","<pdf><hardware><creation><libreoffice><sony-prs-650>"
"How to repack an epub file from command line","<epub><linux>"
"If I buy a Kindle Paperwhite do I have to get books from Amazon?","<kindle><sideloading><kindle-paperwhite>"
"Is it better to shut down my Kindle Fire or just put it to sleep?","<kindle-fire><battery><sleep>"
"When will the Sony PRS-T3 be available in the US?","<united-states><sony>"
"Is it more difficult to sideload books on to a Kindle Fire than other devices?","<kindle-fire><sideloading>"
"Where is the best place to get Calibre?","<calibre>"
"Is there any advantage apart from more storage space when using a memory card in a book reader","<ebook-readers>"
"How can I automate the creation of EPUB files from series of existing JPEG photos?","<epub><image><creation>"
"What is ""text to speech""?","<amazon><text-to-speech>"
"When shopping for ebooks on Amazon how do I tell if they have DRM?","<amazon><drm>"
"How easy is it to add a table of contents to an epub book?","<epub><hyperlinking><table-of-contents>"
"How to build an epub starting from a bunch of HTML files?","<epub><creation><calibre>"
"Is it possible to add a Table of Contents to a CBZ file?","<table-of-contents><cbz>"
"Migration path for Sony PRS-650 notes","<annotations><sony-prs-650>"
"Is there a good size comparison of which of different e-book formats is smaller?","<file-format>"
"Does something about DjVu prevent making a free viewer on iOS?","<file-format><software><djvu>"
"Will selling on Amazon significantly limit readership of free ebook?","<amazon><publishing>"
