title,tags
"Does an instant settlement system (such as blockchains) eliminate the possibility for short selling?","<finance><asset-pricing><cryptocurrency>"
"How are elasticity of demand, marginal revenue, and total revenue connected?","<microeconomics><elasticity>"
"Why a bank never combine all benefits/promotions and issue a single Credit Card","<banking>"
"How can I best estimate a company's contribution to GDP?","<gdp>"
"Are Cobb-Douglas preferences homothetic?","<utility><consumer-theory><preferences><cobb-douglas>"
"Does debt include interest owed?","<interest-rate><debt>"
"What is fiscal impulse?","<fiscal-policy>"
"Developmental studies and industrial policy for the highly developed countries - research trends?","<industrial-organisation><development-economics><development>"
"Game Theory: T-Fold Repetition Game","<game-theory>"
"Are there economic journals which are keen to publish puzzling empirical observations?","<empirical-evidence><empirical-methods>"
"Is falling inflation in India one of the reasons for the Nifty crossing the 10,000 points mark?","<stock-market>"
"Basic Reason of Why the Money Supply Needs to Increase?","<inflation><money-supply><federal-reserve>"
"What is optimal profit for this company?","<microeconomics>"
"The role of relative prices in markets on the allocation of resources and the effect on living standards","<macroeconomics><welfare-economics>"
"Human capital for under developed countries","<economic-growth><human-capital>"
"Distributing inflation in a hierarchical model","<reference-request><price-index>"
"Why did the rate of money supply growth accelerate from 1993-96 in the United States?","<monetary-policy><money-supply><federal-reserve>"
"McCloskey's example of fungibility in basketball","<philosophy-of-economics>"
"Which measures are there to evaluate a country economical development?","<gdp><economic-growth><government-debt><development-economics><development>"
"Other factors that affect the supply of money","<macroeconomics><money-supply>"
"A working model of Supply and Demand","<reference-request><supply-and-demand>"
"Is NIIP a good measure of a country economical development?","<economic-growth><development>"
"Interpretation of a differenced regression","<applied-econometrics>"
"How do calculate whether selling a product leads to profit?","<profit-maximization>"
"During an economic expansion, how do the ratios of Return on Equity and Return on Asset are affected?","<economic-growth><financial-economics><asset-pricing>"
"What aspects of macroeconomics should I address for convincing an investor to invest in a certain country?","<banking><investment><financial-markets>"
"Is Soros' theory of reflexivity aligned with normative vs positive economy dichotomy?","<economic-methodology><scientific-method>"
"How is it traditionally defined the minimum wage legislation in economics?","<labor-economics><minimum-wage>"
"Which income dollar is taxed most heavily, including implicit taxation, in USA?","<taxation>"
"Example of a rational and continuous preference relation that does not admit a utility representation","<consumer-theory><decision-theory>"
"Transformation of random variables and second order stochastic dominance","<statistics><decision-theory><risk>"
"How to calculate Tobin's Q as a measure of banks' performance?","<corporate-governance>"
"Difference-in-differences with long time horizon and repeated treatments","<applied-econometrics><time-series><paneldata><causality>"
"Calculating expected tenure of a customer","<microeconomics><finance><marketing>"
"Optimal Top Marginal Tax Rates","<reference-request><optimal-taxation>"
"Quantitative easing","<inflation><monetary-policy><quantitative-easing>"
"What's the relationship between Output elasticity and Returns to scale?","<production-function>"
"FOC and Log Linerizations","<macroeconomics><new-keynesian-economics>"
"Linearisation of the IS curve?","<macroeconomics><mathematical-economics><monetary-policy><self-study>"
"Existence of the general equilibrium","<mathematical-economics>"
"How is labor demand measured?","<macroeconomics><labor-economics><wages><technology><national-accounts>"
"Market modelling with prosumers","<reference-request><energy-economics>"
"Why does socialism not work?","<theory>"
"Indifference curves and equivalence classes","<mathematical-economics>"
"Dot over a variable, Neoclassical growth model?","<macroeconomics><mathematical-economics><economic-growth>"
"Where did Adam Smith write the following and in what context?","<adam-smith>"
"What does Adam Smith mean by equality of condition?","<adam-smith>"
"Differentiating through this integral in banking loans?","<macroeconomics><banking>"
"What's a good textbook on International Trade?","<international-trade>"
"What is the economic meaning of distribution parameter in a CES-production function?","<production-function>"
"The Crisis of Argentina","<microeconomics><inflation><exchange-rates><foreign-exchange>"
"Fixed-Effects on individual level with explanatory variable on state level","<fixed-effects>"
"Term for the phenomenon when an undesirable but competitive strategy dominates","<dominant-strategy>"
"When can I say that a utility function has constant marginal utility?","<utility><marginal>"
"If a utility function is quasi-concave, can we say that the IC curve associated with it is convex?","<utility>"
"Is there a measure of similarity for economies?","<international-economics>"
"Currencies fixed to gold","<inflation><currency><deflation><currency-exchange>"
"Can money flow from Firms into the Financial Market in the Circular Flow?","<macroeconomics>"
"Calculating volatility forecast errors - how to obtain ""actual volatility"" for comparison?","<econometrics><replication>"
"Does the WTO have a mechanism to accommodate states transitioning trade regimes?","<international-trade>"
"Market price, output that maximize the price and level of firm profit after applying a license fee","<microeconomics><taxation><competitive-equilibrium>"
"Can Direct Taxes on the consumers have a impact on the Demand (rather than supply)?","<microeconomics><supply-and-demand><housing><taxes>"
"Budget lines and Indifference curves: How do you figure where exactly you should draw the IC tangent to a budget line?","<consumer-theory>"
"Greek Debt Crisis","<macroeconomics><government-debt><international-economics><bonds><euro-area>"
"Inflation index and longevity of modern household appliances","<inflation>"
"Why does the incentive compatibility constraint bind (moral hazard)?","<microeconomics><information>"
"Smaller variance of estimators in matrix sense","<econometrics>"
"Can a government invest in public companies so their dividends can finance the government","<macroeconomics><finance><taxation><stock-market><government-debt>"
"Optimal Tax Rates on BGP","<taxation><dsge><computation>"
"microeconmics: can a monopolistic firm be profitable if its marginal revenue is negative?","<microeconomics>"
"Numerical Backward Induction Optimal portfolio choice","<mathematical-economics><expected-utility><dynamic-programming><dynamic-optimization><numerical-methods>"
"Doubt about Mixed Strategy Nash Equilibrium","<game-theory><nash-equilibrium>"
"What does Mohamed El-Erian mean by ""recovery value of assets""?","<economic-terms>"
"Does the stock market usually overshoot both ways?","<stock-market>"
"Modelling the effect of crisis on unemployment","<government-debt><unemployment><paneldata><economic-crisis>"
"Do there exist macro (policy) models that adopt non-rational choice quantity decision making with boundedly rational expectations?","<bounded-rationality><adaptive-learning><learning-to-optimize>"
"Bondholder vs purchaser of bond","<bonds>"
"Log-linearization of an intertemporal budget constraint","<macroeconomics>"
"Bargaining Theory: reading list","<microeconomics><game-theory><reference-request><bargaining>"
"Are quantitative easing and helicopter cash really different tactics? And how does QE relate to Modern Monetary Theory?","<monetary-policy><central-banking><bonds><quantitative-easing><government-spending>"
"What is steady state learning in the context of boundedly rational expectation modeling and how does it differ with other theories of learning?","<bounded-rationality><heterogeneous-expectations><adaptive-learning>"
"Effect of a productivity shock on the real exchange rate within a two period model","<utility>"
"How do I figure out whether the ICs are convex or concave?","<microeconomics><utility>"
"How could Euro bonds serve as a ""safe haven"" asset in the long run?","<macroeconomics><bonds><euro-area>"
"What are the determinants of the natural rate of interest and how market rate converges to it?","<macroeconomics><interest-rate><natural-rate-unemployment>"
"Can an In the Money Put Option's price $>$ its Strike Price?","<asset-pricing>"
"Are taxes,subsidies and social money transfers(i.e. welfare) accounted in money velocity?","<macroeconomics><quantity-theory-of-money>"
"Can an Out the Money put option's price $>$ its Strike Price?","<asset-pricing>"
"How can non-US banks issue USD loans?","<monetary-policy><money-supply><central-banking>"
