title,tags
"ERRNO 5 Input/Output Error When Installing Juno","<system-installation><release-juno><usb-drive>"
"Can I put Elementary OS Juno on my macbook 4.1?","<macbook><macintosh><64-bit><release-juno>"
"Elemantary OS Touchpad not Working on Lenovo Ideapad 330s?","<release-juno><touchpad>"
"Juno Winehq problem","<wine><release-juno>"
"Can't install on my laptop","<system-installation>"
"Notification not show any button","<notifications>"
"where are photos missing files stored","<release-juno><photos>"
"Where can I report bugs to elementary patches of Epiphany?","<release-juno><epiphany><github>"
"Installing elementary OS onto a System76 Onyx Laptop","<system-installation><release-juno>"
"failed to fetch updates without solution","<updates><release-juno>"
"How to prevent shutdown or reboot when another session is open","<release-loki><shutdown><session>"
"How can I add a bluetooth device in Juno?","<bluetooth><release-juno>"
"How to Install Driver for Realtek RTL8822BE in Juno","<wifi><release-juno><laptop>"
"""Fusion Drive"" on eOS?","<release-juno><disk-management>"
"Is it possible to search directories in slingshot?","<pantheon-files><slingshot><search>"
"Have a shutdown timer like OS X?","<shutdown>"
"Options for a graphical EFI boot loader?","<dual-boot><grub>"
"Install elementary OS","<system-installation>"
"Installing Nvidia drivers","<graphics><nvidia>"
"Booting elemetary OS with USB","<boot>"
"How to erase GRUB when I already use another bootloader?","<grub><macbook>"
"How to automatically mount CDs and DVDs on insertion?","<hardware><mount>"
"BT A2DP not connecting automatically","<bluetooth>"
"System is unusably sluggish, help me find out why","<graphic-drivers><display><graphics>"
"Compile Geany 1.26 on elementary OS Luna","<gtk><development>"
"How do I get rid of the default wallpaper?","<wallpaper><conky>"
"Can I install elementary on a Lenovo Tab 2 A10-70?","<release-freya><lenovo>"
"How much space does elementary OS need in dualboot?","<system-installation><dual-boot>"
"Latest MongoDB installation","<software-installation>"
"How to disable last working directory in pantheon-terminal?","<pantheon-terminal>"
"My laptop not charging after 60%","<system><battery>"
"changing grub background colour in Freya","<grub>"
"How well will Elementary OS run on a 5-yr old Acer netbook?","<performance>"
"Installing phpstorm / webstorm as Application","<applications><software-installation>"
"Installer doesn't start","<system-installation><macbook>"
"How can I clear currently opened files in Scratch?","<code>"
"Just installed freya but dont know how to connect to WIfi","<system-installation><wifi>"
"Pantheon files does not open in Freya","<release-freya><pantheon-files>"
"elementary OS - Viewing the full Ubuntu based version","<pantheon-terminal><ubuntu>"
"Anyway to fix the Graphics shattering problem?","<graphic-drivers><graphics>"
"Granite Widgets : Unable to append a new action item to welcome page at runtime","<programming><development><vala>"
"Delete individual emails in a thread","<pantheon-mail>"
"Where to propose a new app for elementary OS, discuss design","<gtk>"
"Cannot choose HDD at installation","<release-freya><system-installation>"
"Alt-Tab when LibreOffice is open causes OS to crash","<release-freya><libreoffice>"
"Problem with installing Pantheon shell on Ubuntu","<shell><pantheon>"
"Is there a way to create bookmark on Pantheon Files using terminal?","<pantheon-files><pantheon-terminal>"
"Installing Japanese language as system language make me unable to access Keyboard Setting","<settings><keyboard><language>"
"Display Scaling Crashes Pantheon, No Way to Fix","<resolution><gnome><pantheon>"
"After unkown update: lost all menus (dock, slingshot, upper bar, except for desktop files)","<wingpanel><plank><updates><slingshot>"
"How to mount disk in terminal?","<release-freya>"
"I am unable to to install any new software","<software-installation>"
"elementary OS Freya 0.3.2 won't boot after installing tlp","<boot>"
"How can I change the icon for a specific file type?","<themes><icons><files><mimetype>"
"Is elementary freya 0.3.2 (resp. Ubuntu 14.04 LTS) compatible with the AMD Radeon R5 M335 graphics card?","<release-freya><graphic-drivers>"
"Opening files without extensions fails in Photos","<photos>"
"Does freya support Intel Skylake CPUs?","<release-freya><hardware><kernel><drivers><cpu>"
"App icon is not merged in the dock","<plank>"
"printer indicator on Freya","<wingpanel>"
"touchegg inaction on desktop","<release-freya><applications>"
"Install Windows 7 and erase Elementary OS","<system-installation><microsoft-windows>"
"elementary OS not recognized by Grub2","<dual-boot>"
"Python Header missing, cannot compile cryptography","<software-installation><python>"
"Pantheon Files doesnt show thumbnails for images in Freya","<release-freya><pantheon-files>"
"Elementary OS Freya. HDMI sound is not changing automatically","<release-freya><sound><hdmi>"
"Changing the login screen wallpaper without changing the desktop wallpaper","<release-freya><desktop><wallpaper><greeter>"
"""Stuck"" in drag mode","<release-freya><mouse>"
"how to undo keyboard shortcut (Win key launch Applications)","<keyboard-shortcuts>"
"Can't install elementary OS on SSD","<release-freya><system-installation>"
"Problem with updates in elementary OS","<updates>"
"elementary OS not starting from GRUB","<dual-boot>"
"Show an app on Slingshot","<slingshot>"
"Low Disk Space on boot warning","<boot>"
"Kernel version in Loki (0.4)? Support for Atheros WiFi hardware","<networking><kernel><release-loki>"
"No Online Account in Freya 0.3.2","<release-freya>"
"How to easily start playing an Audio CD - with CDDB/freeDB support?","<audio><audio-cd><audio-player>"
"How to remove notepad from Files/open-with context menu?","<files><menu><wine>"
"Terminal does not respond","<pantheon-terminal>"
"""Turn off screen when inactive"" not working, and need a screensaver","<release-freya><system><display>"
"Unable to change keyboard layout in elementary os freya","<release-freya><greeter>"
"How to fix pantheon desktop if I got this messed up screen after I log in?","<pantheon>"
"File type for Slingshot/Dock Icons","<icons>"
"How to get elementary os to stay awake","<release-loki><laptop><power><dell>"
"My Laptop suddenly shuts down when the battery is on 75%","<battery>"
"How To change default Browser?","<web-browser>"
"Lockscreen Resolution issue Juno","<release-juno><greeter><resolution>"
"Wifi not available on Juno using rtl8812au driver and usb wifi stick","<networking><drivers>"
"""Language and Region"" disappears in settings menu","<elementary-website>"
"Windows based shortsuts","<pantheon-files><keyboard-shortcuts>"
"I cannot get LibreOffice Impress to start","<software-installation><libreoffice>"
"Configure Code to forget opened files","<code>"
"Right Numeric keypad stopped working on Elementary OS","<keyboard>"
"change icon to custom in Files","<pantheon-files>"
"Pantheon greeter disappears when I mistype my password","<greeter>"
"experience with eOS and Lenovo Thinkpad x1 carbon","<hardware><laptop>"
"How do I disable one of my network adapters?","<wifi><networking><hardware><internet>"
"CPU frequency stuck at 1.550 GHz","<release-juno><system><amd><cpu>"
"Wifi signal weak Intel Dual Band Wireless-AC 3168NGW","<release-juno><wifi><intel>"
"Add VPN type to Network configurations","<release-juno><networking><vpn>"
"Checksum not matching","<elementary-website>"
"Very Slow Booting After apt-get upgrade","<boot>"
"is there a way to change the time that notifications take to disappear?","<notifications>"
"I don't know what the problem is, but some apps look weird like this [SOLVED]","<gtk>"
"How do I go about improving my game performance on eOS?","<drivers><nvidia><steam><games>"
"installing a .deb package","<package><install>"
"Is StackExchange where we get support for elementary OS?","<desktop>"
"elementary OS 5.0 Juno graphic tablet support","<release-juno><elementary-project><tablet>"
"Why is my lock screen upside down","<settings>"
"System seems to freeze when using chrome and google docs","<google-chrome>"
"Change computer name in elementaryOS","<release-juno>"
"How can I choose a time zone?","<release-juno><settings><release-hera>"
"Elementary OS Blocks Shift + Alt in Blender unlike other Linux Distros","<keyboard-shortcuts>"
"elementary doesn't boot anymore (after having tryied to upgrade to Juno)","<release-juno><updates><boot>"
"Problems with Elementary on ASUS laptop","<release-juno><display><sound><resolution>"
"Is there a whitelist for internet access in parental controls?","<permissions><internet-browser>"
"Help needed - Browse music folders and show metadata of audio files","<music><file-management><audio-player><metadata>"
"Slow Startup Of Firefox","<google-chrome><firefox>"
"eOS on chromebook booting to black screen","<release-juno><greeter><chromebook>"
"Display is blank when plugged in docking station","<release-juno><display>"
"Unable to join the translators chat","<translation>"
"Font problems in elementary os","<pantheon><fonts>"
"Elementary Gnome tweak not working","<gnome>"
"Login screen incorrect resolution","<release-juno><resolution>"
"Can't install/remove, upgrade/update ANYTHING","<apt><libreoffice><dependencies>"
"How do I cast from chrome browser to my chrome cast","<release-juno><google-chrome><chromium>"
"Casque bose qc35II non reconnu","<bluetooth><software-recommendation>"
"Does anybody know a slingshot replacement solution for elementary OS?","<slingshot>"
"Right mouse button on touchpad","<touchpad>"
"It is possible to install MongoDB on elementary OS?","<release-juno>"
"Cannot install Intel Graphics UHD 620","<graphics><intel>"
"changing/disabling color profile","<display><system>"
"Which languages are available for elementary?","<language>"
"version string has embedded spaces","<release-juno>"
"Youtube won't play in Chrome on Elementary OS Juno","<release-juno><google-chrome>"
"Juno not waking up from sleep","<release-juno><suspend>"
"Hera is not installing with GeForce 1660 ti (unknown chipset)","<system-installation><boot><release-hera>"
"How to store data from a ListModel?","<vala><storage>"
"Issue with starting gala","<gala>"
"Why AppCenter keeps saying ""1 Update Available""?","<appcenter>"
"What software Elementary uses for WiFi?","<wifi>"
"Some emojis are black and white in Anki (qt programme) instead of colored like in other applications","<fonts><qt>"
"Wifi wont connect","<system-installation><wifi>"
"What is the checksum for the Hera ISO file?","<system-installation><release-hera>"
"How to launch Seamonkey?","<release-loki>"
"Install Loki in Pentium 4 machine","<release-loki><system-installation><hardware>"
"Mail gui stretching (Freya/Loki)","<release-loki><pantheon-mail>"
"How do the system requirements compare between elementary OS releases?","<release-freya><release-loki><system-installation><hardware><luna>"
"Where can I download older versions of elementary OS?","<release-freya><system-installation><luna>"
"How to embed image in elementary OS Loki Mail email compose?","<pantheon-mail>"
"Error SQUASHFS?","<release-freya><system-installation><boot>"
"How can I setup a printer with own ppd file?","<release-loki><printer>"
"How do I fix this error when trying to install packages?","<release-freya><software-installation><system>"
"Where's Footnote in Loki?","<release-loki><software-installation>"
"Features 'reveal pointer' does not work, whereas previously functioning properly","<mouse><touchpad>"
"Time wrong since dual-boot installation","<microsoft-windows>"
"Installation elementary OS 0.4","<software-installation>"
"Installation and persistence on an SSD","<system-installation><hardware><ssd>"
"How to disable saved state for pantheon-terminal?","<release-loki><pantheon-terminal><window-management>"
"lock desktop without a super key","<keyboard-shortcuts>"
"Restore original elementary OS theme","<themes><settings>"
"Uninstalling hello-again App from elementary OS developer tutorial","<development>"
"How to install video card drivers (e.g., nvidia)","<graphic-drivers><graphics>"
"dp/hdmi not working","<hdmi>"
"Firefox ""Reader View"" introduces static to my sound","<sound><firefox>"
"Sending files via bluetooth","<release-loki><bluetooth>"
"Update Gtk+ on Loki?","<release-loki><gtk>"
"Loki: Can move cursor on the screen but can't click on anything","<release-loki><boot><usb><click>"
"Contacts app not showing in Applications","<slingshot><appcenter>"
