title,tags
"How to use the word ""range"" in a sentence?","<word-usage>"
"""triggered him"" vs ""triggered something in him""","<word-usage>"
"""One"" vs using "" Each one""","<meaning-in-context><word-meaning><phrase-meaning><pronouns><reflexive-pronouns>"
"Should I use ""away"" after ""Farthest/Farther?""","<grammar><word-usage><superlatives><comparative>"
"Clause after ""Than"" in comparatives?","<grammar><comparative-constructions><comparative>"
"Can I say ""less bigger"" or ""more weaker"" and similar phrases?","<ellipsis><comparative-constructions><comparative>"
"""ones"" substitution for plural uncountable nouns","<pluralia-tantum>"
"""before I got there"" or ""before I get there""","<tense>"
"Is ""chip"" the singular form of ""chips""?","<grammar><word-usage><singular-vs-plural>"
"avoid repetition of ""several""","<idiomatic-language>"
"""Marissa did not realize that she _______ at work until she _____ home.""","<sentence-construction><tense><exam-questions>"
"How do you describe this situation? Does ""overlapping"" mean exactly the same as ""coinciding""?","<word-usage><difference><phrase-request>"
"What's the whole meaning of ""keep safe and sane under his own hat""","<meaning>"
"A good synonym for hiding someone's neck","<word-request><verbs><phrases>"
"""Get an eye for somebody"" VS ""Eyeing someone""","<idioms><expressions>"
"What is the meaning of ""be hidden so will need to"" in the following sentences?","<meaning>"
"on a piano app vs in a piano app","<grammar><grammaticality-in-context>"
"Are ""to reason out"" and ""for the sake of reasoning"" fine as the adverbial conjunctions to start explaining the reason of something?","<conjunctions><prepositional-phrases><infinitive-phrases>"
"regarding indirect Interrogative questions and WH Conjunction","<conjunctions>"
"Why is ""inline"" a noun here?","<parts-of-speech>"
"What does the phrase ""feel native to"" mean here?","<meaning><meaning-in-context><phrase-meaning><phrase-usage><phrases>"
"Help transform this description into a concise sentence","<word-usage><word-choice><sentence-construction>"
"Can I use the helping verb ""had"" instead of ""has"" in the Perfect Tense when talking about the present period of time?","<perfect-aspect>"
"singular nouns that are plural in form","<plural-forms><singular>"
"What's the meaning of ""of Gates"" in ""of Gates being a member of a plot""?","<grammar><grammaticality-in-context><gerunds>"
"Dead Tap/Pipes?","<word-choice><verbs><phrases><word-in-context>"
"Who vs whom usage","<pronouns><relative-pronouns><who-whom>"
"""I took my dog to the vet."" - acceptable when I have more than one dog?","<meaning><meaning-in-context>"
"Can we use The Modal verb 'Will' to express a possibility?","<modal-verbs>"
"Conflicting feedback on my paraphrase: ""on the grounds that X should be shared with Y"" = ""so that X [would/could] be shared with Y""","<meaning-in-context><modal-verbs><ambiguity>"
"Any difference between ""under many minutes"" and ""in many minutes"" in this sentence?","<meaning><word-usage><prepositions><word-meaning>"
"a box as requested","<sentence-construction><as><postmodification>"
"use of more (adv) with 'than","<adverbs>"
"What is the meaning of this scientific sentence?","<meaning><sentence-meaning>"
"What does the phrase ""whizzes by in a giddy blur"" mean here?","<meaning><meaning-in-context><phrase-meaning><phrases><phrasal-verbs>"
"WILL or Present Continuous","<tense><present-continuous>"
"Is ""unlimited seconds"" the right phrase to use here?","<word-usage>"
"Can a conjunction intervene between between a noun phrase and a relative clause?","<conjunctions><relative-clauses><relative-pronouns>"
"A geometrical shape","<word-request><adjectives><nouns><measure-expressions>"
"Idioms meaning ""everybody""","<idiomatic-language><names>"
"Can we write a sentence like 'X does Y, doing Z'?","<grammar><grammaticality>"
"faking my way through","<meaning>"
"What's the point <in/of> doing something","<prepositions>"
"The usage of relative pronoun ""that""","<relative-clauses><relative-pronouns>"
"Is repeating ""is"" here correct?","<grammar>"
"Are going to get/ are getting married","<grammar>"
"To try with someone,what does that mean?","<word-usage>"
"What is the term for decade, century, millenium, etc?","<terminology>"
"Does this sentence lack an ""if""?","<subjunctives>"
"How to record a emphasized sentence where pause after each word?","<punctuation>"
"Usage of 'barring' to mean 'except'","<verbs><subjects><objects>"
"""at + noun"" without article between","<articles><zero-article>"
"How to use the modal verbs Shall and Will when using them to give commands?","<modal-verbs>"
"Is the phrase ""the new staff at Tech company"" correct?","<articles><definite-article><indefinite-article>"
"What does 'press one's concern' mean?","<meaning><meaning-in-context><phrase-meaning><phrase-usage><idioms-in-context>"
"Is this an correct phrase ""not from what i can see here?""","<phrase-meaning>"
"Want to know meaning in the context","<meaning-in-context>"
"How should similes be treated/considered grammatically? Should they be preceded by a comma?","<grammar><punctuation>"
"Around into something","<word-meaning><parts-of-speech>"
"""if only"" preceded by ""wish""","<sentence-construction><phrase-usage>"
"When someone pays for all someone else's expenditures (including food), for example a child, what do you call it?","<word-request><phrase-request>"
"Gentle synonym for stupid","<word-request><synonyms><politeness>"
"""Why is it good that..."" vs. ""what is good about...""","<phrase-usage><phrases>"
"Is saying ""she was but 15 years old"" grammatically correct and idiomatic?","<grammar><idioms><expressions><grammaticality-in-context><idioms-in-context>"
"""Deep down inside"" Vs ""In one's stomach""","<idioms><expressions>"
"VT choice: past continuous vs. past perfect continuous","<grammar>"
"Relationship between aspects and a particular usage of ""away""","<prepositions><aspect>"
"""It is worth informing you that..."" OR","<expressions>"
"""A book of mine"" vs ""A book of my own""","<pronouns>"
"Uncommon uses of 'with'","<prepositions><prepositional-phrases>"
"Meaning of Port and Dunnin","<sentence-meaning>"
"Does it mean that men are more likely to harass people or is it saying that men harassing men is more common than women harassing women?","<reading>"
"a synonymous phrase for 'to increase tenfold'","<phrase-request><synonyms>"
"Turn The Gun On Somebody","<grammar><meaning><usage>"
"Mostly played online or Played mostly online","<meaning-in-context><word-order>"
"concerns on this passage regarding ""barely"" , ""bright blue and fat"" , throb","<word-meaning>"
"present perfect progressive?","<past-tense><present-perfect><passive-voice><perfect-constructions>"
"Why no arcticle is needed here?","<articles>"
"Question about meaning of ""would"" in this context","<word-meaning>"
"Easy way to explain ""meet"" versus ""to meet"" versus ""meeting"" versus ""to meeting""","<gerunds>"
"Is ""as though"" exactly the same as ""as if"" when expressing a subjunctive mood?","<word-choice>"
"Is it grammatical to say: ""to ask [insert name] questions?""","<grammar>"
"she has a bluff bow, lovely lines. she's a fine sea boat. -- what does ""bluff bow"" mean?","<meaning>"
