title,tags
"Emacs client doesn't connect to running server on Windows","<microsoft-windows><frames><emacsclient><server>"
"Convention about using C-x or C-c as prefix keys","<key-bindings><elisp-conventions>"
"How can I rebind C-n from evil-paste-pop","<key-bindings><init-file>"
"ANSI / xterm font-locking","<major-mode><font-lock><escape><ansi>"
"Run elisp when `async-shell-command` is done","<shell-command><async>"
"How to use `use-package` when the package and associated feature are named differently?","<use-package>"
"Re-align text after a bigger symbol","<fonts><unicode><align>"
"Bold markup not working for Chinese text when exported to html or to pdf output from org-mode","<org-mode><org-export>"
"Ensuring binary packages with use-package","<use-package>"
"helm-find-file (and other things) appearing in my main split","<helm><window><window-splitting>"
"How can I store an org-link to a list of search results from ivy-occur?","<org-mode><ivy><counsel>"
"Undefined control sequence \uline in exporting org-mode with underline markup to PDF using xelatex","<org-mode><org-export><latex><pdf>"
"Horizontal Scroll Bar Mode with trackpad","<scrolling><scroll-bars>"
"How to call org-lint against org-mode file from command-line","<org-mode><literate-programming><command-line-arguments><development>"
"ledger in org-babel blocks uses incorrect path data in Windows 10","<org-mode><org-babel>"
"Prevent org export from expanding \ as $\backslash$","<org-mode><org-export><latex>"
"Delete packages programmatically","<package>"
"Count down timer and org","<org-mode><idle-timer><timers><date-to-time>"
"How to add hline and column sum to bottom of table using a src block?","<org-mode><org-babel><table>"
"In macOS, how to fix `command+option+key` changing `key` to a special character?","<osx>"
"automatically backup before revert","<backup><revert-buffer><auto-revert-mode><global-auto-revert-mode>"
"JavaScript regular expressions in re-builder","<regular-expressions>"
"Writing a small elisp function","<text-editing><keyboard-macros>"
"Visualise keyboard macros (converting them to human readable key names)","<keyboard-macros>"
"how set a a shortcut to elfeed filter","<elfeed>"
"How can I have comint buffer input histories betweens different comint sessions?","<comint>"
"Emacs ESS R - Message Content Encoding and Display Issue","<character-encoding><ess>"
"org-mode links to gnus articles with imap","<org-mode><gnus><hyperlinks><imap>"
"Git commit line length constraints","<git>"
"how to disable all the minor modes (when a specific major mode is enabled) with elisp","<minor-mode>"
"Can I create a shortcut for this operation?","<ipython>"
"How to undo one elfeed search key binding","<elfeed>"
"Run local command on remote file with TRAMP?","<tramp>"
"wanderlust: sort threads by newest message in thread","<wanderlust>"
"Updating cider to 20180624 hangs while compiling","<package-repositories><cider>"
"Debugging a recalcitrant eldoc function","<debugging><eldoc>"
"Confused by the Emacs Lisp doc : Adjusting Point After Commands","<help><documentation>"
"Why Emacs using `dumping` during building?","<documentation>"
"Does ""Occur-at-point"" already exist?","<search><occur>"
"Sort js object by name","<sorting>"
"Empty buffer shows when using emacsclient on windows","<microsoft-windows><emacsclient><cygwin>"
"web-mode django custom block indentions","<web-mode>"
"How to have org-babel treat the first line of a table result as a header?","<org-babel><org-table>"
"Is there an idiomatic way of reading each line in a buffer to process it line by line?","<mapping>"
"Emacs Equivalent of Vims's Auto Commands?","<hooks>"
"Helm completion no longer used for M-x or find-file","<helm>"
"hybrid line number mode in emacs?","<evil>"
"Minimum length for ido-completing-read","<projectile><ido><flx-ido>"
"Can't find google-translate package from melpa","<package>"
"Org babel google translate functions not defined","<org-babel>"
"Why do paths start with ""c:/c/..."" in windows emacs when I use 'next-error'?","<microsoft-windows><compilation-mode><path>"
"Can I batchly set tags in org mode?","<org-mode><org-tags>"
"Jumping to a temp buffer, prompting for save and restoring layout","<buffers>"
"How to make org-verbatim face include '","<org-mode>"
"run a binary that uses ncurses in eshell under xterm-256color emulation","<eshell><rust>"
"Change figure environment options","<org-mode><latex>"
"Obtain absolute pixel position of point","<frames><point><gui-emacs>"
"How to adjust dired-omit-mode","<dired>"
"interactively crop screenshot region and insert link to local image in org buffer","<org-mode><spacemacs>"
"Bulk-reverse the order of headers in Emacs org-mode?","<org-mode>"
"Is there a way to set arbitrary characters as the word boundary?","<syntax-table><words>"
"ange-ftp problem on cygwin emacs","<microsoft-windows><ftp>"
"failed compile command runs on exit, prevents exit – how to track down?","<hooks><compilation><quitting><exit>"
"Can I hack org-mode to not visually modify links in headers?","<org-mode>"
"How to cite author-date including page number in org-mode?","<org-mode><org-export><latex>"
"Predictive always prompt error","<predictive-mode>"
"Type single quotes in AucTeX","<auctex>"
"How to fix this startup package initialization problem?","<init-file><package><debugging>"
"Rust Racer autocomplete problem in Cygwin","<company-mode><rust>"
"List hooks that will run after command","<hooks>"
"Is an ""Electric"" YASnippet possible?","<yasnippet>"
"Right-click to select one character under the mouse pointer?","<key-bindings><mouse><region>"
"Opening an External PDF in the Terminal","<latex><terminal-emacs><pdf>"
"Org plot table : wrong type argument listp hline","<org-table>"
"Add emacs #...# to helm boring files","<helm>"
"Reverting the keybindings that I don't specify in the init files without restarting emacs?","<key-bindings>"
"Expand/shrink region after double-clicking mouse-1","<mouse>"
"Opening an External PDF in Emacs from Terminal","<latex><osx>"
"How to see the code of a built-in function","<help>"
"org-mode link to heading in other org-file","<org-mode><emacs24.4>"
"Org calendar : change date language?","<org-mode><calendar>"
"Org repeated task doesn't repeat when DONE","<org-mode><todo>"
"Use helm-company as default for company autocompletion?","<helm><completion><company-mode>"
"how to start term in a separate window at launch","<term>"
"Autofill insert a special string before returning","<auto-fill-mode>"
"Org cdlatex doesn't work","<org-mode><latex>"
"Org babel R : can't find org-R-apply","<org-mode><org-babel><ess><r>"
"Activating the region without altering the mark ring","<region><mark><mark-ring>"
"Ways to get ECB Directories buffer to udpate?","<ecb>"
"Regexp for distinguishing uppercase and lowercase not working","<regular-expressions><search>"
"Org-mode spreadsheet: operate on range of fields","<org-mode><spreadsheet>"
"Word wrap line option by default","<customize><wrapping>"
"Key Binding to reschedule agenda item after 2 hours","<org-mode><init-file>"
"Is there an equivalent of string-match for regexp?","<regular-expressions>"
"include notes in table environment below tabular when exporting from org-mode","<org-mode>"
"Predicate function to test if file is under version control?","<git><version-control>"
"Are there any advantages to using ~/.emacs.d/init.el instead of ~/.emacs?","<init-file>"
"Different indentation styles for different projects","<indentation>"
"Fastest way to move code block to specific line","<copy-paste><editing><yank>"
"Search for text and navigate between the occurrences","<search>"
"How to add a prefix to every line?","<text-editing><editing>"
"How to clear a cell in an org-mode table?","<org-mode><table>"
"M-x sometimes doesn't show me the right options (smex?)","<ido><m-x><flx-ido>"
"How to scroll through all available matching interactive (M-x) commands using Helm rather than just my history?","<helm><cycling>"
"How to delete the first few n chars of every line?","<text-editing><editing>"
"Re-open *scratch* buffer","<buffers><scratch-buffer>"
"Using daemon mode in Gnome 3","<emacsclient><daemon>"
