title,tags
"Can I use grout as mortar?","<civil-engineering>"
"Can you help me with a flow rate question?","<fluid-mechanics>"
"What type of bearing used in swivel arm?","<mechanical-engineering>"
"Is thermodynamic data of fresh water a good approximation for saline water?","<thermodynamics><water-resources>"
"Installing satellite dish to point to local zenith","<mechanical-engineering><applied-mechanics>"
"Stepper motor torque calculation based on pulleys ratio","<stepper-motor>"
"ANSYS Fluent - Using Patch to set initial conditions, should I set the pressure and velocity or only one property to generate shock waves in a pipe?","<mechanical-engineering><fluid-mechanics><ansys><cfd><fluent>"
"Measure distance between a circle and an ellipse center in autocad/inventor","<robotics><autocad><autodesk-inventor>"
"Solidworks export the 3d points of a spline","<solidworks>"
"Designing cylindrical cam","<design><kinematics>"
"Boundary conditions in a heat transfer problem","<mechanical-engineering><heat-transfer><chemical-engineering><finite-element-method>"
"What size aluminum beam and cable do I need?","<structural-engineering>"
"Structural Analysis Conundrum","<structural-engineering><statics>"
"Controlled demolition of a sky scraper?","<civil-engineering><building-physics>"
"Bode Plot Stability Criteria","<control-theory>"
"What is the Thickness of JIS Standard Pipe","<mechanical-engineering><materials><standards>"
"Achieving a ""Soft"" open mechanism","<mechanical-engineering>"
"redundant links in a mechanism","<mechanical-engineering><design><mechanisms>"
"Trouble shooting a DIY USB Feedthrough","<mechanical-engineering><electrical-engineering>"
"Heat switch material","<thermodynamics><thermal-conduction>"
"Do I need to worry about increase in temperature/pressure in ultrasound cleaner?","<mechanical-engineering><materials><thermodynamics>"
"How to convert to date axis in excel?","<civil-engineering>"
"Filtering Long-duration Signal","<electrical-engineering><signal-processing><signal><biomechanics><electronic-filters>"
"What is the importance of pitch ratio? And why is the value different for different aircrafts?","<mechanical-engineering><aircraft-design>"
"How much would a regular sized oil rig type platform cost to build?","<drilling>"
"Force limits for gear rack and pinion gear","<mechanical-engineering><gears><torque><mechanical>"
"Would a large dome structure prevent widespread effects of nuclear plant explosions?","<civil-engineering><nuclear-engineering>"
"How to increase the sensitivity range of MQ3 Alcohol sensor?","<electrical-engineering><sensors>"
"Is there a specific term for the car loops at an airport?","<civil-engineering>"
"Custom cavity for speaker system?","<acoustics>"
"How to generate a NACA 6-Series Airfoil analytically?","<aerodynamics><matlab>"
"Why adding alloy elements in a steel for increasing tempering temperature while keeping the same hardnes and ductility?","<materials><heat-treatment>"
"What controls the gain in a BJT amplifier, and why does this circuit have a gain of unity?","<electrical-engineering><circuit-design>"
"How can I *more accurately* measure the weight of a hanging bottle?","<mechanical-engineering><design><cad><mechanisms><autodesk-inventor>"
"Why to avoid low and high fluid velocities in hydraulic systems","<mechanical-engineering><hydraulics><valves>"
"How can I produce two 180-degree intermittent rotations with a Geneva drive?","<mechanical-engineering><gears>"
