title,tags
"When do I use ""can"" or ""could""?","<word-choice><tenses><politeness><subjunctive-mood><can-could>"
"Where does the ""quint"" in ""quintessential"" come from?","<meaning><etymology>"
"When should I use ""shall"" versus ""will""?","<differences><future><will-future><shall-future>"
"When did ""while"" and ""whilst"" become interchangeable?","<word-choice><etymology><differences><conjunctions><historical-change>"
"""May"" & ""Might"": What's the right context?","<word-choice><grammar><modal-verbs><auxiliary-verbs>"
"Is it appropriate to use short form of ""have"" ('ve) when it means possession?","<verbs><contractions><auxiliary-verbs>"
"Which words in a title should be capitalized?","<capitalization><titles><headline-case>"
"When is it appropriate to end a sentence in a preposition?","<grammaticality><prepositions><word-order><sentence-ends><pied-piping>"
"Where did the term ""OK/Okay"" come from?","<etymology>"
"What is the proper plural of the word ""freshman""?","<grammatical-number><american-english><north-american-english>"
"Where did the singular ""innings"" come from?","<grammatical-number><sports>"
"Are ""betwixt"", ""trebble"", etc., acceptable in American English?","<american-english><british-english><formality>"
"Is it ever acceptable for a period to come after a quote at the end of a sentence?","<punctuation><quotation-marks><period>"
"""What's wrong in/with this question?""","<word-choice><grammaticality><prepositions>"
"Is there a correct gender-neutral singular pronoun (""his"" vs. ""her"" vs. ""their"")?","<word-choice><possessives><personal-pronouns><singular-they><gender-neutral>"
"Can a word be contracted twice (e.g. ""I'ven't"")?","<punctuation><apostrophe><pronunciation-vs-spelling><contractions>"
"What’s the rule for using “who” and “whom” correctly?","<pronouns><grammatical-case><relative-pronouns><questions><whom>"
"How do I ask a question politely?","<modal-verbs><politeness>"
"What's the difference between a gerund and a participle?","<differences><gerunds><participles><verb-forms>"
"When to use “that” and when to use “which”, especially in relative clauses","<pronouns><conjunctions><relative-clauses><which-that><relative-pronouns>"
"Is it acceptable to start a sentence with “however”?","<grammaticality><word-order><conjunctions><sentence-starts><discourse-markers>"
"How does one correctly use a semicolon?","<punctuation><semicolon>"
"What is the correct spelling of ""buyer* remorse""?","<idioms><punctuation><orthography><possessives><apostrophe>"
"What is the difference between ""lay"" and ""lie""?","<verbs><differences><confusables><lie-lay-lain-laid>"
"Should I use a semicolon or a dash to connect two closely related sentences?","<punctuation><semicolon><dashes>"
"When referring to a noun, when does the gender matter?","<nouns><grammatical-gender>"
"Difference between ""ability"" and ""capability""","<differences><synonyms><nouns>"
"When should ""into"" be used rather than ""in to,"" and vice versa?","<word-choice><prepositions>"
"How does the phrase ""used to"" work, grammatically?","<verbs><idioms><terminology><syntactic-analysis><parts-of-speech>"
"""Employee"" in the phrase ""employee ID"" is a determiner, not an adjective—right?","<grammar><parts-of-speech><determiners><attributive-nouns>"
"Is it wrong to start sentences with ""in which case""?","<grammaticality><sentence-starts>"
"When should I use ""a"" vs ""an""?","<word-choice><pronunciation><articles><indefinite-articles><sandhi>"
"Are actors taught to roll their ""r""'s?","<pronunciation>"
"What proposals have been made to give the apostrophe some relief?","<punctuation><apostrophe>"
"What does ""great good"" mean in the tutorial title ""Learn You a Haskell for Great Good!""?","<meaning>"
"How much punctuation is appropriate when ending a sentence with a full-sentence quotation?","<punctuation><quotes>"
"Was the usage ""Spaghetti were"" ever acceptable or common?","<grammatical-number><uncountable-nouns>"
"Is it alright to use lowercase ""i"" or should you always use ""I"" (uppercase)?","<writing>"
"Should you always use the accent in foreign words like ""résumé""?","<writing><diacritics>"
"Is there software that can determine whether I speak with a neutral accent?","<learning><accent>"
"Why would you write ""ain't""? Isn't it a contraction only used in spoken English?","<slang><contractions><aint>"
"What are some of the better English reference grammars?","<resources>"
"Should I write ""that being said"" (vs. ""that's been said"" or ""Having said that"")?","<writing><expressions>"
"I thought ""spare me with ..."" means ""don't bother me with the details of ..."". Does it?","<meaning><idioms>"
"Is it correct to use ""their"" instead of ""his or her""?","<grammaticality><pronouns><personal-pronouns><grammatical-gender><singular-they>"
"What manual of style should I use for technical writing for US Federal Government documents?","<style-manuals>"
"Is the usage of ""speaks to"" new? Is it American?","<american-english>"
"Favourite untranslatables","<translation><list-request>"
"""Well"" and ""good"" as applied to the quality of photographs","<grammaticality><adjectives><adverbs>"
"Is it correct to say ""on accident"" instead of ""by accident""?","<word-choice><prepositions>"
"In what ways is Appalachian speech closer to Elizabethan English than contemporary British?","<dialects>"
"Is ""everyone"" singular or plural?","<grammatical-number><pronouns><verb-agreement>"
"What is the adjective that describes a person who takes everything in stride?","<single-word-requests>"
"Out on a tear last night - meaning?","<meaning><idioms><humor>"
"A word for someone who pretends to be interested in a home for sale","<vocabulary>"
"Is there a word or phrase for nostalgia for an era in which one didn't live?","<single-word-requests><phrase-requests><idiom-requests>"
"Is the word ""attached"" in the sentence ""Please find attached the file..."" passive or adjective? Why can the word ""attached"" split verb from object","<business-language>"
"Help with dialogue tags!","<dialogue>"
"which of these two sentences would be correct?","<grammaticality>"
"Word that means ""to remove dependence""","<single-word-requests>"
"What is the English pronunciation of ""pain au chocolat""?","<pronunciation><french><foreign-phrases>"
"Difference between adverb and adverbial adjunct","<adverbs><adjuncts>"
"Is ‘a dog which is barking’ synonymous with ‘a barking dog’?","<meaning><phrases><idioms><differences>"
"""You’re going to have jump for it"" meaning","<phrase-meaning>"
"Word for (feeling) a really strong visceral impulse that draws you to something","<single-word-requests>"
"Understanding the ""Welsh""","<meaning>"
"What are the inhabitants of the island Ireland called?","<terminology>"
"What is the etymology behind the euphemism ""The Troubles""?","<etymology><idioms><euphemisms>"
"How to use term describe `out of scope` job, but it is a company tasks","<single-word-requests>"
"""above all else"" means the most important?","<phrases>"
"Is ""new changes"" redundant?","<redundancy>"
"In the context, the translation of the phrase FLASHY BOI ""5 hours of debugging VS / flashy boi""","<meaning><phrases><slang><translation><jokes>"
"What is the word that means of or pertaining to bushes?","<single-word-requests><adjectives><terminology>"
"Word for disenfranchising women of their rights to make money","<single-word-requests>"
"What is the difference between Clients and Clientele?","<differences><synonyms>"
"What does canonical mean when used in sentence?","<american-english><slang><translation>"
"What is the word describing renaming an event or process with a symbolic phrase or word?","<single-word-requests>"
"What is the meaning of ""pathetic"" in this phrase?","<meaning>"
"What is the word to describe ""annoying but commonly accepted""?","<single-word-requests><nouns><slang>"
"Addressing several doctors in a salutation","<salutations>"
"Is this toilet sign correct usage of the English language?","<adverbs>"
"Car Interior synonym?","<single-word-requests><synonyms>"
"What do you call a word that can be spelled forward or backward forming two different words","<terminology>"
"Articles and Prepositions: “At/The mountain of…” and ""…descended in/on her head""","<prepositions><articles><definite-articles><indefinite-articles>"
"""To be reviewed and approved""","<passive-voice><infinitives>"
"Is there a nicer/politer/more positive alternative for ""negates""?","<single-word-requests><meaning><synonyms><euphemisms>"
"Is ""outcome"" plural?","<grammar><grammatical-number>"
"Is there a word for swear word substitutes?","<word-usage><vocabulary>"
"""technical work"" singular or plural?","<grammar><grammatical-number>"
"Is there a word for following a man or his ideas too closely?","<single-word-requests><verbs>"
"Is it correct to use ""their"" when referring to a single person when the gender is known?","<pronouns><personal-pronouns>"
"Police Have.....vs Police Has","<verbs><grammatical-number><verb-agreement>"
"What is correct use of definite article ""the""?","<grammar>"
"It is typical vs. It is frequent","<grammaticality>"
"The present perfect usage","<present-perfect><simple-past>"
"What to call a mass of meat in English?","<single-word-requests><british-english>"
"Is it ever correct to use ""on"" after ""continue""?","<grammaticality><prepositions><phrasal-verbs>"
"Phrasal verbs meaning stop being consistent in doing something?","<phrases><phrase-requests>"
"meaning of the word ""dressing"" in this paragraph?","<meaning>"
"Which one is better to use, Need or Needs?","<grammar><word-choice>"
"It has been long time since","<grammar><verb-agreement><sequence-of-tenses>"
"Meaning of ""we're a slenderer pair than you would make the half of"" in Byron's ""Don Juan""","<meaning-in-context><poetry>"
"Nothing's getting done today - is it present or future?","<tenses><ing><continuous-aspect>"
"To have some assets as [something]","<american-english><british-english>"
"Meaning of ""bull"" in Byron's ""this is no bull, although it sounds so""","<meaning><etymology><poetry>"
"Smelt vs smelled","<verbs>"
"How should I use ""any"" in ""if clauses""","<grammar><syntactic-analysis>"
"Possible error in long, complicated sentence?","<meaning><syntactic-analysis><subordinate-clauses>"
"Is this sentence properly written","<punctuation><sentence>"
"How is ""burial"" incorrectly formed?","<etymology><suffixes><word-formation><middle-english>"
"Is the comma necessary in this sentence?","<commas><sentence>"
"What is going on grammatically in the opening line of One Hundred Years of Solitude?","<grammar><verbs><past-tense><infinitives>"
"meaning of two had(s) here","<meaning><grammar>"
"In this sentence, is the correct pronoun me, I, or myself?","<pronouns>"
"Is there a word that denotes something that's an anomaly, but you'd think that's the standard?","<single-word-requests><expressions>"
"Origin of the saying “happy wife, happy life”","<etymology><phrase-origin>"
"Should a semicolon be used in this sentence?","<punctuation><semicolon>"
"single word for a challenging journey","<single-word-requests><nouns>"
"""Can't help but think"": origin and current meaning","<phrase-origin><double-negation>"
"What is it about this sentence that makes it sound awkward?","<grammar><ambiguity>"
"Etymology of ""fixing someone's wagon""","<etymology><expressions>"
"What does pending approval mean?","<phrase-requests>"
"Definition of ""telescope""","<meaning>"
"What are the subject and predicate in the following sentences?","<subjects><predicate>"
"Use of a comma after the identification of a year","<commas>"
"how much of this stuff we can channel","<meaning><meaning-in-context>"
"Can I write a comma straight after a dot? in business card","<american-english>"
"Which one is grammatically correct, with ""have"" or without ""have""?","<grammaticality><syntactic-analysis><conjunction-reduction><is-it-a-rule><compound-predicates>"
"What’s the geographic distribution of different pronunciations of the word ""experiment""?","<pronunciation><dialects><phonology>"
"One word to describe all flora","<nouns><adjectives>"
"Where did ""that really takes the biscuit/cake"" come from?","<etymology><phrases>"
"Get to doing something","<grammar><synonyms><explanation>"
"If someone calls something by a wrong name, what are they actually referring to?","<meaning-in-context><phrase-usage><objects>"
"What is a word for non alpha numeric characters that are the same when opened and closed?","<grammar><terminology><american-english><writing><programming>"
"When concerned or where concerned","<expressions>"
"In which or at which?","<grammar><grammaticality><phrase-requests>"
"can ""coexist"" cover animate and inanimate things?","<meaning>"
"Season's Greetings usage","<word-usage><christmas>"
"Someone who appears more of an expert than they are","<single-word-requests><phrase-requests>"
"How to convey the meaning of ""ordering a mess of papers and books""","<single-word-requests><phrase-requests>"
"What is the difference between a part of speech and a syntactic function / grammatical relation?","<grammar><parts-of-speech><syntactic-analysis><functions>"
"Sequence of tenses in elaborate sentences?","<tenses><perfect-aspect>"
"Is it possible to use the relative pronoun ""which"" to refer to people?","<grammar><relative-pronouns>"
"Is it common to use the phrase “come with” without specifying with whom","<phrases><word-usage><expression-choice>"
"a word for wanting to be somewhere else","<single-word-requests>"
"Is there any rule of silent initial letters in English?","<pronunciation-vs-spelling><silent-letters>"
"What does ""Payment with return""?","<meaning><translation><legalese>"
"Are products of wordsmithing proper English?","<history><suffixes><prefixes><lexicon>"
"What are the difference between ""details"" and ""information""?","<differences>"
"Use of commas with seemingly dependent clauses","<commas><clauses><dependent-clause><independent-clauses><example>"
"Mixing tenses in past tense fiction","<tenses><past-tense><future><present-tense>"
"Suffering succotash","<idioms>"
"What is the saying or idiom or word that means when ""friends"" don’t need you anymore it seems like they don’t know you anymore","<word-choice><idioms><popular-refrains>"
