title,tags
"How many Esperanto speakers exist?","<esperanto-speakers>"
"What is the meaning of ""korekta"" and when to use it?","<word-usage><meaning-in-context>"
"What happened to the letter ĥ during the evolution of Esperanto from Zamenhof to our times?","<language-evolution><diacritics>"
"How does one build correlatives","<correlatives>"
"What percentage of Esperanto words come from each major language family?","<etymology>"
"Are there any NLP tools for Esperanto?","<technology>"
"""sola"" vs ""unuope""","<word-usage>"
"Where does the verb ""farti"" come from?","<etymology>"
"How do you become ""Esperantist of the Year"" (Esperantisto de la Jaro)?","<history><movado>"
"Are there plans to release Esperanto courses for other languages on Duolingo?","<learning>"
"Is it possible to use other symbols as an alternative to accented characters?","<typography>"
"How did the h-system of typing accented characters come about?","<typography><h-system>"
"Does Esperanto have contractions?","<word-usage>"
"How common are custom words?","<word-usage>"
"How did the color green become associated with Esperanto?","<culture>"
"Is it possible to mix feminine suffix (in) and offspring suffix (id)?","<affixes>"
"How did Telegram become so popular with the Esperanto community?","<esperanto-speakers>"
"Who is in charge of Esperanto?","<language-evolution>"
"Ĉu “Krei lingvon bazita sur …” aŭ “… bazitan sur …”?","<grammar><accusative>"
"What are some notable examples of novels that are only available in Esperanto?","<literature>"
"Does Esperanto have a lexicon as wide and rich as the English lexicon?","<lexicon>"
"Why should I learn Esperanto?","<learning>"
"Ĉu la artikoloj de Lingva Kritiko iam evoluas al facila konsilo por uzantoj de la lingvo?","<untagged>"
"What is the origin of the word ""mojosa""?","<etymology>"
"What is the correct punctuation for quoting a sentence?","<punctuation><quotes>"
"Published sources describing the speed of Esperanto learning","<learning>"
"What is the equivalent of scare quotes?","<punctuation>"
"How do I know when a verb is transitive?","<word-usage><affixes>"
"Which good and representative tests/certificates could I get to assess my Esperanto knowledge?","<certification>"
"What is the difference between -ita and -ata?","<word-usage><meaning-in-context>"
"What's meant by an ""International"" language?","<terminology>"
"Does Esperanto have a gender-neutral pronoun that can be used for humans?","<pronouns><gender>"
"How common is the ""-iĉ-"" suffix to denote maleness?","<word-usage><gender>"
"What is the link between billionaire investor George Soros and Esperanto?","<history><movado>"
"Where can I read interesting articles about science in Esperanto?","<resources>"
"Are there active discussion groups about politics in Esperanto?","<resources>"
"Does Esperanto use also ""hospitalo""?","<word-usage>"
"Why is Esperanto popular in Iran?","<history>"
"How does Esperanto work for speakers of non-Western languages?","<learning>"
"Diferenco inter ""...is"", ""estis ...anta"" kaj ""estas ...inta""?","<grammar>"
"Are there good reasons for the prefixes and suffixes in the table of correlatives?","<history><correlatives>"
"Did the writer George Orwell hate Esperanto, and why if it is the case?","<culture><reception>"
"How are the locations for the Universala Kongreso chosen?","<culture><universala-kongreso><events>"
"Use of the word 'kio' as the object of a non-question sentence","<word-usage>"
"Is the letter R supposed to be trilled?","<pronunciation>"
"What is the difference between the affixes fi- and -aĉ?","<word-difference><affixes>"
"Do the native Esperanto speakers endanger the language neutrality?","<native-speakers>"
"How much has Esperanto changed over the years since the publication of Fundamento de Esperanto?","<language-evolution><h-system>"
"Who are some of the well known female Esperanto activists today?","<culture><movado>"
"How do I type the Esperanto letters on Windows?","<typography><technology><diacritics>"
"What is the origin of the word ""frazo""?","<etymology>"
"Is there an Esperanto literary canon?","<literature>"
"Is there a list of recommended reading for beginners?","<learning><literature>"
"Is there a rule for when not to turn an adjective into a verb?","<grammar>"
"What are examples of Esperanto-given names?","<culture><literature><nouns>"
"Why does ""glaciaĵo"" mean ""ice cream""?","<etymology><affixes>"
"What is the difference between ""Mia onklo venas sane"" and ""Mia onklo venas sana""?","<meaning-in-context><translation><adjectives><adverbs>"
"What is the general feeling of Esperanto speakers toward Esperantidos?","<culture>"
"""Dankon POR via respondo"" or ""Dankon PRO via respondo""?","<verbs><prepositions>"
"What is a Gufujo and how is it different from a Kafejo?","<culture>"
"Why does ""devus"" translate as ""should?""","<word-usage><translation>"
"Which are the best multilingual online and offline dictionaries?","<resources>"
"What is the origin of the word ""kabei""?","<etymology>"
"How to translate the expression ""ready, steady, go""?","<translation>"
"What is the relationship between Esperanto and spiritism?","<culture>"
