title,tags
"Tax treaty with USA -- exemption for 2 tax years or 24 months?","<usa><taxes><residency>"
"Resigned from my position on UK Tier 2 Visa: Do I need to notify UK Visas and Immigration that I have left the UK?","<united-kingdom><working-visas>"
"Education as immigrant to US","<usa><working-visas><education>"
"Visa to search for job in Singapore","<working-visas><singapore>"
"Cheap way to move stuff from USA to Western Europe","<usa><france><eu><relocation><shipping>"
"If I have a ILR how long can I stay away from the UK?","<us-citizens>"
"UK Customs for shipped container","<united-kingdom><customs>"
"What are the laws and the tax regulation when importing goods into Spain","<taxes><spain><imports>"
"Applying for an UK Ancestry Visa, can't select that visa type on Teleperformance website","<united-kingdom><visa>"
"Non-Resident Withholding Tax in New Zealand","<taxes><banking><new-zealand>"
"Cheapest way to transport PC from UK to Spain (Malaga)","<united-kingdom><spain>"
"Kickstarter project on an OPT-STEM in the US","<visa>"
"Secondary school leaving certificate nostrification in Czech Republic","<visa><schengen><study><paperwork><czech-republic>"
"Quebec skilled worker program 2015","<france><canada><immigration><resident-permit><french-citizens>"
"Become a UK resident?","<united-kingdom><immigration>"
"Capital gains on US property while living abroad","<taxes><housing><tax-deductions><real-estate>"
"What is the procedure to apply for Canadian visitor visa for parents from Canada?","<visa><canada><indian-citizens>"
"Can I stay in US legally after my I-94 date if I have applied for Visa Extension 20 days back?","<usa>"
"Medical test for travel to Canada","<visa><canada><medical>"
"Medical test for travel to Canada","<canada><student-visa><indian-citizens><medical>"
"Temporary Residency in Spain: Is there a better way?","<visa><resident-permit><spain>"
"How long can I stay in Canada?","<canada><residence-cards>"
"Preparation for moving to Prague: what comes first?","<working-visas><eu-citizens><paperwork><working><czech-republic>"
"Tax implication for US based IRA/401K when retiring to Italy","<taxes><us-citizens><italy>"
"Travelling from US before H1B application","<usa><working-visas><student-visa><h1-visa><holidays>"
"French rental tax ('taxe d'habitation') payment was never requested. How to rectify / consequences?","<taxes><france>"
"Applying for French citizenship","<france><citizenship>"
"Accused in Spain, but no police interview","<spain><legal>"
"Can you hold 2 student visas at once?","<usa><visa><australia><study>"
"What is the waiting time for a Green Card in the EB2 category for people born in countries within the European Union?","<usa><greencard><h1-visa>"
"Can I get my Mexican wife from Mexico to the USA while doing the I-130?","<usa>"
"Recognizing US marriage to French citizen in France","<france><marriage><eu-spouses>"
"Canadian bank claims that a joint account requires two W-9 forms","<canada><banking>"
"After Brexit - Partner visa for American girlfriend of an Italian living in the UK","<united-kingdom><visa><italian-citizens><brexit>"
"How much does Canadian skilled worker immigration cost?","<immigration><canada><express-entry>"
"British Citizen applying for Canadian citizenship","<canada><citizenship>"
"What documents do I need to be able to sign a rental contract Brussels, Belgium?","<rental><belgium><documentation>"
"Settlement visa without taking the English test","<united-kingdom><uk-visa>"
"Does a brother counts as close family for immigration to Canada?","<immigration><canada>"
"Is proof of fund not required if you have arranged employment in Canada?","<immigration><canada><employment><skilled-migration>"
"Is my UK permanent residence (ILR) at risk?","<united-kingdom><resident-permit>"
"I-94, H1B visa not activated","<h1-visa>"
"Moving to Germany with partner and small child","<united-kingdom><germany>"
"Possibility of visa for ""household members"" for Canada and UK for 1 year-similar to U.S.A?","<usa><united-kingdom><visa><canada><indian-citizens>"
"Are there any visa exemptions available for an Australian wanting to work for a year in the Schengen area who has a dual-citizenship girlfriend?","<eu><australian-citizens>"
"What subtype visa for settlement to apply for civil partner","<united-kingdom><visa><immigration><uk-citizens>"
"How can I watch French TV programs on American internet?","<france><television>"
"Natualized US citizen, with un-renounced X country citizenship, making French visa, which passport?","<working-visas><dual-citizenship>"
"Can a green card holder enter the US with a passport having less than 6 months remaining?","<greencard><passport>"
"Can father send me the amount of proof of funds required for immigration?","<immigration><canada>"
"How to get a UK driving license as a non-UK national if your passport is with the Home Office?","<united-kingdom><driving-license><passport>"
"Being a cam girl from home and moving to the U.K","<usa><united-kingdom>"
"What Visa do I need to complete an unpaid internship in New York","<usa><visa><australia><study>"
"Which ANABIN Certificate do I need for Work Visa? If I want Aufenthaltserlaubnis (Resident permit) Germany","<visa><working-visas><germany>"
"Austria - How much if enough","<immigration><austria><salary><cost-of-living>"
"How to determine the fees when using a Dutch bank card overseas?","<banking><money-transfer><currency><credit-cards>"
"Does Canada issue Study Permits for Part-time graduate programs?","<canada><student-visa>"
"Deutsche Bank rejected Amazon's bill on my account, and now I must pay Amazon EUR 3.00 more for ""Rücklastschriftentgelts""?","<germany><banking><shopping>"
