title,tags
"At what point is it no longer a ""Free Change""","<contracts><changes><design>"
"Determining when to turn down business","<attracting-clients><project><difficult-client><project-bidding>"
"Tracking hours you are working for clients","<time-management><time-tracking>"
"How to deal with projects that have gone on too long?","<project-management>"
"I failed to reach the deadline","<time-management><project-management><communication><project>"
"What are the pro and cons of working directly with a client versus through a consulting agency?","<contracts>"
"When is it a good idea to start considering an LLC or incorporation?","<contracts><legal><llc>"
"Offsetting own labour as 'allowable expenses' when accounting","<legal><uk><accounting><expenses>"
"Marketing yourself with limited time","<marketing><branding>"
"Which legal business entity for consulting in RI, USA","<legal><entity><usa>"
"Starting a business without filing government forms","<legal><usa><entity>"
"Is there an ideal state in which to incorporate in the USA?","<usa><foreign-incorporation>"
"How close do end client work locations need to be to fall foul of the 24 month travel and subsistence rule?","<legal><expenses><uk><travel><hmrc>"
"On a long contract, when is it ok to ask for a raise?","<contracts><pay-rate><contract-to-hire>"
"When is it ok to ask a client for more money?","<contracts><overtime><fixed-price>"
"The Freelance Lifestyle: How to manage travel, overtime, and family","<contracts><overtime><travel>"
"Who owns the result of my contracted work?","<contracts><legal><ownership>"
"Finding the first client","<attracting-clients><marketing><moonlighting>"
"How do I calculate pay rate if I've never freelanced before?","<pay-rate>"
"How to not burn bridges when turning down a contract","<contracts><negotiation>"
"Should client requirements be included in a contract?","<contracts>"
"How should I handle contract cancellation fees?","<contracts><contract-cancellation>"
"How do I determine which type of contract to use?","<contracts>"
"Company registration when working in many EU countries?","<contracts><taxes><eu>"
"EU-citizen working as contractor in Switzerland?","<contracts><registration><switzerland>"
"Language requirements for IT-contractor working in Denmark?","<information-technology>"
"How to find clients beyond sites like oDesk/Guru/Freelancer?","<freelance-websites><attracting-clients><marketing><growth>"
"How do I get my first job at a freelancing site?","<freelance-websites><growth>"
"How do I deal with clients who ask me to change the design every few days?","<changes>"
"How to learn copyright laws affecting freelancers and self-employed people","<legal><usa><copyright>"
"How to deal with 'Scope Creep'?","<scope-creep>"
"How can I advertise myself?","<attracting-clients><advertising>"
"How can we prepare for ""getting hit by a bus""?","<client-support>"
"What's the most important consideration when accepting a new client?","<evaluating-clients>"
"How to screen potential new clients?","<evaluating-clients>"
"Formality of contracts","<contracts>"
"Where can I find good contract templates?","<contracts>"
"How can I mitigate not being part of a big team?","<contracts><attracting-clients>"
"Filing taxes quarterly","<usa><taxes>"
"Should I lower my per hour rate to be competitive with overseas firms?","<pay-rate><foreign-markets>"
"Fixed price or per hour for a web developer?","<price-per-hour><fixed-price>"
"Staying in contact with clients when I have a different sleep-wake rhythm (being a night owl or living in a different time zone)","<time-management><communication>"
"How can I negotiate barter for a contract?","<usa><negotiation>"
"Claiming use of home as office allowance if the work is unpaid","<legal><expenses><uk><hmrc>"
"Does the type of payment method reflect the implied professionalism of a freelancer?","<payment-terms>"
"Effect on employee-periods in CV on finding contractor jobs?","<contracts><eu>"
"Best approach to finding clients in your own city?","<attracting-clients>"
"How much time should I spend on open source work to advertise myself?","<programmer><advertising>"
"Freelance authors: building a reputation; generalize or specialize?","<writing>"
"How to approach local shops to offer them my service?","<attracting-clients>"
"Working per hour, where do you draw the line?","<time-management><overtime><negotiation><price-per-hour><payment-terms>"
"Implement features in case the employer doesn't pay","<payment-terms>"
"What should I look at to determine whether or not I should charge by the hour or by fixed price?","<pay-rate><payment-terms><price-per-hour><fixed-price>"
"What are the best ways to get to a decision maker at the owner, CEO, or CFO Level?","<proposal>"
"Charity or Nonprofit Support Services - What are the possible options?","<uk><taxes><nonprofit>"
"Donating my work to charitable organizations without incuring legal liability?","<nonprofit>"
"How should an independent contractor's resume differ from that of a candidate seeking a permanent position?","<marketing><resume>"
"Should a contractor charge a higher hourly rate for a shorter term contract? Rules of thumb?","<pay-rate><negotiation>"
"How much bookkeeping or accounting knowledge is necessary when going freelance?","<consulting><accounting>"
"Taking advantage of retail discounts if contracting at an educational institution","<legal><uk><hmrc>"
"What steps can I take to protect my reputation if my CV is plagiarised?","<legal><copyright><resume>"
"Do I need a formal business plan to run a successful freelance business?","<business-plan>"
"When is it safe to give Tax ID to Remote Employer","<taxes><usa><remote>"
"Clients want to track the hours I work for them","<remote><time-tracking>"
"How do I write a good business plan?","<business-plan>"
"How to execute a proper (and effective) introduction? I'm not yet on the proposal","<attracting-clients>"
"What guarantees do employers/freelancers needs to take for big projects?","<contracts><legal><project>"
"Why should I not provide free services to friends when freelancing?","<invoices><portfolio><friends-services>"
"How to estimate the hourly rate for senior developer?","<contracts><pay-rate>"
"Writing my first business plan. How do I know what to put in the pro forma balance sheets and financial targets?","<business-plan>"
"How should I deal with my first clients who ask for my portfolio?","<attracting-clients><portfolio><clients>"
"Community for freelance webmasters who want to make portfolio with non-profit projects?","<portfolio><webmasters>"
"Remote translation services in not widely known language - how to reach target?","<advertising><translations>"
"Freelancing while being employed","<legal><time-management>"
"Phone or e-mail when attracting clients?","<freelance-websites><attracting-clients><communication><marketing><sales>"
"Is it a good idea to team up with other freelancers and are there existing groups of freelancers?","<group-freelancing>"
"What does an LLC's limited liability really protect you against (if you are sole owner and employee)?","<legal><usa><llc><incorporation>"
"Is making a connection on a networking website such as LinkedIn a good first step?","<advertising><linkedin>"
"How to prepare for death or incapacitation (for business)","<uk>"
"Options for Pension Provision in the UK","<uk><pension>"
"What should be on an invoice?","<payment-terms><invoices>"
"What should be included on a quotation or offer to perform services/deliver goods as a freelancer?","<invoices><sales><project-bidding>"
"What information should be on a formal purchase order?","<contracts><invoices>"
"Disadvantages to incorporation/forming an LLC?","<usa><llc><incorporation>"
"How to utilize charity work for building a business","<marketing>"
"How to backup declared income when the invoice is lost?","<legal><taxes><invoices><canada>"
"Risks of giving friend-clients a discount: price discrimination?","<price><friends-services>"
"As a new Freelance editor earning a low pay rate, how long should I wait before asking for a raise?","<negotiation>"
"How Should I Track/Group Receipts and Expenses as a Freelancer?","<contracts><expenses>"
"Agile methodologies when developing software as a freelance?","<time-management><project-management><productivity><changes>"
"Billing on 25, 30-minute increments?","<time-management><time-tracking>"
"Telling a client they won't have priority","<contracts><retainer>"
"Guidelines for using SE profile/s for freelancer promotion?","<marketing>"
"What percentage is fair for me as a graphic design subcontractor?","<pay-rate>"
"Sending a bill without delivering a product","<contracts><invoices>"
"What are the risks associated with solely relying on freelancing income and making it as a career?","<legal><attracting-clients><foreign-markets>"
"Should I point out design flaws to my clients?","<design><clients>"
"Freelancing and Using Open Source/GPL code to make money","<copyright>"
"Retain intellectual property for art sold on CafePress?","<legal><copyright><ownership>"
"Freelance Web Developer Stationary for Estimates, Proposals, Contracts","<contracts><invoices>"
"Should I use a written contract when working for small businesses?","<contracts>"
"How do I calculate the cost (to me) of one hour of work?","<price-per-hour><consulting>"
"Can I start doing work before my LLC paperwork has run through to completion?","<legal><llc>"
"How does one transition a job offer into a sale?","<negotiation><sales>"
"Starting out as a private tour guide in a large North American city, how can I find customers?","<marketing><attracting-clients><growth><canada>"
"Charging more for emergencies because of the client's negligence?","<pay-rate><client-support>"
"Out of State Lawsuit for Payment","<legal><payments><usa>"
"How can a new freelancer judge the competition?","<marketing>"
"How much payment should be required up front?","<contracts><payment-terms>"
"How much time to spend on an initial quote as a part-time freelancer?","<price><project><moonlighting>"
"How to get paid and figure out if I want to keep this client","<payment-terms><project-management><evaluating-clients><difficult-client>"
"How to manage clients and their projects?","<project-management>"
"Apply and bid for an Android Development freelancing project online","<marketing><group-freelancing><project-bidding>"
"How do I answer the ""How much will it cost"" question when researching a development task that has unknown variables?","<estimation>"
"Sorting out the time wasters from serious clients","<pay-rate><time-management>"
"How do you make family understand that you need to stick to a schedule?","<time-management>"
"What percentage do you count in price estimation to cover overtime?","<overtime><price><estimation>"
"Do you fix hourly estimation or accept your mistake and do for free?","<overtime><estimation>"
"To talk with client or to chat with client and the effects on landing contracts","<communication>"
"Whilst employed, can I open a freelancing website account?","<legal><consulting><freelance-websites>"
"Selling programming language courses - copyright issues?","<copyright>"
"What is the difference between an LLC and a PLLC?","<legal><llc>"
"How can I measure the credibility of a Freelancing website?","<growth><price>"
"Is scope creep before work has even started a warning sign?","<evaluating-clients><scope-creep>"
"What is good share ratio when you outsource projects due to lack of time?","<outsourcing><share-ratio><profit-share><subcontracting>"
"Retainer Agreements","<contracts><consulting><retainer>"
"Contractor going Full time - what do I do with my incorporation?","<contracts><incorporation><canada>"
"Does freelancing experience count in the business world?","<negotiation><portfolio>"
"What are the tax issues involved with ""employing"" a worker in a different country?","<taxes><remote>"
"How can I write a contract based on intellectual property?","<contracts>"
"How do I invoice my client correctly in the UK?","<taxes><invoices>"
"What are good resources for pricing calculators for web design work?","<pay-rate><price><estimation>"
"How can I determine my rates as a freelance Wordpress developer?","<price-per-hour>"
"How do I put freelancing in my CV?","<growth><resume>"
"Freelance Consulting while Employed","<contracts><consulting><business-plan><moonlighting>"
"How to fire or salvage a problem client?","<difficult-client><contract-cancellation>"
"How to figure out the Scope of Work?","<scope-of-work>"
"Too many projects and no one to outsource them to - how is this possible?","<project-management><outsourcing><subcontracting>"
"Impact of long pause in CV on finding job as contractor?","<contracts><resume>"
"How to convince the client that you'll report hours truthfully?","<time-tracking><trust>"
"Will crowdsourcing impact the freelancer business in SW development? And how?","<outsourcing>"
"In terms of industry standard, what qualifications are required for internet-based freelance translating?","<translations>"
"On an EU invoice, will my Brazilian customer have to pay VAT?","<taxes>"
"Is pet business insurance required for a dog walking business?","<business-plan><insurance>"
"Is there any difference between outsourcing and subcontracting?","<outsourcing><subcontracting>"
"Finding a freelancing partner for small business","<project-management><outsourcing><group-freelancing>"
"Why are the majority of my US clients so hesitant with contracting outside the US?","<usa><remote>"
"Is there a pattern we can use to increase our price along with experience?","<price-per-hour><price>"
"What to do when the client in proposal phase requests too much work? Should all our work during estimation be free?","<negotiation><estimation>"
"How much should I charge as a late fee?","<payment-terms><late-payment>"
"Is there any benefit of taking skills test on freelancing sites?","<information-technology>"
"Approximate cost of bookkeeping for contractor in Western Europe?","<contracts><switzerland><accounting><germany>"
"How do I start my Freelancer career?","<resume><portfolio>"
"What is an appropriate follow-up time with clients?","<attracting-clients><communication>"
"How can I start freelancing and get online projects to work on?","<project-bidding><freelance-websites>"
"Can I register myself as CEO for my freelancing company besides being a regular full time employee in a Corporate","<registration>"
"Hourly billing, is it appropriate to include time to research if you don't know how to do something?","<pay-rate>"
"Where can a front end web developer start freelancing?","<web-development>"
"Where can a new freelancer find people to work with?","<group-freelancing>"
"What ICT companies fill a locum by a freelancer?","<subcontracting>"
"Contributing back to open source projects you've used and improved on the job?","<contracts><consulting><copyright>"
"How do you give feedback on a contract from a client?","<contracts><negotiation>"
"Acceptable terms for sales contract where I'm the sole developer","<contracts><sales><proposal>"
"Where to find remote contract work in SAP / ABAP?","<remote>"
"Quote for creating design for website without developing the site?","<price><design>"
"Integrating simple client management software into a website","<project-management><project>"
"Charging a yearly support fee for commercial CMS based website?","<client-support>"
"Freelance sites specializing in quick turn-around?","<freelance-websites><attracting-clients>"
"Is it appropriate for a prospective client to require me to purchase third-party tools?","<negotiation>"
"Is it possible to get freelancing gigs in project management or recruiting fields?","<project-management><remote>"
"How to get over the discomfort of asking for money?","<pay-rate><invoices>"
"What I should be quoting for as a web designer / developer","<price>"
"Source control systems for independent single/small group developers","<project-management>"
"How should I determine whether to charge my client for converting iOS 6 app to iOS 7 app?","<contracts><payment-terms>"
"Licensing or selling a mobile application to another company","<price><expenses><information-technology>"
"What do web developers charge for site maintenance (not changes/updates)?","<price><web-development>"
"Freelance graphic design without true work experience or degree","<freelance-websites>"
"Should I offer to refund an upfront payment for a job I failed to complete?","<payment-terms><freelance-websites>"
"How does a developer determine they are qualified to be hired as a freelance developer?","<marketing><portfolio>"
"If I pay for and have sole control of a digital service and have no obligation to provide the service for gratis - Can I close the service?","<invoices><subcontracting><nonprofit>"
"Can they sue me in this situation?","<invoices>"
"Building my online portfolio as a web developer with limited projects","<attracting-clients><marketing><portfolio>"
"How can I organize my payment procedures to assure that I'm getting paid without excessive pressure on the client?","<payment-terms><invoices><estimation><business-plan>"
"Clients who don't pay their invoices what are your options?","<legal><late-payment>"
"Are there measures one can do to ensure clients paying on time?","<late-payment>"
"How can I improve my Research & Analysis process for my future projects as a Web Developer?","<time-management><business-plan><evaluating-clients>"
"Can I sell/solicit my services by applying to regular job positions?","<attracting-clients><sales>"
"Should I charge my client the same rate for support services as I do for development, especially if I subcontract the support work?","<price-per-hour><subcontracting>"
"Reasonable amount of time for clients to respond to applicants?","<programmer>"
"How can I make a monthly maintenance pricing structure work?","<pay-rate><payment-terms>"
"How Do I Start my Own Freelancing Company?","<freelance-websites><attracting-clients>"
"What taxes does a Canadian freelancer charge to other countries?","<taxes><canada>"
"Should I charge a client who does not come to a code help appointment?","<contracts><consulting>"
"Serving Brazilian customers from the EU","<taxes><eu><foreign-markets><foreign-incorporation>"
"At what stage in negotiations do you ask for the budget? If at all?","<estimation><budget>"
"Health insurance and freelancing in the US","<pay-rate>"
"A dress code during a freelance interview?","<interview><dress-code>"
"How to make the jump from normal employee to higher level freelancing","<attracting-clients><consulting>"
"Client wants to pay a percentage of revenue generated by website","<contracts><payment-terms>"
"What's the smallest unit of time I should charge for when clients request minor changes?","<price><freelance-websites>"
"Sending advertising offer letters to local businesses","<attracting-clients><advertising>"
"Firing a client due to difficult ongoing work relationship","<contracts><communication><difficult-client><contract-cancellation>"
"Client threatening to sue me","<contracts>"
"When working with another freelancer, how do we resolve disagreements on what projects to take?","<evaluating-clients>"
"Remote Working for a client","<remote><project>"
"How important is a prompt reply in the freelance world?","<communication>"
"Is it good to get paid in advance and then start project development?","<contracts><payment-terms><project>"
"Making a quotation for creating a website (design and development)?","<freelance-websites><estimation>"
"How to properly set tasks for a freelancer who will talk to clients only?","<time-management><outsourcing><sales>"
"Virtual office for a team of freelancers","<virtual-office>"
"How to turn down freelancing projects due to ethical/moral dilemmas without upsetting client or referring party?","<evaluating-clients>"
"Shall I count my management work hours if I outsource the project?","<outsourcing><time-tracking>"
"Am I charging my clients too much?","<uk><outsourcing><over-due>"
"Web designer's name on the homepage etiquette","<design>"
"Can someone suggest how I can improve my freelancer-to-client communication?","<evaluating-clients><communication>"
"Client threatening to take legal actions -- How should I have prevented this?","<legal>"
"Different fields of expertise: single or multiple account?","<freelance-websites><resume>"
"How to quickly and efficiently create proposals and send invoices?","<contracts><design><accounting>"
"Are proposals and contracts the same thing?","<contracts><proposal>"
"How should I deal with clients wanting to meet me, but I work at home?","<client-support><working-from-home>"
"In Canada, how should I determine to be a different company entity?","<taxes><canada><entity>"
"How should I brand myself?","<marketing><entity>"
"Is there any way I can attempt to recover 16k from a client who doesn't feel it necessary to pay because they elected to not use my content?","<payment-terms>"
"Doing business in Australia as foreign freelancer located overseas","<foreign-incorporation><registration>"
"How can I get setup as a UK Contractor for long-term contracts and be sure to cover all expenses and tax implications?","<contracts><pay-rate>"
"Freelance working for a company - what should my contract include?","<contracts><legal><taxes>"
"How to do the support after delivery?","<client-support><clients>"
"What are the stages of freelance software development project?","<untagged>"
"How to determine what to charge for building custom Android applications?","<price><price-per-hour><fixed-price>"
"What is the correct steps in resolving lack of payment?","<payments><over-due>"
"Global freelancers and taxation","<legal><taxes><remote><foreign-markets><virtual-office>"
"How can I get started as a freelance writer?","<writing>"
"How can I discipline myself as a freelancer?","<productivity><billable-hours>"
"A bad client who pays a lot - should money or attitude prevail?","<difficult-client>"
"How to find Web Development work outside the freelancing sites?","<outsourcing><sales>"
"Is an agreement by email reply enough to act as a signature in a legal contract?","<contracts><legal>"
"As an Independent Contractor, do I need to collect tax on the first $30,000?","<taxes><canada>"
"Samples of legal contracts for contractors (freelancers)","<contracts>"
"Best way to get clients as a freelance web developer?","<freelance-websites><attracting-clients>"
"Generally accepted ways to handle travel costs to a prospect's site before you land the project?","<payment-terms><expenses><travel>"
"Client asked me to remove copyright and name from licensed code","<freelance-websites>"
"How to charge for a iOS project on function/feature basis or for complete app or hourly basis","<pay-rate><payment-terms><time-tracking>"
"How to decide the price for an iOS app for freelancer - feature/function basis or complete project or hourly?","<payment-terms><programmer>"
"Running payroll for self - Provincially Incorporated in Canada","<canada><incorporation>"
"How can I get started as a freelance facilitator?","<attracting-clients><uk><consulting>"
"How to manage a client's expectations","<freelance-websites><time-management>"
"How to manage project requests from clients who offer partnerships?","<freelance-websites><payments>"
"Can one make a living just by working through Elance, Freelancer, oDesk, etc?","<freelance-websites>"
"Is it allowed on Elance to mention one's personal freelance website's URL?","<freelance-websites>"
"Do I need to use SEO on my portfolio site?","<freelance-websites>"
"How to build passive income instead of just selling work hours?","<business-plan>"
"How to handle multiple outstanding sales / proposals?","<time-management><sales>"
"What are the pros and cons of having fewer, smaller projects compared to larger, bigger projects?","<pay-rate><project-bidding>"
"At what point are contracts necessary?","<canada><small-projects>"
"How do you meaningfully distinguish between a contractor and a consultant?","<consulting>"
"Selling software online","<legal><software><sales>"
"How much cost can be charged for an hour in web development.?","<contracts><pay-rate><price><price-per-hour><foreign-markets>"
"Free support after selling a project","<project><client-support>"
"Is it required to register under any authorities to work as a freelancer?","<legal><group-freelancing><registration>"
"Struggling to find work","<attracting-clients>"
"Choosing the right partners","<business-plan><software>"
"Working as a freelancer at an office in the UK","<untagged>"
"How can I calculate my Cost Per Acquisition?","<finance>"
"How to work as a pet sitter with low self-confidence?","<attracting-clients><growth><trust>"
"Freelance work doing sketchnoting - How do I start?","<attracting-clients>"
"Can I charge customer at my installation rate for the time it takes me to figure out the bill?","<pay-rate>"
"Seeking advice on web design startup","<business-plan><client-support>"
"What are some approaches for identifying your ideal customer?","<marketing><clients>"
"How to reduce the cost of healthcare without paying for health insurance?","<usa><insurance>"
"What to do about a possible fraudulent client and a scam in progress?","<legal><uk><difficult-client>"
"How do I estimate the cost of building an Android app?","<contracts><estimation>"
"How do companies sustain by working on freelancing sites?","<contracts><price-per-hour><group-freelancing>"
"Should freelancers seek long-term clients or not?","<evaluating-clients><long-term>"
"Bad rating has decreased my chances of getting work - How can I recover from bad feedback?","<contracts><attracting-clients><freelance-websites>"
"Which collaborative software do you usually need to work?","<communication><software>"
"How to get work on freelancer.com as an existing contractor but new to freelancer.com?","<freelance-websites><group-freelancing>"
"Should I work for free for non-profit organizations?","<nonprofit>"
