title,tags
"What is the correct French noun for a school report?","<vocabulaire><éducation>"
"Origine de l'expression ""tout un chacun""","<expressions><><étymologie>"
"When to use “il est tard” vs “c'est tard”?","<pronoms><indications-de-temps><pronoms-impersonnels>"
"Vouloir dire charrette?","<expressions><expressions-idiomatiques>"
"« Bon appétit ! » est-il poli ?","<politesse><alimentation>"
"Quelle est la différence entre les trois conjonctions « alors que », « pendant que » et « tandis que » ?","<sens><conjonctions>"
"French to English dictionary with native audio (preferably for Android)?","<ressources><dictionnaires>"
"« Venezuela » (sans accents) mais « vénézuéliens » (avec accents) ?","<orthographe><diacritiques>"
"Expression idiomatique — bon appétit pour les boissons","<expressions><expressions-idiomatiques><alimentation><travail>"
"Translating ""cut the cards""","<vocabulaire><jeux>"
"En fait... How is it spelt, what does it mean?","<orthographe>"
"Prononciations des terminaisons du futur et du conditionnel","<prononciation><linguistique><conditionnel><futur-simple>"
"Peut-on remplacer une proposition de condition par un verbe au conditionnel ?","<grammaire><oral><conditionnel><conditions>"
"Que signifie le conditionnel dans le titre d'un article de presse ?","<grammaire><sens><conditionnel><titres>"
"Do you pronounce the ""t"" in ""comment allez-vous""?","<prononciation><liaisons>"
"Is there an expression in ""il ne s'y est pas pris assez tôt""?","<grammaire><expressions-idiomatiques>"
"“Falloir” vs. “devoir”: is there a difference in meaning?","<grammaire><sens><subjonctif><infinitif>"
"Is there an expression in ""en sont on ne peut plus amoureux""?","<grammaire><expressions-idiomatiques>"
"Is there such an idiom as ""en être de même""?","<grammaire><sens><expressions-idiomatiques>"
"Quelle est la différence entre objet et objectif ?","<sens><vocabulaire><choix-de-mot>"
"What is the exact meaning of ""il y fallait songer""?","<grammaire><sens>"
"Est-ce que « germanisme » est employé de la même façon que « anglicisme » et « gallicisme » ?","<linguistique><allemand><demande-de-mot>"
"How to properly utilize the causative “have” in French?","<grammaire><conjugaison><constructions-causatives>"
"How to use ""juste""?","<anglais><grammaire><vocabulaire><adverbes>"
"Is “taper fort” or “taper si fort” an idiom?","<grammaire><expressions-idiomatiques>"
"Is there a French equivalent for ""wishing (something) away""?","<traduction><anglais><grammaire><expressions-idiomatiques>"
"Does ""il y en a"" always mean ""there is / are some""? Does ""il n'y en a pas"" always mean ""there isn't / aren't any""?","<grammaire><démonstratifs><partitif>"
"What is the meaning of “le titi parisien”?","<expressions><sens>"
"The ""comme pour mieux nous cacher que le logos, [...], nous trahit"" quandary","<grammaire><expressions-idiomatiques><verbes>"
"Is there a liaison in the sentence ""je suis américain""?","<prononciation><liaisons>"
"Are there any spelling differences between Canada's French and France's French?","<orthographe><québec><france>"
"Que signifie exactement l'expression « et basta » ?","<expressions><sens><registre-familier>"
"When was the word ""baccalauréat"" first used in France?","<><étymologie><histoire><éducation>"
"Is there any French equivalent for the English ""thou""?","<traduction><anglais><pronoms><histoire><pronoms-personnels>"
"What's the difference between ""bêtise"" and ""sottise""?","<vocabulaire><synonymes>"
"Meaning of “en” in “il en est un …”","<grammaire><pronoms><poésie><en>"
"“Depuis” and “depuis que” versus “il y a” and “il y a … que”","<sens><choix-de-mot><prépositions><indications-de-temps><constructions>"
"Emploi du verbe ""procrastiner"" pour rendre l'idée de ""remettre aux calendes grecques""","<usage><expressions-idiomatiques><histoire><latin><grec>"
"Tournure « est-ce que » utilisée deux fois dans une phrase avec la conjonction « ou »","<grammaire><conjonctions><interrogative>"
"Avoir et être au passé composé","<grammaire><sens><participe-passé><passé-composé><passif>"
"What's the usual usage of third person pronouns for feminine animal names like?","<pronoms><genre><genre-biologique>"
"What is the French word for ""retrodict""?","<traduction>"
"Tenses in subordinate clauses that correspond to an “-ing” form in English","<grammaire><verbes><temps-grammatical>"
"Emploi du mot « arabe »","<expressions><politesse><culture>"
"« Social engineering » : « piratage » et/ou « fraude » ou autrement ?","<vocabulaire><anglais><terminologie><informatique><comparaison-de-langues>"
"Comment traduire « ... to social attacks they receive » : cohérence ?","<traduction><anglais><prépositions><formulation-idiomatique><ellipse>"
"Prononciation de l'ancien français","<prononciation><ressources><ancien-français><ipa>"
"pain quotidien...from where ?","<expressions><traduction><étymologie><latin><grec>"
"Translation for ""Readability is one thing, legibility is another""?","<sens><traduction><vocabulaire><anglais>"
"Order of acquisition: In which sequence do French children learn the language?","<apprentissage>"
"What is the grammatical reason to use ""n'ont pu"" instead of ""n'ont pas pu""?","<grammaire><négation>"
"Comment traduire « in-place upgrade » : sur place ?","<traduction><vocabulaire><anglais><prépositions><informatique>"
"""La femme de Dupont brise son silence sur son état"" : ambiguous or not?","<sens><nuance>"
"Regarding construction of sentence 'Il nous faut une nouvelle maison'","<grammaire><pronoms><verbes><pronoms-impersonnels>"
"Elsewhere in the beginning of a sentence","<anglais><usage><mathématiques>"
"Peut-on être fier et humble à la fois ?","<sens><choix-de-mot><expressions-idiomatiques><culture>"
"""Inline function""","<traduction><anglais><informatique>"
"EN in these sentences","<grammaire><en>"
"Translation of “hawker” when selling fruits or some other small items in a train","<traduction>"
