title,tags
"Point of contact of 2 OBBs?","<java><collision-detection><physics>"
"Group Matchmaking","<multiplayer><matchmaking>"
"Rotate an object given only by its points?","<opengl><geometry>"
"Optimal way to learn DirectX?","<directx><software-engineering>"
"How do I convert my matrix from OpenGL to Marmalade?","<opengl><camera><matrix><marmalade>"
"Dynamic Terrain Texture","<2d><textures><terrain><terrain-rendering>"
"Jump handling and gravity","<javascript><html5><html-canvas><jumping>"
"Stencil mask with AlphaTestEffect","<xna-4.0><stencil>"
"Farseer Physics Samples and Krypton how to reference game","<xna><farseer-physics-engine>"
"Alternatives to Component Based Architecture?","<java><component-based>"
"trapped inside a Graph : Find paths along edges that do not cross any edges","<algorithm><path-finding><geometry><graph>"
"Absorbtion 2d image effect","<xna><2d><image><graphic-effects>"
"How do I calculate opposite of a vector, add some slack","<xna><c#>"
"coordinate transformation","<matrix><transformation>"
"How to avoid circular dependencies between Player and World?","<collision-detection><architecture><objects>"
"Making a perfect map (not tile-based)","<collision-detection><maps>"
"How can I move an object in an ""infinity"" or ""figure 8"" trajectory?","<mathematics><movement><trajectory>"
"how to change the number of rendered frames in Blender","<animation><rendering><blender>"
"How to render multiple triangles using single VBO in OpenGL (LWJGL)?","<opengl><java><lwjgl><lwjgl3>"
"Unwanted begincontact callbacks at high velocity","<box2d>"
"How do I prevent a Box2d dynamic body from sticking to static body walls in zero gravity?","<java><libgdx><box2d><physics-engine>"
"Apply new default transform values for gameobject","<unity><transformation>"
"How can we generate terrain using simplex noise 2d with block position vectors","<terrain><voxels>"
"What's wrong with using physics engine in 2d platformer?","<physics><box2d><platformer><love2d>"
"How to instantiate GameObject on client without network?","<unity><unity-networking>"
"How to detect collision in C# script not attached to any game object","<unity>"
"Relative quaternion rotation (delta rotation) produces unstable results","<mathematics><rotation><quaternion><three.js>"
"Is this how I use activities in android studio?","<android><rpg><android-studio>"
"How do i make floors of varying height in OpenGL?","<opengl><terrain-rendering>"
"How to use SDL_TTF's outlines","<sdl><ttf>"
"My character wont shoot when I use GML in Gamemaker","<game-maker>"
"Why does iPhone games include a sound option?","<iphone><sound>"
"BoxCollider2D fails verification, where CircleCollider2D does not","<unity><2d><collision-detection><physics>"
"Rendering three-dimentional array of tiles (as a tilemap)","<c++><performance><tilemap>"
"Sprite Animation Problem For Enemy","<game-maker>"
"Legal issues with nba player names, profiles, logos?","<legal>"
"Handle shared vertices in mesh deformation","<unity>"
"How to get the GameObject's LayerMask?","<c#><unity>"
"C++ Platformer Collision","<c++><collision-detection><platformer><tile>"
"Unity 2D Following player on the x-axis only, at a constant speed","<2d><unity>"
"How do I get A.I. that follows a list of movement commands to move smoothly in a tilemap based game?","<java><movement><ai>"
"Movement looks funny If player takes up multiple tiles in tile-based game","<path-finding>"
"How do I access variables using namespaces?","<c#><unity>"
"Pixel Animation is tearing in Unity","<unity><animation><spritesheet>"
"Calculate average of arbitrary amount of quaternions (recursion)","<c#><unity><recursion>"
"Auto-match criteria by location","<google-play><google-play-services>"
"Is it possible to use Google Play Service on a game not published on Google Play?","<google-play-services>"
"Terrain making in unity","<unity><terrain><minecraft-modding>"
"How to reverse or create a group sprites pinned to other objects on a specific pattern.","<construct-2>"
"Get world position of touch on objects","<unity><c#><touch>"
"C++ Modern OpenGL - Calculate Vertex Normals","<opengl><c++><normals>"
"Fastest way to neutralize scale in the transform matrix?","<algorithm><matrix><optimization><transformation>"
"Unity3D - Android build has no Internet Access","<unity><android>"
"Pathfinding to unknown destination point","<algorithm><path-finding><path>"
"What is the difference between getting a reference and creating a new instance of an object?","<c#><unity>"
"Unity - Hide GameObject that is behind UI","<unity><gui><gameobject>"
"Why does transforming a Vector3 by a Quaternion result in reversed Z?","<xna><vector><quaternion>"
"Visual cues in a full 3D game to help the player to identify the location of each object","<3d><game-design><user-experience>"
"How to tell OpenGL to use normals for lighting?","<opengl>"
"Unity - Order in Z layer for objects","<unity><pixel-art>"
"Cannot find declaration of element nifty JME","<jmonkeyengine><nifty-gui>"
"How to enable Unity related syntax highlighting with VSCode?","<unity><c#><visual-studio-code>"
"SDL Key Input previous and current key states not working as expected, how to fix?","<c++><input><sdl2>"
"How to access the currently touched instance of the Prefab?","<unity><c#>"
"AS3/Flashdevelop - Controlling a 2D character to move around a planet with gravity","<physics><actionscript-3><flashdevelop>"
"reuse texture between quad objects","<unity><textures><optimization><uv-mapping>"
"Why do I get this error when setting up Android support for Game Maker?","<android><game-maker>"
"Select all components of certain type in the children Game Objects","<unity>"
"Problem with stencil in directx 12","<directx><stencil>"
"LibGDX - Trying to make a radar-like display","<libgdx><geometry><viewport>"
"How to improve my graphics on HTML5 canvas?","<graphics><html-canvas>"
"Hero/Character sprite size in comparison to tile size?","<sprites><platformer>"
"Basic A star implementation tutorial","<path-finding><grid>"
"Check if an object is facing another based on angles","<mathematics><software-engineering><javascript>"
"Can you embed a Unity3d mobile project into an existing native mobile app?","<android><iphone><unity><ios>"
"Make an object slide around an obstacle","<mathematics><software-engineering><javascript><linear-algebra>"
"Deterministic replay in a modern game","<c><game-recording><replays>"
"What is UVIndex and how do I use it on OpenGL?","<opengl><textures><opengl-es><webgl><index-buffer>"
"rendering a reflection on a texture","<graphics><reflection-rendering>"
"Calculating the rotational force of a 2D sprite","<2d><rotation><physics><vector>"
"How do I declare the variable ""i"" and ""remove"" in actionscript3?","<actionscript-3><flash-develop>"
"how can I specify interleaved vertex attributes and vertex indices","<c++><opengl><vertex-arrays><index-buffer>"
"Best solution for multiplayer realtime Android game","<architecture><android><networking><multiplayer><mobile>"
"First Steps. Windows Phone game development","<xna><architecture><windows-phone-7><puzzle>"
"How should we approach publishing our game from India?","<monetization><publishing>"
"How to implement an intelligent enemy in a shoot-em-up?","<algorithm><ai><shoot-em-up>"
"In MMO game, how to handle user characters, who are offline?","<ai><mmo><character>"
"What is a good way to store tilemap data?","<xna><c#><xml>"
