title,tags
"Identify this plant with curled, white leaves","<identification><ferns>"
"What's happening to these repotted plants?","<diagnosis><repotting>"
"What is the name of this orange flower?","<identification><flowers>"
"Whitening of some leaves of a potted key lime tree","<indoors><leaves><citrus><office-gardening>"
"Succulent with thorny stems and orange four-petaled flowers","<identification><houseplants><succulents>"
"Basil: Are these aphids, whiteflies or something else?","<pests><basil>"
"What's causing the yellow spots on my rosemary?","<diagnosis><bugs><rosemary>"
"How should I care for my baobab?","<tree-care><plant-care>"
"What's wrong with my Ficus tree?","<indoors>"
"What should I do about flying insects in my bag of potting soil?","<potting-soil><bugs>"
"Remove Clay Soil and Install new soil that is good for Bermuda Grass","<grass><topsoil>"
"What tree will grow acorns quickly?","<trees><plant-recommendations><oak>"
"What are these trees?","<identification><trees>"
"Killing ants without killing the grass","<grass><pests><ants>"
"starting first-time garden in yard with a lot of english ivy - raised bed vs. double-digging","<vegetables><raised-beds><english-ivy><double-digging>"
"What is the name of this vine?","<identification>"
"What would be eating my lettuce plants, and leaving some other vegetables alone?","<vegetables><lettuce><domestic-animals>"
"What are the white spots and holes in the leaves of my Western Indian Lime Tree?","<trees><diagnosis><insects>"
"What is the black and yellow plant at the base of my fence?","<identification><wildflowers>"
"Is 31% relative humidity at 22C too dry for gemination and seedlings?","<seeds><seedlings><germination>"
"What would cause pale patches and little brown spots on my Lemon Balm leaves?","<diagnosis><herbs>"
"Is this a pepper? A weed? An edible weed?","<peppers>"
"Can egg shells be put in the compost bin?","<compost>"
"Can I put aphid infested plants in the compost bin?","<compost><aphids>"
"How long does Copper sulfate pentahydrate persist in the soil, after application?","<soil><roots><herbicide><poisons><toxicity>"
"Help identifying a plant","<identification>"
"ID this plant training strap?","<identification><tools>"
"How to save dying vine","<diagnosis><vines>"
"Lawn Mower Won't Start After Safety Switch Engaged","<lawn-mower>"
"How to keep a detached strawberry runner alive","<plant-health><plant-care><propagation><strawberries>"
"How to protect apple pears from getting lot of bugs?","<apples><bugs><pear><protection>"
"Do soil nutrients travel to the surface?","<soil><raised-beds><roots><hugelkultur>"
"Is it ok to leave landscape fabric exposed in an area without plants and foot traffic?","<landscaping><mulch><landscape-fabric>"
"Which side of a house will get the most sunlight?","<houseplants><sunlight>"
"Why do my upside-down tomato plants curve up and break?","<tomatoes>"
"How can I revive a tree that's been stripped of bark?","<trees><tree-care>"
"What's the most effective way to harvest rhubarb?","<rhubarb><vegetables><harvesting>"
"What is a fast-growing deciduous tree for shading house in summer? (Long Island, NY)","<trees><shade>"
"Is triple digging worth the backache in temperate biomes?","<soil>"
"How do I grow root vegetables in pots/grow-bags?","<vegetables><containers><root-vegetables>"
"How often should I fertilize my lawn?","<lawn><grass><fertilizer>"
"How do I encourage lawn seeds to germinate successfully?","<lawn><lawn-repair><germination>"
"Is it safe to grow food plants near the road?","<poisons><food-crops>"
"What can cause the leaves of a rose bush to turn black and fall off?","<diagnosis><roses>"
"How do you know if you are watering a plant too much vs. too little?","<watering><desert>"
"How long before poisons like Round-up become inert?","<weed-control><poisons><herbicide>"
"How do I keep an indoor plant hydrated while I'm away?","<watering><peppers><chili>"
"How to plant a new lawn on a hillside?","<lawn>"
"How do I grow chilis in limited light?","<peppers><chili><habaneros><sunlight>"
"How do I encourage my Florence fennel to produce fat bulbs?","<harvesting><bolting>"
"Why do two kalanchoes on one windowsill exhibit different growth habits?","<houseplants>"
"What is a good method for rapidly cloning White Pumpkin plants?","<pumpkins>"
"How can I discourage ragweed from growing?","<weed-control>"
"What is the point of a greenhouse?","<greenhouse>"
"Can I fix a garden tilled too early?","<soil><tilling>"
"How do you prune a rose bush?","<roses><pruning><plant-care>"
"Is condensation on my seed tray an issue?","<germination><seedlings><sunlight>"
"What factors affect the spiciness of jalapeños?","<watering><chili><jalapenos>"
"Some of my ferns have brown spots on the tips of their leaves. What causes that?","<diagnosis><houseplants><ferns>"
"How do I prevent critters from chewing my sprinkler system?","<sprinkler-system><pest-control>"
"Is it possible to grow a mango plant in the Phoenix climate?","<fruit-trees><germination>"
"Will african violet fertilizer diffuse through clay pots?","<watering><houseplants><containers><fertilizer><african-violets>"
