title,tags
"Finding a birth record for Samuel McReynolds?","<united-states><vital-records><missouri>"
"Interpreting relationships to head of household in 1855 New York State Census?","<census-records><new-york-state><1850s>"
"What was occupation of Skipper in 1855 New York State Census?","<united-states><census-records><new-york-state><occupation><1850s>"
"Finding where US citizen owned land and/or was registered to vote in 1855?","<united-states><19th-century><land><voter-lists>"
"Where was Joseph Brown Lever for 1841 England Census?","<england><census-records><1840s><staffordshire><northamptonshire>"
"Finding a marriage record for Samuel McReynolds in Oregon or Washington?","<marriage-records><washington-state><oregon>"
"Where is/was location of Balintuger, Fife, Scotland?","<18th-century><scotland><place-names><birthplace>"
"Seeking Birth Certificate for Emilie Yznaga in New York City around 1859-1864?","<19th-century><birth-records><new-york-city>"
"Layout setup for Descendant tree in Gramps","<family-tree><gramps>"
"Alternative software to generate family tree like Descendant tree in Gramps?","<family-tree><gramps><chart-type>"
"Big and public family tree as gedcom","<family-tree><gedcom>"
"What occupation is a ""bottom puller""?","<united-states><20th-century><occupation>"
"How long do results typically take for Ancestry DNA test?","<dna><ancestry.com><autosomal-dna>"
"How do I create a list of my most distant ancestors online or with a Mac?","<germany><software-recommendations>"
"What is the English equivalent to the German term “Spitzenahn”?","<terminology>"
"Finding personnel records for Railway Company in Panama around 1865?","<19th-century><occupation><panama>"
"Correcting mistakes in the 1940 US Federal Census?","<census-records>"
"A standard for names","<naming-convention>"
"How do I find information on a relative born in Romania before it became a country?","<19th-century><birth-records><marriage-records><romania>"
"Where to find Brazil immigration records of ancestor from Italy?","<19th-century><records><immigration><italy><brazil>"
"Finding birth and death dates for brother who was born and died in Bucharest, Romania during 1930s?","<20th-century><vital-records><romania>"
"Finding 1870 Federal Census image that corresponds to street address in Albany City, New York, USA?","<united-states><19th-century><census-records><new-york-state><address>"
"Reading 1900 U.S. census record?","<united-states><census-records><palaeography>"
"What parish records are likely for pregnant widow with 8 children in 1791 at Whitchurch, Devon, England?","<england><18th-century><devon><poor-law-records>"
"Where can I access annual reports of the registrar-general for England after 1920?","<england><vital-records><statistics>"
"Where precisely was Russian town of Osometz (1912)?","<20th-century><russia><historical-gazetteer>"
"Apprenticeship records for Ship Carpenters at Glasgow, Scotland in first half of 19th Century?","<19th-century><scotland><occupation><apprenticeship-records><lanarkshire>"
"How to identify formal military photos?","<united-states><20th-century><photo-identification><army>"
"Interpreting Service Record of QAIMNS nurse in Egypt at time of Gallipoli campaign?","<military-records><australia><occupation><world-war-1><egypt>"
"What are some of the main conventions used in Gramps?","<gedcom><naming-convention><gramps><evidence>"
"Finding record of Peter J Starrs in USA prior to 1870 Census?","<united-states><19th-century><birth-records><new-york-state><ireland>"
"Calculating the relationship from the RAW autosomal result file between two individuals?","<dna><autosomal-dna>"
"Where did the Vannoske's come from?","<immigration><poland><prussia>"
"Citation of both folio and page in England census","<england><census-records><wales><citation>"
"Is it appropriate to include my brother's son?","<ancestry.com><standards>"
"Looking for 1901 birth/baptismal certificate in Poland?","<census-records><birth-records><marriage-records><poland>"
"What happens when a last will and testament enters probate?","<united-states><new-york-state><will><probate-process>"
"Where can I find New York state probate records after the 1920s?","<united-states><new-york-state><probate-records>"
"How likely is it that ftDNA made a mistake about my y-haplogroup?","<dna><y-dna><snp>"
"Understanding Belgium, Antwerp Police Immigration Index Numbers?","<immigration><indexing><belgium>"
"Finding apprenticeship record for Blacksmith born 1846 at Illogan, Cornwall, England?","<19th-century><england><cornwall><occupation><apprenticeship-records>"
"William Miller, private in the Driver Corps","<19th-century><england><military-records><london>"
"Finding B.213 forms for Australian Nurse serving mainly in Egypt during World War I?","<military-records><australia><world-war-1><egypt>"
"How to locate 1940 United States census pages by address?","<census-records><1940s><address><indexing><texas>"
"Finding UK record(s) of British great-grandfather with children born in Japan during 1890s?","<19th-century><united-kingdom><japan>"
"Finding Worcestershire parents of James Rammell, husband of Elinor Orrosmit or Arrowsmith?","<england><vital-records><17th-century><worcestershire>"
"Finding parents of Jacob Drager (b. 1825, Germany; living Michigan, USA 1900)?","<united-states><19th-century><germany><vital-records><michigan>"
"What does the Anglican church terminology in this document mean?","<england><wales><terminology><anglican-church>"
"Where was The Murray, South Australia?","<19th-century><vital-records><australia><south-australia>"
"Finding origins of Romanian grandparents born in mid 1920s?","<20th-century><vital-records><romania>"
"Are South Australian Miners expected to appear in Boothby and later directories?","<19th-century><australia><occupation><south-australia>"
"Finding the parents of Caroline Hipp in Bruckinthal Germany","<united-states><19th-century><germany><vital-records>"
"Photos with Audio Descriptions and Acid-Free labels for photos","<photo><organization>"
"Returning German air force record book to family of Walter Schamberger of Sonneberg?","<germany><military-records><world-war-2><thuringia><air-force>"
"What does confy stand for in Missouri (USA) city directory?","<united-states><directories><missouri><abbreviations>"
"Where to donate records related to South Australian United Ancient Order of Druids?","<20th-century><south-australia><digitization><archives><fraternal-organization>"
"Married couple presented for fornication in Nottinghamshire (1631)?","<england><marriage-practices><17th-century><church-records><nottinghamshire>"
"What does ""R F D"" stand for in a city directory?","<united-states><address><missouri><abbreviations><directories>"
"How to locate Missouri records for Goodman & Boller undertakers of Boonville?","<united-states><1930s><missouri><burial-records><cemeteries>"
"How likely are 1915 Missouri neighbors with same last name to be related?","<census-records><directories><missouri>"
"Finding descendants of British great grand uncle who emigrated to Australia?","<19th-century><england><australia><new-zealand>"
"How to approach newly found father's other family?","<communication>"
"Approaching relatives with dementia about family history?","<research-methods>"
"Is there list of apprenticeship types for FindMyPast record set called Britain, Country Apprentices 1710-1808?","<england><18th-century><scotland><wales><apprenticeship-records>"
"Media links broken after migration from PC to PC with GRAMPS","<gramps>"
"Where to find Birth and Death Records for Bucharest, Romania?","<vital-records><romania>"
"Seeking parents' names for Shadrach/Shedrick Montgomery, born 1790 in Chester, Pennsylvania, USA?","<18th-century><birth-records><pennsylvania><will>"
"Where to find 1900 Swiss census for Bern?","<20th-century><census-records><switzerland>"
"Did indentured servants in 1700s Pennsylvania receive different types of land warrants from what other immigrants to PA received?","<immigration><pennsylvania><ireland><land><servants>"
"Relationship between Baldwin II and IV of the Crusades?","<naming-convention><name-suffix><12th-century>"
"How can I find which parish a village in Poland belonged to?","<poland><church-records>"
"What are the names of these Polish villages?","<palaeography><poland>"
"Genetic Distance to Generations Calculation for Y-STR DNA tests","<dna><y-dna>"
"Army Intelligence Posting","<world-war-2><india>"
"French migrants to Puerto Rico 1800-1870","<19th-century><immigration><ship><france>"
"Forensic Y-STR DNA test provider that can provide results at greater than a Y-37?","<dna><y-dna>"
"What is considered a strong match on a Big-Y DNA test?","<dna><y-dna><snp><big-y><yfull>"
"Why might name Ferdinando be found in early 17th century Cornwall baptisms?","<england><cornwall><naming><17th-century><16th-century>"
"Finding baptism record near Marystow, Devon, for Harriet Palmer in about 1770?","<england><18th-century><baptism-records><devon>"
"How to recover information from a well weathered limestone tombstone?","<photo><grave-marker><cemeteries>"
"In the early 1900s, were Chicago deaths recorded by government?","<united-states><20th-century><death-records><illinois>"
"Finding information on ancestors who lived in the Polish Borderlands (Kresy)","<vital-records><poland><belarus>"
