title,tags
"How does the name Ilja for a girl sounds in german?","<gender><person-names><connotation>"
"Use of ""an"" in a sentence not understood","<passive>"
"Substantiviertes Gerundivum eines nichttrennbaren Verbs (»der zu Beurteilende«)","<capitalization><nominalization>"
"The colloquial meaning of ""... eine weiße Weste ...""?","<word-usage><meaning-in-context><expressions><colloquial><connotation>"
"What did ""black Friday"" connote in 1966 Germany?","<meaning-in-context><expressions><colloquial><connotation>"
"Present Perfect","<perfect-tense>"
"Dative case error?","<dative>"
"Dativ bei den Verben ""herumhacken"" und ""herumreiten""","<grammatical-case>"
"Unterstellt ""gibt sich unschuldig"" eine Schuld?","<meaning><meaning-in-context>"
"""Ich bin + Beruf"" vs. ""Ich arbeite als + Beruf""","<meaning-in-context>"
"Zweite Bedeutung von ""Mehrwert""?","<meaning>"
"Adjektive to an Adjektiv in Deutsch Deklination","<adjective-endings>"
"Was ist eine ""Anmutung"" eines Betriebssystems?","<meaning-in-context>"
"Is there a mood difference between the two singular imperative forms?","<imperative>"
"Ursprung von ""holzseelig""","<etymology>"
"Was bedeutet ""hinterlegt"" und ""gepflegt""?","<meaning><meaning-in-context>"
"Meaning of the construct „Jetzt heißt es”","<meaning><phrases>"
"""How's stuff?"" | ""How are your project's going?"" | ""What's new in your world?""","<salutation>"
"Unterschied zwischen ""einbläuen"" und ""eintrichtern""","<differences>"
"Nach einem wundervollen Konzert mit großartigen Publikum geht es am Rhein entlang nach Basel","<sentence-structure>"
"Anderenhelfen vs. Anderen helfen","<spelling>"
"When can I omit ""das"" when using a nominalized verb in subject position?","<infinitive><nominalization><gerund>"
"Gibt es auch eine deutsche Version von Standard eBooks?","<book>"
"Artikel Zusammenfassung","<articles>"
"""6 Dess"" on older German postcards","<abbreviations>"
"How to express in German ""Development of applications for ...""","<genitive>"
"Unterschiedliche Aussprache des ST","<german-to-english><pronunciation>"
"»Ein lange(s) geplantes Auto«","<adverbs><adjective-endings>"
"Kann ""demnach"" auch ""der zufolge"", ""laut dem/der/denen"" oder Ähnliches bedeuten""?","<word-usage>"
"Unterschied zwischen ""sich definieren durch/über etw""","<prepositions>"
"Is 'sie' redundant here?","<grammaticality>"
"When is ""gewesen"" used in spoken german?","<perfect-tense><past-participle><spoken-language>"
"“Ich mag programmieren.” – why not “möchte”?","<english-to-german><tenses>"
"Über das Verb ""einfordern""","<differences>"
"How to use ""eh"" as ""anyway""?","<german-to-english><particles><spoken-language>"
"Is there a common way of shortening German adjectives?","<contractions>"
"""mit sich bringen"" vs. ""mit sich führen""","<differences>"
"What are the differences between 'die Gerechtigkeit' or 'die Billigkeit'?","<translation><english-to-german><differences>"
"'Die Benutztere'. What is this? Does it really exist?","<nouns><vocabulary><personal-pronouns>"
"What is the German term for contrary words like ""aber"", ""jedoch"", ""dennoch""","<single-word-request><subordinate-clause>"
"""Es gibt jetzt 5 Städte, in deren Nachbarschaft Rot Kolonisten stehen hat."" Why the word ""hat"" was used here?","<word-usage><grammar-identification>"
"Venedig ist immer einen Besuch wert","<grammatical-case>"
"Usage concerning ""mir/mich""","<word-usage><meaning-in-context><grammatical-case><dative>"
"What, technically, is the rule on whether to pronounce a ""d"" in a german word as a 't' or a 'd'?","<pronunciation>"
"Erklärung Nomen und Adjektive","<nominalization>"
"How to interprete ""machen ein bisschen Luft spüre""","<verbs>"
"Meaning of ""Die Fische kommen oft ungeschoren davon""","<meaning><idioms>"
"Why the “dass” when comparing statements with “als dass”?","<grammar><conjunctions><comparison>"
"""zu"" that doesn't cover both verbs in a sentence","<verbs>"
"Trennbares Verb bei Dass-Nutzung","<separable-verbs><subordinate-clause>"
