title,tags
"rectangle grid tool in illustrator","<adobe-illustrator>"
"Old Android EDGE filter","<filter>"
"Change to exact hex color on image","<adobe-photoshop><color><hex>"
"Change color to white using GIMP","<gimp><color-conversion>"
"Art board size for illustrator","<adobe-illustrator><print-design><artboard><file-size><billboard>"
"Crop tool doesn't fill background when increasing canvas size","<adobe-photoshop>"
"How to split my huge banner (W5155 mm x H870 mm) into 2 so i can save it as pdf for printing?","<adobe-illustrator>"
"How to complete this bowl picture in Photoshop?","<adobe-photoshop><photoshop-effects><photo-editing><image-editing><adobe-photoshop-elements>"
"How to Crop and Save Jpg In Photoshop WIthout Save As?","<adobe-photoshop><save><crop>"
"How can I wrap my text objects around a circle without warping it?","<adobe-illustrator>"
"How to render icons with crisp edges in Illustrator","<adobe-illustrator><website-design><logo><icon><front-end-development>"
"Windows 10 and Mac OS printing different colours from same sources","<print-design><color-profile><color-reproduction>"
"Replicating red/blue image separation effect","<adobe-photoshop><effects><image-editing>"
"Why is my Photoshop text default to raster? I can't make it default vector/editable","<adobe-photoshop><vector><raster>"
"Sketch 3 - Is there a way to export all artboards in a .sketch file from multiple Pages?","<export><sketch-app><artboard>"
"What are the restrictions on the Damion Google Font?","<fonts><logo><licensing>"
"How to create 9-patch images in gimp?","<gimp><png><plugin>"
"Layer looks different when exported alone","<adobe-photoshop><slices>"
"Export layer separate from background","<adobe-photoshop>"
"Inkscape place object on a hook (through the back out the front)","<inkscape>"
"Make a PNG transparent where color is white and area is not within lines of an object/item?","<adobe-photoshop><transparency><png>"
"white box instead of an ai. image in indesign","<adobe-indesign>"
"Where can i find a texture like this? (Silky thick smoke)","<adobe-photoshop><vector><texture>"
"Graphic design freelancer uses Helvetica for my company's web design, software GUI design, and logo","<website-design><fonts><designers><legal><freelance>"
"Is the ""clean"" design from many websites the same?","<website-design>"
"Polygon tool won't draw larger than a certain size","<adobe-photoshop><shapes><tools>"
"GIMP changes png on opening","<gimp><png>"
"How to differentiate two symbol copies","<sketch-app><principle-app>"
"Does anybody know how to make this text style?","<adobe-photoshop><adobe-illustrator><text><typography>"
"How can I prevent file size from ballooning when using linked images?","<adobe-photoshop><file-size><smartobject>"
"Why am I getting a filled shape using pen tool?","<adobe-photoshop><cs6>"
"How can I round the edges of a shape made with the polygon lasso in Photoshop?","<adobe-photoshop><shapes>"
"What is this overlay tile effect called, and how do I do it in photoshop?","<adobe-photoshop>"
"Bend an Arrow at Will in CS6","<adobe-photoshop><cs6><pen-tool>"
"How to vertically *and* horizontally ditribute all objects in a grid in Illustrator?","<adobe-illustrator><alignment><batch-processing>"
"Use Photoshop alpha channel as input to filter value","<adobe-photoshop><transparency><filter>"
"Draw ellipse like line in Affinity","<vector><affinity-designer>"
"Select anchor behind other anchor on SAME object?","<adobe-illustrator>"
"Photoshop perspective transform grayed out for embedded illustrator file","<adobe-photoshop><adobe-illustrator>"
"How to Split Fill of Text Horizontally In Illustrator?","<adobe-illustrator><color><text><logo><fill>"
"How to start with graphic design","<information-graphics><pixel><art><graphic-styles><linux>"
"Good source for learning about light/shadow/gradients in flat designs","<interface-design><gradient><shadows><resource-recommendations><flat-design>"
"Image format for downloading in stages","<adobe-photoshop><image-format><optimization>"
"How can I apply Indexed colour to a large number of animation frames","<adobe-photoshop><animation><gif><color-indexing>"
"How were printing plates produced from multicolour drawings before the digital era?","<print-design><print-production><history>"
"How to disable dropping menus in CorelDRAW 11?","<corel-draw>"
"InDesign template for calendar printing","<adobe-indesign><print-production><template>"
"Does the swis721 font family cost money now?","<fonts><font-recommendation>"
"Comparison chart for glyphs that work in MS Word, Illustrator, InDesign+","<fonts><tools>"
"What is the best tool to make big screen size of document? high resolution document?","<software-recommendation><resolution><document-setup>"
"How to make a distance-based gradient around a shape in Photoshop CC?","<adobe-photoshop><transparency><pixel><shadows>"
