title,tags
"How to find transmitting (voice and CW) Amateur stations in UK?","<software-defined-radio><dipole><united-kingdom>"
"What are the key differences between Hytera DMR and MotoTRBO?","<dmr>"
"DMR Repeated Audio Packets","<digital-modes><digital-voice><dmr>"
"Conventional or electron current","<electronics><theory>"
"What were the reasons why ATIS identification was introduced?","<vhf><history>"
"SDR set up that will TX & RX on CB, UHF and VHF","<software-defined-radio><equipment><united-kingdom>"
"Can a radio antenna damage a phone?","<antenna>"
"What is dB(μV/m), and what are its applications?","<math>"
"Tx-Rx synchronisation to frequency changes","<software-defined-radio><gnuradio>"
"Physics behind this decametric radio telescope","<antenna-theory><loop-antenna>"
"Who regulates ham radio satellites?","<legal><satellites>"
"Suggestions for mounting a mini-whip as high as possible","<hf><antenna-construction><rfi>"
"What type of signal is this?","<signal-identification>"
"Baofeng radio produces hum when plugged into charger","<mobile><baofeng><grounding>"
"Programming Aviation Band on Kenwood D-710G?","<kenwood><equipment-operation><airband>"
"Can two 315MHz RF modules communicate with each other if none of their frequencies are exactly 315MHz?","<transceiver>"
"Alternative software for Hytera PD785G","<software><radio-programming>"
"Designing VLF antenna","<antenna-theory><vlf>"
"SDR - discone antenna setup","<software-defined-radio><antenna-theory><receiver><grounding>"
"Gain in long wire antennas","<antenna><antenna-theory><vhf>"
"Who should announce the call sign when an unlicensed operator is transmitting?","<united-states><legal><fcc><station-identification>"
"How strictly is ""the end of each communication"" defined for the purpose of station identification?","<united-states><legal>"
"How can Ground Penetrating Radar work?","<propagation><equipment-design><earth>"
"What is RF hash?","<rfi><jargon>"
"Using two short mobile HF antennas to make a vertical dipole","<dipole><vertical-antenna><radial>"
"How exactly does Data Whitening improve performance?","<usrp><encoding><whitening>"
"How is Data Whitening done?","<encoding><whitening>"
"Does Coax Limit the Maximum SWR a Transmitter 'Sees'?","<coaxial-cable><antenna-system><transmission-line><impedance-matching>"
"Attic Dipole - Impact of Ethernet over CAT5/6","<rfi><antenna-system><transmission-line>"
"Can a vertical antenna be used for NVIS?","<vertical-antenna><nvis>"
"Identifying regulations for interfering stations","<united-states><legal><rfi><repeater><spectrum-analyzer>"
"Vertical Antennas: Compare Cushcraft R9, no radials to 43 foot vertical with ground radials","<vertical-antenna>"
"Spacing between words in CW using Farnsworth timing?","<procedure><cw>"
"Characteristics of a ""bad fist""?","<procedure><cw>"
