title,tags
"How can I evaluate processor performance when comparing processors?","<processor-architecture><performance>"
"What's a good non-iPhone smartphone that's reasonably priced and specced?","<smartphones>"
"With what type of device could I power off/on another USB device programmatically?","<usb><power-control>"
"What should I look for besides pixel density/count when choosing a smartphone with a good camera?","<performance><smartphones>"
"Are there any quartz crystal-based data storage devices?","<data-storage>"
"Recommendations for a mechanical or traditional keyboard? Which is better?","<keyboards>"
"What are my options for a thumb trackball for gaming?","<gaming><mice><trackball>"
"How do head-tracking devices SmartNav, TrackerPro, HeadMouse Extreme, & HeadMaster compare in terms of mouse and cursor vs movement accuracy?","<mice><adaptive-technology>"
"What options are available for cheap NAS devices that allows to put two hard drives in RAID 1?","<hard-disk><nas><raid>"
"What should I consider when buying a (gaming) monitor?","<monitors><gaming>"
"Server Hardware Recommendation for ERP Application","<server>"
"Smartphone that ships without pre-installed proprietary software?","<smartphones><floss>"
"1080p PoE IP Camera for NVR","<ip-camera><poe>"
"Sound board to replace a GL2200 in a house-of-worship FOH setting?","<mixing-console><audio>"
"Passive GPS tracker/logger","<gps><passive-tracker>"
"Network connected device to manipulate HDMI-CEC?","<hdmi><remote-control><television>"
"Inexpensive entry-level digitizer (a.k.a. graphics tablet) for Photoshop","<graphics-tablet>"
"A replacement for the Samsung Series 9 and Ativ Book 9 15"" ultrabooks","<laptop>"
"Aside from aesthetics, is there a benefit to PC water cooling?","<performance><cooling>"
"Recommended small form factor gaming PCs?","<gaming><pc>"
"Standalone Bluetooth controller recommendation","<bluetooth>"
"Engineer's headphones for PFL/AFL in a live sound environment?","<mixing-console><audio><headphones>"
"Smartphones under $100 for Android Development","<smartphones><android>"
"Should I find a processor with ""hyper-threading?""","<processor>"
"Is there a monitor or converter I can use to watch 4 video outputs on one screen?","<video-adapters><signal-processing>"
"What do you suggest for a PC with 80 chrome tabs, 6 virtual machines?","<desktop><virtual-machines>"
"Weatherproof IP camera for long distances","<ip-camera><waterproof>"
"Are there some low cost NAS devices that can operate well as a webserver?","<nas><web-server>"
"Android ebook reader","<android><tablet><e-reader>"
"Logitech non-gaming wireless mouse with a clicking scroll wheel?","<wireless><mice><logitech>"
"What are the differences between monitors inputs (HDMI, Display Port, DVI, VGA)?","<hdmi><display-port><dvi><vga>"
"Standing desk with ability to raise/lower?","<automation>"
"3D portable camera with depth sensing for less than $100","<scanner><3d-scanner>"
"Specialized dual monitor to use with AutoCAD and a laptop","<monitors><laptop>"
"Personal computer UPS","<pc><ups>"
"Small 220V to 110V power converter?","<power-converter>"
"Answering landline (or VOIP) calls on smartphone","<smartphones><pots>"
"Recommendations of thin clients running Ubuntu","<ubuntu><thin-client>"
"How can I determine if a specific device works with Linux before buying it?","<linux><compatibility>"
"Microphones for acoustic holography","<audio><acoustic-holography><microphones>"
"When looking to buy a router for home use what are the specs/features that I should be aware of?","<networking><router>"
"Wi-Fi extenders","<networking><wifi>"
"PC support beyond 1920x1080 resolution, up to 4k","<graphics-cards><monitors>"
"Use laptop as primary monitor for desktop computer?","<laptop><motherboard><desktop><pc>"
"Apple security fob","<bluetooth><nfc>"
"CD-RW IDE to USB SATA PCIe interface","<audio-recording>"
"Charging many Qi devices","<wireless><power>"
"Hands Free Camera to record footage for Youtube?","<video-camera><video-capture>"
"I need a good mouse","<mice><scanner>"
"Recommendations for a ""Fiber Inspection Scope"" to use on SC, LC and MTP connections","<networking>"
"Asus Zenpad S 8.0 vs Galaxy Tab S2 8.0 - Travel","<android><tablet>"
"Graphics card with better performance than AMD HD 7850","<desktop><graphics-cards>"
"upgrade old personal Server hardware","<server>"
"Need help on finding a good gaming laptop, within my budget range","<laptop>"
"Looking for an application development laptop","<laptop><development>"
"MediaCenter with through put of 20MB/s","<nas>"
"Cheapest graphics card for starcraft","<gaming><graphics-cards>"
"PSU under 100€ an entry level server","<smps>"
"Need a PC that can Drive 4 Simultaneous Discrete Video Display Outputs","<graphics-cards><pc><video><multiple-monitors>"
"Tablet-like 12"" Monitor with HDMI-In for Consoles","<monitors><hdmi><video-game-console>"
"Graphics card help for my current desktop?","<graphics-cards><pc>"
"Seagate Hard Drive RPM","<hard-disk><backup>"
"UHD compatible Graphic Card","<graphics-cards><uhd>"
"Recommend me a good video card","<graphics-cards>"
"Which i7 processor should I buy for compiling code?","<processor>"
"Serial/RS-232 Button","<usb><remote-control><rs-232>"
"Case fans: on PSU or SYS-FAN splitter?","<case><cooling>"
"Trackpoint Keyboard that fixes these problems","<keyboards>"
"Computer that comes and runs with Free/Libre software only","<pc><floss>"
"A noise maker to assist with sleep","<speakers>"
"External android compass","<android>"
"Crossfire Compatibility MSi R7 370 4GB and 2GB","<graphics-cards>"
"Motherboard with embeded CPU for HTPC","<motherboard><uhd><htpc>"
"Motherboard for intel skylake mid-to-high-range gaming pc","<gaming><motherboard>"
"WLAN router for 802.1X (RADIUS) testing","<router><switch><wlan>"
"Yubi Key recommendations for my needs?","<usb><security>"
"Web development laptop up to 1300 USD","<laptop>"
"Scale USB / Wireless / Bluetooth Connected","<usb><wireless><bluetooth><development><home-electronics>"
"A product to watch 3D on a non-3D TV","<television>"
"An inside-out tracking VR headset","<tracking-devices><vr-headset>"
"External CD Drive That Doubles For Sata Access","<hard-disk>"
"Laptop for developers (2017)","<laptop><development>"
"Which Dell laptop is best for rendering - Alienware with a GTX 1070 or a Precision with Quadro?","<laptop><graphics-cards>"
"Thermostat independently controlling and registering heat use for multiple zones with remote on/off?","<smart-device><power-control>"
"Memories compatible with Samsung 4GB DDR3 PC3-12800 1600MHz","<laptop><memory><compatibility>"
"Smart cards for encrypting/decrypting using AES or TripleDES or RSA?","<security><encryption><smartcards>"
"Recommendations for Building a Linux Laptop on a Budget","<laptop><linux>"
"Looking for a powerful 14"" laptop that is not marked as gaming (as it should be used in office)","<laptop><graphics-cards><development>"
"Hot-swappable DC power high availability component","<ups>"
"Does a tap to click mouse exist","<mice><touchpad>"
"Graphics card to support UHD (4k) HDR screen over HDMI","<graphics-cards><4k>"
"Low Budget with AM1 vs FM2 vs LGA1151","<motherboard><processor><memory>"
"What's a pair bluetooth headsets that doesn't vibrate/make noise when low battery?","<bluetooth>"
"External HDD. Very slim. Max 10 mm. 1-2 TB","<hard-disk>"
"Large, reliable external HDD for permanent storage","<hard-disk><data-storage>"
"PC Configration for File Copying","<performance>"
"Suggestions on inexpensive WiFi equipment that can route specified SSID to specified port?","<wifi>"
"PCI SATA cards for old tower PCs","<linux><pc><hard-disk><sata>"
"Desktop case that allows powering up only one of two HDDs/SSDs","<case>"
"Free/libre WLAN router","<router><wlan><floss>"
"Low-resolution USB webcam","<usb><webcam>"
"hands-free Android NFC reader","<android><smart-device><nfc>"
"Fingerprint scanner with off-device matching","<fingerprint-scanner>"
"Linux-compatible RGB-supporting video capture card","<linux><video-capture>"
"Cheap Wifi Router with built-in 4G modem and openvpn support","<wifi><networking><router><4g>"
"Sensible embedded board and SIM module to switch heating on and off in response to text messages","<embedded-systems><mobile-phone>"
"Which manufacturer produces mice with high durability buttons?","<mice><durability>"
"Graphics Card for GA-970A-DS3P motherboard","<graphics-cards><motherboard><desktop>"
"Small and cheap mini-PC to install Linux (no desktop environment) and a development LAMP webserver","<linux><development><mini-pc><web-development>"
"Which Dedicated Server for FFMPEG?","<linux><memory><server><processor>"
"An iPhone 7 charging case which plugs into Lightning cables","<smartphones><power-bank>"
"An unbreakable iPhone charging cable","<smartphones><power>"
"Which (better Intel) CPU gives the highest per-core speed?","<processor>"
"Headphones you can't blow out","<headphones>"
"4K Monitor for programming","<development><4k><uhd>"
"Faster SSD (PCIe) vs faster processor","<ssd><processor>"
"How to choose suitable fiber cables for this HDMI Extender?","<hdmi>"
"Recommend graphics card for setup","<graphics-cards><pc>"
"Why are these Micro-ATX motherboards different sizes","<motherboard><case><processor>"
"Internal Hard Drive Switcher","<hard-disk><sata>"
"Looking for external monitor comparable to my MacBook Retina display","<monitors>"
"Small, cheap processor with serial port and internet access","<processor><wifi><ethernet><uart>"
"Which are the most popular phone processors?","<processor><mobile-phone>"
"What is an aftermarket devise that performs a convenient navigation of a phone?","<mouse-pad>"
"Which Macbook Pro to buy? MID-2012 or MID-2017?","<laptop>"
"Advice on graphics card","<graphics-cards><motherboard>"
"Android phone under 15000 Rupees Indian currency ($250)","<android>"
"Looking for very energy-efficient (<30W) mini-ITX mainboard, ideally with 7th gen Intel support","<motherboard><energy-efficient>"
"High luminosity tolerant USB camera","<usb><video-camera><camera>"
"wireless mobile cable?","<wireless><cable><adapter>"
"Searching a good Ultrabook for work","<laptop><processor><battery-life>"
"Macbook eGPU to be used only for external monitors","<graphics-cards><multiple-monitors><thunderbolt>"
"I want to buy a new cpu","<gaming>"
"How do I optimize performance of a 2700x without OC?","<processor><motherboard>"
"Is there a programmable USB board with (momentary) toggle switches?","<gaming>"
"Why aren't there motherboards with boatloads of m.2 slots?","<motherboard><ssd>"
"Do I need a matched pair of Xeons for a dual CPU board if there is only one stepping level listed?","<processor><server>"
"Wired USB mouse with freely spinning vertical wheel and a thumb wheel","<usb><mice>"
"Gigabyte motherboard M.2 B450 DS3H specification grammar","<motherboard><ssd>"
"Laser rangefinder (laser tape) for indoor - low range but high accuracy","<home-electronics><laser><signal-processing><calculators>"
"Windows Tablet with no pen lag","<tablet>"
"Ultralight ~24-inch computer monitor","<monitors><portable>"
"Harman Kardon sb26 power cable","<speakers><cable>"
"Android smartphone providing reasonable touch pressure measures","<android><touchscreen>"
"Upgrading soldered laptop cpu?","<laptop><processor>"
"how to clean LED Anti-Glare Panel display?","<laptop><monitors><displays><led>"
"Best CPU out of these for Image Processing","<processor>"
"What improvements can I make in my laptop (Asus X555LJ)?","<laptop><performance>"
"Should I stick to AM3+ or upgrade to something else?","<processor><motherboard>"
"Headphones with noise amplification","<headphones>"
"Mixing Vive+Vive Pro+Base 1.0+Base 2.0?","<vr-headset>"
"34 Inch Ultrawide for Business - Light Gaming","<monitors>"
"Can I connect a 4k (3840 x 2160) laptop to a 2560 x 1440 monitor?","<monitors><hdmi><multiple-monitors><display-port>"
"What printer can print large(-ish) images from a car?","<printer><portable>"
"Hardware upgrade after a long time: which MB, RAM, CPU, and GPU?","<graphics-cards><processor><motherboard><linux><memory>"
"Where to find a particular plastic component under the key of laptop keyboard?","<laptop><keyboards>"
"What spectrum analyzer can detect Wireless AD?","<wifi><signal-processing><measurement-devices><high-end>"
"All purpose, high end Laptop/Ultrabook","<laptop><high-end>"
"How Relevant are model numbers when looking for reviews","<laptop><gaming>"
"What can measure the spectrum frequencies of a monitor?","<monitors><measurement-devices>"
"GPS tracker for parcel?","<gps><energy-efficient>"
"Replacement graphics card for a R9 290X CF setup","<graphics-cards><high-end>"
"Looking for a device to record a stereo signal on USB drive/SD card without a laptop","<usb><audio><music><audio-recording><sd-card>"
"Can anyone recommend a reliable multiport USB-C Hub?","<usb><hub>"
"USB 2.0 touchscreen monitor 10'' to 15''","<monitors><touchscreen>"
"Look-like POS keyboard","<usb><keyboards>"
"Cheapest x86 machine with remote power mgmt?","<mini-pc><embedded-systems>"
"USB dock or KVM switch?","<graphics-cards><usb><displays><kvm><display-port>"
"New Desktop PC for Extreme Gamer and Web Developer","<desktop>"
"USB 7.1 sound card, or converter","<usb><hdmi><sound-cards>"
"Inexpensive USB 3.1 splitter","<usb>"
"What is the best cooling solution for ASRock C2750D4I Rack home NAS storage","<processor><data-storage><cooling>"
"PostScript printer and JBIG2 scanner: consumer-level all-in-one / MFP recommendation","<scanner><printer>"
"Recommended hardware upgrade for Editing/Gaming PC","<graphics-cards><processor><motherboard><memory>"
"Additional input device to remove workload from hands?","<keyboards><ergonomics>"
"GPS Tracker to integrate with server","<gps><tracking-devices><api>"
"Breakdown of new AMD Fury Cards vs Top NVidia Cards","<gaming><graphics-cards><desktop><pc>"
"B85M Pro4 vs B85M-ITX","<motherboard>"
"what bluetooth dongle can support aptx audio as a sink (input) ?","<audio><bluetooth><raspberry-pi>"
