title,tags
"Is it Paul or Luke that is speaking in Acts 19:5?","<greek><luke><hermeneutical-approaches><acts><baptism>"
"In Isaiah 7:3-7 why does the prophet Isaiah promise Judah that Ephraim & Syria will not attack & prevail against it?","<contradiction><isaiah><2-kings><2-chronicles>"
"Who wore the new garment in 1 Kings 11:29-31?","<referent-identification><1-kings>"
"Is Matthew's reference to ""eunuchs"" in Matthew 19:10-12 referring to celibacy?","<luke><1-corinthians><marriage><wisdom-of-solomon><intertextuality>"
"Is Isaiah 4:1 not a conclusion of the previous chapter?","<isaiah>"
"Can somebody explain the usage of 'fulfill' in Matthew 5:17?","<matthew><word-study>"
"In John 3:16 in what way did God δίδωμι (""give"") his only begotten son?","<john><word-study>"
"Is there an extant source for Jerome's version of Ecclesiasticus 24:25?","<source-criticism><latin-vulgate><sirach>"
"According to Hebrews 1:4 when did Jesus become superior to angels and become a son?","<hebrews><christology>"
"In Exodus 23:21 what does ""Do not rebel against him; he will not forgive your rebellion, since my Name is in him"" mean?","<1-corinthians><exodus><angels><forgiveness>"
"John 4 Jesus and the Samaritan Woman at the Well (John 4:1-26)","<john>"
"What is the textual basis for the Genesis 6-9 flood being global?","<genesis><hebrew>"
"According to 1 Peter 2:7-8, unto what were the disobedient ""destined?""","<referent-identification><1-peter>"
"Can conflicting instructions about Pharisees' teachings be harmonized, and if so, how?","<matthew><contradiction>"
"Did Joseph actually practice divination?","<genesis><joseph>"
"Does Jesus misquote Psalm 110: Who is speaking to whom?","<matthew><psalms><septuagint>"
"What does it mean to ""lead the flock behind the wilderness""?","<hebrew><exodus>"
"How can we understand the contradiction in Romans 5:12 & 1 Timothy 2:14?","<romans><1-timothy>"
"Is 1 Corinthians 5:11 referring to ""the Lord's Supper""?","<1-corinthians><referent-identification>"
"What does אֵלָ֛יו mean in Exodus 3:2?","<hebrew><exodus>"
"Why didn't John use ""ego eimi ho on"" in John 8:58 like he did in Revelation for the divine name?","<greek><john>"
"prayers = incense in Revelation alternative translation","<greek>"
"John 14:29-31 - who is the 'Prince' of this world?","<john><referent-identification>"
"(NASB 1995) Psalm 19:13b (acquitted of great transgression) Vs (NASB 2020) Psalm 19:13b (blameless of great wrongdoing) What does Hebrew say?","<hebrew><hebrew-bible>"
"Who is the ""you"" in Isaiah 55:5?","<isaiah><referent-identification>"
"Is neshamah (breath) created or uncreated?","<genesis><isaiah>"
"In John 1:1 why is “The Word” used instead of saying Jesus?","<john><kjv>"
"Was it Faith or Fabric that healed the sick woman in Luke 8:44-46?","<luke>"
"What are the 7 Pillars of Wisdom's House?","<hebrew-bible><proverbs>"
"How could 'Abraham, Isaac, and Jacob' be living eternally in Heaven if they never believed the requirement in 1 John 5:5-13 to receive eternal life?","<matthew><contradiction><1-john>"
"What does it mean to be one εν spirit with the Lord in 1 Corinthians 6:17","<jesus><pneumatology><body-of-christ>"
"Who is speaking to the Churches in Revelation 1:10-11, Jesus or the Spirit?","<jesus><revelation><pneumatology>"
"Isaiah 26:19 :- prophecy forward-looking to resurrection?","<prophecy><resurrection>"
"What is the meaning of glorifying in Isaiah 55:5?","<isaiah>"
"Does the Hebrew word Qe'ver refer to Hell or to ""the place of the dead"" or ""the grave""?","<hebrew><isaiah><death>"
"How does Isaiah's Idiom ""Like-a Drop From-a Bucket"" (כְּמַ֣ר מִדְּלִ֔י) symbolize Nations (גּוֹיִם֙)?","<isaiah><hebrew-bible><symbolism>"
"What was John doing in the wilderness before his ministry?","<luke><john-the-baptist>"
"""my sister, my bride"". Isn't that incestuous?","<song-of-songs>"
"What is the meaning of ""Dishon"" in 1 Chronicles 1:38?","<1-chronicles>"
"In Psalm 78:34 - How can Yisrael (ישראל) repent (שָׁ֗בוּ) if they have been slain?","<psalms>"
"What does ""through him"" mean in Romans 11:36?","<romans>"
"Obeying Deuteronomy 4:2 - Where specifically in the Bible does ""The Word"" (הַדָּבָר֙) stop, if we are not suppose to add to it?","<law><deuteronomy>"
"Name: Thomas, does it mean twin?","<greek><hebrew><john><thomas>"
"A sinner or the sinner in Luke 18:13?","<luke>"
