title,tags
"Why does Narayana take incarnation if He says- I dislike taking Avataara?","<vishnu><avatars><shakti>"
"What is the meaning of Bhagavan as per Shiva Purana?","<scripture><shiva><vedas><puranas><shiva-purana>"
"Is scolding or insulting someone a sin?","<sin>"
"Is putting images of God in marriage invitation acceptable?","<gods><sin>"
"What is the meaning of the word VISHWA (world) in Hinduism","<india><sati-goddess><geography>"
"What is the meaning of Atharva Veda 6.77.1, 6.44.1, 13.1.6, 6.88.1?","<scripture><vedas><science><atharva-veda>"
"Any verse in the Chaitanya Charitamrita where Chaitanya Mahaprabhu says that Srimad Bhagavatam is the greatest of all puranas?","<krishna><bhagavata-purana><identification-request><chaitanya><chaitanya-charitamrita>"
"What does Sri Caitanya Carita 2.15-16 mean?","<vaishnavism><gaudiya-vaishnavism><chaitanya>"
"What does it mean by sinful thoughts? What kind of thoughts are involved?","<scripture><sin>"
"What is the last reference to 'Sanjay' - Dhritarashtra's narrator in Mahabharata?","<mahabharata><bhagavad-gita>"
"Is there a Hindu Scripture that prescribes monogamy?","<scripture><mahabharata><vedas><puranas>"
"Do Vallabhacharya's followers believe he was originally a Gaudiya Vaishnava?","<history><vaishnavism><gaudiya-vaishnavism><chaitanya><pushti-marga>"
"How did Advaitins Defend Attributeless brahman from Ramanuja's arguments?","<philosophy><advaita><vishishtadvaita><ramanujacharya>"
"Stories in Hindu scripture on drinking human blood","<mahabharata><practice><symbolism><teaching>"
"What is Nyaya Philosophy?","<scripture><philosophy><nyaya><nyaya-sutra>"
"What is the Story behind Jambudweep?","<puranas><history><shloka><earth><cosmology>"
"Does Hindu morality come from scripture or is it the other way round?","<scripture><karma><dharma><smriti>"
"How could Bharata and Shatrughna be incarnations of inanimate objects?","<vishnu><philosophy><avatars><atma>"
"What is Lord Hanuman's weapon of choice from scriptures?","<scripture><hanuman><weapon>"
"Why is Yajurveda classified as Krishna and Shukla?","<vedas><yajur-veda><vyasa>"
"What is the story of Kapila son of Prahlada?","<vishnu><asuras><dharma-shastras><kapila>"
"Can anyone provide me all the verses of Buddha and their translations in the puranas?","<vishnu><puranas><avatars><identification-request>"
"Do the Charaka Samhita and the Sushruta Samhita forbid the consumption of any food?","<food><ayurveda><charaka-samhita>"
"Vishnu seducing Jalandhar's wife Vrinda: How justified?","<vishnu><dharma><shiva-purana>"
"Did Lord Vishnu have 3 wives?","<vishnu>"
"How do non-vedanta darshanas deal with shruti statements about Brahman?","<philosophy><vedanta><brahman><sankhya><shad-darshana>"
"Kshatriyas and alcohol consumption","<dharma><caste-system><kshatriya>"
"Do I commit a sin of greater degree when I kill a holy creature (say cow) instead of any other creature?","<vedas><karma><sin><animals><cows>"
"Who is Lord Shiva in religion that grew out of Hinduism?","<shiva>"
"Are there any Indian travellers who visited abroad for learning other cultures, faiths?","<history><pilgrimage>"
"Is Laxman an avatar of Sheshnag?","<ramayana><avatars><lakshmana>"
"If Human birth is so Auspicious and Rare, why does God let some people be born as - Lunatic, Autistic, Schizophrenic et cetera?","<karma><moksha><sin>"
"How can Ashwatthama be an incarnation of Lord Shiva?","<mahabharata><shiva><ashwatthama>"
"If a Brahmin doesn't perform duties as per his varna, is he still called as brahmin?","<practice><caste-system><brahmins><varna>"
