title,tags
"Are there examples of stone age cultures living in proximity close to iron age cultures without adapting to metal use?","<technology><iron-age>"
"Did Gavrilo Princip Try To Drown Himself?","<world-war-one>"
"Did the Horatii brothers take an oath as depicted in the painting Oath of the Horatii?","<historical-accuracy><roman-kingdom>"
"How did the helmsman know what he was sailing towards with a big mast in his face?","<ships>"
"Do Manchurian Nationalists want Independence?","<china><nationalism><qing-dynasty>"
"Was there an alcohol abuse problem among monks and priests in the High Middle Ages in England?","<middle-ages><england>"
"Date this Jubilee Day photo","<united-states><20th-century><1940s><1950s>"
"Is this quotation authentic (88mm versus Sherman)?","<world-war-two><military><tanks>"
"In what sense was marriage in 19th century Europe ""expensive""?","<19th-century><marriage>"
"Can you tell me if my Father, a Lt Colonel, was paid during WW2?","<world-war-two><united-kingdom>"
"Did the Netherlands join the anti-Japanese oil embargo later than US? If so why?","<united-states><world-war-two><japan><trade><netherlands>"
"Why was a small vessel tied to the deck of the USS Oriskany during scuttling?","<naval>"
"What is the historical significance of pottery?","<ancient-history>"
"Were aerial dogfights during WW2 and WW1 typically very one-sided?","<world-war-two><world-war-one><aircraft>"
"Was the Seven Years’ War the first time dogs were used to carry messages?","<military><animals>"
"Before WW2, how did Japan pay for imported US oil?","<united-states><world-war-two><japan><trade>"
"What defined a Jew in the context of WW2?","<world-war-two><social-history><jews><judaism>"
"Did German soldiers receive pay after the Allied invasion?","<world-war-two><economy>"
"How much more productive was Aegyptus in comparison to Africa Proconsularis in classical antiquity?","<ancient-history><ancient-rome><food><classical-antiquity>"
"How did the king give land to new barons without taking it from the old ones?","<feudalism>"
"Kissing in early Icelandic law","<middle-ages><law><vikings><sexuality><iceland>"
"Can you identify this seemingly British uniform in a presumably French portrait?","<france><identification><uniform>"
"Were there any role-playing games in medieval times?","<middle-ages>"
"The US and Soviet Soldiers story related to Normandy","<united-states><soviet-union>"
"Is there a relationship between Gobekli Tepe and Stonehenge?","<britain><turkey>"
"Why was the Kamchatka Regiment sent?","<military><russia><france><napoleonic-wars><kamchatka>"
"How likely would it have been for a rural Bohemian to encounter someone with darker skin?","<middle-ages><europe><ethnicity><bohemia>"
"In Antiquity, were Persian arrows considered superior to their Greek counterparts?","<warfare><classical-antiquity><persia><classical-greece>"
"Is Josephus account of destruction of Temple considered reliable?","<ancient-history><ancient-rome><religion><warfare><jews>"
