title,tags
"Is this Einstein rejection letter fake?","<physics><biographical-details><depiction-of-scientists>"
"discrepancy between Rømer and Fahrenheit scale","<measurement>"
"Earliest known usage of letter gamma ""Γ"" for reducible representation in group theory","<mathematics><terminology><quantum-mechanics><chemistry><group-theory>"
"Looking for Cantor's correspondence","<mathematicians><reference-request><cantor>"
"Historical development of role of astrology in medicine?","<astronomy><medicine><statistics>"
"How did Lagrange get his equation (the so-called Euler-Lagrange equation)","<physics>"
"In a popular anecdote, who took 20 minutes to decide that a thing was obvious?","<biographical-details><debunking><anecdote>"
"How did Wittgenstein fulfill eligibility requirements for a PhD in philosophy without having a Bachelor's degree in philosophy?","<biographical-details><philosophy-of-science><academia>"
"When was the square of negative numbers specified?","<number-theory>"
"When did mechanical tower clocks start being used?","<physics><astronomy>"
"When did spring-driven clocks start being used?","<physics><astronomy><classical-mechanics>"
"Did Indian astronomers realize the sphericity of the earth independently of the Greeks?","<astronomy><ancient-greece><ancient-india>"
"Summary of Gauss's work on geodesic lines on ellipsoid","<biographical-details><differential-geometry>"
"Why couldn’t the Burgess B Clock built in 1974 be built in 1775 by Harrison?","<physics><classical-mechanics>"
"Did Zermelo in 1914 miss the fact that there are only countably many finite strings?","<set-theory>"
"When it was discovered that cubic equations always have roots?","<mathematics><algebra>"
"What were Gauss's results on the attraction of homogenous ellipsoids in his paper from 1813?","<biographical-details><gauss><potential>"
"How did Pauli come to the Pauli exclusion principle?","<quantum-mechanics>"
"What evidence is there that the Babylonians used the Babylonain method of estimating square roots?","<mathematics><ancient>"
"What was Lebesgue's original definition of a measurable set?","<terminology><real-analysis>"
"Do astronomers still use decimal time?","<astronomy><measurement>"
"Who first derived $a =v^2/r$","<physics><classical-mechanics>"
"Notation for fiber bundles - why E for total space?","<notation>"
"Has science fiction ever caused scientists to do real research?","<physics><astronomy><chemistry><biology><earth-sciences>"
"Was Captain Cook’s voyage to observe the transit of Venus going to enable better ship navigation at the time?","<mathematics><physics><astronomy><navigation>"
"Poincaré and the baker: was the anecdote true?","<mathematicians><debunking><probability>"
"D'Alembertian symbol $\Box$","<notation><calculus><differential-equations>"
"When did set theory throw off theology?","<set-theory>"
"Who was (were) the first mathematician(s) who did not doubt the empty set?","<set-theory>"
"Textbook on the History of General Relativity","<physics><relativity-theory><resource-recommendation><book-recommendation>"
"Mathematics PhD dissertations that opened a new field of research","<mathematics><mathematicians><philosophy-of-science><big-list>"
"Was a regular heptagon ever constructed by ancient Greeks?","<ancient-greece><geometry>"
"How was the idea of observation error introduced?","<experimental-physics><scientific-method><statistics>"
"A peculiar quote from Oliver Heaviside","<physics><theoretical-physics><mathematical-physics><quote><heaviside>"
"How was invented quadratic equation?","<elementary-algebra><algebra>"
"Who was the first to understand the concept of outer-space?","<astronomy><celestial-mechanics>"
"Was carbon dioxide also called carbonic acid historically?","<physics><chemistry>"
"Who coined the term ''Born's rule''?","<quantum-mechanics><terminology>"
"Who introduced moments of a random variable first?","<mathematics><probability>"
"Indiana Pi Bill: Other attempts to establish mathematical truth by legislative fiat?","<mathematics><terminology><geometry><social-context><naming-conventions>"
"Who proved the monotone convergence theorem for the Lebesgue integral?","<real-analysis><functional-analysis>"
"Why are microcanonical, canonical and macrocanonical ensembles called that way?","<physics><terminology><statistical-mechanics>"
"Riemann's moduli and Dedekind's modules: any connection?","<mathematics><terminology>"
"Was Paul Cohen a student or assistant of Gödel?","<mathematicians><biographical-details><mathematical-logic><set-theory>"
"How many digits of Pi did the old Egyptians know?","<ancient-egypt>"
"Who discovered the Virial Theorem?","<reference-request><thermodynamics><energy>"
"When did people first become concerned about mercury in fish?","<chemistry>"
"when were dot product and cross product discovered ? Also, was quaternions discovered before or after this?","<mathematics><complex-analysis>"
"Who first invented the programmable digital computer?","<computer-science><computers>"
"Who coined the term ""uniform"" as in ""uniform distribution""?","<mathematics><terminology><probability>"
"What is history behind Smith-Volterra-Cantor sets?","<mathematics><real-analysis>"
"Are there any records of the history for the development of speculum alloy?","<chemistry><telescope><alchemy>"
"Einstein really didn't ""accept"" quantum mechanics?","<quantum-mechanics><theoretical-physics><einstein>"
"Who extended the Euclidean algorithm to derive the Bezout identity?","<mathematics><number-theory>"
"Who first described the fundamental group as the group of deck transformations?","<topology><algebraic-geometry>"
"What was Pauling's claim about vitamin C","<chemistry><debunking><scientific-method><depiction-of-scientists><nobel-prize>"
"How was the Antikythera Mechanism moved?","<ancient-greece>"
"What were 12 year old Pitts' objections to Principia Mathematica?","<biographical-details><mathematical-logic><debunking>"
"When was the Server Side Include feature of web servers first made available?","<computer-science>"
"Who first noticed that the radiation pressure formula $p=U/c$ agreed with $E=pc$ from special relativity?","<relativity-theory><electromagnetism><optics>"
"Reference Request: Books on the work of Imre Lakatos","<mathematics><philosophy-of-science>"
"What field will we be remembered for developing?","<mathematics><ancient-greece>"
"mathematicians attempts at proving Euclid postulate","<reference-request><euclidean-geometry>"
"What is Newman's ""infinite number of curves""?","<mathematics><infinity>"
"Author of a review in *Mercure de France*","<mathematics><calculus><publishing>"
"How influential was the Kerala school to European development in Calculus?","<mathematics><terminology><calculus>"
"Was Aristotle first to talk about gravity?","<ancient-greece>"
"Is there an anthology of classic papers on electricity?","<physics><electromagnetism><resource-recommendation>"
