title,tags
"How to nudge girlfriend to find something meaningful during her summer holidays?","<relationships>"
"How can I ask my girlfriend to split gas money for a long trip?","<united-states><relationships><conflict-aversion><conflicts>"
"How can I ask a guest to order within my budget at a restaurant?","<united-kingdom><eating>"
"How to use Social Penetration Theory to increase closeness with someone who doesn't normally talk about their feelings","<conversations><friends><academic-research><interpersonal-theories>"
"How to aproach the subject of intimacy with an ex?","<conversations><friends><sex>"
"How to helpfully react to a male coworker's sexual comment about a woman","<conversations><rudeness><coworkers>"
"How to tell friend I won’t go to school for weeks?","<conversations><friends><school>"
"Convincing Neighbors to Train Barking Dogs","<united-states><conflict-aversion><neighbors>"
"Is it ok to video a TV reporter without their consent?","<politeness>"
"How do I avoid meeting an acquaintance that comes to visit every few months?","<politeness><saying-no>"
"How to deal with someone who doesn't learn?","<friends><australia>"
"As a PhD student, how can I politely tell Masters students that I don't have time to help them","<conversations><helping><students>"
"How can I tell my parents I want to drop out of college?","<conflict-aversion><parents><netherlands><school><depression>"
"How do I connect with people over texting?","<conversations><texting><friendship>"
"How to help my girlfriend if she gets greatly depressed over small things?","<romance><depression>"
"Relationship with a stalker: I want to get over it. How can I stop her if she stalk me again and how not to fall to her trap again?","<relationships>"
"How to ask friends and customers for business review?","<united-states><friends><work-environment>"
"How to clarify how to pronounce someone's name when you've just met","<united-kingdom><awkward-situations>"
"I want to sit down on the bus but someone's bag is in the way, how can I ensure this isn't the case when I lower my posterior onto the seat?","<united-kingdom><public-transportation><strangers>"
"How to get sibling to assist in room cleaning?","<assertiveness><siblings>"
"How do I follow up with new acquaintances to develop a friendship?","<making-friends>"
"How to refuse someone asking for additional help ""while you're at it""?","<conflict-aversion><saying-no><indonesia>"
"As an intern, how do I make friends with full timers?","<work-environment><making-friends><singapore>"
"How to subtly find out whether a colleague of mine is interested in me?","<relationships>"
"How can I get out of sitting between two professors?","<united-states><awkward-situations><college>"
"How to resume contact with a former manager who I haven't talked to for 3 years?","<conversations><awkward-situations><acquaintances>"
"How can I convince my close friend that he should listen to his mother and take a chance with arranged marriage?","<india><marriage>"
"How should I tell someone about a potential medical issue?","<strangers><physical-health>"
"How to tell my mother she needs permanent home help?","<family><elderly>"
"how does one jump-start a social life in the face of abusers who are making it impossible to socialize within your tightest circle?","<relationships><socializing><depression><taboo><abuse>"
"Reminding lecturer to reply to previous email I sent","<politeness><etiquette><email><singapore>"
"Planned to move into shared house but not allowed when someone alleged I made them uncomfortable (adults)","<conflicts><roommates><canada>"
"Why does a man pay for the first date with a woman?","<relationships><etiquette><dating>"
"Suggestions on how to constructively discuss mundane issues with spouse?","<relationships><life-partner>"
"How to react when my girlfriend allows others to insult me to her?","<relationships><texting><self-esteem>"
"How to improve relationship with uninterested coworkers?","<germany><colleagues>"
"How to say no to an extremely pushy friend","<friends><saying-no><germany><coworkers>"
"How can I communicate I need to be told specific rules that they consider Christian values?","<roommates><religion>"
"How can I tell my roommates they are being too loud at night?","<united-states><roommates><college>"
"Cellphone-obsessed friend (and driver)","<friends><requests><texting>"
"How do I appear more friendly when I have a fierce-looking face?","<socializing><non-verbal-communication><first-impressions>"
"How do I find the causes of the issues between me and my siblings?","<relationships><family><germany>"
"Coping or Treatment Strategies for Avoidance Behavior?","<work-environment><coworkers><employers>"
"Offering to share my umbrella without sounding creepy","<awkward-situations><politeness><netherlands>"
"How can I remain friends with my sponsor child without continually funding them?","<friends><boundaries><money><south-africa>"
"How do you deal with colleagues, acquaintances asking you for knowledge that you gained with months of effort?","<acquaintances>"
"How to tactfully shut down gossip-talkers?","<coworkers><sweden><gossip>"
"How do I tell my coworker to stop talking about her kid every day?","<conversations><work-environment><coworkers>"
"Future sister-in-law upsetting family with inattention?","<relationships><conflicts><weddings>"
"Old friend that calls me multiple times a day, How can I talk to him about it?","<friends><boundaries><harassment>"
"How do I nicely tell a colleague to start listening","<coworkers>"
"How to be a good host of a party?","<friends><socializing><friend-groups><social-event><parties>"
"How can I tell if family members consider my unvaccinated kids a threat?","<family><children><physical-health>"
"How can I let people know that I don't want to be touched?","<non-verbal-communication><personal-space>"
"How to politely turn down roommate offer for awkward reason","<friends><politeness><saying-no>"
"How can I have a conversation with my wife to be ensured of her faithfulness?","<india><romance><marriage><sex>"
"I sent an email about an urgent message, but want to call instead. How to correct?","<conflict-aversion><politeness><strangers>"
"How do I avoid strange questions because of a flag?","<conversations><conflict-aversion><conflicts><difficult-people><germany>"
"How can I explain to a parent that my decision to not have children isn't an accusation that they've been bad parents to me?","<parents><children>"
"How can I play the devil's advocate in politics without being attacked?","<conversations><conflict-aversion><canada><politics>"
"How can I enforce a mutually agreed upon boundary set with my friend?","<friends><business>"
"Elevator awkwardness, collegue makes self deprecating comment","<conversations><awkward-situations><coworkers><non-verbal-communication>"
"Does the way that someone signs an email change how I should address them?","<conversations><united-kingdom><etiquette><strangers><email>"
"How to avoid endless corporate evening pubs but still have nice relationship with the colleagues?","<work-environment><coworkers><professionalism><parties><acceptable-behavior>"
