title,tags
"How can I properly test my device's PCB antenna?","<zwave><testing><hardware>"
"What are the differences of the Open Connectivity Foundation membership levels?","<ocf>"
"Adding Devices to Samsung SmartThings","<smart-home><wireless><samsung-smartthings>"
"Securing small home automation setup","<security><smart-home><networking>"
"Is Shodan, the IoT search engine, really reliable?","<shodan>"
"What are the best security practices to secure a remote IoT camera?","<smart-home><security><raspberry-pi>"
"Safety of a smart switch on a fireplace","<smart-home><wireless><safety><building-code>"
"Intercepting web traffic going over cellular network","<security><privacy><lpwan><mobile-data>"
"How do I secure communication between app and IoT device?","<security><bluetooth><mobile-applications>"
"Can't have a reliable connection between my mobile devices and my TV both through Chromecast and Apple TV","<google-home><wifi><chromecast>"
"Securing 433 MHz wall light switch","<security><smart-home><raspberry-pi>"
"What is the difference between IoT and ""Industry 4.0""?","<definitions><industry-4.0>"
"How could I create an LPG indicator?","<smart-home><kitchen-appliances><safety>"
"Secure Home Network Partition for IoT Devices","<security><networking>"
"How to Enhance the Voice Recognition on Raspberry Pi controlling Smart Home Devices","<smart-home><raspberry-pi><voice-recognition>"
"When and why to use MQTT protocol?","<mqtt><protocols><data-transfer><https>"
"Should I build isolated networks for IoT devices vs. regular computers?","<security><networking><lan>"
"Best practices for secure Over The Air updates","<security><over-the-air-updates>"
"How do I shut down IoT devices without a power button?","<ac-power><batteries>"
"When to use Wi-Fi over Bluetooth or vice versa in an IoT system?","<smart-home><bluetooth><wifi>"
"Reusing / recycling a Petzi Treat Camera?","<hardware><sustainability><upcycling><disposal>"
"Testing the success of Over the Air updates","<testing><authentication><over-the-air-updates>"
"Can I send my GSM IoT device via airpost?","<batteries><gsm>"
"Can I monitor my network for rogue IoT device activity?","<security><networking>"
"How can I implement MQTT on an STM32F030K6T6?","<mqtt><microcontrollers><stm32><arm>"
"What classifies a device as IoT?","<definitions>"
"Is CoAP still used for IoT devices?","<communication><coap><standards>"
"What are the the NB-IoT, LTE Cat-M1 and EC-GSM-IoT standards created by 3GPP?","<lpwan><standards>"
"Can I implement FAT on a microcontroller to access USB/SATA drives?","<usb>"
"Difference Between ZigBee and Z-Wave?","<wireless><zwave><zigbee>"
"How reliable is location tracking of shipments?","<communication><gps><tracking-devices>"
"Confusion about client-server connection establishment in MQTT","<mqtt>"
"What is an “Embedded Agent” in reference to a Low Powered IoT Edge Device?","<definitions>"
"Can I use my Pebble to interact with Belkin Wemo devices?","<pebble><wemo>"
"Making Amazon Echo / Alexa work outside of US, UK, Germany and Canada","<smart-home><alexa><amazon-echo>"
"Data connection issues during when working with IoT devices","<mobile-data>"
"Connecting Proximity beacon with Mobile App","<protocols><beacons><eddystone>"
"Is there a fully open source platform for IoT presentation and visualization?","<web-services><visualization>"
"Are there any IoT devices with fully open source hardware?","<raspberry-pi><banana-pi>"
"Is there a way to turn on large numbers of IoT devices remotely?","<hardware><ac-power>"
"Repurpose ADT sensors","<samsung-smartthings><sensors><home-security>"
"What capabilities does my Home Connect appliance provide in the developer SDK?","<smart-home><kitchen-appliances><home-connect>"
"How can I monitor IoT devices in real-time while on a plane?","<communication>"
"Is the Subscriber-Publisher pattern applicable also to actuators?","<security><publish-subscriber><actuators>"
"How can I check if my IoT devices are infected with the Mirai worm?","<security><networking><mirai>"
"Does XMPP have a large overhead for IoT devices sending short, frequent messages?","<communication><networking><xmpp>"
"Use cases of the ""Release Event"" on a smart switch","<smart-home><zwave><domoticz>"
"How can I do incremental updates with a flash that can only be erased block-wise?","<over-the-air-updates><microcontrollers><flash-memory>"
"What, exactly, makes SPECK and SIMON particularly suitable for IoT devices?","<security><simon><speck>"
"What voice commands for Philips Hue lamps does Amazon Echo offer?","<amazon-echo><philips-hue>"
