title,tags
"What is the distinction between a full node and a full public node?","<iri-node>"
"What does the IOTA coordinator actually do?","<coordinator><tangle>"
"Why does IOTA use a ternary number system?","<ternary>"
"How can I safely store my IOTA seed?","<seed><security>"
"Consensus - how is a single, non-conflicting graph (tangle) maintained?","<tangle><consensus>"
"How do I set up a datastream for sale?","<data-marketplace><sales><data>"
"How to generate a seed safely?","<security><seed>"
"DB snapshots for the masses - are there any risks?","<security><iri-node><server><database><node>"
"What happens to a MAM (Masked Authenticated Message) Stream during a Snapshot?","<snapshot><permanode><masked-authenticated-messaging>"
"How do I use the ""Optional Tag"" field in the GUI light wallet?","<optional-tag>"
"What are the minimal system requirements to run a full IRI node?","<iri-node><requirements>"
"How does reattaching a transaction increase the chance for confirmation?","<reattach><transaction><pending>"
"Why is my transaction not getting confirmed?","<transaction><confirmation>"
"Is there a difference between branch and trunk transactions?","<transaction><branch><trunk>"
"What kind of ""invalid"" transactions are transported by the network (and appear on tangle explorers?)","<transaction><confirmation><protocol>"
"What are the prerequisites for shutting down the IOTA coordinator?","<coordinator>"
"What sensor could I use to contribute to the data marketplace when it goes live?","<sensor><data-marketplace>"
"How do I set up a permanode?","<iri-node><permanode><database><storage>"
"Are there any valid reasons to Rebroadcast a Transaction?","<rebroadcast>"
"Where can I buy IOTA in USD?","<economics><sales><exchanges>"
"How does a full-node validate transactions?","<transaction><iri-node><validation>"
"What is the total supply of IOTA?","<economics>"
"What can an attacker with 34% of total hash power do?","<security>"
"Hosting a Full Node - Best Practice","<iri-node><security>"
"How do I set up a private IOTA network?","<iri-node>"
"Will outsourcing POW ever be an issue?","<pow><fees><internet-of-things>"
"Why are microtransactions important or necessary?","<data-marketplace><microtransaction>"
"How does a reattached transaction impact the tangle?","<transaction><tangle><reattach>"
"How can there be consensus once the tangle is too large for a single iri node to track?","<scalability><consensus>"
"Why do some of my transactions have Weight Magnitude 16, although I have set it to 14?","<transaction><pow><min-weight-magnitude>"
"How would I explain IOTA/the Tangle to someone who isn't technical?","<tangle>"
"What is the average transaction time in IOTA?","<transaction><confirmation>"
"How many full IOTA nodes are there, and how many do there need to be?","<iri-node><security>"
"Why does iri use manual neighbor discovery?","<neighbors><nodesharing>"
"Static IP address for full node","<iri-node><node><static-ip>"
"What is the IOTA transaction data structure?","<transaction>"
"How can I set up a cold storage?","<wallet>"
"Transactions Pending - Balance 0","<transaction><wallet>"
"Difference between score and cumulative weight","<tangle>"
"Full Node Set-Up Issue: UnsatisfiedLinkError","<iri-node><nodesharing>"
"IRI: What are the differences between and purposes of --rescan and --revalidate?","<iri-node>"
"Does the node API allow for 90-character addresses (with checksums)","<address><checksum>"
"What's the deal with prefixes? Is Mi smallest amount that could be transferred?","<transaction><token>"
"How can I recover my IOTA balance?","<wallet><address><iota-recovery>"
"How do I generate a wallet from a seed?","<wallet><seed>"
"Lost or wrong jotted seed - is it possible to withdraw IOTA?","<wallet><seed>"
"Is there any zero-value iota test network?","<transaction><testnet><debugging>"
"How to proceed end to end with iota on Bitfinex (e.g., store them in Keepass)?","<wallet><bitfinex><exchanges><hardware-wallet>"
"What does the ""block number"" in the iota wallet represent?","<transaction><tangle><bundles><milestones>"
"What is an IOTA ""bundle""?","<bundles>"
"Doesn't reattaching transactions allow double-spend transactions?","<transaction><address><bundles><balances>"
"What Proof of Work function does IOTA use?","<consensus><pow>"
"How to set up an IOTA Sensor for Data Marketplace?","<sensor><development><data-marketplace><raspberry-pi>"
"Is it possible to send pictures to the Tangle? What is the data limit per transaction?","<tangle><ternary>"
"Consensus - what convergence properties does the tangle have when multiple conflicting transactions are built upon by different parts of the network","<tangle><consensus>"
"How do I know if a pending transaction will be successful?","<transaction><pending><reattach><double-spending><android-wallet>"
"Access API from another host","<iri-node><ports>"
"Given 0 token and 0 fee transactions, what provides value to the IOTA token itself (not the IOTA network)?","<economics><token>"
"What are the IOTA disk space needs?","<tangle><requirements>"
"Can you reuse a receive address that was created before the last snapshot?","<address><snapshot>"
"What are swarm nodes ? What is their role in the network?","<swarmnodes>"
"How can I verify whether an address I've created offline is valid?","<security><validation><offline>"
