title,tags
"Is Earning Money From Youtube Halal?","<halal-haram><work><internet>"
"What does it mean for one tribe to be stronger than another?","<history>"
"Families whose children practice Ramadan","<ramadan>"
"Should a Muslim not conceal being a Muslim from others?","<practical-islam>"
"How humans think when we are in the hevean or hell ? Do we have the same thoughts or insights same as we used to be before we die?","<jannah><death><game><jahannam><akhirah>"
"What is the logic behind stoning satan?","<shaitan><hajj><rajm>"
"Is castration permitted in Islam","<fiqh><history>"
"Can a Muslim man open a restaurant in Ramdaan during fasting hours?","<halal-haram><ramadan>"
"Figuring out right calculation method of prayer time","<salat><practical-islam><sunni><islamic-basis>"
"Going from ""never prayed in my life"" to my first prayer?","<salat><practical-islam><islamic-basis>"
"What to do when passion for Work exceeds passion for Islam?","<quran><hadith>"
"Why did Mohammed Ali's coffin have cloth draped over it?","<funeral>"
"Is Qur'an a book of science?","<quran><science>"
"How can I recite the holy Qur'an when I can't keep my ablution?","<wudu>"
"Can we pay zakaat money or other donations for purpose of planting trees specifically?","<zakat><sadaqah>"
"If a person has broken their fast for a valid reason, should they eat differently?","<sawm><food>"
"Can I do banking job?","<riba><fatwa>"
"Is music totally haram?","<halal-haram><music>"
"Are there any authorities that discuss what happened to all Muhammad's captives?","<history>"
"Non-Muslims and hijab: Is it a problem for them to dress modestly in Islamic ways?","<non-muslim><hijab>"
"Does ""not performing gusl"" have any effect on one's fast?","<hadith>"
"Best way to save a marriage which has differences","<quran><hadith><nikah>"
"Is it permissible to offer Sunnah prayer while Fajr congregation prayer is going on?","<salat><fajr>"
"Why did Muslims attack Iran?","<history>"
"What did Allah teach David in Surah Al-Baqarah, Verse 251?","<quran><surat-al-baqarah>"
"صاع and مد According to Ja'fari Fiqh","<fiqh>"
"Is there any online fatwa QA website for Shafi Fiqh?","<fiqh><fatwa><internet>"
"How to repent from apostasy?","<tawba><apostasy>"
"Can I break my fast on the day of my exam due to diabetes?","<halal-haram><sawm><medical>"
"Is receiving money as interest from bank deposits haram?","<halal-haram><hadith><ayah>"
"Are you allowed to use saved interest money to pay interest?","<halal-haram><fiqh><riba>"
"Is violence especially discouraged during Ramadan? And what about lesser jihad?","<ramadan><jihad><violence>"
