title,tags
"What are the rules for using an article with the name of a football team?","<word-choice><articles>"
"Tanto va la gatta al lardo","<phrase-origin><proverbs>"
"How do English words change when plural in Italian?","<grammar><grammatical-number>"
"Is it correct to say ""il lago di Loch Ness""?","<foreign-words>"
"'aver sceso le scale' versus 'essere sceso dalle scale'","<grammar><difference><auxiliary-verb>"
"Are there rules for the positioning of clitic pronouns?","<pronouns>"
"'apparire' vs. 'sembrare'","<word-choice><word-meaning><difference>"
"""l'FBI"" vs ""lo FBI""","<articles><foreign-words>"
"Difference between ""con degli amici"" and ""con amici""","<meaning><word-choice><difference>"
"Rule to capitalize a title?","<capitalization><orthography>"
"When can 'ci' be used to mean 'it'","<pronouns><particles>"
"""D'accordo"" or ""daccordo"": How should I spell it?","<spelling>"
"'Camera' vs 'Stanza'","<word-choice>"
"È più corretto ""vabbè"" o ""vabbé""?","<accents><orthography>"
"What is the difference between «utènsile» and «utensìle»?","<word-choice><homograph>"
"Opinions and subjunctive","<word-choice><grammar>"
"Past participle and changing endings with auxiliary verb ""avere""","<verbs><pronouns><auxiliary-verb><agreement><past-participle>"
"""Accordo"" versus ""intesa""","<word-choice><difference>"
"Punctuation inside quotes","<punctuation>"
"'invece di' vs. 'invece che' vs. 'piuttosto di' vs. 'piuttosto che'","<grammar>"
"Plural of compound names","<grammar><plural>"
"'mi dà due etti di mortadella' vs. 'mi dai due etti di mortadella'","<grammar>"
"Should one prefer «…», “…” or ‘…’?","<punctuation><typography>"
"Is 'Dà questa' correct, or should it be 'Da' questa'?","<grammar>"
"Pluralization of Latin words","<grammar><plural><foreign-words>"
"Meaning of ""magari""","<meaning>"
"When is it appropriate to move ""sono"" and other verbs to the end?","<grammar>"
"Difference between ""scordare"" and ""dimenticare""","<word-choice><difference>"
"Does ""alquanto"" express a greater quantity than ""parecchio""?","<word-choice>"
"""due euro"" vs. ""due euri""","<difference><plural>"
"Irrealis conditional versus possibility","<word-usage><tenses><conditional-mood>"
"Using the Simple Future to express a possibility","<tenses><usage>"
"Should formal pronouns be capitalized?","<pronouns><formal>"
"Meaning of ""avere la botte piena, la moglie ubriaca e l'uva sulla vigna""","<meaning><proverbs><idioms>"
"Capitalization of the first word after a colon","<word-usage><punctuation><capitalization><orthography>"
"Difference between ""infatti"" and ""in effetti""","<word-choice><difference>"
"Does Italian always use the infinitive where English uses the gerund?","<usage><infinitive><english-comparison>"
"Subjective case or objective case?","<usage><pronouns>"
"Article comparison in ""un francese e due svizzeri"" and ""uno svizzero e due francesi""","<grammar><articles>"
"Using ""e"" at the beginning of a sentence","<word-usage><conjunctions>"
"Does Italian language have letters for foreign sounds?","<sound><letters><pronunciation>"
"Space before and after a slash","<punctuation>"
"How should I disambiguate this sentence?","<punctuation>"
"Items of a list: Should I capitalize them and use a period at the end?","<punctuation><orthography><capitalization><list>"
"Creatività e dinamismo nella lingua italiana","<history><borrowing><english-comparison>"
"""Sono qui da trentun anni"" versus ""Sono qui da trentun'anni""","<orthography><apocope><word-order><phrase-choice>"
"What does ""Boh!"" mean, precisely?","<meaning>"
"""Sono qui da anni trentuno"" versus ""Sono qui da anni trentun""","<word-order>"
"What does ""altri"" mean in ""che altri facesse""?","<word-meaning>"
"What do you say to describe persons who made ""un provino""?","<grammar>"
"Why is the double negation not an issue in the Italian language?","<grammar><english-comparison><negation>"
"Is ""essere fuori come un balcone"" a well recognized expression in regional usages?","<idioms><regional>"
"Why do Italian road signs use the infinitive tense and not the imperative?","<word-usage><verbs><grammar><infinitive>"
"Cosa sapreste dirmi della diffusione del verbo ""sfanagliare"" nelle diverse regioni italiane?","<word-choice>"
"Ironic constructions in Italian","<english-comparison><translation><phrase-request>"
"Is ""scancellare"" really not correct?","<usage><verbs>"
"How should I translate the Present Perfect used in English?","<usage><tenses><english-comparison>"
"Using a comma between the subject and the verb","<usage><punctuation>"
