title,tags
"Equivalent gesture for ""air quotes"" in Japanese?","<expressions>"
"時に[激]{はげ}しく - 時に[切]{せつ}なく","<grammar>"
"Trouble with a sentence 状況を変えてくれるのはいつだってあなたのその気持ちだってこと","<translation>"
"Quotation marks around name without honorific: invitation to 呼び捨て?","<honorifics>"
"What does 小職の権限 mean?","<words><phrases>"
"Nuance of ね vs よ in the phrase ""I miss you""","<particles>"
"verb + としよう; verb (non volitional) + とする, what is it used for?","<grammar>"
"What's the difference between ～みたい and ～っぽい in the following sentences?","<grammar><word-choice>"
"My Japanese is rusty","<translation><phrases>"
"Why is 切 on microwaves instead of 分?","<kanji><time>"
"Two different katakana for 'wo' in the Genki textbook","<katakana><contractions>"
"the logic behind ""te"" in ""chotto matte te""","<word-choice><expressions><aspect><subsidiary-verbs><casual>"
"Describing lego brick dimensions in Japanese","<readings><symbols>"
"placement of the adjective/adverb いっぱい","<adjectives>"
"Natural way to ask what project/work someone has been doing lately","<phrase-requests>"
"Deciphering handwritten phrase and its meaning","<handwriting>"
"Use of Tsukerarete in this sentence","<translation>"
"Translation of ""取り扱いを決めて物事の決まりをつけること。""","<translation>"
"How to say 'an outdoorsy person' in Japanese","<words><word-requests>"
"How to say ""I grew up thinking about X""?","<english-to-japanese>"
"How to say ""still waiting for me""?","<grammar>"
"Is 食べてたい correct?","<verbs><conjugations><contractions><abbreviations>"
"Why で instead of を in しんぐもつちぼこりでよごしてしまいました。","<particle-で>"
"How is 百にも足らぬ used here?","<meaning><auxiliary-ず>"
"What is the difference between ている and ています?","<word-choice><politeness>"
"Use of particles for なにも in response to the question ""What is in something?""","<particle-を><particle-も>"
"How to say ""X movies"" that are movies about X","<words><usage><particle-の><word-usage>"
"僕がついてればいいんですけど。いそがしいもんですね。","<words><contractions><conditionals>"
"「電車が空く【すく】」 と「 電車が空く【あく】」","<word-choice><readings>"
"Changing が to の outside of relative clauses","<grammar><particle-の><relative-clauses>"
"Does ""fukushuu suru"" mean ""review"" or ""revise""?","<meaning>"
"Odd use of も has me stumped","<particle-も>"
"How to say ""This day is going by too quickly"" in Japanese?","<word-choice><usage>"
"嫌い in ""私のことを好きか嫌いか"", etc","<meaning><negation>"
"Is it correct to say 複雑な波長?","<words><adjectives><parsing><compounds>"
"For which verb is を marking the object","<grammar><translation><particle-を><adverbs><ellipsis>"
"お土産 - May this be used for oneself?","<translation>"
"function of ""できる"" in this example","<grammar><translation>"
"“Uncle's jokes !?”","<culture><puns>"
"Is お・ご～させていただく 二重敬語?","<word-choice><words><keigo>"
"To turn/rotate Shinkansen chair","<grammar>"
"What is the level of politeness for 我々?","<word-choice>"
"に防ぐ or が防ぐ Which one is correct?","<grammar>"
"Custom ateji (?) made by authors","<translation><ateji>"
"Question + は置いといて","<grammar>"
"What does 「風が強く吹いている。」 mean?","<grammar><verbs><transitivity>"
"最後に「か」が置かれると疑問文になるかどうか","<academic-japanese>"
"What does the 「な」 do in this sentence?","<dialects><keigo><manga><kansai-ben>"
"Can I use Kanji for my first name?","<kanji><names>"
"meaning of the verb 工夫 in this example","<translation><meaning><usage>"
"What does the 「たあ」 do in this sentence?","<colloquial-language><particle-は><particle-と><contractions>"
"What does this sentence including もとで mean?","<grammar><parsing>"
"Meaning of 私の方が好きだけどね","<meaning><spoken-language>"
"Can katakana ワ be used in official name?","<names>"
"Aspects in stylistics/meaning of 東雲","<meaning><aspect><word-usage>"
