title,tags
"Reference frame for come and go","<grammar><word-usage><difference>"
"Is there an easy way to tell whether any given Korean name is typically male or female?","<names><gender>"
"What's the difference between 마지막으로 and 드디어?","<vocabulary>"
"What, if any, are the primary differences between Korean as spoken in the North and that spoken in the South?","<dialects><north-korean><south-korean>"
"What are the differences between 는 / 은 and 가 / 이?","<particle>"
"Should I learn Hangul as soon as I start learning Korean?","<hangul>"
"Negative form of verbs. -하지 않다 versus -치 않다","<grammar><verb-endings>"
"What is the meaning of 까 in the song Gangnam Style?","<grammar><translation><word-usage>"
"What filler words can be used in Korean to buy time in the conversation/show you are thinking?","<grammar><conversation>"
"Are there rules that govern how certain characters are pronounced and when?","<pronunciation>"
"Importance of learning Hanja (한자) for Korean learners","<south-korean>"
"Is there a pronunciation rule or sound change for the word 협력?","<pronunciation>"
"Are formal / honorific forms mandatory when talking about oneself?","<formal><honorific>"
"How are words in Korean alphabetized/sorted?","<orthography>"
"Spacing rules: Is it 가 보다 or 가보다?","<spacing>"
"Should I use polite speech to animals?","<formal>"
"Why do some country names end in -국 while others don't?","<place-names>"
"When is ㄹ pronounced as L and when as R?","<pronunciation>"
"How many Korean speakers are there world wide?","<untagged>"
"Two lines of 사랑해 당신을","<grammar><translation><word-usage>"
"How can I ask someone to repeat a statement in Korean?","<polite><conversation>"
"How was the obsolete character ㅿ pronounced?","<pronunciation><hangul>"
"What is a polite term of address to use for a friend's mother?","<names><polite>"
"Difference ㄹ래요 vs ㄹ까요","<verb-endings>"
"Two lines from Bibara bibara (Japanese song): do they even make sense?","<grammar><translation>"
"Correct pronunciation when a syllable ends with two consonants","<pronunciation>"
"Is there any difference in meaning between the ~더라도 and ~도 verb endings?","<grammar><verb-endings>"
"Is it more polite to say '고맙습니다' or '감사합니다'? Is there any other difference in meaning?","<register><meaning>"
"Plain vs aspirated consonants (ㄱㄷㅂㅈ vs ㅋㅌㅍㅊ)","<pronunciation>"
"Hangul -- printed vs handwritten","<hangul>"
"Which Korean words or sounds have been used as a shibboleth?","<phrases>"
"What is the meaning and etymology of 본 적 (없다/있다)?","<phrases>"
"When are ㅅ and ㅆ pronounced as stops?","<pronunciation><hangul>"
"How exactly is ""ㄱ"" pronounced/romanized?","<pronunciation><hangul><translation>"
"Do we use honorifics when talking about seniors in the third person?","<grammar><honorific><polite>"
"When to use -세요 and when -(으)ㅂ니다?","<grammar><verb-endings><honorific><polite>"
"When transliterating English words to Korean, why does the first F become a ㅎ?","<grammar><transliteration><etymology>"
"What are the differences between 그러나, 그런데 and 그렇지만?","<grammar>"
"What does it mean when someone writes 드림 at the end of an email?","<meaning>"
"ㅗ and ㅛ sound about the same to me. Can they be used interchangeably?","<pronunciation>"
"When should spaces be used between words?","<grammar><spacing>"
"What is the correct past tense of 이다?","<tense>"
"What is the difference between 일, 하루 and 날?","<meaning>"
"Do 같이 and 함께 mean the same thing?","<meaning><adverbs><difference>"
"What are the biggest pronunciation / intonation features of English-speakers speaking Korean?","<pronunciation>"
"How to translate generic ""you"" or ""one"" in Korean?","<translation><single-word-request>"
"Is there any word that varies in length when written in hanja or hangul?","<hangul><hanja><orthography>"
"Which do I choose ""그"" or ""그녀""?","<grammar><gender>"
"When should I use Hanja instead of Hangul?","<hangul><hanja>"
"Are ordinary native Korean speakers capable of understanding individual Japanese kanji words in written form?","<hanja>"
"Is hanja opposed in North Korea?","<hanja><north-korean>"
"When do I need to use the native vs Sino-Korean numerals?","<numeral>"
"How do you count Korean age","<korean-culture>"
"What's the meaning of -아/어 가지고, which I hear a lot in spoken language?","<grammar><verb-endings>"
"What's the difference between the ways to say ""try"", 시도하다, 노력하다, 하려고 하다, and 해 보다?","<grammar><vocabulary>"
"Are there any online tools available for entering Korean text?","<hangul>"
"How is 들어가다 used as a farewell greeting?","<grammar><conversation><greeting>"
"Should I worry about local dialect (satoori)?","<satoori>"
"What is the difference between -지 않다, -지 못하다, and -ㄹ/을 수 없다?","<grammar><verb-endings>"
"When to use ㅐ, ㅒ as opposed to ㅔ,ㅖ?","<pronunciation>"
"Is there any program for Microsoft Windows for dictating Korean text?","<pronunciation>"
"How can we infer the pronunciation of now obsolete Hangul characters?","<pronunciation><middle-korean>"
"Difference between negating with 안 and -지 않다","<grammar><verb-endings><negation>"
"What's the difference between [아/어]서, ~다가 and ~ㅆ다가 when describing one event happening after another?","<grammar><verb-endings>"
"Why don't Koreans call their country 'Korea'?","<etymology>"
"Natural translation of 숨을 곳도 찾지 못해 나는","<grammar><translation>"
"What's the difference between 드세요 and 잡수세요?","<honorific>"
"How are mathematical symbols read in Korean?","<technical-terms>"
"Is the 하소서체 speech level used in any modern setting?","<speech-levels>"
"A way to remember the natural Korean numbers 스물 (20), 서른 (30), 마흔 (40) and so on?","<numbers>"
"Do the shapes of Hangul characters have any significance?","<hangul>"
"Can I write ""마음을 잡수시다""?","<grammar><honorific>"
"What are the different causal connectives and how do they differ in nuance?","<grammar><particle>"
"Are colors interchangeable","<vocabulary><usage>"
"What's the difference between these ""break"" verbs: 깨다/깨지다/깨뜨리다?","<vocabulary>"
"Why isn't 안녕합니다 a proper response?","<grammar><greeting>"
"Is there a single word or phrase for ""logical thinking capacity""?","<single-word-request><phrase-request>"
"What is the difference between 쇠고기 and 소고기 (both 'beef') - both are correct, but when would I hear one over the other?","<grammar><difference><orthography>"
"What is the difference between 좋다 and 좋아하다?","<difference><verb><adjective>"
"Why do we even need subject particles (이/가)?","<grammar><postpositions>"
"Is it true that Koreans might sometimes be cautious about actually saying the verb in a sentence?","<speech-levels><spoken-korean>"
"What's the honorific to represent a female's older sister?","<honorific><polite><speech-levels>"
"How should I use the pronoun 당신?","<honorific><polite><speech-levels>"
"Applying honorifics to 한 적, which is correct? 한 적 있으세요 vs 하신 적 있으세요 vs 하신 적 있어요","<honorific>"
"Are there any other honorific particles apart from 께서 and 께?","<honorific><particle>"
