title,tags
"How to get rid of bandicoot around house","<home><pest-control>"
"How to make shoes shine?","<cleaning><shoes>"
"How to stop lizards entering through windows","<home><pest-control>"
"How to clean Blu Tack?","<cleaning><home><adhesive>"
"How to take macro pictures using any smart phone camera?","<technology><phone><photography>"
"How to remove epoxy on clothes","<cleaning>"
"How to improvise snowshoes?","<winter><travel>"
"Boiled water to clean leather","<cleaning>"
"Filling a hot water urn from a kitchen sink","<efficiency><sink>"
"How to avoid shortage of toilet paper?","<bathroom>"
"How to remove a urine smell from a bathroom?","<bathroom><smell>"
"How to prevent outline marks on trousers?","<clothing>"
"How to remove lice","<personal-care><hair>"
"What kind of stone may be used for whiskey rocks?","<drinks>"
"What are more efficient alternatives to walking?","<substitute-tool><efficiency><travel>"
"How to make non-drinkable seawater drinkable?","<home><water>"
"Mixing coffee without a spoon","<food><substitute-tool>"
"How to stop headphones bouncing around when walking?","<headphones><travel>"
"How to cut paper without scissors?","<substitute-tool><stationery><office-supplies>"
"How to Not Smell Like Feces without Bathing?","<cleaning><personal-care><smell>"
"How can I confirm if meat is cooked without a thermometer?","<food><kitchen><substitute-tool><food-safety>"
"How to clean dried blood and bone from the car grill","<cleaning><car>"
"How can I organize Micro SD Cards?","<technology><storage><labeling>"
"How to make an ice pack that doesn't leak","<home><water><sports>"
"How to steep but separate leaves in a teapot without a mesh strainer?","<food><substitute-tool><kitchen><drinks>"
"How to vacuum room with minimal amount of effort?","<cleaning><home><efficiency>"
"How to generate electricity for free?","<home><electricity>"
"Eradicate a cockroach infestation","<cleaning><kitchen><pest-control>"
"How do I effectively remove dog hair from my car seat?","<cleaning><car>"
"How should I deal with boxes for appliances?","<storage><efficiency><organization>"
"How to store loose CDs and other discs without scratching them?","<substitute-tool><technology><storage>"
"How can I charge my smartphone faster?","<technology><phone><electricity>"
"How to fix stuck laptop keys?","<cleaning><technology><keys>"
"How can I remove ants from my laptop keyboard?","<technology><appliances><pest-control>"
"How to clean glass without glass cleaner?","<cleaning><home><substitute-tool><car><glass>"
"How can I warm up a bathroom without a heater?","<temperature><bathroom>"
"How to eat loud food (chips, celery) quietly","<food><sound><snack-food>"
"how to keep bandages close to hand dry and clean","<cleaning><personal-care><water>"
"How to pinpoint noisy neighbor in panel house","<home><sound>"
"How can I best to get rid of/avoid dog hair on clothes","<cleaning><clothing><hair><pets>"
"Sleeping in a noisy environment","<home><personal-care><comfort><sound><bedroom>"
"How to deal with cockroach at home?","<cleaning><kitchen><personal-care><pest-control>"
"How do I clean the inside of a keyboard that I spilled a drink into?","<cleaning><technology>"
"How do I prevent a bookmark tassel from fraying?","<books>"
"How can I pit a bowlful of olives?","<food>"
"Ways of waterproofing a watch","<substitute-tool><water><camping>"
"How to light a match?","<substitute-tool><camping><fire>"
"How can I drive a tent peg into gravel?","<camping>"
"How to straighten a bent tent-peg","<camping><metals>"
"Stopping my shirt from falling up when I run","<comfort><travel>"
