title,tags
"Are there words for ""second cousin twice removed"" in other languages?","<english><cross-linguistic><kinship-terms>"
"Are there languages that distinguish ""us-not-you"" from ""us-including-you""?","<pronouns>"
"Explanation of Element Theory?","<phonology>"
"What are the main features of an agglutinative language?","<grammar><morphology>"
"(How) Can one create a language in a classroom setting?","<phonology><grammar><reference-request><word-formation>"
"How to proceed with this Maasai translation?","<computational-linguistics><linguistic-typology><theoretical-linguistics><comparative-linguistics>"
"What functional motivations are there for the choice of light verb constructions over full verbs?","<verbs><research>"
"Translation request cursive","<translation>"
"What's the deal with universal grammar?","<universal-grammar>"
"Why do Americans and Canadians pronounce ""t"" with flap [ɾ] in unstressed syllables in English?","<english><phonology><phonetics><pronunciation><accent>"
"Why do so many languages have both an alveolar ""light L"" [l] and a velarized ""dark L"" [ɫ] allophone?","<phonology><phonetics><phonemes><allophones><laterals>"
"What is the difference between ""or"" and ""either...or""?","<syntax><semantics>"
"What are the most common reasons for (synchronic) word-order changes in isolating languages?","<syntax><linguistic-typology><word-order>"
"Linguistics, a discipline or a field?","<historical-linguistics><linguistic-typology><theoretical-linguistics><discourse-analysis>"
"On an anthropological feature of German etymology (e.g. Pusteblumen)","<etymology><german><compounds>"
"What is the name of the type of sentences that describe an action that is realized by saying the sentence?","<terminology><pragmatics>"
"English text corpus for download","<english><corpora>"
"How did OF. peindre derive from L. pingere, with a ""-ng-"" > ""-nd-"" change?","<etymology><sound-change>"
"Are there standard test data sets for English stemmers / lemmatisers?","<computational-linguistics><reference-request><online-resources>"
"Are click sounds accompanied by specific formant transitions?","<phonetics><vowels><consonants><acoustic-analysis><african-languages>"
"How can I distinguish different consonants in Praat/acoustic analysis?","<phonology><phonetics><consonants><acoustic-analysis>"
"How do sentence intonation and (syllable-based) tone interact in tone languages?","<phonology><phonetics><tone><intonation>"
"Annotation agreement for multiple category assignment","<corpora><annotation>"
"Is there any evidence pro/contra Du Bois' Preferred Argument Structure (ergative patterning in discourse)?","<linguistic-universals><pragmatics><universal-grammar><ergativity><discourse>"
"Is it possible to measure the amount of redundancy in a language?","<quantitative-linguistics>"
"Are there marked/""hard"" phonemes that are acquired very late or never by a substantial number of speakers?","<phonology><phonetics><language-acquisition><second-lang-acquisition><markedness>"
"What are Georgian harmonic clusters phonetically?","<terminology><phonetics><georgian>"
"Are ""mother"" and ""father"" antonyms?","<terminology><lexical-semantics><lexical-relations>"
"Word-initial consonant clusters beginning with /s/ or /ʃ/, an Indo-European characteristic?","<indo-european><pronunciation>"
"Software request: Spectrograms that represent intensity with a colour gradient","<phonetics><acoustic-analysis><praat>"
"How do we know that Ancient Greek didn't have ejectives?","<phonetics><historical-linguistics><greek><ejectives>"
"The Opposite of ""Accent""","<terminology>"
"Did language originate and evolve just as organisms did? As in Evolution by Natural Selection?","<origin-of-language>"
"What factors should I consider when setting a Linguistic Corpus price?","<computational-linguistics><nlp><corpora>"
"Why do certain verbs not accept the ergative schema whereas they accept the mediopassive (middle) one?","<verbs><ergativity><mediopassive>"
"What is the idea of ngram viewers working case-sensitive?","<online-resources><frequency><n-grams>"
