title,tags
"Understanding preemptive penance and absolution","<the-amber-spyglass><philip-pullman>"
"Was Neil Gaiman influenced by Heinrich Heine?","<inspiration><neil-gaiman><the-sandman><morphine>"
"Why did the characters in ""No Exit"" agree to torment each other?","<character-analysis><french-literature><jean-paul-sartre><no-exit>"
"Which Upanishad is TS Eliot referencing with ""Datta. Dayadhvam. Damyata."" and why?","<t-s-eliot><allusions><the-waste-land>"
"What rough beast slouches towards Bethlehem to be born?","<william-butler-yeats>"
"Which short story describes how a man's teaching logic to his would-be girlfriend backfires?","<identification-request>"
"Political allegory in Lukyanenko's Watch series?","<russian-literature><allegory><night-watch-cycle><sergei-lukyanenko>"
"Did Viktor Frankl ever publish his manuscript?","<textual-history><viktor-frankl>"
"Why don't the Assassin's Creed novels include present day events?","<setting><assassins-creed>"
"Was Théoden's revival inspired by Mark Twain?","<inspiration><j-r-r-tolkien><mark-twain>"
"How does this world increase their population?","<the-stars-are-legion><kameron-hurley>"
"What view of marriage is presented in Jude the Obscure?","<thomas-hardy><jude-the-obscure>"
"Did Twain mean the coin should be enlarged or not?","<mark-twain>"
"Looking for a specific passage by Nabokov","<identification-request><russian-literature><vladimir-nabokov>"
"Are there regional variations of Newspeak?","<george-orwell><nineteen-eighty-four>"
"Is there any connection between the TombQuest books and the associated game?","<adaptation-comparison><michael-northrop><tombquest>"
"What is a Pooh?","<name-significance><a-a-milne><winnie-the-pooh>"
"When and why did the practice of reading ""Address to a Haggis"" at Burns Night dinner originate?","<poetry><robert-burns>"
"What are the ""old euphemisms"" in The Great Gatsby?","<meaning><f-scott-fitzgerald><the-great-gatsby>"
"How did the Adem view Marriage?","<patrick-rothfuss><the-kingkiller-chronicle>"
"Who said it first - Orwell or Churchill?","<george-orwell><quote-source><winston-churchill>"
"Why does Shakespeare's Julius Caesar switch to Latin for the ""Et tu, Brute"" line?","<william-shakespeare><julius-caesar>"
"What is the role of Jane Eyre in The Cider House Rules?","<intertextuality><jane-eyre><john-irving><the-cider-house-rules>"
"Which real-life languages other than English, Welsh and Old English/Norse did Tolkien draw on for naming things?","<j-r-r-tolkien><the-lord-of-the-rings>"
"What is the relevance of the essays in Tolstoy's 'War and Peace'?","<russian-literature><leo-tolstoy><war-and-peace>"
"Why were these animals used to represent the different countries in Maus?","<symbolism><comics><maus><art-spiegelman>"
"Was FitzGerald the first to collect the poems of the Rubaiyat together?","<persian-literature><the-rubaiyat><edward-fitzgerald><omar-khayyam>"
"Did Frodo want Bilbo to die?","<j-r-r-tolkien><the-lord-of-the-rings>"
"Why does John Winthrop compare the Massachusetts Bay Colonists to ""a city upon a hill""?","<historical-context>"
"What's the symbolism in The Twelve Days of Christmas?","<symbolism><song-lyrics>"
"Why Did Doyle Choose 221B Baker Street?","<sherlock-holmes><arthur-conan-doyle><setting>"
"Does V reference Stanislaw Lem's ""His Master's Voice"", and if so, why?","<comics><alan-moore><stanislaw-lem><v-for-vendetta><his-masters-voice>"
"Please identify this sci-fi series where the main character has mental access to the aliens' computers","<identification-request>"
"Zhuangzi translation in The Lathe of Heaven","<translation><ursula-le-guin><chinese-literature><the-lathe-of-heaven><zhuangzi>"
"Story about a precious bottle of wine; owner waiting for the perfect occasion","<identification-request><short-stories>"
"Is there really a single ""Old Babylonian version"" of the Epic of Gilgamesh?","<textual-history><akkadian-literature><epic-of-gilgamesh><sumerian-literature>"
"identify this play / teleplay: all of creation was a higher being's homework assignment","<identification-request>"
"Is Roland Barthes' s/z structuralist or post-structuralist?","<theory><roland-barthes>"
"Identify a story about a group of white men stuck at sea without water and a black guide that they ignore","<identification-request><short-stories>"
"How's this sentence by Hemingway grammatical: 'Once I remember Gertrude Stein talking of bullfights spoke of her admiration for Joselito'?","<ernest-hemingway>"
"Relevance of tiger limerick to Gilla's story","<short-stories><nalo-hopkinson>"
"Where does the name Childermass come from?","<inspiration><name-significance><susanna-clarke><jonathan-strange-and-mr-norrell>"
"What does Camus mean by ""the disastrous fact that love and desire must be expressed in the same way""?","<meaning><french-literature><albert-camus><a-happy-death>"
