title,tags
"Proof that the maximum element in a linear search is found log(n) times","<probability><divergent-series>"
"Definition of finite vs definition of countable set (using Surjective function)","<elementary-set-theory>"
"How to do this integral without the inverse hyperbolic tan","<calculus><integration>"
"Construction of Grassmann manifolds","<algebraic-geometry><manifolds><geometric-topology><characteristic-classes><grassmannian>"
"Solve the differential equation $\left(y'\right)^3+\left(3x-6\right)\cdot \:y'=3x$","<ordinary-differential-equations>"
"test for convergence or divergence","<calculus><sequences-and-series><computational-mathematics>"
"Intuitive Explanation why the Fundamental Theorem of Algebra fails for infinite sums","<complex-analysis>"
"Determine of the subset of $\mathbb{R}^3$ is a subspace.","<linear-algebra>"
"determinate moment problem","<real-analysis><functional-analysis><moment-problem>"
"Antiderivative as an integral operator from $L^2(0,2\pi)$ to $L^2(0,2\pi)$","<functional-analysis><operator-theory><hilbert-spaces><compactness>"
"Does an extension operator in Sobolev spaces commute with derivative operators?","<functional-analysis><sobolev-spaces><approximation-theory>"
"Counting problem(product rule)","<combinatorics><discrete-mathematics>"
"Explicit eigendecomposition of a rank-$2$ matrix","<linear-algebra><matrices><eigenvalues-eigenvectors><matrix-decomposition>"
"SDE of a (geometric/standard) Brownian motion","<brownian-motion><stochastic-differential-equations>"
"How to uniquely code 2 reals numbers b and c into a single real number X?","<real-analysis><arithmetic>"
"Optimization Problem $\sum_{i=1}^{a}\sum_{j=1}^{b}\sum_{k=1}^{n_{ij}}(y_{ijk}-\mu-\alpha_i-\eta_j-\gamma_{ij})^2$","<statistics><statistical-inference><maximum-likelihood>"
"$ \ \vec a × \vec b = \vec b × \vec c = \vec c × \vec a $ implies existance of a triangle","<geometry><analytic-geometry><triangles><cross-product>"
"If $e\leq d$, prove that $A_q(n,e)\geq A_q(n,d)$.","<proof-writing><cryptography><coding-theory>"
"Why does $\log_{10}(10^x + 1) - x$ approximate $\log_{10} e$?","<algebra-precalculus><numerical-methods><logarithms>"
"Define number by relation to $0$?","<real-numbers>"
"Elliptic Paraboloid, and Plane $y=1$, and Rate in respect to $x$ at point $P(2,1,7)$","<real-analysis><calculus><partial-derivative><solution-verification><plane-curves>"
"$\lim_{R \to \infty}\int^R_{-R}x^3dx$ implies $\int^{\infty}_{-\infty}x^3dx$ exists?","<real-analysis><limits>"
"Integer optimization method","<optimization><integer-programming>"
"How do we define an ""intuitive"" average on this function?","<probability-theory><measure-theory><probability-distributions><average><measurable-functions>"
"On the Reduction Lemma (the existence of an $(n-1,M,d-1)$-code)","<proof-explanation><cryptography><coding-theory>"
"Locus of intersecting perpendicular tangents of conic, using polar coordinates","<analytic-geometry><conic-sections><coordinate-systems><polar-coordinates><locus>"
"function not integrable if the asymptotics of the volume of upper level sets is $\Omega(r^{-1})$","<real-analysis>"
"Successive approximations of a function (taylor formula derivation)","<taylor-expansion>"
"Basis of a subspace of $\mathbb{R}^5$ spanned by vectors $(1,3,-1,2,3)$, $(2,7,-2,5,2),$ and $(1,4,-1,3,-1)$.","<linear-algebra><matrices><vector-spaces>"
"if $\sum a_n$ is a divergent series of positive terms then so is $\sum \sqrt{a_n}$","<sequences-and-series><solution-verification><alternative-proof>"
"What is the role of ""X"" symbol in the box-and-whisker plot?","<descriptive-statistics>"
"If $A_n B_n$ converge to the identity matrix, is it true that $A_n^{1/2} B_n^{1/2} \to I$ as well?","<linear-algebra><matrices>"
"Evaluate $\int_0^\pi \frac{\sin\frac{21x}{2}}{\sin \frac x2} dx$ (from MIT Integration Bee)","<integration><definite-integrals><contest-math><trigonometric-integrals>"
"Probability of ruin - calculating an integral after exponential change of measure","<probability><integration><sampling>"
"Fourier transform $G(f)$ of a Gaussian signal","<integration><functions><fourier-transform>"
"Solution for a first order non-linear partial differential equation","<partial-differential-equations><characteristics>"
"$X$ is a first-countable space and $A \subset X$, show $x \in \bar A \iff \exists (x_n) \rightarrow x$","<general-topology>"
"Find asymptotic distribution of $l(\hat{\theta_n}) - l(\theta_0)$","<statistics><probability-distributions><asymptotics><estimation><log-likelihood>"
"Why is $k[x,y,z,u]/(x^2-y^2z, uy-x) \cong k[y,u]$?","<algebraic-geometry><ring-theory><commutative-algebra>"
"Let S be the set of non ﬁnitely generated ideals in R. Suppose A is a maximal element in S. Then A is a prime ideal","<abstract-algebra>"
"Find the distance from $(1, 1, 1)$ to the subspace span ${(1, 1, 0), (0, 1, 1)}$ of $\mathbb R^3$.","<linear-algebra><vector-spaces><inner-products>"
"Maximum number of linearly independent vectors subject to a constraint","<linear-algebra><vector-spaces><euclidean-geometry>"
"Riemann/Lebesgue integrability of a function","<real-analysis><calculus>"
"Integral on a curve $\int_C (x^2+y^2)ds$","<integration><curves>"
"Deducing homotopy equivalence from a coexact sequence","<reference-request><algebraic-topology><dynamical-systems>"
"Is there a formula for the silver spiral?","<polar-coordinates><means>"
"Given any $n+2$ integers, show that there exist two of them whose sum, or else whose difference, is divisible by $2n$.","<elementary-number-theory><proof-verification><elementary-set-theory><pigeonhole-principle>"
"Pigeonhole Principle Problem - need help understanding the concept","<pigeonhole-principle>"
"Polar coordinates to find area","<polar-coordinates>"
"$\sum_{n=1}^{\infty} {2^n}{\sin(\frac{1}{3^nx})}$ is uniformly continuous on the Interval $(1,\infty)$?","<convergence-divergence><uniform-convergence>"
"Exact differential equations, what are we trying to find exactly?","<ordinary-differential-equations>"
"Is it possible to find a ratio/rate for this sequence?","<sequences-and-series>"
"Inclusion-Exclusion Problem - derangement","<combinatorics><inclusion-exclusion>"
"Probability machine 1 is the first to fail","<probability><proof-verification>"
"Proving eigenvectors of matrix products","<linear-algebra><matrices>"
"Characterizing critical points of a complex valued function.","<complex-analysis><multivariable-calculus>"
"Integrating with a non-analytical solution (random effects)","<integration><random-variables><normal-distribution><monte-carlo><approximate-integration>"
"Steady state error using final value theorem","<control-theory>"
"Bounding sub-Gaussian tail events by Gaussian tail events?","<probability><probability-theory><random-matrices><concentration-of-measure>"
"Comparison of two self ratings","<statistics><math-software><number-comparison>"
"I want a text book with various examples","<number-theory><reference-request>"
"A simple question about the proof of theorem 3.42 in Walter Rudin's ""Principles of Mathematical Analysis""","<calculus><sequences-and-series><proof-verification>"
"ADMM - proximal vs. augmented lagrangian interpretation: stuck on algebraic step :(","<linear-algebra><convex-optimization>"
"The Integral $\int \frac {dx}{(x^2-2ax+b)^n}$","<calculus><indefinite-integrals><partial-fractions>"
"What is a Spectral Graph Convolution?","<graph-theory><convolution>"
"Determine stationary distribution of Markov Chain","<markov-chains>"
"Prove that any open set of $\mathbb{R}^n$ is a countable union of open $n$-rectangles","<real-analysis><general-topology><analysis>"
"Existence of analytic function having different values on $|z|=1$ and $|z|=2$","<complex-analysis><entire-functions>"
"Compute $\int_C x\sqrt{x^2-y^2} \mathrm ds$","<integration><curves>"
"Is it true that the generators of a commutative ring is finite?","<abstract-algebra><ideals>"
"sequence of inequalities information theory","<probability-theory><information-theory>"
"Is quasi-isomorphism of $A_{\infty}$ algebras invertible","<reference-request><homological-algebra>"
"Trace of a the inverse of a complex matrix","<inverse><trace>"
"Circumpolar Equation Derivation","<geometry><mathematical-astronomy>"
"Counting problem k-tuples","<combinatorics>"
"Finding the orthogonal complement of a subspace of $\mathbb{R}^4$","<linear-algebra><matrices><vector-spaces><orthogonality>"
"How many edges are in a graph $G$ such that $G-v$ is a tree $\forall v \in V(G)$?","<graph-theory>"
"Find a limit using a functions integral sums","<limits>"
"How to prove this gradient theorem in vector calculus","<calculus><integration><vector-analysis>"
"Getting x in terms of y","<algebra-precalculus>"
"Square roots and solutions to equations with squares. Why are there negatives and positives?","<complex-numbers><radicals>"
"Find the jordan basis for $A$","<linear-algebra><eigenvalues-eigenvectors><jordan-normal-form>"
"Is there cardinal number $\kappa$, such that $\kappa$ is not inaccessible and $2^{<\kappa}<\kappa^{<\kappa}$?","<set-theory><cardinals>"
"Interpret the characteristic function of $A\backslash B$ in terms of $f_A$ and $f_B$.","<functions><elementary-set-theory>"
"Tranform region of type 1 into a region of type 2","<calculus><multivariable-calculus>"
"Are metrics that determine the same topology, equivalent?","<general-topology><metric-spaces>"
"induction with binomial coefficients 6","<induction><binomial-coefficients>"
"Derivating matrixs.","<calculus><matrices><derivatives>"
"Is the space ($\Bbb R,d)$ totally bounded? compact?","<real-analysis><compactness>"
"In a UFD if $x$ is irreducible, then $(x)$ is prime","<abstract-algebra><ring-theory><unique-factorization-domains>"
"How to proof this this sentence with natural deduction?","<logic>"
"Prove that $I_X: X \to X$ defined by $I_X(x) = x$ is a bijection","<functions><discrete-mathematics>"
"Can the commutator $[A,\,B]$ be derived if $\left[A,\,B^2\right]$ is known?","<noncommutative-algebra>"
"chain rule , partial derivative","<multivariable-calculus><partial-derivative><chain-rule>"
"Height of Irregular Pyramid Given it's Faces","<geometry><polyhedra>"
"Does the following function has a maximum?","<real-analysis><limits><irrational-numbers><maxima-minima>"
"A mathematical function for counting forwards then backwards","<arithmetic>"
