title,tags
"A bug in leagues?","<discussion><bug><status-bydesign>"
"Answer marked but points to a comment/s","<discussion><support>"
"My global flair suddenly includes meta.stackoverflow.com?","<discussion><support><flair>"
"Add link to display original question for answers in the Suggested Edits review queue","<feature-request><review><suggested-edits>"
"Interacting w/ Subscriber Content via StackExchange API in Commercial Applications","<discussion><stack-exchange><api><licensing><terms-of-service>"
"What is the result of my spam flag?","<bug><flags>"
"Rep calculation quandaries","<discussion><reputation>"
"Loosen the rules around suggesting tag synonyms","<feature-request><tag-synonyms>"
"Django-socialauth and Django-social-auth are two different python packages","<discussion><tag-synonyms>"
"How long do saved drafts exist?","<support><answers><draft>"
"Would awarding a bounty to yourself make sense, if you are the only answerer and you have given answer before starting the boutny","<discussion><bounties>"
"Remove the tag synonym suggestions entirely","<feature-request><tag-synonyms><moderator-tools><synonym-request>"
"How to make small but necessary edits in an area ""obscure"" to many","<discussion>"
"How long does ""This question may already have an answer here"" banner appear if the 5 votes are never reached?","<support><duplicate-questions>"
"Can we have sub Stack Exchange to share code/discuss code?","<discussion><stack-exchange><site-recommendation>"
"Animated SVGs don't animate when oneboxed in chat","<bug><status-bydesign><chat>"
"How many times can I change my profile name?","<support><display-names>"
"On Ask Question","<support><bug>"
"Confused over an edit rejection","<discussion><rejected-edits>"
"Can the CSS be adjusted to make links stand out more in rendered output mode","<feature-request><suggested-edits>"
"Make it obvious that a link was added in the diff","<feature-request><suggested-edits><hyperlinks><diff>"
"Careers export PDF corrupt from mobile","<bug><status-completed><careers><pdf>"
"What type of question deserves an upvote?","<discussion><voting>"
"Where to ask ""listing"" questions?","<discussion><site-recommendation><list-questions>"
"Click-to-zoom feature for images","<feature-request><images>"
"What happens to auto-soft-deleted flagged comments + flagged comment notification?","<feature-request><support><flags><comment-flags>"
"Add functionality to mobile chat","<feature-request><chat><design><mobile-web>"
"Why was my question marked as duplicate?","<discussion><status-completed><duplicate-questions>"
"Useless ellipsis is useless in chat","<discussion><support><chat><design>"
"Grammatical error in the Stack Exchange API documentation is unacceptable!","<bug><status-completed><api><grammar>"
"High-rep users should be exempt from answer-to-comment autoconversion","<feature-request><privileges><moderators><convert-to-comment>"
"Oneboxing Wikipedia includes processing instructions like __NOTOC__","<bug><status-completed><chat><onebox><wikipedia>"
"What is the right thing to do when the asker displays a fundamental lack of understanding?","<discussion><questions><answers>"
