title,tags
"Remove VAT amounts from cash flow report","<gnucash>"
"Moving from Canada to the U.S.: Where will I be considered resident for tax purposes?","<united-states><income-tax><canada><moving><tax-residency>"
"How to Create Personal Balance Sheet and Budget Plan for Several Accounts","<budget><balance-sheet>"
"Why do passive ETFs require so much trading (and incur costs)?","<financial-literacy><etf><stock-analysis><stock-valuation><rebalancing>"
"Reason for ""qualified"" buyer requirements to exercise stock options/rights spun off from parent company?","<united-states><stocks><options><option-exercise><sec>"
"How to move money between U.S and non-U.S bank accounts?","<foreign-currency><ach>"
"Why would a public company not initiate secondary stock offerings more often?","<stocks><investing><financial-literacy><stock-markets><stock-valuation>"
"marking a card with 'check id'","<debit-card><security>"
"UK Business rates if multiple businesses/partners operate in the same unit","<united-kingdom><business><rates>"
"Setting up a delta-neutral position with Out of the money options","<options><implied-volatility>"
"Amended return (dead or alive): What address or addresses to use for various forms?","<united-states><income-tax><amended-tax-return>"
"Should I stop contributing to retirement accounts, and instead focus on expanding our real estate investments?","<united-states><investing><401k><retirement>"
"Can owning a static website without advertisements be a source of income in India?","<india><income><websites>"
"Is it possible to pay off a friend's debt without them being taxed on it?","<income-tax><united-kingdom><debt><gift-tax>"
"Have I saved too much for retirement so far?","<united-states><401k><savings><retirement-plan>"
"Should I be entering ""0"" or ""-0-"" on my 1040 form?","<united-states><taxes><income-tax><form-1040>"
"Why do foreign transactions take so long to post to online banking statement?","<international><transaction><foreign>"
"Substantial presence test IRS","<united-states><taxes><irs>"
"Effective Rate for this balloon payment","<interest>"
"Would the following trade scenario trigger a wash sale?","<stocks><trading><wash-sale>"
"Does New York State law require me to e-file if I use TurboTax?","<united-states><income-tax><state-income-tax><new-york><turbotax>"
"How does it work when somebody invests in my business?","<investing><start-up>"
"I received 1042 -s from Interactive Brokers. What shall I do whit these forms?","<investing>"
"Is it better to get a mortgage or continue renting in London?","<mortgage><rent>"
"Reasons to own a non-dividend paying stock?","<stocks><stock-dividend>"
"Retailer charged different amount on my card","<banking><bank-account><online-payment><transaction><online-retailer>"
"Is a student attending an university in Massachusetts and interning for over 183 days in California count as a ""Resident"" for MA income tax purposes?","<united-states><income-tax><massachusetts>"
"Bank account signup bonus - foreign national in US","<united-states><income-tax><foreign-income>"
"Reimburse Tax expense using UTMA?","<taxes><pennsylvania><utma-ugma>"
"Television license tax in Switzerland as exchange student","<taxes><switzerland><student>"
"How does ownership in fractional shares work?","<shares><brokerage><fractional-shares>"
"Why don't investors in negative-yielding government bonds put money in positive-yielding government bonds instead?","<bonds><government-bonds><fixed-income><yield>"
"Emergency and Community Fund for families","<united-states><family><emergency-fund>"
"What is the difference between a dividend and share distribution?","<stocks><mutual-funds><vanguard>"
"agreement change and company control","<small-business><shares><board-of-directors>"
"What happens if I can't pay money to my health insurance company?","<united-states><health-insurance><healthcare>"
"401(k) profit sharing contribution","<income-tax>"
"Bank account security","<united-states><bank-account>"
"Debt Consolidation","<debt><debt-reduction><loan-consolidation>"
"529 Plan from Fidelity","<529-plan><deduction>"
"Is this apparent Class Action settlement a spam message?","<scams>"
"FBAR reporting for non-resident aliens with single-member LLC","<united-states><non-resident><small-business><limited-liability-company><fbar>"
"Paying by voice - what is its transaction type","<credit-card><debit-card><online-payment><payment>"
"How to wire transfer from Europe to a CIBC account please?","<canada><bank-account><wire-transfer><iban><swift>"
"Reporting of form 1042-S","<united-states><taxes><income-tax><401k>"
"the annual limit for my 401k is $500 - what can i do?","<united-states><taxes><401k><ira>"
"Bought stock at higher price than current price","<stocks><financial-literacy><stock-exchanges><penalty>"
"I got a job in Saudi Arabia. What are my tax liabilities in India","<taxes><india><income><dtaa><saudi-arabia>"
"How can I make any sort of profit in day-trading if the price doesn't rise much after I buy stock?","<stocks><stock-markets>"
"How is the spread devided between buyer, seller and market maker?","<trading><stock-exchanges>"
"Are taxes payable on bounties offered by governments?","<united-states><taxes><government>"
"Is hire purchase that risky compared to a personal loan in the case of a car crash?","<united-kingdom><car><car-insurance>"
"Does investing monthly into a Fund mean that I buy unit fractions?","<savings><mutual-funds>"
"What's the best way to maintain your credit score after paying off all of your debt?","<credit-score><fico-score><debt-to-income-ratio>"
"Can I withdraw from an RRSP for home renovation using the Home Buyer's Plan?","<canada><tax-deduction><rrsp><home><home-buyers-plan>"
"How is interest rate calculated for a floating mortgage","<mortgage><interest>"
"Are dual US-Canadian citizens in Canada required to pay US taxes on their donations to Canadian charities?","<united-states><canada><tax-deduction><charity><charitable-contributions>"
"How are buys executed?","<stocks><financial-literacy><stock-exchanges>"
"Investing in Canadian Stocks as an American","<united-states><stocks><investing><canada>"
"How do expense ratios work for etfs without dividends?","<etf><expense-ratio>"
"Should I invest all of my IRA contributions to get the max benefit?","<united-states><investing><ira><roth-ira>"
"Leasing a car with good income, but very young","<united-states><credit><auto-leasing>"
"Dollar cost averaging - Should I still do it if I have a large pile of cash now?","<dollar-cost-averaging><lump-sum>"
"Can a health care provider make a refund of an HSA payment by check?","<united-states><hsa>"
"I would like to make my savings work for me: is the ""Rich dad, poor dad"" a good resource?","<starting-out-investing><books><reference-material>"
"Acquisitions: Effect on stock price of Acquisitor and Acquired?","<stocks><short-term><corporate-acquisition>"
"Swing Trading Roth IRA & SEC's Reg T+2 amendment?","<united-states><roth-ira><regulation><sec>"
"Notice of Conversion for 3(a)10","<united-states><financial-literacy><stock-valuation><news>"
"I'm hoping to get a green card this summer - am I liable for taxes for all of 2018?","<united-states><taxes><permanent-resident>"
"Employer forgot to file a 1099 form for me","<united-states><income-tax><form-1099>"
"What are the most common reasons for purchasing Life Insurance?","<united-states><life-insurance>"
"Does a stock's price reflect how much the company is making?","<stocks><stock-analysis>"
"New to Roth IRA. Where is the best place to get one where I can trade with that account?","<trading><ira><roth-ira>"
"Increasing downpayment v.s. Prepayment","<united-states><mortgage>"
"How to Answer IRS Withholding Calculator Questions About 2018?","<united-states><taxes><income-tax><withholding><form-w-4>"
"Level 2 manipulation: types and how to spot","<stocks><market-manipulation><time-and-sales><level-2-quotes>"
"Euro rental income earned in Spain but can it be paid in Sterling in UK","<income-tax><united-kingdom><rental-property><spain>"
"J1 visa and holding equity in a non-US startup","<united-states><non-resident><start-up><visa><equity>"
"What's this ""collections"" scam?","<scams>"
"Downside of having a zero-interest loan for long time","<loans><interest-rate><debt><personal-loan>"
"How can I find historic volatilty for a stock?","<options><implied-volatility>"
"A stock needs to have a combination of a buyer and a seller in order to exchange hands. Then how is the supply and demand created?","<stocks><stock-markets><shares>"
"Can a thief who acquires a credit card number trace this back to PayPal and exploit the PayPal account?","<credit-card><scams><paypal>"
"initial margin calculation for multiple short positions","<united-states><shorting-securities><brokerage>"
"Buying shares when the price goes down 2% and selling shares when it goes up 2%","<shares><selling>"
"Can someone explain me the mechanism behind rolling future contracts and contango influence of my investment when buying a commodity ETF (like USO)?","<investing><etf><futures><commodities><contango>"
"Understanding UK split years and double taxation agreements","<taxes><united-kingdom>"
"Am I eligible for the stimulus check?","<united-states><income-tax><check><covid-19><stimulus>"
"How to hedge against a potential collapse of the European Union?","<european-union><hedging><speculation>"
"Why do gold ETFs follow the overall stock market?","<stocks><etf><gold>"
"General Liability amounts for a home podcast","<liability>"
"Can a broker make it appear they have executed a 'buy to close' trade but in actual fact they simply have taken your position?","<call-options><margin-call><open-interest>"
"I was claimed as a dependent in 2018 but not in 2019","<united-states><income-tax><covid-19><stimulus>"
"Will stimulus create an opportunity to raise interest rates?","<interest-rate><federal-reserve>"
"Stimulus eligibility check question","<united-states><income-tax><check><covid-19><stimulus>"
"F1 to H1B - Should I be filing taxes for 2019 as a Resident Alien or a Non-resident alien?","<united-states><irs><f1-student-visa><h-1b-visa><tax-forms>"
"Can someone who doesn't need to file taxes (IRS 1040 etc) get the stimulus check without providing personal information to a 3rd party?","<united-states><income-tax><irs><stimulus>"
"Do market makers try to take out stop orders?","<stock-markets><stock-exchanges><stop-order>"
"When does a reverse stock split change the stock's trading price","<stock-split>"
