title,tags
"To what extent were the actors in Wedding Crashers improvising?","<wedding-crashers>"
"Evaluating characters by means of description","<analysis><star-wars>"
"Was the original ""Pink Panther"" movie intended to be a comedy?","<comedy><the-pink-panther>"
"What does the ending of The Tree of Life mean?","<plot-explanation><analysis><ending><the-tree-of-life>"
"Did the FBI know about the mole in the police department and did they interfere with the investigation?","<plot-explanation><the-departed>"
"Why the stoic acting style in 2001 Space Odyssey?","<analysis><stanley-kubrick><2001-a-space-odyssey>"
"Why was Prowse chosen to play Darth Vader?","<star-wars><casting>"
"Is there any definitive evidence that Teddy was or was not crazy?","<analysis><shutter-island>"
"How does the son (R.L.) die?","<plot-explanation><the-tree-of-life>"
"Why does the dinosaur let the wounded dinosaur live?","<plot-explanation><analysis><the-tree-of-life>"
"What was the alternative world in Sucker Punch?","<analysis><sucker-punch>"
"Did Existenz influence Inception?","<inception><existenz>"
"What weighs toward the decision to ignore the gravity change?","<effects><melancholia>"
"Are there any ""Hollywood-style"" movies made in Iran?","<iranian-cinema>"
"Why is the ending to the film adaptation of ""Hannibal"" completely different from the novel?","<ending><book-adaptation><hannibal>"
"Did Hayao Miyazaki make any movie without an environmental theme?","<hayao-miyazaki>"
"Did Kurosawa make so many Shakespeare-adaptations to avoid censorship?","<book-adaptation><akira-kurosawa>"
"Where did the speaking-disease come from?","<plot-explanation><pontypool>"
"Are there specific plot inconsistencies in The Matrix Trilogy?","<the-matrix><sequels><plot-explanation>"
"Why did Hel get cut from the American version of Metropolis?","<alternate-version><metropolis>"
"Why did they change the location of Akira in the remake?","<remake><akira>"
"What is the main theme of The Dark Knight?","<analysis><the-dark-knight>"
"Outcome of relationship at the end of 'Blue Valentine'","<plot-explanation><ending><blue-valentine>"
"What changes were made to the Star Wars Blu-ray and what effect did they have on the plot?","<star-wars><plot-explanation>"
"Captain Miller's thought process in Private Ryan ""School Teacher"" scene?","<plot-explanation><saving-private-ryan>"
"Is there any evidence of ""Big Twist"" movies having poor post-cinema sales?","<film-industry>"
"What has the greatest chance of being in Marcellus Wallace's briefcase?","<pulp-fiction>"
"Why don't Marty's parents ever mention how similar he looks to the Marty of 1955?","<analysis><back-to-the-future><time-travel>"
"Why is the bride's name beeped in Kill Bill Vol 1?","<analysis><quentin-tarantino><film-techniques><kill-bill>"
"Is Chandhramukhi / Manichitrathazhu / Bhool Bhulaiyaa a partial copy of Vertigo?","<reference><vertigo><manichitrathazhu><chandramukhi><bhool-bhulaiyaa>"
"How much of Melissa McCarthy's role in ""Bridesmaids"" was improvised?","<production><bridesmaids>"
"Have rights disputes kept Skeeter out of the Muppet movies, including ""The Muppets""?","<muppets>"
"What Muppets were not played by their original puppeteers?","<muppets>"
"What's the purpose of Aurra Sing appearing in Star Wars Episode One?","<character><star-wars><the-phantom-menace>"
"Why wasn't the poltergeist Peeves in the Harry Potter movies?","<character><harry-potter><book-adaptation>"
"Was the interview with the Norwegian prime minister real?","<trolljegeren>"
"What is a ""performance capture"" animation movie?","<film-techniques><animation><adventures-of-tintin>"
"Did the original Fantomas movies also include a lot of gadgets like the movies from the 60s?","<remake><fantomas>"
"Ending of Donnie Darko","<plot-explanation><ending><donnie-darko>"
"Why are there a lot of Hollywood-remakes of successful non-US-movies?","<remake><american-cinema>"
"What's the name of the sheep who's eating stuff backstage?","<muppets>"
"Movie about a toy factory and war toys?","<identify-this-movie>"
"Why does Harry only make use of time travel in The Prisoner of Azkaban?","<plot-explanation><harry-potter><time-travel><the-prisoner-of-azkaban>"
"Why isn't Bruce Willis's character in the Sixth Sense self-aware?","<plot-explanation><character><the-sixth-sense>"
"How do the differences between the replicants and Deckard evolve in Blade Runner?","<analysis><character><blade-runner>"
"What were the origins of Persephone in The Matrix: Reloaded?","<the-matrix><the-matrix-reloaded>"
"How credible is the ending of Collateral?","<plot-explanation><realism><collateral>"
"Which class is Mark sitting in when he falls asleep?","<the-social-network>"
"Why is James Bond less tech savvy in the Daniel Craig movies?","<james-bond>"
"Why did Ennio Morricone write the soundtrack of ""The Thing"" (1982) instead of John Carpenter?","<soundtrack><the-thing>"
"Why did Jodie Foster decide not to reprise the role of Clarice in Hannibal?","<hannibal><the-silence-of-the-lambs>"
"Which circles of Hell are shown in What Dreams May Come?","<analysis><what-dreams-may-come>"
"What is Harvey's purpose?","<analysis><harvey>"
"Is the opening break-up scene in The Social Network intended to be humorous?","<analysis><the-social-network>"
"What fills the void left by the lack of character development in Inception?","<analysis><inception>"
"Did Wolfe kill Triphammer?","<plot-explanation><powers>"
"Where and why is the Royal Coat of Arms in the title sequence of 30Rock","<title-sequence><30-rock>"
"Who is the narrator in the movie Book Thief?","<plot-explanation><the-book-thief>"
"Handcuffs found by Yuri","<plot-explanation><fortitude>"
"What gave Caincross away in the Imitation Game?","<plot-explanation><the-imitation-game>"
"X Files known by other name?","<the-x-files>"
"Did Mel Gibson give any of his profits back to charity?","<the-passion-of-the-christ><mel-gibson>"
"In Kingsman: The Secret Service, what do the wine choices imply?","<kingsman-the-secret-service>"
"Wouldn’t Underwood’s plan for Sharp in season 3 of House of Cards be obvious?","<plot-explanation><realism><house-of-cards>"
"How does Cole get from the First World War to 1996?","<plot-explanation><12-monkeys>"
"Why does Alfred suddenly start to encourage Bruce's darker side in episode S01E08?","<plot-explanation><character><gotham>"
"Why is Phantasm II available on Bluray while the other movies in this series are not?","<distribution>"
"What if the coordinates of NASA were not sent?","<plot-explanation><interstellar><time-travel>"
"Dragon Blade - true story?","<historical-accuracy><dragon-blade>"
"What does Carl mean when he says, ""that son of a gun""?","<dialogue><plot-explanation><hachi-a-dogs-tale>"
"What does you're on my hair signifies in Wedding Crashers?","<dialogue><wedding-crashers>"
"Are weapon manufacturers investing in product placement?","<product-placement>"
"Whose signature is shown in the Spectre teaser?","<james-bond><spectre>"
"How does Batman complete the Joker?","<plot-explanation><the-dark-knight>"
"Why is the ending of Big Hero 6 such as it is?","<ending><big-hero-6>"
