title,tags
"What does it mean for an album to be remastered?","<album><terminology>"
"How did Jaco Pastorius get nicknamed 'Jaco'?","<jaco-pastorius>"
"What is the difference between a LP and an EP?","<album><terminology><release>"
"How are backward messages created on tracks?","<recording>"
"What was the first vinyl record to have a repeating loop in the run-out groove?","<vinyl>"
"What defines a trap-beat?","<terminology><trap>"
"Why is the length of a song in much modern music between 3 and 4 minutes?","<history><psychology>"
"How to find ""recommended"" playlists in Spotify?","<playlists><spotify>"
"How can I know if I'm damaging my hearing when listening to headphones?","<equipment><headphones>"
"What is the quality threshold for recordings sounding better/truer?","<psychology><bitrate>"
"Is the music played in silent films considered to be a soundtrack? Why or why not?","<terminology><history><soundtrack>"
"Is it OK to distinguish ""songs"" from ""tracks"" based on presence of vocals?","<terminology>"
"What is ""The Seattle Sound""?","<rock><genre>"
"What is the difference between a ""cover"" and a ""remake"" of a song?","<terminology>"
"How to determine the genre of a song?","<genre>"
"Have there been musicians who have been in more than one band with a Top-10 hit on different instruments?","<chart-success>"
"Is there any *objective* genre-like categorization of musical works?","<classification>"
"What is the name for a track hidden before the CD content?","<terminology><hidden-track><cd>"
"Why do so many musicians use stage names instead of their real names?","<names><psychology>"
"Does the type of music you listen to factor into determining which speakers to buy?","<equipment><speakers>"
"Most longevity on the pop charts","<chart-success>"
"What is the difference between hip hop and rap?","<hip-hop><rap>"
"What was the first music recording reproduced for sale in any format?","<history><recording><format>"
"Identify this genre and performance: DJ with live instruments","<electronic-music><jazz><identify-this-genre><dj>"
"How does Billboard assign songs to its various charts?","<billboard><charts>"
"How can I determine the lowest quality encoding a music file went through?","<quality>"
"What were the first music awards given and when did music awards start to gain visibility?","<history><award>"
"Who influenced The Beatles?","<history><bands><the-beatles>"
"Why do songs sometimes get left off a movie's soundtrack?","<soundtrack>"
"What's the difference between a record and an album?","<album><record>"
"What was the first vinyl record ever pressed?","<history><vinyl><record>"
"How is song qualified for being categorized as Sufi?","<genre-characteristics>"
"What were the specifics of Prince's ""$100 million contract"" with Warner Bros. Records in 1992?","<prince><royalties>"
"Mike Oldfield - Tubular Bells - John Peel version","<recording><mike-oldfield>"
"Permission for remixes?","<recording><copyright><remix><royalties>"
"Studies about stereotypes' accuracy of different genre listeners","<history><genre>"
"Who is the artist of a song?","<terminology>"
"What are the historical roots of auto-tune?","<history><recording>"
"What is the significance of ""the promised land"" mentioned in many Bruce Springsteen songs?","<lyrics><bruce-springsteen>"
"Where did the ""rock on"" hand sign come from?","<history><rock>"
"What classifies a band as ""indie""?","<genre><indie>"
"Who decides whether a record should be labelled ""Parental Advisory""?","<lyrics>"
"Is every piece of music a ""track""?","<terminology>"
"Pictures from the recording of Pink Floyd's On the run","<recording><pink-floyd>"
"What does 'The Dark Side of the Moon' mean?","<lyrics><pink-floyd><meaning>"
"What gives vinyl records their characteristic sound?","<vinyl><sound>"
"Do you need original artist's consent to cover their songs live?","<cover><concert><copyright>"
"How is a winner decided from the nominations for the Academy Award for Best Original Song?","<award>"
"How can I alleviate headphone discomfort?","<headphones>"
"Hidden tracks on other media than CD?","<vinyl><hidden-track><cassette>"
"Why are bonus tracks so common in Japanese versions?","<album><japan>"
"Web resource with different genres as a graph (and samples)","<genre><similar-artists>"
"What happened to the heads from the front cover of The Division Bell?","<pink-floyd><artwork>"
"What was classical music called back in the days?","<classical-music>"
"What is considered to be the first music video?","<history><music-video>"
"Is there any difference in terms of sound quality between different vinyl colours?","<vinyl><quality><sound><sound-quality>"
"What do these lyrics mean in ""The Nurse Who Loved Me""?","<lyrics><meaning><a-perfect-circle>"
"Who started the encore tradition at concerts?","<concert><live-music>"
"What happened to Poe?","<record-labels><poe>"
"How did Led Zeppelin get their name?","<names><led-zeppelin>"
"Why does Buckethead's bucket say 'Funeral'?","<buckethead><appearance>"
"Why is Axl Rose the only original member left in Guns N' Roses?","<history><bands><guns-n-roses>"
"Is Buckethead's trademark bucket hat an actual KFC bucket?","<buckethead><appearance>"
"The ""right here, right now"" sample in ""Right Here, Right Now""","<identify-this-sample><fatboy-slim>"
"In which countries does the music business contribute most to the economy?","<music-business>"
"Why are instrumental chart toppers not as common as in the early days of the pop charts?","<charts><instrumental>"
"What's the shortest number one chart hit?","<charts><number-ones>"
"Why did Paz leave A Perfect Circle","<a-perfect-circle><band-members>"
"What was the first track to be sold through Internet?","<history>"
"What song has had the most versions that have made the singles charts?","<charts><cover>"
"Does a genre describe an artist, a song, or both?","<genre>"
"How common is it for club DJs to use vinyl these days?","<vinyl><dj>"
"'Short edit' songs on best of compilations","<album><compilations>"
"Were ""Mrs."" and ""Mustard/Parking ticket song"" from Buffy ever released?","<soundtrack><joss-whedon>"
"Which song was dubbed into the most languages?","<language>"
"Highest Billboard 200 rank for a Creative Commons licensed album?","<album><copyright><chart-success><billboard>"
"What song has been sampled the most (ended up in the most other released tracks)?","<history><hip-hop><sample>"
"Records with longest Billboard chart success","<chart-success><billboard>"
"Code on Japanese CDs","<cd><japan>"
"How to check if a CD is copy protected?","<cd>"
"Most studio album releases before finally scoring a number one album?","<album><chart-success><number-ones>"
"Before the days of downloads, were 'single' releases ever really only one song?","<recording>"
"Should I store my vinyl records side by side or in piles?","<vinyl>"
"How did music propagate before recordings?","<history><distribution>"
"List of songs present in Cricket 07","<soundtrack>"
"Why does the actor commit suicide at the end of the video to ""You're Beautiful""?","<meaning><music-video><james-blunt>"
"""Waking up to find your love's not real"" in “Right Here, Right Now”","<lyrics><identify-this-sample><fatboy-slim>"
"reasons behind K - pop success","<pop><chart-success><asian><korean><k-pop>"
"What is a ""warm"" sound?","<terminology><sound>"
